year, MIROC-ES2L, CESM2-WACCM, CanESM5, ACCESS-ESM1-5, NorESM2-MM, IPSL-CM6A-LR, UKESM1-0-LL, EC-Earth3-Veg, CNRM-ESM2-1, MPI-ESM1-2-LR, TaiESM1, GFDL-ESM4, NorESM2-LM, CMCC-CM2-SR5
1.850000000000000000e+03, 1.576580032375151985e+00, 1.249720206888678575e+00, 2.628767100314809646e+00, 1.149938257637639571e+00, 1.216050112095221847e+00, 2.371045965436539227e+00, 1.227451645331526286e+00, 2.176888848003875943e+00, 1.350242632931385689e+00, 1.317596425141460248e+00, 1.568850397202910862e+00, 1.356816347042873350e+00, 1.066805993623618942e+00, 1.411577916962805324e+00
1.851000000000000000e+03, 1.556259820290650797e+00, 1.634301805381210171e+00, 2.798889412716876191e+00, 1.179450083202556288e+00, 1.182700245823685270e+00, 2.246283368308879869e+00, 1.208674387440133335e+00, 2.316624979359985126e+00, 1.329874488945995914e+00, 1.147337550034237319e+00, 1.771942992477634204e+00, 1.455986505825871413e+00, 1.294173170710379628e+00, 1.624702972387999322e+00
1.852000000000000000e+03, 1.584073724715211462e+00, 1.719660675104345282e+00, 2.743692330539366342e+00, 1.171370967327334256e+00, 1.322095263720408642e+00, 2.195138014697154638e+00, 1.091715321964476182e+00, 2.084371067101721042e+00, 1.283898722148596461e+00, 1.108809166561417925e+00, 1.543981582172555322e+00, 1.596637684141293256e+00, 1.239905654850105288e+00, 1.306661852400598400e+00
1.853000000000000000e+03, 1.614409598547051239e+00, 1.546354421432065029e+00, 2.679714583906172010e+00, 1.203166178779143891e+00, 1.407762338956395798e+00, 2.107811125409285946e+00, 1.072147329250318748e+00, 2.038596692340137739e+00, 1.218773255049852011e+00, 8.412630755264429716e-01, 1.649916839965078541e+00, 1.445252707261785341e+00, 1.386418301927415442e+00, 1.195745459749995687e+00
1.854000000000000000e+03, 1.528438163666514304e+00, 1.502333987510697133e+00, 2.796486378088559821e+00, 1.186305329877066272e+00, 1.233649451073463243e+00, 2.212775173049129851e+00, 1.227174519455320967e+00, 1.903068096410093002e+00, 1.195148382882002647e+00, 1.118909755739943890e+00, 1.644347966079817258e+00, 1.406713590253430013e+00, 1.374714418046276254e+00, 1.691259575879089594e+00
1.855000000000000000e+03, 1.561265412977135281e+00, 1.454564152395899423e+00, 2.880755312899993204e+00, 1.194316992123465093e+00, 1.386068078067785203e+00, 2.304872413108864038e+00, 1.365322314748870225e+00, 1.962765551136199438e+00, 1.255429299333752802e+00, 1.134465655586633259e+00, 1.433234649880159139e+00, 1.509598023937482214e+00, 1.562873764430169343e+00, 1.461942657370907117e+00
1.856000000000000000e+03, 1.518179669881773997e+00, 1.339950466261697448e+00, 2.855615686794898966e+00, 1.151791353209018931e+00, 1.347886431781753602e+00, 2.165305964423614782e+00, 1.187804725509788328e+00, 2.412130176253100444e+00, 1.152044922957660811e+00, 1.102407013005389125e+00, 1.526168968402605408e+00, 1.523456361223989086e+00, 1.417350814464347408e+00, 1.367820473666475634e+00
1.857000000000000000e+03, 1.534366188461709246e+00, 1.214324569550532029e+00, 2.604022420143396577e+00, 1.174290956642981332e+00, 1.587304493704071451e+00, 2.136992601262959202e+00, 1.087271816492100474e+00, 2.234142773303064988e+00, 1.303332062155204696e+00, 1.143405170112491431e+00, 1.872400134295510554e+00, 1.427820171083966638e+00, 1.303656076784929452e+00, 1.585173380814880462e+00
1.858000000000000000e+03, 1.569348118383333324e+00, 1.557039822243183158e+00, 2.689410450038103306e+00, 1.196803826986545083e+00, 1.513881082740787365e+00, 2.350743280924356693e+00, 1.114589329899136727e+00, 1.833543178569080112e+00, 1.396287262743091118e+00, 1.089990518618363158e+00, 1.789033319467564942e+00, 1.398626630421367922e+00, 1.294821250246779964e+00, 1.438471862383787991e+00
1.859000000000000000e+03, 1.584405045386299227e+00, 1.255406067335935294e+00, 2.873619152537898014e+00, 1.258844716399532215e+00, 1.627218912928548589e+00, 2.379995760386029779e+00, 1.166371438303782204e+00, 2.078254922354607626e+00, 9.452478269883796136e-01, 1.194560515313996207e+00, 1.428745099556791409e+00, 1.302245562592552197e+00, 1.470550765699596640e+00, 1.330460106728549086e+00
1.860000000000000000e+03, 1.535833162675604546e+00, 1.555859811537731341e+00, 2.774410782567422906e+00, 1.294031363752804920e+00, 1.355952665982547378e+00, 2.196952706450935988e+00, 1.288450101619006860e+00, 2.106849896210111872e+00, 1.334418957744674117e+00, 9.391869443482719904e-01, 1.630802435292908914e+00, 1.270202525499083190e+00, 1.719716921013206834e+00, 1.545996204696209242e+00
1.861000000000000000e+03, 1.533130144146239049e+00, 1.713957995821943303e+00, 2.783320456286348055e+00, 1.296063204633506327e+00, 1.567898351804397850e+00, 2.061830957835629086e+00, 1.135994905454342119e+00, 2.005725689618096386e+00, 1.305420340882095909e+00, 8.313868348402201347e-01, 1.985238932041516913e+00, 1.308582928837604742e+00, 1.467303400097675681e+00, 1.336555276376224510e+00
1.862000000000000000e+03, 1.513805541570280466e+00, 1.751807699876897217e+00, 2.616932939471907638e+00, 1.340195960794723806e+00, 1.597271540084859831e+00, 2.194516022089988194e+00, 1.006861812821233659e+00, 1.964642391509571429e+00, 1.349132383662554391e+00, 1.048494705719735354e+00, 1.564036610462323340e+00, 1.321357043483361249e+00, 1.461813760030795439e+00, 1.434625112920548284e+00
1.863000000000000000e+03, 1.493538387832850090e+00, 1.589941567647824350e+00, 2.635909350659102479e+00, 1.321085992557100797e+00, 1.417807040237810234e+00, 2.303192316103459092e+00, 1.113349628804477964e+00, 2.207827059474258835e+00, 1.136461060716029703e+00, 1.158853187318165334e+00, 1.464176316584758775e+00, 1.317702005168038815e+00, 1.168589328109015391e+00, 1.419827125846098603e+00
1.864000000000000000e+03, 1.542899384006036101e+00, 1.462599759816261891e+00, 2.677157169390076419e+00, 1.284273306016214145e+00, 1.179024578079825192e+00, 2.270091346719903758e+00, 1.031096179301665305e+00, 2.239923863583489716e+00, 1.380421899252037177e+00, 8.660236476205855904e-01, 1.791892554175577246e+00, 1.336757462211064951e+00, 1.258375717453235287e+00, 1.355680411360244086e+00
1.865000000000000000e+03, 1.552258310786943873e+00, 1.246935492332194251e+00, 2.630547143011412903e+00, 1.245951867921486933e+00, 1.185518829228935145e+00, 2.220593394357884609e+00, 1.158044215462489035e+00, 1.923177632542474758e+00, 1.553976889706797149e+00, 8.929810746373402219e-01, 1.811724696696545234e+00, 1.302366079959140999e+00, 1.518824531989508841e+00, 1.426765438530879226e+00
1.866000000000000000e+03, 1.525087449439184839e+00, 1.468615851171893638e+00, 2.609292718698378533e+00, 1.256083448586951423e+00, 1.090928390456506802e+00, 2.153650328953859105e+00, 1.175223296144916940e+00, 1.817021330544967617e+00, 1.252124769719166197e+00, 1.368401319374777048e+00, 1.624188872056699484e+00, 1.223180938993984945e+00, 1.461190718097296282e+00, 1.545980880817640291e+00
1.867000000000000000e+03, 1.591736033164940167e+00, 1.106281409207233279e+00, 2.516392982558553371e+00, 1.250770782156732430e+00, 1.308986356437347176e+00, 2.014624724183947446e+00, 1.158491821327502835e+00, 2.082210262088836306e+00, 1.122853081103980744e+00, 1.092093658468870743e+00, 1.501254539912041608e+00, 1.205577898277191418e+00, 1.424392491794036042e+00, 1.498885935655712487e+00
1.868000000000000000e+03, 1.519445796937895832e+00, 1.170691874956140355e+00, 2.746168648358210618e+00, 1.220531414655582569e+00, 1.648397582254472749e+00, 2.269255179186418392e+00, 1.151673629384489139e+00, 2.281423399664207707e+00, 1.095677301238637158e+00, 1.124307882552189053e+00, 1.748806661634852322e+00, 1.272651100326985141e+00, 1.323219352211108424e+00, 1.497047310311368618e+00
1.869000000000000000e+03, 1.517148747795488362e+00, 1.277407021131014675e+00, 2.713824279136636264e+00, 1.238354961327113868e+00, 1.650310026550411591e+00, 2.378540104282960144e+00, 1.186371958377809843e+00, 1.975237230758408957e+00, 1.060905356282858758e+00, 1.248158191862321242e+00, 1.725953535663695915e+00, 1.399035941116438142e+00, 1.404380802174744813e+00, 1.620870040085910846e+00
1.870000000000000000e+03, 1.544873975873823246e+00, 1.267605656432298389e+00, 2.660225248968487666e+00, 1.219584152926881382e+00, 1.811198585718904353e+00, 2.222351755260203898e+00, 1.332069021396537156e+00, 1.955105672136400852e+00, 1.077317567276765198e+00, 1.208757235143321118e+00, 1.650673364451621161e+00, 1.428861387109094494e+00, 1.415672773303415122e+00, 1.564460093157365783e+00
1.871000000000000000e+03, 1.562595222066988754e+00, 1.332718059884139050e+00, 2.778864492460695779e+00, 1.215022837597539818e+00, 1.690126826844605468e+00, 1.970123413885733754e+00, 1.274582053507932411e+00, 2.142328981896096884e+00, 1.191038511419244994e+00, 1.101136469490423098e+00, 1.782243637260688240e+00, 1.351656483265711639e+00, 1.423128266945020926e+00, 1.458622302385424341e+00
1.872000000000000000e+03, 1.622292693256963236e+00, 1.372391249064241814e+00, 2.874727231536273298e+00, 1.237947350829400550e+00, 1.675152422606873914e+00, 2.136910110076751579e+00, 1.162062160855944715e+00, 2.176354742572481626e+00, 1.225138309750206211e+00, 1.202636900633931694e+00, 1.611439898178594232e+00, 1.241145748500992685e+00, 1.351895881900437413e+00, 1.426820712175923767e+00
1.873000000000000000e+03, 1.604220014694355045e+00, 1.435754815943905971e+00, 2.740067501241763015e+00, 1.259604690901725110e+00, 1.540717944365958436e+00, 2.143277955538068102e+00, 1.220061986175834390e+00, 2.154123685999245641e+00, 9.999444283231707642e-01, 8.426237347385515664e-01, 1.610789776999470790e+00, 1.276748909565803114e+00, 1.407619103502478097e+00, 1.476367624234135922e+00
1.874000000000000000e+03, 1.576643099104096279e+00, 1.325458068706681924e+00, 2.896594585132930000e+00, 1.203524785622835269e+00, 1.485663651163606769e+00, 2.075790412750176728e+00, 1.267761310039619893e+00, 2.182261476960710489e+00, 1.330476404724134643e+00, 1.033910451294329347e+00, 1.610615524669625209e+00, 1.388302966532635629e+00, 1.582818032759092608e+00, 1.596099286321445376e+00
1.875000000000000000e+03, 1.505186945527942965e+00, 1.534173231155767869e+00, 2.832506147173631028e+00, 1.184392225720192204e+00, 1.301052936295623130e+00, 2.168478339450783832e+00, 1.185185806713938250e+00, 2.116980496002959899e+00, 1.297511912728323891e+00, 1.233302956428915076e+00, 1.487418328669500189e+00, 1.365286555139447522e+00, 1.245880428110857974e+00, 1.373539953847073392e+00
1.876000000000000000e+03, 1.576167869352396167e+00, 1.490056202985110989e+00, 2.764718681678686174e+00, 1.164969509988983853e+00, 1.379740738843006964e+00, 2.256999374307985029e+00, 1.280051500137763032e+00, 1.922387345325328400e+00, 1.226089752568657820e+00, 1.030762950314524584e+00, 1.767692180672429725e+00, 1.346716871632290147e+00, 1.374270654400858938e+00, 1.653776553479295419e+00
1.877000000000000000e+03, 1.595055822082094510e+00, 1.414504019793630718e+00, 3.006627771323987730e+00, 1.140684898888448151e+00, 1.204566868228419851e+00, 2.157368273505120726e+00, 1.130482491852599525e+00, 2.065020204615398036e+00, 1.223964362148430407e+00, 1.010413950714756259e+00, 1.491178144448458864e+00, 1.339748511195227421e+00, 1.244864335962492685e+00, 1.379437683877725807e+00
1.878000000000000000e+03, 1.581163003175896975e+00, 1.260852966535606523e+00, 2.515431188891656955e+00, 1.151516739484704788e+00, 1.481830792944715869e+00, 2.262639004012604094e+00, 1.091675009288924469e+00, 2.009795858779494182e+00, 1.144029983245719917e+00, 8.513476209199091205e-01, 1.515967697658183733e+00, 1.339540236415573293e+00, 1.398877249576657489e+00, 1.508671141723498144e+00
1.879000000000000000e+03, 1.585258563502830897e+00, 1.253012273237004370e+00, 2.847843364056568571e+00, 1.197864091120909968e+00, 1.310733848289429959e+00, 2.333589041517898810e+00, 1.180052844901051667e+00, 2.274119826008881518e+00, 1.234649774792929922e+00, 1.052626658550958272e+00, 1.616374496597130728e+00, 1.313976317167580232e+00, 1.278435380854376691e+00, 1.474735552238358505e+00
1.880000000000000000e+03, 1.594873322779043701e+00, 1.648489086408242876e+00, 2.643685764067303712e+00, 1.233612449001322942e+00, 1.450923524537451659e+00, 2.331492223192770830e+00, 1.346494239248468450e+00, 2.157401519847736093e+00, 1.341065285568725285e+00, 8.058579136691381706e-01, 1.497527958267046433e+00, 1.242004777499088108e+00, 1.232877223831956526e+00, 1.565886890444252000e+00
1.881000000000000000e+03, 1.558125553969897270e+00, 1.705839695750189122e+00, 2.769544697251941745e+00, 1.243261733111964418e+00, 1.293885552540248840e+00, 2.148387210385757751e+00, 1.191847060865036667e+00, 2.201270261090455094e+00, 1.158246240395084614e+00, 1.037588759143607708e+00, 1.466253701187697267e+00, 1.165376796478524435e+00, 1.332330610198557919e+00, 1.428571867649480742e+00
1.882000000000000000e+03, 1.578738183762813163e+00, 1.411273884842641824e+00, 2.629324110286669569e+00, 1.262450476399091581e+00, 1.315681468163371726e+00, 2.115934995566349563e+00, 1.111648385533823724e+00, 2.194596109132008532e+00, 1.038621845090178963e+00, 1.283023378333372655e+00, 1.933650382373059085e+00, 1.212207005908751301e+00, 1.431522442719798116e+00, 1.497828433672411474e+00
1.883000000000000000e+03, 1.552955301374737473e+00, 1.069028965280716781e+00, 2.579390097137908011e+00, 1.250035747579611778e+00, 1.658497587198549228e+00, 2.303022625757039421e+00, 1.222260324851069502e+00, 2.124171037636349624e+00, 1.388003528835938916e+00, 1.198396839394626046e+00, 1.525135979282666865e+00, 1.311690682461966961e+00, 1.403575662159005644e+00, 1.546905976793218507e+00
1.884000000000000000e+03, 1.516832081012501110e+00, 1.310396051126438088e+00, 2.492805812723305259e+00, 1.271084300750324303e+00, 1.619271671524403322e+00, 2.353791103018162634e+00, 1.175909077960614058e+00, 1.919369304721614489e+00, 1.300210973074426013e+00, 1.083609429755706177e+00, 1.478954223694646464e+00, 1.289264723767888032e+00, 1.285783815053698209e+00, 1.298995172137807907e+00
