year, ACCESS-ESM1-5, MPI-ESM1-2-LR, CanESM5, CNRM-ESM2-1, INM-CM5-0, NorESM2-LM, IPSL-CM6A-LR, TaiESM1, UKESM1-0-LL, EC-Earth3-Veg, GFDL-ESM4, CMCC-CM2-SR5, NorESM2-MM, INM-CM4-8, MIROC-ES2L, CESM2-WACCM
1.850000000000000000e+03, 2.945550681616803104e+02, 2.943458953170029417e+02, 2.946641539256144142e+02, 2.941881471241449617e+02, 2.931528406464911427e+02, 2.952802718486958611e+02, 2.926818786768101859e+02, 2.943557947674401589e+02, 2.930688746931368769e+02, 2.948375718482901675e+02, 2.943549850518041353e+02, 2.951711441791101151e+02, 2.945237987976057070e+02, 2.938292595120003057e+02, 2.959835692697863578e+02, 2.942838047770209187e+02
1.851000000000000000e+03, 2.946482550263615394e+02, 2.944046758479769323e+02, 2.946558278749971578e+02, 2.951730130851706235e+02, 2.932771181164875429e+02, 2.953240748699443543e+02, 2.927763016670813272e+02, 2.952428653024919640e+02, 2.932156870889421612e+02, 2.948431761879561464e+02, 2.933530833297548952e+02, 2.954679590497060531e+02, 2.950847969205930781e+02, 2.935797401999783460e+02, 2.965059229712388174e+02, 2.945133104821871370e+02
1.852000000000000000e+03, 2.946399511083677680e+02, 2.948078349101986646e+02, 2.939506507848428214e+02, 2.948417160348346329e+02, 2.933113170234945528e+02, 2.949934522648059669e+02, 2.930002523156349525e+02, 2.949502292944333703e+02, 2.938486391725464273e+02, 2.950860727279905404e+02, 2.938471928429011655e+02, 2.945682851170071785e+02, 2.948319309727912696e+02, 2.934164930731012646e+02, 2.960231171574813516e+02, 2.941235761083691500e+02
1.853000000000000000e+03, 2.949360953799619551e+02, 2.956646117375357221e+02, 2.949347169308056209e+02, 2.948563945136621101e+02, 2.934488982898254790e+02, 2.951008043440745041e+02, 2.931340664765272663e+02, 2.954397799152649213e+02, 2.932062554330649391e+02, 2.951518697789823591e+02, 2.947973669654313085e+02, 2.944722356972368402e+02, 2.944485415839556595e+02, 2.934431597639132860e+02, 2.962527734432641182e+02, 2.941029051400823846e+02
1.854000000000000000e+03, 2.953005482811656179e+02, 2.949676048941065005e+02, 2.942240067202357068e+02, 2.950300405781291033e+02, 2.933257285619374102e+02, 2.954495049412121261e+02, 2.927908682609711946e+02, 2.956812762445159137e+02, 2.937177978599683570e+02, 2.935167818275284048e+02, 2.943838756119358209e+02, 2.947514098502354045e+02, 2.948445095054334502e+02, 2.932631870002396113e+02, 2.957236806052166571e+02, 2.942383469561765423e+02
1.855000000000000000e+03, 2.946516389782426018e+02, 2.942499789110413531e+02, 2.938671639860256164e+02, 2.946890866597237277e+02, 2.936651226950356204e+02, 2.955437976275964616e+02, 2.929361885877108307e+02, 2.947403193518377407e+02, 2.927352575815377236e+02, 2.946346567059819677e+02, 2.936429833055685776e+02, 2.944122977787637865e+02, 2.952926267919863221e+02, 2.936255468730786333e+02, 2.962923173910791093e+02, 2.940955359180732671e+02
1.856000000000000000e+03, 2.952610129340259277e+02, 2.946092773649750143e+02, 2.936474431906425480e+02, 2.946556120553408959e+02, 2.931122933322498056e+02, 2.949510984969232936e+02, 2.935042787001709144e+02, 2.942548305484961020e+02, 2.934891742857858503e+02, 2.953835809677765383e+02, 2.945927466196376372e+02, 2.949841008437027199e+02, 2.943096518054310877e+02, 2.937566512938496430e+02, 2.959748748525965425e+02, 2.942246546778998209e+02
1.857000000000000000e+03, 2.943379874060321981e+02, 2.949139897648458941e+02, 2.943906211695766615e+02, 2.947999531149487780e+02, 2.929980945251255093e+02, 2.954325895174735024e+02, 2.932586494682914235e+02, 2.949192295386591809e+02, 2.940233216655536808e+02, 2.948006257692201757e+02, 2.942933473783363638e+02, 2.948937430371038886e+02, 2.945917701554143378e+02, 2.931151528073431223e+02, 2.959648342455800503e+02, 2.945504944010746726e+02
1.858000000000000000e+03, 2.940753245758650678e+02, 2.948645311780286988e+02, 2.941273862727048822e+02, 2.940020607814653886e+02, 2.930428229845601322e+02, 2.953450226120334605e+02, 2.928135782493804982e+02, 2.955806640828745913e+02, 2.932908165110702612e+02, 2.946773292043194488e+02, 2.939949789223092012e+02, 2.946937613753692631e+02, 2.947568917035885647e+02, 2.931101629419139840e+02, 2.959609850207272643e+02, 2.942291861765205567e+02
1.859000000000000000e+03, 2.944950054881236952e+02, 2.944456023992080418e+02, 2.941892316297738148e+02, 2.954715390196877252e+02, 2.932600983962296368e+02, 2.947788652799929991e+02, 2.933662443425035349e+02, 2.945367625056125007e+02, 2.934271800081932042e+02, 2.945793476045973875e+02, 2.944158311357186903e+02, 2.942709569297849157e+02, 2.943759913161603095e+02, 2.937572444287300755e+02, 2.959696887065313717e+02, 2.942811125990124879e+02
1.860000000000000000e+03, 2.949673029498026722e+02, 2.951509909317929896e+02, 2.941022893509611436e+02, 2.944948494259255654e+02, 2.929960898156970188e+02, 2.953646303757635678e+02, 2.930718957901269732e+02, 2.944216128936988071e+02, 2.931507468667192029e+02, 2.945144919612480408e+02, 2.945896697163838667e+02, 2.947653813204747735e+02, 2.943008256512914613e+02, 2.932844588595835944e+02, 2.963335028553956363e+02, 2.944536919690534660e+02
1.861000000000000000e+03, 2.946233747114252992e+02, 2.951297614412747521e+02, 2.937773580489949836e+02, 2.942299480458511880e+02, 2.930260751656804814e+02, 2.950496110922638309e+02, 2.930566059512252650e+02, 2.959275854900415084e+02, 2.936970941850386225e+02, 2.945158647760362101e+02, 2.936691929454929664e+02, 2.949577712532845339e+02, 2.946076815161424634e+02, 2.934380829159478594e+02, 2.965846658871867021e+02, 2.943272432598636783e+02
1.862000000000000000e+03, 2.951372663065476445e+02, 2.943930446674676205e+02, 2.944238910879060427e+02, 2.942100535311853946e+02, 2.926236977809916198e+02, 2.948708347386039463e+02, 2.924219923893186319e+02, 2.947473736565058289e+02, 2.937782373982623199e+02, 2.940902761433927708e+02, 2.940249035227598711e+02, 2.951652941312318603e+02, 2.941482393518402318e+02, 2.934758020878948628e+02, 2.958767184641848189e+02, 2.939760326938069284e+02
1.863000000000000000e+03, 2.953432422194433684e+02, 2.940813084608460031e+02, 2.941396120328241750e+02, 2.951684907645851013e+02, 2.927034628898163078e+02, 2.949258374284857496e+02, 2.927233296074930990e+02, 2.946571877901772609e+02, 2.930692340109218890e+02, 2.950970497884891302e+02, 2.940711595360260731e+02, 2.947387277492030648e+02, 2.940479472152292146e+02, 2.932045273938707624e+02, 2.959878645262994041e+02, 2.937860212616284343e+02
1.864000000000000000e+03, 2.957781857162668757e+02, 2.949553174342359512e+02, 2.951239900983295570e+02, 2.942070262954244981e+02, 2.930369602878359387e+02, 2.954891743878395118e+02, 2.931699105296598304e+02, 2.948238503980998644e+02, 2.938819712825210217e+02, 2.945149323139800117e+02, 2.939446801734843575e+02, 2.941967588320465552e+02, 2.943294563599897629e+02, 2.930449233067911905e+02, 2.961567160993235461e+02, 2.945240144032389367e+02
1.865000000000000000e+03, 2.945309158440527426e+02, 2.953198490680981081e+02, 2.942450428894803167e+02, 2.942218175877475232e+02, 2.930451504193379719e+02, 2.953443688833856413e+02, 2.933294127637425390e+02, 2.950599919088998035e+02, 2.933211637501198084e+02, 2.942353321514380582e+02, 2.946755119180288602e+02, 2.938152616256672331e+02, 2.947292683589872695e+02, 2.936294762847714424e+02, 2.960124623265910486e+02, 2.943497247770474701e+02
1.866000000000000000e+03, 2.949105072210206231e+02, 2.940015710078330358e+02, 2.939044402846793105e+02, 2.951681547833371724e+02, 2.932986332617692824e+02, 2.948658497407379286e+02, 2.932443486984719243e+02, 2.950967118217845382e+02, 2.928869242481395077e+02, 2.948097368802123128e+02, 2.945617742059566808e+02, 2.938611374338202609e+02, 2.946992821468421653e+02, 2.931651266209220807e+02, 2.955432450574638210e+02, 2.945293706141974326e+02
1.867000000000000000e+03, 2.949819047988099214e+02, 2.949015260452996472e+02, 2.944329148434827630e+02, 2.948723638315143489e+02, 2.929528292729652321e+02, 2.952185920925353457e+02, 2.931218244167781108e+02, 2.945901458540725457e+02, 2.933641503066319274e+02, 2.947936196882766353e+02, 2.941673011040471124e+02, 2.940532822199408542e+02, 2.946305327015119246e+02, 2.933840751963070943e+02, 2.956709299561890703e+02, 2.951302954923593802e+02
1.868000000000000000e+03, 2.955117427791567479e+02, 2.946948986674100865e+02, 2.946390886031510377e+02, 2.948707609057653940e+02, 2.931339351115590830e+02, 2.950426030717538310e+02, 2.930646910784872148e+02, 2.946436707587693036e+02, 2.935982300990502267e+02, 2.945966626062605087e+02, 2.941654542754347403e+02, 2.944766062263725530e+02, 2.949380123217445089e+02, 2.937663563416866737e+02, 2.962925832173597769e+02, 2.950443614896298641e+02
1.869000000000000000e+03, 2.953035142347856095e+02, 2.943227569961775885e+02, 2.936526009713372787e+02, 2.949723968008534030e+02, 2.932133218567656741e+02, 2.957930176668509716e+02, 2.928633411135019742e+02, 2.946808893630051784e+02, 2.940835047498999302e+02, 2.943454226159626046e+02, 2.938851782936908421e+02, 2.950835838102688626e+02, 2.943353010067752962e+02, 2.933093513449425700e+02, 2.960772479946969611e+02, 2.943462461380218542e+02
1.870000000000000000e+03, 2.949428159728530545e+02, 2.942779294541170430e+02, 2.941797464222651683e+02, 2.946371437328432989e+02, 2.933086418465645693e+02, 2.954078980001447690e+02, 2.933360053755337162e+02, 2.946737834615147449e+02, 2.933656962941412871e+02, 2.945034239231221136e+02, 2.940320580062071372e+02, 2.955207006069708200e+02, 2.946120373793484646e+02, 2.937125340651374472e+02, 2.957144545463344230e+02, 2.945774703288055321e+02
1.871000000000000000e+03, 2.951217892795912690e+02, 2.946122296099607638e+02, 2.943354791518835327e+02, 2.954686997003826718e+02, 2.930930072558322763e+02, 2.946714066715484819e+02, 2.931916486717136081e+02, 2.950033901367131648e+02, 2.934058754756575240e+02, 2.943489798172932979e+02, 2.944829970647708706e+02, 2.949672875377904688e+02, 2.944806014397763079e+02, 2.933679699643080880e+02, 2.960103058579156254e+02, 2.948792158824102216e+02
1.872000000000000000e+03, 2.946513859962540778e+02, 2.943165053538975258e+02, 2.936023515693365766e+02, 2.942416319811744074e+02, 2.931884952708422816e+02, 2.953103406024666810e+02, 2.927543280213493517e+02, 2.955917787579468268e+02, 2.933824105174014107e+02, 2.946434864647285963e+02, 2.941869624774986391e+02, 2.948322880520968852e+02, 2.942199863934447421e+02, 2.932785415991552895e+02, 2.967307346150926151e+02, 2.944816252931119607e+02
1.873000000000000000e+03, 2.953459338075090272e+02, 2.948461093145535301e+02, 2.946555394971254600e+02, 2.958461448451175215e+02, 2.931266375899704713e+02, 2.953196060576356672e+02, 2.933355864747743453e+02, 2.956015275233098123e+02, 2.937068464374600012e+02, 2.947396447244698265e+02, 2.940377525045266793e+02, 2.944225750634940937e+02, 2.947472538184650830e+02, 2.937377175515514978e+02, 2.958188880663224154e+02, 2.942733602491363172e+02
1.874000000000000000e+03, 2.951017844612017598e+02, 2.944399938903507632e+02, 2.936360097777459259e+02, 2.947355761864877195e+02, 2.929462718876870326e+02, 2.951207044603385157e+02, 2.926259394680889159e+02, 2.950274754143728160e+02, 2.935003366022051523e+02, 2.945418322695962843e+02, 2.940642090422949195e+02, 2.947636799043785345e+02, 2.948605155922093104e+02, 2.932087538229935717e+02, 2.958140480540192812e+02, 2.949076354421359838e+02
1.875000000000000000e+03, 2.953314047527539401e+02, 2.940594910752466831e+02, 2.936719018242833954e+02, 2.942273337268836144e+02, 2.929767865188164251e+02, 2.949286648912426472e+02, 2.930806601138178280e+02, 2.950909606464263675e+02, 2.937854722539045156e+02, 2.947740649769799575e+02, 2.942341286445505943e+02, 2.948809346053073455e+02, 2.948351708045406667e+02, 2.935985795532887437e+02, 2.959089376773825393e+02, 2.942149371925390255e+02
