year, CMCC-CM2-SR5, ACCESS-ESM1-5, TaiESM1, CNRM-ESM2-1, NorESM2-MM, GFDL-ESM4, CanESM5, CESM2-WACCM, MPI-ESM1-2-LR, MIROC-ES2L, NorESM2-LM, EC-Earth3-Veg, IPSL-CM6A-LR
2.015000000000000000e+03, 1.953541191364135843e+00, 1.057260357020495700e+00, 5.225835620795279413e-01, 9.571200327267440855e+00, 1.286641846475481410e+00, 2.180417407872107471e+00, 5.097751363362715615e+00, 1.080154841319838743e+00, 9.368695173575629198e+00, 7.610642467080126927e+00, 9.413139250911206624e-01, 1.752398543290566879e+00, 5.318870479803698537e+00
2.016000000000000000e+03, 2.285715828056855248e+00, 1.125392427638041370e+00, 3.962953509129279461e-01, 9.497629047929637025e+00, 1.140085207586589489e+00, 2.390463803128791032e+00, 5.158898568906577609e+00, 1.299465796029563025e+00, 9.400393154461665901e+00, 7.519791315091771011e+00, 9.774404684585684677e-01, 1.690547673778701521e+00, 5.441377790672138559e+00
2.017000000000000000e+03, 1.751238745781858119e+00, 1.195055637622421285e+00, 5.611379511197972514e-01, 9.656434023509604003e+00, 1.046096945723403726e+00, 2.462379942383381870e+00, 5.217569051561918414e+00, 1.200392200241724883e+00, 9.478813561892362571e+00, 7.499141596388050779e+00, 1.149592285337141195e+00, 1.745253934272431140e+00, 5.547611940150995125e+00
2.018000000000000000e+03, 1.840659213941186145e+00, 1.207941866349456106e+00, 6.865490290926915540e-01, 9.666682912151085105e+00, 1.075981192935070441e+00, 2.245429489636309839e+00, 5.339027364490924299e+00, 1.194367534201476566e+00, 9.455837094742234328e+00, 7.485586444489515046e+00, 1.219000233177244930e+00, 1.875862833901502214e+00, 5.402043237140849108e+00
2.019000000000000000e+03, 1.447681438153644917e+00, 1.197915907948649661e+00, 5.859026145322967505e-01, 9.672699183014161761e+00, 1.166432530102832210e+00, 2.307932249301464900e+00, 5.217674308354177448e+00, 1.106905095383359683e+00, 9.474747180137949698e+00, 7.562944252704554948e+00, 1.059283462703543233e+00, 1.864934242491286254e+00, 5.377360852175602446e+00
2.020000000000000000e+03, 2.044849957288559672e+00, 1.148206791266383142e+00, 3.360780704336849278e-01, 9.623768596173006173e+00, 1.102529773844703076e+00, 2.356305511513788975e+00, 4.946062796242030934e+00, 1.003615456392659588e+00, 9.459223775600957396e+00, 7.557602450203709132e+00, 9.602304211377521437e-01, 1.626033742347189559e+00, 5.356215836616160964e+00
2.021000000000000000e+03, 2.424115140475308738e+00, 1.096224460796968891e+00, 3.631850875523791600e-01, 9.607795100124405963e+00, 1.163804728287721746e+00, 2.217451190266231720e+00, 5.060469461506076350e+00, 1.220253265046943536e+00, 9.438849042788303834e+00, 7.453731471089227512e+00, 1.003561173506023252e+00, 1.394453918992826669e+00, 5.317875312301964641e+00
2.022000000000000000e+03, 1.889269420653387987e+00, 1.072325373207539512e+00, 6.602586039819450248e-01, 9.601516715060164131e+00, 1.139200881687879807e+00, 2.027780369132439198e+00, 5.110222620376509539e+00, 1.069571088979003326e+00, 9.434022962535433265e+00, 7.403161379010936294e+00, 1.094680111045225113e+00, 1.388311160996584359e+00, 5.234142329071770128e+00
2.023000000000000000e+03, 1.396025115711658771e+00, 1.071535945371081544e+00, 4.600777465866268123e-01, 9.497451420510882869e+00, 1.091810979919430658e+00, 2.097922048422994123e+00, 5.561081469836513413e+00, 9.761247687121284988e-01, 9.438067759908811638e+00, 7.509849739780143807e+00, 1.071825828485198695e+00, 1.402687519274273820e+00, 5.312216703004240870e+00
2.024000000000000000e+03, 1.257356858315001880e+00, 1.105073770960705470e+00, 6.352782792882267771e-01, 9.605747533730543353e+00, 1.082820699134677378e+00, 2.370855883361573824e+00, 5.691805617590906863e+00, 1.174910674241409048e+00, 9.445699142585315400e+00, 7.511791009043993661e+00, 1.053098104898911869e+00, 1.607815534260401025e+00, 5.292893231529659737e+00
2.025000000000000000e+03, 1.976527284091399883e+00, 1.087526623325354880e+00, 3.942244133837092268e-01, 9.573897765946577820e+00, 1.309301273688621592e+00, 2.399045421816319301e+00, 5.495960414615435496e+00, 1.183405848517957049e+00, 9.565708137097773900e+00, 7.544358229065609933e+00, 9.915859933612102273e-01, 1.792226041703028239e+00, 5.149399458774455596e+00
2.026000000000000000e+03, 2.295130657683410735e+00, 1.082408488358885368e+00, 7.376935613853073948e-01, 9.454824374532341480e+00, 1.417319833701449650e+00, 2.360179902043764155e+00, 5.511285043876870127e+00, 9.783858894961862118e-01, 9.711987672985323172e+00, 7.586833702593974493e+00, 1.061894571902371354e+00, 1.870432804637729429e+00, 5.192346677748566286e+00
2.027000000000000000e+03, 2.647529684289574803e+00, 1.118866085057805382e+00, 8.474585998869808012e-01, 9.449420649017673313e+00, 1.240405894806548392e+00, 2.197729685540537492e+00, 5.200975376679388695e+00, 1.052197696257464621e+00, 9.661377907070249904e+00, 7.509918555270425955e+00, 1.077897334198647306e+00, 1.761854634001240205e+00, 5.309493664742441332e+00
2.028000000000000000e+03, 2.164309156433370962e+00, 1.157636014254672663e+00, 2.733136290937311363e-01, 9.393743302532094219e+00, 1.101167027581139823e+00, 2.269186776540002448e+00, 5.238863018274799721e+00, 1.170980405771671062e+00, 9.734984930686222171e+00, 7.551253475961270389e+00, 1.104389077671264818e+00, 1.548659573894511254e+00, 5.439080699792429030e+00
2.029000000000000000e+03, 1.963574937531568310e+00, 1.145003947063932825e+00, 4.709946908934714016e-01, 9.512251711074974025e+00, 1.084200477247852845e+00, 2.350311726622734909e+00, 5.320876624520060716e+00, 1.097359229856819107e+00, 9.791215878674488948e+00, 7.552017126218513177e+00, 1.161920871209635386e+00, 1.635651636382901231e+00, 5.517544245530851654e+00
2.030000000000000000e+03, 1.691292414557379775e+00, 1.105162699904123080e+00, 8.329935588236181410e-01, 9.421024697162042827e+00, 1.079905588717565923e+00, 2.230146165788903456e+00, 5.260728890422003978e+00, 1.194051606901690432e+00, 9.845624537983136193e+00, 7.484216568718558449e+00, 1.106679930680297019e+00, 1.871101333181283577e+00, 5.660305008327691567e+00
