year, CESM2-WACCM, NorESM2-MM, TaiESM1, TaiESM1, GFDL-ESM4, CNRM-ESM2-1, GFDL-ESM4, CNRM-ESM2-1, MPI-ESM1-2-LR, NorESM2-MM, EC-Earth3-Veg, NorESM2-LM
2.015000000000000000e+03, 6.727488115424386748e-10, 8.378106834450718569e-10, 2.449443782859570261e-10, 2.449443782859570261e-10, 3.731127035194693546e-10, 1.119684016802557252e-09, 3.786458131319130892e-10, 1.119684016802557252e-09, 1.898935445118955330e-10, 8.378106834450718569e-10, 2.205856920661784610e-10, 3.471131511444945142e-10
2.016000000000000000e+03, 7.144945932618829922e-10, 5.231446421178004391e-10, 1.695019711246912120e-10, 1.695019711246912120e-10, 9.029292063032738009e-10, 8.032364147048069128e-10, 9.078995292253929326e-10, 8.032364147048069128e-10, 1.876798910909688390e-10, 5.231446421178004391e-10, 2.515916848997025581e-10, 3.277307393565742028e-10
2.017000000000000000e+03, 4.940621471163016746e-10, 5.668622612049987504e-10, 1.666720371286470170e-10, 1.666720371286470170e-10, 5.009470168077515834e-10, 7.953376339715098652e-10, 5.049157152369564213e-10, 7.953376339715098652e-10, 1.763260871068357236e-10, 5.668622612049987504e-10, 3.176203477023348219e-10, 5.247464626586186879e-10
2.018000000000000000e+03, 5.842877381612885668e-10, 5.471146484580947230e-10, 3.440281327834664251e-10, 3.440281327834664251e-10, 2.077749419131273142e-10, 1.100323890441607886e-09, 2.117586018381656884e-10, 1.100323890441607886e-09, 1.745384732072071308e-10, 5.471146484580947230e-10, 8.791844157262875102e-10, 4.050325051554583480e-10
2.019000000000000000e+03, 4.153831743455095692e-10, 5.969110703698677821e-10, 3.810753493592010752e-10, 3.810753493592010752e-10, 6.362813676300788462e-10, 1.024649877631330737e-09, 6.399299049829310996e-10, 1.024649877631330737e-09, 1.769032716367340500e-10, 5.969110703698677821e-10, 1.260828084387420569e-09, 3.155922470283026089e-10
2.020000000000000000e+03, 4.012602964401412872e-10, 4.778050155719758001e-10, 2.397248722210063698e-10, 2.397248722210063698e-10, 4.218479415926256558e-10, 9.338564043439739448e-10, 4.252082863281985165e-10, 9.338564043439739448e-10, 1.860476024867671414e-10, 4.778050155719758001e-10, 7.513466256087765535e-10, 2.683025277462419316e-10
2.021000000000000000e+03, 6.422400878921105703e-10, 5.800055997154068449e-10, 1.677584582005292593e-10, 1.677584582005292593e-10, 3.041148788610339957e-10, 7.481517801618279763e-10, 3.061003647099564390e-10, 7.481517801618279763e-10, 1.750624932614067793e-10, 5.800055997154068449e-10, 6.201445044113373304e-10, 4.101011948011461000e-10
2.022000000000000000e+03, 2.413397324928957733e-10, 2.884679654295900682e-10, 3.161307048665121369e-10, 3.161307048665121369e-10, 2.749545296836132212e-10, 9.708237205183882899e-10, 2.771079427939185438e-10, 9.708237205183882899e-10, 1.614278436849726335e-10, 2.884679654295900682e-10, 3.727387424550903270e-10, 4.112359179327633499e-10
2.023000000000000000e+03, 4.973242434113587748e-10, 4.386993673678052883e-10, 1.587025499842652837e-10, 1.587025499842652837e-10, 2.597909274260562936e-10, 1.171647200487527761e-09, 2.621723516920359518e-10, 1.171647200487527761e-09, 1.541856574720392049e-10, 4.386993673678052883e-10, 6.821433513848940262e-10, 4.362361981569272515e-10
2.024000000000000000e+03, 5.991397287300689977e-10, 3.245703412714641398e-10, 2.767226594710859945e-10, 2.767226594710859945e-10, 6.003618960750289951e-10, 8.002506879856563640e-10, 6.027435889860904942e-10, 8.002506879856563640e-10, 1.243691172054806664e-10, 3.245703412714641398e-10, 2.508875385964592727e-10, 2.107428132783174824e-10
2.025000000000000000e+03, 3.925822371255103069e-10, 8.016029565404965401e-10, 1.390499308834721909e-10, 1.390499308834721909e-10, 5.730202087745135767e-10, 5.540161979948829114e-10, 5.751912084152210726e-10, 5.540161979948829114e-10, 2.234077837130987063e-10, 8.016029565404965401e-10, 6.911877635488247731e-10, 2.455428768081551406e-10
2.026000000000000000e+03, 2.399761615731744702e-10, 6.038862082398552390e-10, 4.346223427469170697e-10, 4.346223427469170697e-10, 4.540148190442864108e-10, 8.739380501852667252e-10, 4.557947885189682389e-10, 8.739380501852667252e-10, 1.970888404655444257e-10, 6.038862082398552390e-10, 1.323659200494115213e-09, 2.224807103052285861e-10
2.027000000000000000e+03, 3.648648841008183459e-10, 6.319150812385640306e-10, 7.735725270783955406e-10, 7.735725270783955406e-10, 5.043859536805394158e-10, 1.075112054341361962e-09, 5.069149667146361710e-10, 1.075112054341361962e-09, 1.622616513988421093e-10, 6.319150812385640306e-10, 3.028372418060386143e-10, 2.870266234754572756e-10
2.028000000000000000e+03, 4.380901694293492054e-10, 4.172394403557397095e-10, 1.288322015338690171e-10, 1.288322015338690171e-10, 6.589673820039253350e-10, 7.641714748987477304e-10, 6.614140725747441328e-10, 7.641714748987477304e-10, 2.058237949023906648e-10, 4.172394403557397095e-10, 3.652968227981601266e-10, 3.013609564911871272e-10
2.029000000000000000e+03, 5.324399691651784560e-10, 2.256496611794617410e-10, 2.115433109506397860e-10, 2.115433109506397860e-10, 4.992883929039891836e-10, 6.586377641005080682e-10, 5.015647634038652610e-10, 6.586377641005080682e-10, 2.067851184841837901e-10, 2.256496611794617410e-10, 2.556903388705170177e-10, 4.564819573772084429e-10
2.030000000000000000e+03, 4.283690714705832862e-10, 4.915837481801672163e-10, 3.959787038273438708e-10, 3.959787038273438708e-10, 3.889113065579675692e-10, 1.413371696170708362e-09, 3.911476879126613056e-10, 1.413371696170708362e-09, 2.112271401622499591e-10, 4.915837481801672163e-10, 1.197142611982454876e-09, 2.430008700541943267e-10
2.031000000000000000e+03, 1.331585060729193952e-10, 4.598647519562851644e-10, 2.989360129433372455e-10, 2.989360129433372455e-10, 3.422136154685663579e-10, 9.564785770207258776e-10, 3.471245876116633350e-10, 9.564785770207258776e-10, 1.701116270169470535e-10, 4.598647519562851644e-10, 4.790919941797846018e-10, 3.837431790463871684e-10
2.032000000000000000e+03, 4.462633074049183465e-10, 4.384939893868362333e-10, 2.334611627200809628e-10, 2.334611627200809628e-10, 2.996023857835672094e-10, 8.436931097657548666e-10, 3.069602731165722776e-10, 8.436931097657548666e-10, 1.700604023368629114e-10, 4.384939893868362333e-10, 7.471386672724470347e-10, 4.127944018789683012e-10
2.033000000000000000e+03, 9.727871076142813051e-10, 3.061702885235034804e-10, 3.942529774310296663e-10, 3.942529774310296663e-10, 4.004264775927599364e-10, 7.893824441707618289e-10, 4.099859887663437355e-10, 7.893824441707618289e-10, 1.651968853479756393e-10, 3.061702885235034804e-10, 6.462739952959295451e-10, 1.724029999983190854e-10
2.034000000000000000e+03, 5.361228067104963797e-10, 7.085891781360496100e-10, 4.354657432621175883e-10, 4.354657432621175883e-10, 3.505260055117450226e-10, 1.031254563060939646e-09, 3.590114895144423473e-10, 1.031254563060939646e-09, 2.256083290426001845e-10, 7.085891781360496100e-10, 4.691739035821900631e-10, 2.852754376953220181e-10
2.035000000000000000e+03, 6.136541059020071961e-10, 4.506449459712662331e-10, 1.594991555064686547e-10, 1.594991555064686547e-10, 2.901876379653327071e-10, 1.335305057622374516e-09, 3.040229940289730966e-10, 1.335305057622374516e-09, 2.480229183654435652e-10, 4.506449459712662331e-10, 4.605228460646366989e-10, 3.503604662020463770e-10
2.036000000000000000e+03, 3.291010815050199527e-10, 4.181856045788481208e-10, 4.834143731287574335e-10, 4.834143731287574335e-10, 4.816363874977416829e-10, 1.074754914149558356e-09, 4.960798939817069116e-10, 1.074754914149558356e-09, 2.069603767039583981e-10, 4.181856045788481208e-10, 8.655304523616600477e-10, 4.172972994125647260e-10
