year, NorESM2-LM, GFDL-ESM4, CNRM-ESM2-1, INM-CM5-0, ACCESS-ESM1-5, TaiESM1, MIROC-ES2L, EC-Earth3-Veg, INM-CM4-8, NorESM2-MM, CanESM5, UKESM1-0-LL, CESM2-WACCM, IPSL-CM6A-LR, CMCC-CM2-SR5, MPI-ESM1-2-LR
2.015000000000000000e+03, 5.535552673128434797e+00, 4.572303056587128545e+00, 3.485007319741579401e+00, 6.883609868776439988e+00, 3.249704843205932558e+00, 4.704415935067638443e+00, 2.583837989570305194e+00, 8.186112423886738654e+00, 8.236489346502652964e+00, 3.798816312128047379e+00, 6.233542920706716117e+00, 3.057331153720047379e+00, 5.561508481191721032e+00, 7.094717292717152901e+00, 3.855611958554010954e+00, 3.472979935955048170e+00
2.016000000000000000e+03, 5.918102427427296419e+00, 4.055982071028725322e+00, 4.346748909986507314e+00, 6.429316021104584777e+00, 4.182479460804287896e+00, 5.035482140236757331e+00, 3.025123146001328145e+00, 8.202179850671562633e+00, 7.818312974974211293e+00, 4.642645428883449554e+00, 6.074851876548073015e+00, 2.433987428564845068e+00, 4.668540486423793823e+00, 6.293517949223608632e+00, 3.222536074537907247e+00, 4.290419484256194238e+00
2.017000000000000000e+03, 4.820531417825510978e+00, 2.271484569036631651e+00, 3.694919555508308751e+00, 7.155986339618050529e+00, 4.035161975518761324e+00, 5.024695853367337151e+00, 3.005107057567582007e+00, 8.002430466864312919e+00, 7.426306207506809365e+00, 5.464467991412125691e+00, 5.984339918930739799e+00, 3.780153427183817527e+00, 5.024668238717258539e+00, 4.796371749285105679e+00, 4.172322100668115041e+00, 3.414684713522386339e+00
2.018000000000000000e+03, 4.411604054003699815e+00, 3.389225218170574649e+00, 3.671816680493082519e+00, 6.866577111555867141e+00, 3.613027053941918254e+00, 4.269035150760180919e+00, 3.001511608854726898e+00, 7.106210450193406913e+00, 8.275362436168039793e+00, 5.336598134874565247e+00, 5.877371920745949829e+00, 2.725874603288244380e+00, 4.347846586047597661e+00, 5.069968817994801036e+00, 3.913102376084023337e+00, 3.523636028104566442e+00
2.019000000000000000e+03, 5.496374723052985800e+00, 3.565423795688790864e+00, 3.418817857693141615e+00, 7.479426912062606903e+00, 2.950807119954607316e+00, 3.769661052644019961e+00, 2.744059211409072052e+00, 6.231105904541213825e+00, 7.614545403455445616e+00, 5.263480692021067497e+00, 6.345286808479412954e+00, 1.848230260771927203e+00, 5.101024320046072091e+00, 5.323291526040949684e+00, 4.907493063983383585e+00, 3.227083366952587795e+00
2.020000000000000000e+03, 5.799874108809169648e+00, 2.228424389255412752e+00, 3.722244445822386449e+00, 7.150576892393644357e+00, 2.832537746377211008e+00, 4.881553959426601530e+00, 2.949968167930813401e+00, 6.628845423975420204e+00, 7.596414670321079754e+00, 5.488412730203259038e+00, 7.219232728679513933e+00, 3.302276814963936769e+00, 5.696546099636536908e+00, 5.268074584138696892e+00, 3.720716802084312658e+00, 2.206044261484627622e+00
2.021000000000000000e+03, 5.398648485109179163e+00, 1.840450716704038925e+00, 3.258507546146133471e+00, 6.856076512995232797e+00, 2.585009885598592128e+00, 5.452025021898357693e+00, 3.178706031238950569e+00, 6.310081101353284261e+00, 7.736098301270613931e+00, 5.529453614062411759e+00, 7.185501113907510451e+00, 2.270438781977812237e+00, 4.559365454866068923e+00, 5.181035049729789677e+00, 3.100496953974834824e+00, 2.414440279466358419e+00
2.022000000000000000e+03, 5.097252558756024676e+00, 3.039141134341680317e+00, 3.155972335220844194e+00, 8.012889046261802761e+00, 3.005808374449979503e+00, 4.938527457470267557e+00, 3.194849398989749290e+00, 7.895444130091228807e+00, 7.926045960382257505e+00, 6.158805604337170614e+00, 7.387952588795225317e+00, 2.110658939400057665e+00, 5.629942815309850523e+00, 6.158106376607614507e+00, 3.804653973830419034e+00, 3.032529304443532414e+00
2.023000000000000000e+03, 5.215675036296685718e+00, 4.413662399645859047e+00, 3.782513290275371975e+00, 8.130727724134205303e+00, 3.580416594318161394e+00, 5.161040938828005409e+00, 2.683709617409094861e+00, 7.700848346142205259e+00, 8.534124078814185665e+00, 5.896203862197700651e+00, 6.561489371468294252e+00, 2.995965056298027562e+00, 5.856449272681863327e+00, 5.481870322465025147e+00, 5.230757690487882527e+00, 5.039230117718917157e+00
2.024000000000000000e+03, 5.415491415543108644e+00, 3.535354650730251791e+00, 2.603653607454428531e+00, 6.657878530535355388e+00, 3.286006295999035043e+00, 4.834809025233228752e+00, 2.905928923696548427e+00, 8.656288852096199804e+00, 7.902955291234857071e+00, 6.232663434037900352e+00, 6.233101625060133877e+00, 2.814430627175505073e+00, 5.416519930984924791e+00, 4.560015589167874417e+00, 5.512182520890312354e+00, 5.274463871693236605e+00
