year, CNRM-ESM2-1, GFDL-ESM4, TaiESM1, EC-Earth3-Veg, MPI-ESM1-2-LR, MIROC-ES2L, CESM2-WACCM, UKESM1-0-LL, NorESM2-LM, NorESM2-MM, CMCC-ESM2, INM-CM4-8, ACCESS-ESM1-5, INM-CM5-0, IPSL-CM6A-LR, CanESM5
2.015000000000000000e+03, 6.392775699284124480e-01, 1.114386468082867454e+00, 1.045474822365309642e+00, 1.817499091383542043e+00, 8.800235926048699531e-01, 5.012005472743007450e-01, 1.019076985089962806e+00, 1.235252683858903522e+00, 8.227084510360332947e-01, 7.681164863700651324e-01, 1.084635661398385853e+00, 1.245782234746244388e+00, 5.538897316726720810e-01, 1.160102810738956158e+00, 1.163905659317625796e+00, 7.068410428080729169e-01
2.016000000000000000e+03, 7.597804971069357372e-01, 9.655701226505682966e-01, 1.203969200159228592e+00, 2.115156029880650657e+00, 9.868537185914073584e-01, 5.305985414093035146e-01, 9.518053911062862582e-01, 1.152646298914938416e+00, 9.162981077233829375e-01, 8.122473298516879048e-01, 1.187698474049185382e+00, 1.236137982212502262e+00, 6.743580369423313181e-01, 1.129169764979519597e+00, 1.070996125679167577e+00, 6.783930172222184529e-01
2.017000000000000000e+03, 7.285911257713240108e-01, 5.906750933103649404e-01, 1.283941464659470677e+00, 2.243577157971027969e+00, 8.494792865356896039e-01, 5.395704310775140122e-01, 9.027755610699564892e-01, 1.294187620263180127e+00, 7.817762370175647124e-01, 9.135039877914471473e-01, 9.142549634229327760e-01, 1.199948455560011951e+00, 7.070323697621128112e-01, 1.191229566091383640e+00, 8.482924279470240858e-01, 6.457925343186051714e-01
2.018000000000000000e+03, 6.671993091618899641e-01, 8.187481265832600164e-01, 1.083569069086566250e+00, 1.768135694841985517e+00, 8.868111946998951112e-01, 5.468530103206045156e-01, 8.452964985634601192e-01, 1.201045597329936765e+00, 7.261792427879755207e-01, 9.541856469004742491e-01, 7.212962229207169340e-01, 1.259150764293800462e+00, 6.351887616156932648e-01, 1.158102095830065403e+00, 8.531056427582037749e-01, 6.496678428775646275e-01
2.019000000000000000e+03, 6.618786678331527451e-01, 9.032826167044569754e-01, 7.900002479655698906e-01, 1.402926623566751019e+00, 8.090973162778704042e-01, 5.492547836380866633e-01, 8.507974492324620330e-01, 1.048817386682061814e+00, 7.951706434189763639e-01, 9.389111837036071551e-01, 5.726878290221619761e-01, 1.213623973187521798e+00, 5.612190474726828082e-01, 1.207826537575011461e+00, 8.947675674827838543e-01, 6.969006542487776734e-01
2.020000000000000000e+03, 6.659313975042236988e-01, 5.863096293778757850e-01, 9.131130640226429174e-01, 1.266948674641834582e+00, 7.138972403994435778e-01, 5.394504491267735347e-01, 9.221848938104262317e-01, 1.224213177242422290e+00, 8.227691876030350793e-01, 9.430322133354958059e-01, 6.275063308991892796e-01, 1.215218123833580632e+00, 5.221540727649550684e-01, 1.168289208203349139e+00, 8.503680508562462270e-01, 8.833645141893823327e-01
2.021000000000000000e+03, 6.515752239546641622e-01, 4.924749726410060924e-01, 1.298543425052431255e+00, 1.406386884282617267e+00, 7.453255685422504051e-01, 5.610878795300726640e-01, 8.617160425804608614e-01, 1.090019926821058416e+00, 8.565317523433731983e-01, 9.966043517687454001e-01, 8.217465538301234051e-01, 1.221537694122983631e+00, 4.699596589417863179e-01, 1.151572891774580887e+00, 8.667122812612639837e-01, 8.368447374292050656e-01
2.022000000000000000e+03, 6.105964585900157671e-01, 7.287565291735411677e-01, 1.343731858609296781e+00, 1.415336264798429111e+00, 7.920039804386014293e-01, 5.759757484176302178e-01, 9.805530700816321721e-01, 1.098672955891246694e+00, 8.067395092527378520e-01, 1.000459639439736925e+00, 1.172739792667782943e+00, 1.219432443636278007e+00, 5.243759550745122899e-01, 1.242379562965090889e+00, 9.737256376492502419e-01, 8.928549052897425398e-01
2.023000000000000000e+03, 6.777883088558126490e-01, 1.086148071062659870e+00, 1.216837576144341959e+00, 1.759993197518143537e+00, 9.729409892624114597e-01, 5.262936141924386968e-01, 9.934227552621203161e-01, 1.215517300258479594e+00, 8.700239886859401084e-01, 9.797910998534357097e-01, 1.338063401615581016e+00, 1.255412053271156125e+00, 5.727990579147858030e-01, 1.248212877714331981e+00, 9.731932294156689922e-01, 7.149404455712700113e-01
2.024000000000000000e+03, 5.540031272431579223e-01, 9.051625826193760993e-01, 1.199919886038021577e+00, 1.935852427155985600e+00, 9.578363300637707800e-01, 5.451594651868432173e-01, 1.018642075800409330e+00, 1.255353527029379412e+00, 8.330576660824309254e-01, 1.064677367320750800e+00, 9.472080883033493492e-01, 1.233571048756374244e+00, 6.003711780572773549e-01, 1.136185461080722270e+00, 8.236350975167802124e-01, 6.923110770226035271e-01
2.025000000000000000e+03, 5.163304252293371421e-01, 7.856432928922589820e-01, 1.176500900085199142e+00, 2.077618514412153949e+00, 9.907786231489438267e-01, 5.509186976021078763e-01, 9.498919198140313158e-01, 1.226040279883416018e+00, 8.994719722090034342e-01, 9.012087910709066785e-01, 5.976751161308739846e-01, 1.139618947478524991e+00, 5.277056215667023098e-01, 1.205812116652273058e+00, 8.666776141561248759e-01, 7.781425252536482429e-01
2.026000000000000000e+03, 6.611032484478445159e-01, 6.247026125662136220e-01, 1.100296724416386374e+00, 1.404821732287919289e+00, 7.598783651055712740e-01, 5.402651690205308999e-01, 9.879083444997259766e-01, 1.148983496674473637e+00, 9.030680954011592876e-01, 8.465150639994635240e-01, 8.083560055845521175e-01, 1.194112405566424506e+00, 5.487179533820882860e-01, 1.199852417317478492e+00, 9.644009887282380955e-01, 6.396288985435006902e-01
2.027000000000000000e+03, 6.519024122309878821e-01, 8.436424692299658856e-01, 7.426166601784355281e-01, 1.508537564907225015e+00, 9.469340887535389051e-01, 5.613271752739125153e-01, 1.087821580997928139e+00, 1.222701121398722890e+00, 8.859272926948335014e-01, 7.785833734810250206e-01, 1.346894669921770760e+00, 1.206854686663818121e+00, 6.320210126252333582e-01, 1.206025058007555995e+00, 1.085584969623344165e+00, 7.856733984327041176e-01
