year, CESM2-WACCM, MPI-ESM1-2-LR, CNRM-ESM2-1, UKESM1-0-LL, MIROC-ES2L, CanESM5, CMCC-ESM2, GFDL-ESM4
2.015000000000000000e+03, -7.464084522067586754e-11, 5.511921771654064426e-10, -1.915678042429169313e-10, 2.902401388989833403e-10, -7.064969322116700931e-10, 4.768671714831624826e-10, -1.822181099580029802e-09, 2.035371455156822424e-09
2.016000000000000000e+03, -9.371956936871899038e-10, 1.429705654670012630e-09, 1.621104134576969320e-09, -1.032281584779796203e-10, 4.755221308210062310e-10, -2.915592944974125426e-10, 3.450558580216061857e-10, -2.194394940265070535e-10
2.017000000000000000e+03, -4.293724536161739342e-11, -3.157928132399526793e-10, 1.983423642024318058e-10, 1.336103327015195806e-09, 4.376920714201272848e-10, 7.583247272127254629e-11, 1.501070823442486034e-09, -3.212420112944321919e-09
2.018000000000000000e+03, -3.175095116499717514e-10, 1.275914101996487798e-11, -1.169864711649865367e-10, -1.690297128124391929e-10, 5.332065056725522300e-10, -3.027484714034303741e-10, 7.694063986342839909e-10, 1.239860472810810099e-09
2.019000000000000000e+03, 4.980718685906745643e-10, -3.969388505786429497e-10, 2.023411164781965959e-10, -1.164916437928561497e-09, -2.799057641282895900e-10, 3.968410414957901483e-11, 1.212936803208112022e-09, 2.468615086200090203e-10
2.020000000000000000e+03, 8.681273062841673664e-10, -7.834414595248632433e-10, -5.227802413211591349e-11, 9.385216311318064210e-10, 1.022570826753118417e-10, 1.941164394099724518e-09, -1.067377945642983554e-09, -2.477417127710308796e-09
2.021000000000000000e+03, -4.569502853869325362e-10, -4.168491154044086015e-10, -3.044894986829400185e-10, -6.997485457697413143e-10, 7.596724346077951194e-10, 2.353984938385665481e-09, -1.271666675091117655e-09, -1.549229290450703808e-09
2.022000000000000000e+03, 5.921920192683239053e-10, -1.212767864050632757e-10, -3.108408272435714758e-10, -3.932808785168537382e-10, 8.694232169180403829e-10, 2.790092443411556242e-09, -3.329939960612302259e-09, 1.611575660097097804e-09
2.023000000000000000e+03, 9.061218605884776737e-10, 2.837987818646415549e-09, 3.918921190652246052e-10, 4.605062117452906220e-10, -6.668779887333069128e-10, 1.386974248121071573e-09, 1.158973489068430659e-09, 3.234720498239538724e-09
2.024000000000000000e+03, -1.072022888314565851e-10, 1.394602384223624715e-09, -4.797372863712932395e-10, 3.829029722756737853e-11, 1.569199817960151885e-11, -1.156687580819730856e-09, 1.686058472513557527e-09, -5.562567334551245389e-10
2.025000000000000000e+03, -7.278565898587776159e-11, 1.433733781242498750e-09, -5.577318423030455916e-10, 5.921649469558757495e-10, 1.957928611894101112e-10, 4.721482653340869721e-10, 1.360921131740328616e-09, -1.000289078362658536e-09
2.026000000000000000e+03, 1.127571416686576458e-09, -1.495048525995569012e-09, 7.282036081035335364e-10, -1.252315751322253755e-09, 1.613047497852392947e-10, -1.768965746598977462e-09, -3.539638790381218363e-09, -1.636090437602041432e-09
