year, CMCC-CM2-SR5, NorESM2-MM, MPI-ESM1-2-LR, INM-CM4-8, ACCESS-ESM1-5, TaiESM1, CanESM5, GFDL-ESM4, NorESM2-LM, INM-CM5-0, MIROC-ES2L, CESM2-WACCM, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, EC-Earth3-Veg
2.015000000000000000e+03, 2.153349399259819386e+00, 1.180622852830938374e+00, 1.060251786781840844e+00, 2.820797142599297480e+00, 1.940654311680469091e+00, 2.489114902502868265e+00, 1.918391774254572191e+00, 2.078374303212725316e+00, 2.364395126636974709e+00, 2.138051897045236238e+00, 1.983052648249814975e+00, 1.564110556262328977e+00, 1.434400981383837648e+00, 1.299998599057313076e+00, 2.824765925636795849e+00, 1.788207174049760262e+00
2.016000000000000000e+03, 1.618510612100633184e+00, 1.425556091213940224e+00, 1.141517427615640567e+00, 2.397058855351836826e+00, 2.340677046626960855e+00, 2.157338107095252866e+00, 1.897821818451473241e+00, 1.848582492031455526e+00, 2.176712528800477831e+00, 1.843670098600590723e+00, 2.514489407401280019e+00, 1.297001037859987660e+00, 1.493473339860856619e+00, 1.360568126916028131e+00, 2.260065287181734384e+00, 1.999912226342960730e+00
2.017000000000000000e+03, 2.331751607775276458e+00, 2.046122668147083878e+00, 9.579393855330510243e-01, 2.226722002300409287e+00, 1.817415614676124447e+00, 2.254869605350345196e+00, 1.561359869972770209e+00, 1.079161932176331273e+00, 1.436043709352578190e+00, 2.270204732308614304e+00, 2.264237634942857902e+00, 1.705547623622324815e+00, 1.653344844000629754e+00, 1.073957660281377846e+00, 1.905757917364263809e+00, 1.973345917829136154e+00
2.018000000000000000e+03, 1.934768699810963666e+00, 1.676309786211721553e+00, 1.068450029489543374e+00, 2.745414524487356456e+00, 1.801635018437921509e+00, 1.730263672962110810e+00, 1.764032589339900703e+00, 1.918059177024983963e+00, 1.443045670288346072e+00, 2.221029637731038342e+00, 2.278103502497401678e+00, 1.286560515401392157e+00, 1.383907288715871653e+00, 1.272377448809202116e+00, 2.235940845357192952e+00, 1.267870136533021608e+00
2.019000000000000000e+03, 2.633601248026381736e+00, 1.703811106424132360e+00, 9.293352330468620526e-01, 2.345959491979616285e+00, 1.255072516862282050e+00, 1.646533184781768799e+00, 2.137428207267267233e+00, 1.491820099725330584e+00, 2.096273873255188658e+00, 2.541810268292362895e+00, 1.872867389971896612e+00, 1.844707974679124840e+00, 1.231750203914220743e+00, 1.033814702707793076e+00, 2.070160923939365016e+00, 1.010659153397329701e+00
2.020000000000000000e+03, 1.993046093764362592e+00, 1.950288346093321357e+00, 6.428989135734912708e-01, 2.240313718166519585e+00, 1.330836134664975301e+00, 2.319374788277475119e+00, 2.456473269639578572e+00, 1.045969736414412932e+00, 2.179747628063394060e+00, 2.226454676261591992e+00, 2.473549407016885748e+00, 1.879050339101373313e+00, 1.405661460778347749e+00, 1.298122694088271967e+00, 1.998404215807157103e+00, 1.126963385177448318e+00
2.021000000000000000e+03, 1.879217994596639407e+00, 1.627381803244350111e+00, 8.017521096897105570e-01, 2.407217587826936622e+00, 1.583246326605864729e+00, 2.416590711364875244e+00, 2.410178499747824166e+00, 1.130708933794223769e+00, 2.055509872843588770e+00, 2.019659627408663560e+00, 2.484271792047098248e+00, 1.267608844407286162e+00, 1.229848788462671649e+00, 1.060591339518240028e+00, 1.909661790099994816e+00, 1.202777198871475495e+00
2.022000000000000000e+03, 1.852132309447513947e+00, 2.351756343986460163e+00, 1.082342003571767464e+00, 2.542962835030534219e+00, 1.758765169585634558e+00, 2.069368721511700038e+00, 2.080668846044607889e+00, 1.842575864557836063e+00, 1.701384089459916593e+00, 2.735457382754419520e+00, 2.325323327792085060e+00, 2.065204874490417897e+00, 1.303832863341700010e+00, 1.103621471625713557e+00, 2.480427703952099439e+00, 1.488503682870396583e+00
2.023000000000000000e+03, 3.253509567160565830e+00, 1.931945830051757573e+00, 1.260733942352380232e+00, 2.665964151522755010e+00, 2.091552866920528331e+00, 2.833396206077221091e+00, 1.604692246898341557e+00, 1.834996805404843112e+00, 1.705347367326769392e+00, 2.895408459052283057e+00, 1.708486454114577002e+00, 1.948462624114828623e+00, 1.418175412770327659e+00, 1.244457491486123502e+00, 1.967177202000806924e+00, 1.352762240358838408e+00
2.024000000000000000e+03, 3.632302547852078067e+00, 2.048935630173882583e+00, 1.572734181780135687e+00, 2.502412027247933768e+00, 1.170044531042242930e+00, 1.865284550080205328e+00, 1.878061778974130958e+00, 1.435693020881093629e+00, 1.820490966007433098e+00, 1.939960893878017512e+00, 2.276263263634970002e+00, 1.620842690321260937e+00, 1.410014129667079397e+00, 9.611377759859951464e-01, 1.703974645027716894e+00, 1.964297205384397005e+00
