year, INM-CM4-8, INM-CM5-0, CNRM-ESM2-1, CESM2-WACCM, ACCESS-ESM1-5, CMCC-CM2-SR5, GFDL-ESM4, MPI-ESM1-2-LR, CanESM5, EC-Earth3-Veg, MIROC-ES2L, UKESM1-0-LL, NorESM2-MM, NorESM2-LM, TaiESM1, IPSL-CM6A-LR
2.015000000000000000e+03, 2.947800115722757823e+02, 2.944124152994427277e+02, 2.957919034969521590e+02, 2.959827828194227664e+02, 2.963891008405736898e+02, 2.956603150530685866e+02, 2.946516800317901357e+02, 2.959180782588620673e+02, 2.959086249538542006e+02, 2.956347371789091198e+02, 2.977188913569239617e+02, 2.944244426085793975e+02, 2.964784547049273442e+02, 2.962620534185719521e+02, 2.957837332989865899e+02, 2.937995949859890175e+02
2.016000000000000000e+03, 2.950272610521167280e+02, 2.947383988070030227e+02, 2.952898918991288610e+02, 2.956556745346478579e+02, 2.953028998252963788e+02, 2.965819884008548115e+02, 2.942617744754670639e+02, 2.954601942001764314e+02, 2.961761199085715930e+02, 2.953477722530806773e+02, 2.969462516867301360e+02, 2.944424484926398122e+02, 2.953215224175757498e+02, 2.957396443189758202e+02, 2.954259755016603890e+02, 2.942648260743422952e+02
2.017000000000000000e+03, 2.947141291715325906e+02, 2.940239250351031046e+02, 2.958865895643790509e+02, 2.956395765582964827e+02, 2.962857024716136038e+02, 2.959930609270287505e+02, 2.964237046360196928e+02, 2.958679042985062324e+02, 2.966849754117447446e+02, 2.951564738925887355e+02, 2.973502379823028718e+02, 2.946280410023153422e+02, 2.956934198604397466e+02, 2.961556979666621601e+02, 2.957003547308567590e+02, 2.949300267078224351e+02
2.018000000000000000e+03, 2.943940648512501639e+02, 2.941183333223674481e+02, 2.957584595471348621e+02, 2.961491939194411884e+02, 2.960459692010558683e+02, 2.962373003663874442e+02, 2.951217437883415755e+02, 2.960128286882997486e+02, 2.963683001415724902e+02, 2.962891971322030145e+02, 2.970944946136935982e+02, 2.946100359652535872e+02, 2.953027310899010445e+02, 2.968230535727134907e+02, 2.963092408516594674e+02, 2.942030348080797921e+02
2.019000000000000000e+03, 2.948782205197013013e+02, 2.942592022181935363e+02, 2.962717318658448562e+02, 2.961108046706506229e+02, 2.966583313228874772e+02, 2.952985492765890854e+02, 2.952701960299528992e+02, 2.960325915182418157e+02, 2.960476790976201187e+02, 2.967446636609543589e+02, 2.975413262856981191e+02, 2.956394989228676309e+02, 2.957091971674194042e+02, 2.963568004106087983e+02, 2.967758508621471947e+02, 2.944921134903519828e+02
2.020000000000000000e+03, 2.947764373056674003e+02, 2.945169545058775498e+02, 2.959434093501853340e+02, 2.954424278272683182e+02, 2.972499337702072353e+02, 2.959666522123756067e+02, 2.961395386304124600e+02, 2.961617583852925577e+02, 2.952808745794353626e+02, 2.969874665280928525e+02, 2.972271041434116228e+02, 2.947051003818999106e+02, 2.952805598415083637e+02, 2.960997328615238757e+02, 2.961885092196033042e+02, 2.949748427114383276e+02
2.021000000000000000e+03, 2.944619714339663687e+02, 2.943814171526747145e+02, 2.961046684729114986e+02, 2.960987253684579628e+02, 2.964815943933669473e+02, 2.967491699906240683e+02, 2.964367993479700658e+02, 2.962609774602592552e+02, 2.953523523850096240e+02, 2.968385222841955056e+02, 2.966311287105403949e+02, 2.953637212241975476e+02, 2.952632225587742596e+02, 2.959255722256080503e+02, 2.956851506937848058e+02, 2.945813656612301656e+02
2.022000000000000000e+03, 2.949930606390845469e+02, 2.941000956734062015e+02, 2.963062307031788123e+02, 2.969450760382284216e+02, 2.963279911242816524e+02, 2.969075111955974080e+02, 2.951864343261970589e+02, 2.961399775421126037e+02, 2.957200214489110977e+02, 2.958759670372457435e+02, 2.971065384617701284e+02, 2.947834095955223574e+02, 2.952793665636859259e+02, 2.966391464803684244e+02, 2.962756615152204063e+02, 2.945258612236616500e+02
2.023000000000000000e+03, 2.947098883738484005e+02, 2.940895361702437185e+02, 2.959471169884857886e+02, 2.961431906771451281e+02, 2.961527157239025883e+02, 2.960512047474439896e+02, 2.945981481545887277e+02, 2.957520428545841469e+02, 2.964229143666603363e+02, 2.963818754755356508e+02, 2.979944544576251815e+02, 2.948386812808570880e+02, 2.959836159190229523e+02, 2.967224777411038303e+02, 2.961355415305957308e+02, 2.948719131379357350e+02
2.024000000000000000e+03, 2.951287179252224178e+02, 2.948025861640458629e+02, 2.962809566270295818e+02, 2.956290132124437378e+02, 2.971246897195482575e+02, 2.951769755163133482e+02, 2.952382749831500632e+02, 2.952963822834981897e+02, 2.966963020589362827e+02, 2.956780098319929380e+02, 2.975184187916813130e+02, 2.951088669033911174e+02, 2.952885452805771251e+02, 2.961321068209863370e+02, 2.967845610374961893e+02, 2.945137894146727717e+02
2.025000000000000000e+03, 2.954396428061731967e+02, 2.944569485444568500e+02, 2.967849814185846640e+02, 2.963718768996780000e+02, 2.973617025957764213e+02, 2.954548635138801842e+02, 2.958191775875077383e+02, 2.962702993959043738e+02, 2.968211617100554918e+02, 2.957421822699323570e+02, 2.976605677068421869e+02, 2.947648452280003539e+02, 2.961552572831219550e+02, 2.959715736185667083e+02, 2.957600197783171438e+02, 2.944063649388930344e+02
2.026000000000000000e+03, 2.947853559807817874e+02, 2.942636020623407944e+02, 2.959388816006822935e+02, 2.959416618451568297e+02, 2.971118979750859808e+02, 2.955359101365513084e+02, 2.963000174457749267e+02, 2.970146242219893793e+02, 2.964590414281501580e+02, 2.968483747763449401e+02, 2.968740547935345262e+02, 2.955802358866009740e+02, 2.960999061431847394e+02, 2.966266545462851809e+02, 2.969109340594601463e+02, 2.945404346735872423e+02
2.027000000000000000e+03, 2.948690119070316769e+02, 2.946758024861037484e+02, 2.966718838573223707e+02, 2.959169790553105486e+02, 2.966520492093282542e+02, 2.966264608845849580e+02, 2.948586638838468161e+02, 2.960283197751430748e+02, 2.957895982890472055e+02, 2.963878971936779863e+02, 2.969733481474513610e+02, 2.951930856860710151e+02, 2.954552233492728988e+02, 2.959087181810490392e+02, 2.979575191636767499e+02, 2.945998063557541968e+02
