year, UKESM1-0-LL, IPSL-CM6A-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, MPI-ESM1-2-LR, CNRM-ESM2-1, EC-Earth3-Veg, MIROC-ES2L, CESM2-WACCM
2.015000000000000000e+03, 3.052837150628230243e-04, 6.961465890259115052e-02, 8.223809158932922359e-02, 1.916797210503627946e-01, 1.221323020146927452e-01, 2.294798430855228208e-02, 2.235650334102034023e-02, 1.841872212860306557e-01, 1.515470373904286572e-01
2.016000000000000000e+03, 2.590116401131158509e-04, 6.874620853174351343e-02, 8.487154918444921037e-02, 2.583731428797357843e-01, 1.274438862831143160e-01, 2.247218733216809969e-02, 2.147868429089756781e-02, 1.777681267873918447e-01, 1.439242908231643525e-01
2.017000000000000000e+03, 2.438486205228267395e-04, 6.781516761558502304e-02, 8.717834377771883914e-02, 2.533302473407960664e-01, 1.271568660592358457e-01, 2.212338344250848812e-02, 2.055498003009585684e-02, 1.741896136944190432e-01, 1.441338440919546215e-01
2.018000000000000000e+03, 2.413402542830255339e-04, 6.628023286242945566e-02, 8.932198618776833465e-02, 2.520533835452404281e-01, 1.249220983309520250e-01, 2.169376241389715451e-02, 1.973723856382193775e-02, 1.721766115129997887e-01, 1.403593595398880400e-01
2.019000000000000000e+03, 2.416995529275408347e-04, 6.502118812793251934e-02, 9.130376539193656160e-02, 2.523518765434317745e-01, 1.273047544959758637e-01, 2.191899280907714728e-02, 1.904424288455743366e-02, 1.701321521432676009e-01, 1.375115411906720764e-01
2.020000000000000000e+03, 2.444557524805638380e-04, 6.418885792415886249e-02, 9.211233350891018246e-02, 2.530293839360150399e-01, 1.260119348933902150e-01, 2.335691834455913204e-02, 1.841746363881669596e-02, 1.646634528624675575e-01, 1.417267537877798245e-01
2.021000000000000000e+03, 2.312865983301595687e-04, 6.166033863630994427e-02, 9.200076091921756405e-02, 2.501287931455472568e-01, 1.275657307122182726e-01, 2.234753193925288067e-02, 1.767676674032283776e-02, 1.614551429856629916e-01, 1.404163971800446165e-01
2.022000000000000000e+03, 2.222954052235237479e-04, 6.071352433842160112e-02, 9.208889421588595248e-02, 2.465704432587899064e-01, 1.288786006478868096e-01, 2.130300921506573034e-02, 1.697518628128237561e-02, 1.597692526764292187e-01, 1.425385473112874557e-01
2.023000000000000000e+03, 2.205598829821197942e-04, 5.946933939322763402e-02, 9.226274156051028630e-02, 2.435552605257838565e-01, 1.266229743818133580e-01, 2.022305251977270235e-02, 1.631132060491530950e-02, 1.595898933014981147e-01, 1.374014454937012297e-01
2.024000000000000000e+03, 2.150185780532087680e-04, 5.857336375388914190e-02, 9.251441797775916687e-02, 2.411236709218612384e-01, 1.244412008281354370e-01, 1.909106209611150656e-02, 1.572634378385928677e-02, 1.603349273312857370e-01, 1.392105810664946430e-01
2.025000000000000000e+03, 5.131080181242302736e-04, 5.754944744077251928e-02, 9.300485444003683821e-02, 2.392649971440105050e-01, 1.257123789494873911e-01, 1.839657829790309826e-02, 1.517990722002961722e-02, 1.592170642125685653e-01, 1.395028144006607296e-01
2.026000000000000000e+03, 8.822230947922152147e-04, 5.618392337945101594e-02, 9.368089371030430268e-02, 2.360321061399017761e-01, 1.331597106083979853e-01, 1.667687726344728102e-02, 1.457005858856513791e-02, 1.588652561140931618e-01, 1.342336529087522212e-01
