year, INM-CM4-8, MPI-ESM1-2-LR, CanESM5, CESM2-WACCM, GFDL-ESM4, EC-Earth3-Veg, CMCC-CM2-SR5, ACCESS-ESM1-5, MIROC-ES2L, NorESM2-MM, CNRM-ESM2-1, IPSL-CM6A-LR, INM-CM5-0, UKESM1-0-LL, NorESM2-LM, TaiESM1
2.015000000000000000e+03, 1.768241302885385835e+01, 1.061026838392469251e+01, 1.604315175341424293e+01, 1.174948365392694072e+01, 2.281022678041561669e+00, 4.545328518198510359e+00, 6.101308943196078083e+00, 1.531416978127522555e+01, 1.235805193163389504e+01, 1.058709036746552279e+01, 7.754930445829121943e+00, 1.164719405028258592e+01, 1.681712011717490540e+01, 8.287841453099527911e+00, 8.570595258776279479e+00, 7.460458745296888239e+00
2.016000000000000000e+03, 1.787708961371923166e+01, 1.057342296575908236e+01, 1.646458338153208345e+01, 1.132410707776216974e+01, 2.034980213923603287e+00, 4.283235837614415509e+00, 5.050368786573953273e+00, 1.552007982387627294e+01, 1.252064981435472646e+01, 1.071258260777635485e+01, 7.571160631233794902e+00, 1.168201514358343296e+01, 1.674406020205337242e+01, 8.237592857627003440e+00, 8.767587460922166898e+00, 6.303359734179159624e+00
2.017000000000000000e+03, 1.806603710535332752e+01, 1.029355008740614785e+01, 1.692376405629414649e+01, 1.145877320810116196e+01, 1.879657670689444338e+00, 4.381903561490625876e+00, 6.197614026869215031e+00, 1.578287080359024941e+01, 1.264082775655042568e+01, 1.080046608621055704e+01, 7.918555835265458143e+00, 1.143709890429280485e+01, 1.705397567600104480e+01, 8.252462824938650243e+00, 8.566038620384194502e+00, 7.145228024574553416e+00
2.018000000000000000e+03, 1.807813120619661973e+01, 1.031564525328568749e+01, 1.689444998173046386e+01, 1.132053607560820652e+01, 1.749316826618413590e+00, 4.821788693068251419e+00, 7.430972696993802806e+00, 1.608254457672212112e+01, 1.279607395065365516e+01, 1.074014339976431032e+01, 7.815918300966974819e+00, 1.159872271650966447e+01, 1.682589074302814680e+01, 8.229760329591789159e+00, 8.383326226608675213e+00, 8.387580157249752588e+00
2.019000000000000000e+03, 1.818573121043709762e+01, 1.020120672521919047e+01, 1.632554446541455917e+01, 1.118617055454047104e+01, 1.881282080134458301e+00, 5.051518088171023102e+00, 6.515129810896855389e+00, 1.610963494205752156e+01, 1.263998212269252974e+01, 1.084392108990820880e+01, 7.630475615887884366e+00, 1.185746425616723876e+01, 1.682952902226941916e+01, 8.207783157191638423e+00, 8.185659253284566006e+00, 7.130278762330857667e+00
2.020000000000000000e+03, 1.845312996214532930e+01, 1.025809518680480004e+01, 1.630576025447091837e+01, 1.153624284719030513e+01, 1.822245867663200958e+00, 5.021356472868146348e+00, 5.233124505322917841e+00, 1.593107507691589397e+01, 1.248399553963736608e+01, 1.100163626275312012e+01, 7.647917218197635592e+00, 1.194975138010776128e+01, 1.680492632191230840e+01, 8.323390987499713844e+00, 8.446834256149449160e+00, 6.627866967422665567e+00
2.021000000000000000e+03, 1.845911884001703029e+01, 1.057008538713918000e+01, 1.683832268904928853e+01, 1.157107142028053737e+01, 1.816165518092784703e+00, 4.787375824938252755e+00, 5.081015186239538295e+00, 1.580868670094426598e+01, 1.249459445175559047e+01, 1.113692250287832408e+01, 7.788550503764633426e+00, 1.180859480276614448e+01, 1.699662780464933931e+01, 8.436826695871824100e+00, 8.629565016049218329e+00, 7.648697065847476217e+00
2.022000000000000000e+03, 1.831491339436862376e+01, 1.059845755558018965e+01, 1.679445694720131499e+01, 1.127918834129785530e+01, 1.708244652489825377e+00, 3.919602182246763711e+00, 5.514091374465612816e+00, 1.586039893886238694e+01, 1.256531665027795341e+01, 1.131689019983835465e+01, 7.617123390832881036e+00, 1.213234770153313669e+01, 1.678138837559226104e+01, 8.525025186851094006e+00, 8.460367220668235433e+00, 8.081872260642139594e+00
2.023000000000000000e+03, 1.814818466095038474e+01, 1.080272161682977305e+01, 1.660692427911062907e+01, 1.134857065338971083e+01, 1.984690012592797093e+00, 3.924491732256963683e+00, 6.480913049357920563e+00, 1.605542263089004962e+01, 1.262163174472279437e+01, 1.122738108743101115e+01, 7.879146288672749243e+00, 1.234920857217054113e+01, 1.687061636827854727e+01, 8.697833245511066735e+00, 8.809162133158299213e+00, 7.511572793082109456e+00
2.024000000000000000e+03, 1.857837460841215460e+01, 1.056883998138651215e+01, 1.685836287137841438e+01, 1.144558798152963419e+01, 2.103740411364666052e+00, 4.293792775934587524e+00, 7.368270163051247934e+00, 1.589437435165766388e+01, 1.268192100851633342e+01, 1.120942144338065916e+01, 8.141757475147231915e+00, 1.232700689506608605e+01, 1.682819224844027417e+01, 8.655210335493958240e+00, 9.320914058305547201e+00, 7.206740782578743065e+00
2.025000000000000000e+03, 1.894939589579565364e+01, 1.054656753165712502e+01, 1.694831357605648137e+01, 1.146085932482182024e+01, 1.761870590957820726e+00, 4.767761248547534692e+00, 6.567688261622115498e+00, 1.592260141309128763e+01, 1.283089170299426840e+01, 1.128271193981190912e+01, 8.066820894036199618e+00, 1.191689326907660984e+01, 1.691355781379885670e+01, 8.575432777089149639e+00, 9.542350987303629850e+00, 6.977783887646406669e+00
2.026000000000000000e+03, 1.924902983406806101e+01, 1.093907933753139794e+01, 1.681728414392632587e+01, 1.146680277233907219e+01, 1.929468844087123935e+00, 5.299947520782548160e+00, 5.636842581947091091e+00, 1.632900361689858570e+01, 1.296577454868872969e+01, 1.144515876820692490e+01, 7.903892394631427010e+00, 1.195758905977570308e+01, 1.714380330552879883e+01, 8.578829316696468865e+00, 9.300995381500936077e+00, 7.071240285445094642e+00
2.027000000000000000e+03, 1.910192652926160761e+01, 1.087401346536741720e+01, 1.708150144083969124e+01, 1.152447812821673345e+01, 1.939195963142850143e+00, 5.475124587041074520e+00, 5.705665726491177203e+00, 1.647267067500013127e+01, 1.295360857727886739e+01, 1.132111475060336758e+01, 7.873418888359649870e+00, 1.229907313530941515e+01, 1.743755046175390433e+01, 8.540659805990770792e+00, 8.931518665466438023e+00, 7.235801064486933498e+00
