year, CNRM-ESM2-1, CESM2-WACCM, UKESM1-0-LL, IPSL-CM6A-LR
2.015000000000000000e+03, 1.505541667820983392e-10, 1.399691976650345792e-10, 1.358038637337338630e-10, -6.560149922714249241e-10
2.016000000000000000e+03, 8.667778366850745206e-11, 6.139135889812263607e-11, 1.055058035711480698e-10, -6.039793227860091201e-10
2.017000000000000000e+03, 8.901877873411309904e-11, 5.716022657739323255e-11, 8.863888045796569306e-11, -6.065490849909075244e-10
2.018000000000000000e+03, 9.318144849546361317e-11, 5.469291890910748688e-11, 8.912571743250947412e-11, -5.900177572935657914e-10
2.019000000000000000e+03, 9.039455906387255957e-11, 5.265675382586486091e-11, 1.620916714991599639e-10, -5.939119515143182763e-10
2.020000000000000000e+03, 1.089143343905699825e-10, 5.366308751784819308e-11, 1.858148133730178037e-10, -6.140087937728012961e-10
2.021000000000000000e+03, 4.221219813603591772e-11, 5.118890231407062922e-11, 1.801569283924738961e-10, -6.295630823768049678e-10
2.022000000000000000e+03, 4.281212171653078985e-11, 4.942710661071220327e-11, 1.953575327405995482e-10, -6.686553228095670118e-10
2.023000000000000000e+03, 4.266144509736276255e-11, 4.812205319025980646e-11, 2.517710809416643254e-10, -6.947331802224609604e-10
2.024000000000000000e+03, 4.463819193425398895e-11, 4.749729362425091195e-11, 1.622163520701728566e-10, -7.488061075435464085e-10
2.025000000000000000e+03, 4.327946611685437057e-11, 4.851219816520991252e-11, 1.810904792826678976e-10, -5.727631562791711118e-10
2.026000000000000000e+03, 2.558343682149906436e-11, 4.640757092416374349e-11, 1.505662259465299684e-10, -4.827022367394440168e-10
2.027000000000000000e+03, 2.357513868975648540e-11, 4.631703107779294385e-11, 1.402376236458547411e-10, -6.723889045908763385e-10
2.028000000000000000e+03, 2.144919259406690821e-11, 4.613517067638629007e-11, 9.255075297650909946e-11, -5.564475758325398423e-10
2.029000000000000000e+03, 1.968858330891211338e-11, 4.565602429909234015e-11, 2.141358647587944250e-10, -5.590125693849041418e-10
2.030000000000000000e+03, 1.655573601147098491e-11, 4.399037991904814486e-11, 1.709028152721357028e-10, -4.748770537649025373e-10
2.031000000000000000e+03, 1.357844962206901712e-11, 7.422636983610703149e-11, 1.261841335535655498e-10, -6.792976384239416084e-10
2.032000000000000000e+03, 1.288915280994128669e-11, 7.455869746124379650e-11, 1.802066549225229343e-10, -6.829359469983808349e-10
2.033000000000000000e+03, 1.219870620655839686e-11, 7.753581141988013914e-11, 1.900657574283211223e-10, -5.754083958284219692e-10
2.034000000000000000e+03, 1.139511811389606735e-11, 8.180818224163111220e-11, 9.928963624764459881e-11, -6.290150854047884738e-10
2.035000000000000000e+03, 1.031233402906190619e-11, 8.602212409797223028e-11, 1.088633311843711427e-10, -7.383573242058463284e-10
2.036000000000000000e+03, 1.087464029334877355e-11, 1.169646081302121613e-10, 1.177100603647522016e-10, -5.724494797934673556e-10
2.037000000000000000e+03, 1.071032029008522427e-11, 1.098555789560737074e-10, 1.210252191979328247e-10, -6.996353696337880432e-10
2.038000000000000000e+03, 1.049752380006867826e-11, 1.105600369120530387e-10, 1.330446507630033614e-10, -6.447346606299707068e-10
2.039000000000000000e+03, 1.037567088066613878e-11, 1.119257795594841264e-10, 1.249494959022016982e-10, -6.380603227118978302e-10
2.040000000000000000e+03, 1.021623848845159055e-11, 1.124082114980564173e-10, 1.231221197254038955e-10, -7.392027647809382792e-10
2.041000000000000000e+03, 1.290454897581541126e-11, 1.095217588083057926e-10, 2.514913619633283175e-10, -7.444143832545714718e-10
2.042000000000000000e+03, 1.326016339960062712e-11, 1.068535107296094845e-10, 1.665889360191361220e-10, -7.265281960841604992e-10
2.043000000000000000e+03, 1.325758206540392833e-11, 1.081013966057014250e-10, 1.073317845085460022e-10, -7.050348968550580755e-10
2.044000000000000000e+03, 1.359768980083181197e-11, 1.069707206865926423e-10, 1.452294501679578906e-10, -6.907065936196813507e-10
2.045000000000000000e+03, 1.298128202223797220e-11, 1.101388771798287404e-10, 1.743195717498186135e-10, -6.154261859196926757e-10
2.046000000000000000e+03, 1.193067062787155714e-11, 7.895612771855131068e-11, 1.262417141917143476e-10, -7.521767167097663297e-10
2.047000000000000000e+03, 1.202880832264716771e-11, 7.560389851258904363e-11, 1.537985982033547085e-10, -5.968145799645920808e-10
2.048000000000000000e+03, 1.222421790131805353e-11, 7.617247025136201407e-11, 1.352170913871265305e-10, -7.591976052446015527e-10
2.049000000000000000e+03, 1.177645558744308768e-11, 7.540428624633173535e-11, 1.570556354889376638e-10, -7.893868998317973150e-10
2.050000000000000000e+03, 1.477303480419789481e-11, 7.233987979621342001e-11, 1.388015353803156371e-10, -7.307739581889595082e-10
2.051000000000000000e+03, 2.088109999535191861e-11, 6.332426206140947404e-11, 1.559403835608919427e-10, -6.609460069168890844e-10
2.052000000000000000e+03, 3.015447181391861625e-11, 5.998953432534915385e-11, 1.169322110532978257e-10, -4.896567828021101729e-10
2.053000000000000000e+03, 3.072018592504156083e-11, 5.775092436481370592e-11, 1.510451411495366425e-10, -7.174310295661188608e-10
2.054000000000000000e+03, 3.236567074419008107e-11, 5.871625083649775399e-11, 2.105280840146938825e-10, -8.014141753721109349e-10
2.055000000000000000e+03, 3.262640311768888518e-11, 5.906804007357381425e-11, 2.273353865064325922e-10, -8.180926903537027443e-10
2.056000000000000000e+03, 6.098322359954608988e-11, 5.238560405150378201e-11, 1.474543382515033625e-10, -7.123822593497657401e-10
2.057000000000000000e+03, 6.345099104211555979e-11, 5.142483939682138126e-11, 1.237346744146366306e-10, -7.992927528091965418e-10
2.058000000000000000e+03, 6.441099565597347026e-11, 5.153983200224366002e-11, 1.114591326819163606e-10, -6.742603639194750369e-10
2.059000000000000000e+03, 6.625344534799168698e-11, 5.036987584161487080e-11, 2.133715859214788529e-10, -7.050265440865808550e-10
2.060000000000000000e+03, 6.711345570888491762e-11, 4.887332542555033148e-11, 2.983543700708209147e-10, -7.935265963254005728e-10
2.061000000000000000e+03, 6.067402097419581338e-11, 4.602544065459877988e-11, 2.509249592299681763e-10, -6.784644700571107314e-10
2.062000000000000000e+03, 6.194489029930006665e-11, 4.426893853092007969e-11, 2.262755101202817277e-10, -9.085534016153285147e-10
2.063000000000000000e+03, 6.255471985198389149e-11, 4.479063837342260428e-11, 2.225916211309204112e-10, -6.737092650228329522e-10
2.064000000000000000e+03, 6.324442726296893283e-11, 4.560873002667063755e-11, 1.837477608135941821e-10, -8.622624834391251606e-10
2.065000000000000000e+03, 6.390919500703132873e-11, 4.589320355949482377e-11, 1.584838366211118236e-10, -7.533704343197751877e-10
2.066000000000000000e+03, 6.433707148589533007e-11, 4.774085273075109119e-11, 1.863443908697997888e-10, -7.665404813055235373e-10
2.067000000000000000e+03, 6.393430912040768502e-11, 4.726021931760545441e-11, 1.837473035983414185e-10, -8.776180296032981654e-10
2.068000000000000000e+03, 6.328534678549488158e-11, 4.741865866949454904e-11, 1.682258704393967944e-10, -8.471805900184935939e-10
2.069000000000000000e+03, 6.406583657374305021e-11, 4.709489272668319161e-11, 1.439816798394377974e-10, -7.617653008576009012e-10
2.070000000000000000e+03, 6.197096527714691753e-11, 4.675392131716985130e-11, 1.721189172082846576e-10, -7.512998530047043494e-10
2.071000000000000000e+03, 4.598281763445167546e-11, 5.830876589406706504e-11, 3.258704623245687701e-10, -7.847466341940268577e-10
2.072000000000000000e+03, 4.510090583195140609e-11, 5.821885807851233276e-11, 2.615440631107783366e-10, -6.997620599332043860e-10
2.073000000000000000e+03, 4.304001501614945721e-11, 5.949427841923814734e-11, 2.869777717701950673e-10, -6.006308969133911578e-10
2.074000000000000000e+03, 4.318949123208669650e-11, 5.968834055004264142e-11, 3.295999667471112588e-10, -7.194472936427873609e-10
2.075000000000000000e+03, 4.203988492919080880e-11, 5.915623651265298235e-11, 2.004848763741552840e-10, -8.624515087957655042e-10
2.076000000000000000e+03, 4.970827291794005171e-11, 8.694007881236625259e-11, 1.850926247235816628e-10, -5.771284781388730931e-10
2.077000000000000000e+03, 4.859184036669834155e-11, 9.033596042828680071e-11, 2.536006405921720248e-10, -6.295647104663730501e-10
2.078000000000000000e+03, 4.865009448124916062e-11, 9.204578308783512666e-11, 2.481562448695985659e-10, -8.147634070185026295e-10
2.079000000000000000e+03, 4.829738635264683818e-11, 9.647883561629044246e-11, 1.906569849062055527e-10, -7.070473353255847742e-10
2.080000000000000000e+03, 4.864054054136052802e-11, 1.009575926489991220e-10, 2.581199356281232211e-10, -8.272774629126936205e-10
2.081000000000000000e+03, 3.721594511374488256e-11, 9.840770349119726834e-11, 1.756120746074591823e-10, -9.437753229357209238e-10
2.082000000000000000e+03, 3.798173156301876347e-11, 1.008606980417879014e-10, 2.166109926448357483e-10, -8.446519988932092731e-10
2.083000000000000000e+03, 3.768038674766645048e-11, 1.019413404857933480e-10, 1.929266634727574683e-10, -7.516190655884628096e-10
2.084000000000000000e+03, 3.698826280945173904e-11, 1.002289452882589542e-10, 1.723816539207960235e-10, -7.170541564939960519e-10
2.085000000000000000e+03, 3.757074717056060729e-11, 1.003568012785615479e-10, 1.549813986663700937e-10, -6.496710076239326267e-10
2.086000000000000000e+03, 4.472189374497249109e-11, 7.437799825774733376e-11, 2.842983234848245007e-10, -5.717420749868744761e-10
2.087000000000000000e+03, 4.435848980277425051e-11, 7.137727751751024907e-11, 2.370294609992871515e-10, -8.087978499033512618e-10
2.088000000000000000e+03, 4.432204426432837497e-11, 6.880528111135478506e-11, 1.750236953933075798e-10, -8.949032700473993820e-10
2.089000000000000000e+03, 4.376577408064071136e-11, 6.764321259521482316e-11, 1.838386761356608194e-10, -7.577902028127365671e-10
