year, TaiESM1, IPSL-CM6A-LR, GFDL-ESM4, MPI-ESM1-2-LR, CESM2-WACCM, UKESM1-0-LL, EC-Earth3-Veg, NorESM2-MM, NorESM2-LM
2.015000000000000000e+03, 2.550344734348074445e-11, 5.468374403799712216e-10, 1.563945339875571186e-10, 1.114742013871332501e-10, 1.349144498289566779e-10, 1.358038637337338630e-10, 1.014532634617019371e-09, 0.000000000000000000e+00, 2.685264442169479660e-11
2.016000000000000000e+03, 2.211072601534954871e-11, 5.271931857779265961e-10, 2.438140044289190168e-10, 1.233400343466103814e-10, 9.678888172264089628e-11, 1.055058035711480698e-10, 9.953302423721835447e-10, 3.325799077110181865e-11, 3.053435297459796432e-11
2.017000000000000000e+03, 2.234695146345928056e-11, 5.279796063258357627e-10, 1.465232055236355816e-10, 1.136882584862117232e-10, 1.178628990485009537e-10, 8.863888045796569306e-11, 9.567683003999125352e-10, 3.479114834932582427e-11, 2.793926602003239721e-11
2.018000000000000000e+03, 2.269740148875984883e-11, 5.109065826940295571e-10, 1.112198617016787622e-10, 9.657294525409621906e-11, 1.007680665946769959e-10, 8.912571743250947412e-11, 1.161377787255098387e-09, 3.505360446017595907e-11, 2.830727884765642432e-11
2.019000000000000000e+03, 2.294265432021011076e-11, 5.132538611978030125e-10, 1.987744293181868809e-10, 9.939523488154499262e-11, 8.822921467356584503e-11, 1.620916714991599639e-10, 1.125632471431008823e-09, 3.538496949212227530e-11, 2.870115661024527218e-11
2.020000000000000000e+03, 2.307000119187825439e-11, 5.356321382390152558e-10, 1.575633789898644934e-10, 9.175266645095278223e-11, 1.329734148256169832e-10, 1.858148133730178037e-10, 1.071238653637066106e-09, 3.578682904934202624e-11, 2.903560147951297669e-11
2.021000000000000000e+03, 2.321208025634828841e-11, 5.614647897879942083e-10, 1.719755281180084947e-10, 9.697546585815781252e-11, 1.289286521337688681e-10, 1.801569283924738961e-10, 1.150486316557028380e-09, 3.614472052380598518e-11, 2.926345052610882751e-11
2.022000000000000000e+03, 2.337930659683129536e-11, 6.070563823700360036e-10, 1.476677516498847554e-10, 9.961546452151199817e-11, 1.535629995556733269e-10, 1.953575327405995482e-10, 8.931539818912302966e-10, 3.638918669269924139e-11, 2.949048853029105740e-11
2.023000000000000000e+03, 2.349619690993020775e-11, 6.319947047229838064e-10, 1.366510551807271857e-10, 8.711116899469091543e-11, 1.117139118771480701e-10, 2.517710809416643254e-10, 9.334290572441296077e-10, 3.665219116976101910e-11, 2.976282714110947680e-11
2.024000000000000000e+03, 2.364859585834910475e-11, 6.863686174790538973e-10, 2.339527387748964076e-10, 7.534900957903119162e-11, 1.304088594267397759e-10, 1.622163520701728566e-10, 9.443272968234338727e-10, 3.695597313963095932e-11, 2.995796196903329062e-11
2.025000000000000000e+03, 2.380383289521740691e-11, 5.105308536054425336e-10, 2.109013069022661566e-10, 7.613876361086911957e-11, 1.341268747003117068e-10, 1.810904792826678976e-10, 1.125400050944731329e-09, 3.725536813368868894e-11, 3.014622589256470908e-11
2.026000000000000000e+03, 2.396914743596681916e-11, 4.233654571552507007e-10, 1.532693900737223181e-10, 1.010436382908182476e-10, 8.953251844325740342e-11, 1.505662259465299684e-10, 1.178685948187189373e-09, 3.748281340982628998e-11, 3.032059898346098419e-11
2.027000000000000000e+03, 2.407280230453686219e-11, 6.132089948721111205e-10, 2.094278710895033072e-10, 1.207852326702520857e-10, 1.300158503246683928e-10, 1.402376236458547411e-10, 1.340009726807684449e-09, 3.775862842773807095e-11, 3.055880393821980269e-11
2.028000000000000000e+03, 2.419977034757156189e-11, 4.977490720503196141e-10, 2.413635614034619592e-10, 1.365792198812014034e-10, 1.245641479265880286e-10, 9.255075297650909946e-11, 1.116338005224428574e-09, 3.806241319732350143e-11, 3.082731359235539580e-11
2.029000000000000000e+03, 2.435930140931123068e-11, 5.024579686332005607e-10, 2.228161753337913991e-10, 1.417683562712049671e-10, 1.000906360951328587e-10, 2.141358647587944250e-10, 1.115155986688947203e-09, 3.837097249253025035e-11, 3.110745259901037471e-11
2.030000000000000000e+03, 2.433908299005208749e-11, 4.190989959006499162e-10, 1.542568256814745715e-10, 1.305609577457538991e-10, 1.216650391591127054e-10, 1.709028152721357028e-10, 1.155635296065314725e-09, 3.856074716697924605e-11, 3.131415335326957488e-11
2.031000000000000000e+03, 2.439939735538571208e-11, 6.381006755017521538e-10, 1.974078939127026983e-10, 1.615454119623008962e-10, 8.748281821450520294e-11, 1.261841335535655498e-10, 1.123099234456762971e-09, 3.870523798857800458e-11, 3.146542153701172384e-11
2.032000000000000000e+03, 2.461277416980482020e-11, 6.421197029525234434e-10, 1.822967421681349024e-10, 1.294551507214849374e-10, 1.134809708013605410e-10, 1.802066549225229343e-10, 8.903171467142733816e-10, 3.880989095000442962e-11, 3.158699231415671454e-11
2.033000000000000000e+03, 2.474761482380662774e-11, 5.351181672375680211e-10, 1.527169915156895374e-10, 1.170921895062370907e-10, 1.130425703286440808e-10, 1.900657574283211223e-10, 1.134112678548380403e-09, 3.897061710631772092e-11, 3.170629806100810020e-11
2.034000000000000000e+03, 2.485589808067974847e-11, 5.892413636181353382e-10, 1.432450084029575815e-10, 1.291106897186475474e-10, 1.817430199949023403e-10, 9.928963624764459881e-11, 1.352352984231938967e-09, 3.906344586115455878e-11, 3.188926018111927807e-11
2.035000000000000000e+03, 2.509263713986809689e-11, 6.989876678217161657e-10, 1.323728275184458802e-10, 1.474723719017418597e-10, 2.019240856601977254e-10, 1.088633311843711427e-10, 1.117931223979249470e-09, 3.918429297055108151e-11, 3.213513844107755962e-11
2.036000000000000000e+03, 2.531485377029754191e-11, 5.337078747942106524e-10, 1.642008224216438226e-10, 1.382584786502887717e-10, 1.577123165984499575e-10, 1.177100603647522016e-10, 9.554583550545630457e-10, 3.932106056922836868e-11, 3.229633126706409090e-11
2.037000000000000000e+03, 2.547604851294223813e-11, 6.611278625130788753e-10, 1.536121969309592102e-10, 1.053431873438233532e-10, 9.450678213364164768e-11, 1.210252191979328247e-10, 1.177224518925479840e-09, 3.950238980877465030e-11, 3.235678935882682647e-11
2.038000000000000000e+03, 2.574203298067072500e-11, 6.064364868248886267e-10, 1.683596096256188256e-10, 8.909642692207550869e-11, 1.542746649261958428e-10, 1.330446507630033614e-10, 1.300385146317607806e-09, 3.969514969435183384e-11, 3.238809480425529770e-11
2.039000000000000000e+03, 2.602012296104178448e-11, 6.000899849342179223e-10, 1.972723403583181118e-10, 8.361357476073743750e-11, 1.506064686811700906e-10, 1.249494959022016982e-10, 1.214505724363829927e-09, 3.981687513813495875e-11, 3.252585958370598049e-11
2.040000000000000000e+03, 2.616889572508737424e-11, 7.014228462727435180e-10, 2.532024573003701459e-10, 9.483372535369489038e-11, 1.086410898083075185e-10, 1.231221197254038955e-10, 1.010478598175896120e-09, 3.993870279194582058e-11, 3.269918673215966408e-11
