year, CMCC-ESM2, TaiESM1, CESM2-WACCM, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, EC-Earth3-Veg, NorESM2-LM, MPI-ESM1-2-LR, NorESM2-MM
2.015000000000000000e+03, 5.343647915140480151e-11, 3.591631266100338485e-10, 1.382239959075026428e-10, 3.999321658707772829e-13, 1.505541667820983392e-10, 9.160964997892147255e-11, 7.093191639555694361e-11, 2.172487511551224297e-10, 3.077086879743401934e-11, 1.966808742281565109e-10
2.016000000000000000e+03, 5.482833131520345933e-11, 3.019024144736609088e-10, 6.112216952789929631e-11, 2.224298838532601970e-13, 8.667778366850745206e-11, 5.947566194843286367e-11, 4.550952127484855049e-11, 1.790512167608165023e-10, 3.307071907976141088e-11, 1.901832746983069580e-10
2.017000000000000000e+03, 5.492542135229729342e-11, 2.541246084512736254e-10, 5.693196953144851540e-11, 1.705202173301648395e-13, 8.901877873411309904e-11, 6.113495349176731020e-11, 3.697354446198589083e-11, 1.908269965607902236e-10, 3.383087069976028849e-11, 2.442852960167360505e-10
2.018000000000000000e+03, 5.609618904544091101e-11, 2.166794204996676737e-10, 5.447831403161924207e-11, 1.712789597885376061e-13, 9.318144849546361317e-11, 6.148283952276608314e-11, 3.854156865088890508e-11, 1.385456535036987032e-10, 3.445076647655259722e-11, 2.646925432858412759e-10
2.019000000000000000e+03, 5.827709920115912287e-11, 1.849878732974759966e-10, 5.245462567427153756e-11, 1.812787808597170012e-13, 9.039455906387255957e-11, 6.283848171629505620e-11, 3.968346039676993690e-11, 1.595299078394733907e-10, 3.499705687808596866e-11, 2.171133960130559953e-10
2.020000000000000000e+03, 4.365164288048378582e-11, 1.662783476483558502e-10, 5.342630616172722891e-11, 2.007429984000709609e-13, 1.089143343905699825e-10, 6.035360075816264056e-11, 4.322082169920592577e-11, 1.778677655399537232e-10, 2.970815668064946567e-11, 2.520097542216457247e-10
2.021000000000000000e+03, 4.232887983404717119e-11, 1.477343888212043778e-10, 5.098342116618605084e-11, 1.625947980598129726e-13, 4.221219813603591772e-11, 4.998453389178825646e-11, 3.236622990645913539e-11, 1.729759115056853693e-10, 2.660703656860905247e-11, 2.055786741117721336e-10
2.022000000000000000e+03, 4.093281488279024961e-11, 1.315626596607363889e-10, 4.924308904469043812e-11, 1.405897809991077087e-13, 4.281212171653078985e-11, 4.335842074330580237e-11, 3.154962220974100034e-11, 1.795472921966977888e-10, 2.624516917345551856e-11, 2.225632142355724426e-10
2.023000000000000000e+03, 4.065355519661217876e-11, 1.178094596482064217e-10, 4.795423900158096598e-11, 1.456982000573239558e-13, 4.266144509736276255e-11, 4.436510041207388353e-11, 3.086416607020737925e-11, 1.787145437304974045e-10, 2.608491775590114102e-11, 2.333731821988285566e-10
2.024000000000000000e+03, 4.189518319469812472e-11, 1.087111096653430156e-10, 4.733505913711836233e-11, 1.368219656446319488e-13, 4.463819193425398895e-11, 4.393110580838533889e-11, 3.521701543286104704e-11, 1.867480035383937585e-10, 2.583709952747002267e-11, 2.358182022968603382e-10
