year, IPSL-CM6A-LR, NorESM2-LM, CMCC-CM2-SR5, CNRM-ESM2-1, CanESM5, EC-Earth3-Veg, MPI-ESM1-2-LR, ACCESS-ESM1-5, MIROC-ES2L, INM-CM5-0, GFDL-ESM4, NorESM2-MM, INM-CM4-8, UKESM1-0-LL, CESM2-WACCM, TaiESM1
2.015000000000000000e+03, 6.168452964508823300e+00, 5.327254512307685097e+00, 3.743737090272487134e+00, 3.504471601103756218e+00, 6.545436950862056236e+00, 7.464684069917787212e+00, 3.690881431980322258e+00, 3.405510446390788815e+00, 2.825708697502794742e+00, 6.282748855855051495e+00, 4.291048338990510302e+00, 4.700092116396122677e+00, 7.663238818319403123e+00, 3.265629149942266274e+00, 5.948796892457735908e+00, 4.266157117438807767e+00
2.016000000000000000e+03, 5.593084102702814420e+00, 5.886605220809626893e+00, 3.484952890065305731e+00, 2.844876372728660119e+00, 7.169313345058807130e+00, 6.415446122073539037e+00, 3.239577444451767541e+00, 3.818014425486053742e+00, 3.030598344193151217e+00, 6.975833509091925677e+00, 2.834245335994871606e+00, 5.289919497105700863e+00, 7.518766868318513374e+00, 2.348554482577879465e+00, 5.249604770673760079e+00, 3.491574686491238033e+00
2.017000000000000000e+03, 4.777750551719059047e+00, 4.854292855843523213e+00, 5.287374930297492170e+00, 4.263225210860476899e+00, 7.090280963056729391e+00, 8.307474967516748521e+00, 1.890215367173193828e+00, 3.892785117748500223e+00, 2.993392444064356006e+00, 7.399475921335250561e+00, 2.161146050067046520e+00, 5.201706219819153709e+00, 8.343700461598855256e+00, 3.174609761597666058e+00, 5.719444815129553383e+00, 5.165395074164213618e+00
2.018000000000000000e+03, 5.650795176508600193e+00, 4.851208341636408683e+00, 5.058708039547360258e+00, 3.653949729183493922e+00, 6.254543411718761270e+00, 8.100635283151271793e+00, 3.211788120050698581e+00, 3.986981470550970741e+00, 2.933957037497609388e+00, 6.043781932568837334e+00, 2.089283341045934161e+00, 5.550748261288465990e+00, 7.420614870545636066e+00, 2.520377286995324262e+00, 5.452262358233868511e+00, 5.648276497329865364e+00
2.019000000000000000e+03, 6.373752469873376292e+00, 5.052277305388537698e+00, 4.042041591663873668e+00, 3.176225830708541142e+00, 5.607548020711189629e+00, 7.658472436023956220e+00, 2.496195925639686841e+00, 3.362172179595819266e+00, 2.478286116959379282e+00, 6.603383880623920454e+00, 2.949646353780080332e+00, 5.679628382245723195e+00, 7.848595811220725693e+00, 2.512596681752912176e+00, 5.362501970268256812e+00, 4.041837933228046076e+00
2.020000000000000000e+03, 6.372656659924592404e+00, 5.079114867596882021e+00, 3.183187599229006626e+00, 2.864214960515889086e+00, 6.804595116529502441e+00, 8.323376899491295333e+00, 3.583977459581914715e+00, 2.939662003384192257e+00, 2.671785601199707205e+00, 7.183577444442927451e+00, 2.572270544899213807e+00, 6.162009455073651054e+00, 8.620951866036101308e+00, 3.424227554449394972e+00, 5.990678562149811093e+00, 4.204238549887808318e+00
2.021000000000000000e+03, 5.210667311151318870e+00, 5.410390377687265939e+00, 3.681318632228674836e+00, 3.464444368930215123e+00, 7.275890657903892667e+00, 5.914638846899443081e+00, 4.716518023595007492e+00, 3.024279592759812729e+00, 2.751495466184363803e+00, 6.919551823403965685e+00, 2.522262168575021501e+00, 6.324788992514723596e+00, 7.556787358743998873e+00, 3.838632017297678001e+00, 5.255264863090736149e+00, 5.542233376816278145e+00
2.022000000000000000e+03, 6.683432363045466396e+00, 5.627253945061853280e+00, 3.884163992737443838e+00, 2.854829111684250798e+00, 5.994868077363553205e+00, 6.300947010660186365e+00, 3.382535409899833923e+00, 3.526650831732295099e+00, 2.931593066642715240e+00, 5.973494785571188181e+00, 2.200528451895072291e+00, 6.208647779439130154e+00, 6.877016480667862197e+00, 3.703457570085590955e+00, 4.532026935098036446e+00, 5.179199033054151968e+00
2.023000000000000000e+03, 6.602739184605566969e+00, 6.008051094783186663e+00, 5.288090451280139881e+00, 4.007658926876978001e+00, 6.191581077241732345e+00, 5.979039031177189933e+00, 4.208614888029566181e+00, 3.615590597802825990e+00, 2.720634428140784600e+00, 6.485159355481044052e+00, 4.186214442143874948e+00, 6.015790021983357327e+00, 7.785714504271203040e+00, 5.360373432444430541e+00, 4.977795822181612095e+00, 4.830466974211165443e+00
2.024000000000000000e+03, 6.053928837215794445e+00, 6.698891711503392798e+00, 5.081755059935347596e+00, 4.559499586622401068e+00, 7.084796950582967767e+00, 7.807388370766953578e+00, 2.358447601424480400e+00, 2.833931002642476660e+00, 2.982997585594867385e+00, 6.942100612297657847e+00, 3.893154710504644900e+00, 5.884353011732986083e+00, 8.438297923684720203e+00, 2.526244564022760208e+00, 5.423498340726417233e+00, 4.718196771637679809e+00
2.025000000000000000e+03, 4.106818190280026926e+00, 6.729024853507959314e+00, 4.336239890083946058e+00, 3.822347132571309647e+00, 6.378630008955903818e+00, 8.631166163373537259e+00, 3.270717799060714359e+00, 3.526405848675743027e+00, 3.097700297924339985e+00, 6.892154667528299861e+00, 2.255199812529688597e+00, 6.248202863470818436e+00, 8.986526933359243685e+00, 2.549852921171832154e+00, 5.334046707801409326e+00, 4.315523787034296177e+00
2.026000000000000000e+03, 5.770082650467204921e+00, 5.703726167261892854e+00, 3.583986905765903508e+00, 3.237083138421699147e+00, 6.514380521005592506e+00, 8.683797184252355805e+00, 5.407717294070363501e+00, 4.189379392404515734e+00, 3.095397677988329210e+00, 7.575973123732211434e+00, 3.344687377427201902e+00, 6.306946420804113274e+00, 8.906470917675584076e+00, 2.156262660455537716e+00, 5.528971699795381056e+00, 4.580754653036390067e+00
