year, IPSL-CM6A-LR, TaiESM1, UKESM1-0-LL, CNRM-ESM2-1, ACCESS-ESM1-5, CMCC-CM2-SR5, INM-CM5-0, NorESM2-MM, EC-Earth3-Veg, INM-CM4-8, CanESM5, CESM2-WACCM, MPI-ESM1-2-LR, NorESM2-LM, MIROC-ES2L, GFDL-ESM4
2.015000000000000000e+03, 2.344041911355428276e+00, 1.845503948575053288e+00, 1.470861794476119533e+00, 1.249323089784058149e+00, 2.015582129755280505e+00, 2.099398653907745604e+00, 1.776159962931382008e+00, 1.439568148920654878e+00, 1.494118007038417240e+00, 2.425682906885248791e+00, 2.197067475051348584e+00, 1.822722491263304212e+00, 1.123691429322437374e+00, 2.081187565246220839e+00, 2.273361596135543561e+00, 1.961058290288166583e+00
2.016000000000000000e+03, 2.051449710784539970e+00, 1.508199438464327136e+00, 1.303083201559833260e+00, 9.750446524790844505e-01, 1.863450066749188672e+00, 1.918252552284939849e+00, 2.314800905994003344e+00, 1.834839403783395495e+00, 1.255217147914751141e+00, 2.508616880803756999e+00, 2.421133162997513022e+00, 1.636956685719484383e+00, 8.715841032905033980e-01, 2.050899654043197184e+00, 2.268462542420373040e+00, 1.396032828108327406e+00
2.017000000000000000e+03, 1.910424465493916202e+00, 2.803354075479376650e+00, 1.513760571999183790e+00, 1.280525777782986818e+00, 2.028934222042628299e+00, 3.114305670016102034e+00, 2.258262996433148206e+00, 1.529069758920087896e+00, 1.593660628866268469e+00, 2.839808833453144388e+00, 2.333812130378484451e+00, 1.924349065591945074e+00, 5.512277801517190268e-01, 1.513989932657707760e+00, 2.213998166957575009e+00, 1.009558214666111287e+00
2.018000000000000000e+03, 2.255024052372804899e+00, 3.031646785912400777e+00, 1.283284541438168613e+00, 1.213977350473525396e+00, 1.953737339475536183e+00, 3.071990340761244109e+00, 1.816311517247127139e+00, 1.719665487779941104e+00, 1.653950183595534140e+00, 2.166058736655929184e+00, 1.329201133716215066e+00, 1.772903174535416904e+00, 9.227794164354236051e-01, 1.454777583055008705e+00, 2.148269017849318008e+00, 1.083764001723050985e+00
2.019000000000000000e+03, 2.340987652229871152e+00, 1.524884483485222875e+00, 1.389328631336099518e+00, 1.056285408245779323e+00, 1.344037435338292008e+00, 2.481004799170351660e+00, 1.915657014827432114e+00, 1.916651350943974652e+00, 1.867028407851480054e+00, 2.456976443520319187e+00, 1.363363630533226845e+00, 1.717524448336094522e+00, 7.698663563618893813e-01, 1.999070617529984606e+00, 1.601193973821882777e+00, 1.498482270796217319e+00
2.020000000000000000e+03, 2.377425816384256319e+00, 1.905676758391949610e+00, 1.641915642200886039e+00, 9.460630432306014193e-01, 1.339434263971804207e+00, 1.698391392536230837e+00, 2.244422881473568054e+00, 1.964381234981013691e+00, 1.632718662464177850e+00, 2.773924135033837057e+00, 2.155672638826642729e+00, 2.413667108945112272e+00, 1.164786615593298436e+00, 2.085365943261066501e+00, 1.900409133658442551e+00, 1.297204330451671161e+00
2.021000000000000000e+03, 2.041531753815416295e+00, 2.929953720639028703e+00, 1.816325019745391067e+00, 1.058496852601834792e+00, 1.491264134455008827e+00, 1.976524938669592224e+00, 2.051142128112727114e+00, 2.085294821682760702e+00, 1.084293769850994904e+00, 2.349923050861527418e+00, 2.256425599063479837e+00, 1.604604022989259304e+00, 1.122371080381461939e+00, 1.813491163715662990e+00, 2.243160240643202297e+00, 1.383315971407006018e+00
2.022000000000000000e+03, 2.598658031229739152e+00, 2.306901737905186600e+00, 1.690552733085153525e+00, 1.004616679679893876e+00, 1.977110219944037128e+00, 1.933060974322311054e+00, 1.714194467748237694e+00, 2.032351180061864770e+00, 1.174312388436463461e+00, 1.975083649777398920e+00, 1.621346480906503684e+00, 1.315304425287325829e+00, 1.063155906268686168e+00, 2.285325750369668008e+00, 2.177000856920167315e+00, 1.138384441194096430e+00
2.023000000000000000e+03, 2.307842592257795200e+00, 2.223906938425642466e+00, 2.048606957130224782e+00, 1.330793489530984974e+00, 1.560976851482850813e+00, 2.881017611509961274e+00, 2.026983596663119336e+00, 2.096996523686204039e+00, 1.180580997429604428e+00, 2.371519644188647025e+00, 1.805937864439010054e+00, 1.519713692386216009e+00, 1.133650411018463311e+00, 3.133825536094974495e+00, 2.029495051615321177e+00, 2.312415302972853581e+00
2.024000000000000000e+03, 2.292962875451800553e+00, 2.092253283521182450e+00, 1.096399849104098712e+00, 1.348636877576176785e+00, 1.190142652991255323e+00, 2.922697254554355695e+00, 2.150164416364172659e+00, 1.659249536241460987e+00, 1.590092048305203454e+00, 2.633207488070369973e+00, 2.116006276366138028e+00, 1.594963300734469680e+00, 7.171826061203635527e-01, 3.996966993033861382e+00, 2.031896258469383376e+00, 1.624021907511915996e+00
2.025000000000000000e+03, 1.468660795441493194e+00, 1.828055884251692520e+00, 1.504510749371645639e+00, 1.267762243022081403e+00, 2.519115156481203766e+00, 2.692204308917520272e+00, 2.096496194500502064e+00, 2.210991766374334588e+00, 1.467688744539615620e+00, 3.043758519315845845e+00, 1.671707156639251179e+00, 1.686839777594618450e+00, 1.103999999343093341e+00, 2.984775083736423529e+00, 2.615699472737843312e+00, 1.028240642767788371e+00
2.026000000000000000e+03, 2.445236936041027320e+00, 1.765634875076859789e+00, 1.260115765599849391e+00, 1.192881757575167789e+00, 2.104174554094006666e+00, 1.904327361022066567e+00, 2.450886476502009081e+00, 2.089900303087831368e+00, 1.766454318546880620e+00, 3.107922149868400208e+00, 2.096828458264893058e+00, 1.711696889228707441e+00, 1.142046620402510149e+00, 1.827623761961929105e+00, 2.238512695268452202e+00, 1.600309179422289008e+00
2.027000000000000000e+03, 2.522961175955952484e+00, 2.324510803505658085e+00, 1.116709867482356566e+00, 9.541990367279661323e-01, 1.065327227540075583e+00, 2.562193314406686628e+00, 2.323790526520781885e+00, 1.703223753078271674e+00, 1.871232764887191147e+00, 2.434718424469012987e+00, 1.913603390136210169e+00, 1.606691520617109736e+00, 1.075865803782570795e+00, 1.786114599422712779e+00, 2.198095815302176792e+00, 1.808048366285683217e+00
2.028000000000000000e+03, 1.909989894496116891e+00, 1.931897324945971217e+00, 1.282444904553499132e+00, 1.453295107453982382e+00, 1.315314874632467435e+00, 3.197524372368850898e+00, 2.592889593337438292e+00, 1.739758006607433405e+00, 1.755245721640247059e+00, 2.245447833158467521e+00, 1.735221202426498799e+00, 1.864513582424617066e+00, 8.306742620477557404e-01, 1.745308598319115001e+00, 2.020588577214923021e+00, 1.736274304526860268e+00
2.029000000000000000e+03, 1.746672307175474614e+00, 1.774341565412234756e+00, 1.887377114810860457e+00, 1.247081293657217760e+00, 1.673952323142656740e+00, 3.274588393375494899e+00, 2.450028199061126344e+00, 1.823877580506634732e+00, 1.447558942659622927e+00, 2.435647096833893688e+00, 1.816248476450876392e+00, 1.465832402815604896e+00, 9.304510013067414098e-01, 2.689804079578362206e+00, 2.313436322769338194e+00, 1.184161441273317017e+00
2.030000000000000000e+03, 2.689477594292486007e+00, 1.779518901468543524e+00, 1.626054112499981219e+00, 1.221164022706510144e+00, 2.531174181178608151e+00, 3.143721634236966711e+00, 2.366705360986113504e+00, 2.098382676294303195e+00, 1.772007769252335496e+00, 2.928602008089405295e+00, 1.919482321149038162e+00, 1.677550477571350118e+00, 1.625090942538570893e+00, 2.848749539765215388e+00, 2.214844578186262680e+00, 1.542822392982939883e+00
2.031000000000000000e+03, 2.570242455790811675e+00, 3.122543805014353691e+00, 1.235399403991888967e+00, 9.146988103878066489e-01, 1.681564609110428377e+00, 1.966422172467724439e+00, 2.172310544578918812e+00, 1.797226478209562162e+00, 1.293459495082427413e+00, 2.590612661573071129e+00, 1.717765783499487497e+00, 1.263236917896484623e+00, 1.039020086591382785e+00, 2.524604246261441087e+00, 2.044933442475022733e+00, 1.363945086558239650e+00
