year, TaiESM1, EC-Earth3-Veg, INM-CM4-8, GFDL-ESM4, CMCC-CM2-SR5, NorESM2-LM, ACCESS-ESM1-5, UKESM1-0-LL, CNRM-ESM2-1, MPI-ESM1-2-LR, CESM2-WACCM, MIROC-ES2L, INM-CM5-0, CanESM5, IPSL-CM6A-LR, NorESM2-MM
1.850000000000000000e+03, 1.864612000795691316e+01, 1.362705504141752044e+01, 6.451342214016034404e+01, 8.697606825932757602e+01, 3.372148584318892262e+01, 4.818136006823441164e+01, 5.500801535591680391e+01, 4.110440013609425591e+01, 4.578229453372368596e+01, 2.863432584587805252e+01, 5.828582916234143596e+01, 3.998521980214416516e+01, 6.410304410287508858e+01, 3.774978861383686990e+01, 1.157145611471985980e+01, 5.102786918641455571e+01
1.851000000000000000e+03, 1.863173534654985986e+01, 1.356620391892341004e+01, 6.452339696578778216e+01, 8.690462128692254851e+01, 3.401071967354599224e+01, 4.815336913550113707e+01, 5.508490901260255868e+01, 4.117643354163132585e+01, 4.594734970703610344e+01, 2.858932527949652425e+01, 5.822316777710967983e+01, 4.007883015454822839e+01, 6.421443947950363906e+01, 3.771583136233851263e+01, 1.156335697555152464e+01, 5.118571117244933788e+01
1.852000000000000000e+03, 1.862649094016533269e+01, 1.346608429478082414e+01, 6.453716950630966664e+01, 8.678108133297527615e+01, 3.430006426703461386e+01, 4.830600934053014583e+01, 5.509293532516358738e+01, 4.117143485473346942e+01, 4.595779079181152582e+01, 2.848301824514026492e+01, 5.832517354907893292e+01, 4.018156470402275460e+01, 6.420554115445278853e+01, 3.772286584033165724e+01, 1.158077384601626569e+01, 5.135602784830292222e+01
1.853000000000000000e+03, 1.856628176492744586e+01, 1.331053631204235366e+01, 6.453254489446125319e+01, 8.674725921232577264e+01, 3.445482146226035525e+01, 4.841938990716993629e+01, 5.510811874984249670e+01, 4.119399057202595316e+01, 4.599414334674334270e+01, 2.859744953211800222e+01, 5.835557382136105531e+01, 4.022297714576989591e+01, 6.408922139828499098e+01, 3.773256925137806661e+01, 1.159872337183525204e+01, 5.148484056139279375e+01
1.854000000000000000e+03, 1.851131935003483520e+01, 1.326906578319201024e+01, 6.458271062056357437e+01, 8.667299990985270597e+01, 3.463242665335032910e+01, 4.860163606861008390e+01, 5.518304748796504811e+01, 4.126318300083949708e+01, 4.600035017689754824e+01, 2.863233101706148531e+01, 5.801455748793397049e+01, 4.017526035159212938e+01, 6.402368388322470594e+01, 3.763457997610924366e+01, 1.158877754460126930e+01, 5.149538013347047638e+01
1.855000000000000000e+03, 1.852107473337739307e+01, 1.327220357359631819e+01, 6.463051575029405171e+01, 8.640981270614256005e+01, 3.472098646723416238e+01, 4.868689685235316489e+01, 5.520696419504613317e+01, 4.112185889540288741e+01, 4.600390609693955923e+01, 2.858371673208219477e+01, 5.774275246646196535e+01, 4.006917513537710818e+01, 6.408130622748961969e+01, 3.754704300659334137e+01, 1.158899176027561673e+01, 5.150758337937909914e+01
1.856000000000000000e+03, 1.852919686995390336e+01, 1.329370447829843194e+01, 6.468777263586113691e+01, 8.630031665297813959e+01, 3.478219616265250380e+01, 4.870112041656276602e+01, 5.526927560436626408e+01, 4.102053992493707568e+01, 4.600095477667609600e+01, 2.850264105115608615e+01, 5.797746441016305141e+01, 4.003609078885426698e+01, 6.412209786672748635e+01, 3.749580104183312557e+01, 1.162325957684619837e+01, 5.131073837898411938e+01
1.857000000000000000e+03, 1.845939533489806905e+01, 1.328496252710847614e+01, 6.460783192668856145e+01, 8.629700826765346733e+01, 3.498853649632516039e+01, 4.880602836433599379e+01, 5.530069347757496701e+01, 4.109188901593886811e+01, 4.606792618592678679e+01, 2.847991090315786167e+01, 5.819785929024992299e+01, 3.984906354057142863e+01, 6.409126441176483979e+01, 3.734291572238176826e+01, 1.163424139591657180e+01, 5.108102969131223148e+01
1.858000000000000000e+03, 1.846644785873368022e+01, 1.322346745154438530e+01, 6.458379538305628387e+01, 8.638102443563263932e+01, 3.525994515510726046e+01, 4.893210572584585805e+01, 5.530463239519671248e+01, 4.135118121747717623e+01, 4.616192803799057742e+01, 2.847207036922375778e+01, 5.817066230074266997e+01, 3.964475737579011394e+01, 6.407212505950226955e+01, 3.728217208869894250e+01, 1.166027499812181389e+01, 5.115845278169184240e+01
1.859000000000000000e+03, 1.854573296489327205e+01, 1.322338927699558120e+01, 6.460416801688289468e+01, 8.648179425207575832e+01, 3.526175214656672097e+01, 4.873219090773703499e+01, 5.533503259554307618e+01, 4.137947555758499618e+01, 4.621642961390603688e+01, 2.857892033837069690e+01, 5.801725048591617195e+01, 3.950369168790577845e+01, 6.407891294746053745e+01, 3.735985610653001743e+01, 1.168755259040649364e+01, 5.140461277962526765e+01
