year, NorESM2-LM, IPSL-CM6A-LR, INM-CM4-8, CMCC-CM2-SR5, GFDL-ESM4, TaiESM1, INM-CM5-0, EC-Earth3-Veg, CESM2-WACCM, CanESM5, UKESM1-0-LL, ACCESS-ESM1-5, CNRM-ESM2-1, MPI-ESM1-2-LR, MIROC-ES2L, NorESM2-MM
1.850000000000000000e+03, 1.447824256181896363e+00, 1.638321102371712801e+00, 1.660106478632335847e+00, 1.390060180644104193e+00, 1.735207781673663296e+00, 1.418302766979425700e+00, 1.681802260649504221e+00, 1.359820526803759977e+00, 1.529400424917565449e+00, 1.361948819463114857e+00, 1.535205622900613909e+00, 1.970402634075023807e+00, 1.716263147338635831e+00, 1.701402803421776966e+00, 1.622933299487338887e+00, 1.443282438306363824e+00
1.851000000000000000e+03, 1.452309663954610475e+00, 1.712245016322077706e+00, 1.717644966962993625e+00, 1.494252198553609912e+00, 1.820779101772472597e+00, 1.404815665678945669e+00, 1.615597296417844220e+00, 1.372777848074829166e+00, 1.529197070791594060e+00, 1.401565755839834448e+00, 1.477530440861619887e+00, 1.924126044119542245e+00, 1.713927824284316781e+00, 1.623301786375453082e+00, 1.667960781431603312e+00, 1.472080188631899267e+00
1.852000000000000000e+03, 1.482597074374456980e+00, 1.692867459264612462e+00, 1.593230498577619336e+00, 1.484782517590351736e+00, 1.766475917649232841e+00, 1.480835055552829793e+00, 1.590187926271263263e+00, 1.357687866240846475e+00, 1.589199510264625470e+00, 1.443237004307971416e+00, 1.567909713504688662e+00, 1.932834734467713256e+00, 1.635440242496521757e+00, 1.650154059330145584e+00, 1.676163177116876346e+00, 1.460278457771552185e+00
1.853000000000000000e+03, 1.518611157924950827e+00, 1.675694754315827817e+00, 1.692507913582861123e+00, 1.522326430766136163e+00, 1.721203167667782141e+00, 1.412338106358594247e+00, 1.675054544948950008e+00, 1.354780248973124879e+00, 1.494533695096107673e+00, 1.415722657355700909e+00, 1.512019815286791635e+00, 1.854153320049548137e+00, 1.708394368953836562e+00, 1.661682303783302617e+00, 1.631476088413956305e+00, 1.461259456115745703e+00
1.854000000000000000e+03, 1.451904034102145191e+00, 1.641508615929617498e+00, 1.677385260856989690e+00, 1.493132525583393599e+00, 1.761414146644103340e+00, 1.353439588542176608e+00, 1.650243974449160600e+00, 1.358265447901630951e+00, 1.541679941492194450e+00, 1.329278043112749108e+00, 1.571585830976180098e+00, 1.869476475177405117e+00, 1.640732804515417032e+00, 1.761758075335143392e+00, 1.756223956401679054e+00, 1.350720664619168288e+00
1.855000000000000000e+03, 1.474454500833311199e+00, 1.671565946052947060e+00, 1.606306401734361122e+00, 1.535796339362696328e+00, 1.791523034977442030e+00, 1.384747597188372925e+00, 1.647710275613069708e+00, 1.389094591718866178e+00, 1.477654191814230966e+00, 1.428737286309297971e+00, 1.499425996508869874e+00, 1.911320380175761002e+00, 1.558709519660542941e+00, 1.707450536062733226e+00, 1.649203229331509757e+00, 1.469339099371795632e+00
1.856000000000000000e+03, 1.468133644665691184e+00, 1.730804490012986419e+00, 1.729112129682272680e+00, 1.472520681757255590e+00, 1.759979500977890021e+00, 1.372404759426728127e+00, 1.686097526273562464e+00, 1.359609418753096710e+00, 1.529702361105848674e+00, 1.406334690426975120e+00, 1.654889950307303570e+00, 1.891806733563540455e+00, 1.603124617980969946e+00, 1.673559563867357047e+00, 1.628721208404072751e+00, 1.478059462332322660e+00
1.857000000000000000e+03, 1.444500800173135868e+00, 1.727823693901881841e+00, 1.687442877733563495e+00, 1.457476384198475694e+00, 1.833327511709289093e+00, 1.338514750629588246e+00, 1.663995933385375992e+00, 1.325879039369041168e+00, 1.485212657627327237e+00, 1.357499365266567670e+00, 1.595936523838906718e+00, 1.950192840244507453e+00, 1.626772329004462669e+00, 1.712241462451827179e+00, 1.692781448946697909e+00, 1.514252627204573987e+00
1.858000000000000000e+03, 1.513081615106120381e+00, 1.685497729442992254e+00, 1.712277636656309499e+00, 1.536814899834005432e+00, 1.787743133596546796e+00, 1.389234327964719684e+00, 1.693452375259365983e+00, 1.337080187102031914e+00, 1.476525326093282908e+00, 1.396392223973123459e+00, 1.598527031247191310e+00, 1.872672211094845052e+00, 1.684176128843870357e+00, 1.744971774325228209e+00, 1.641210196960905643e+00, 1.455432148995612351e+00
1.859000000000000000e+03, 1.456478904744417768e+00, 1.751069257237866994e+00, 1.635658787931988822e+00, 1.494038081832526732e+00, 1.742529358008039653e+00, 1.346660127120907324e+00, 1.680896624460482380e+00, 1.300400008426105813e+00, 1.542406083222471302e+00, 1.417129951635333285e+00, 1.615753950969148756e+00, 1.902566526867939034e+00, 1.629349338892891241e+00, 1.685333412071172488e+00, 1.617298444243690847e+00, 1.453825991280052854e+00
1.860000000000000000e+03, 1.454738432458292818e+00, 1.670909227662774388e+00, 1.669008085650087514e+00, 1.429973308660575704e+00, 1.829157369427088620e+00, 1.416060835040788835e+00, 1.605556607456009921e+00, 1.317112944776215544e+00, 1.484507048499421167e+00, 1.391029500032801680e+00, 1.595018453028461902e+00, 1.883283165404216364e+00, 1.602335662199736444e+00, 1.669265927509961056e+00, 1.656521782104572349e+00, 1.457079800098091793e+00
1.861000000000000000e+03, 1.517303466286897384e+00, 1.706217944505066253e+00, 1.630921471491777019e+00, 1.450355517093382840e+00, 1.796262523451008786e+00, 1.408186450289654390e+00, 1.651082747147877727e+00, 1.365556233088177418e+00, 1.564361015608019656e+00, 1.404067317047219765e+00, 1.611098588726357805e+00, 1.897972089495748138e+00, 1.661288175874404471e+00, 1.636185003776828850e+00, 1.636148454781645389e+00, 1.500471197060104789e+00
1.862000000000000000e+03, 1.493069852370307427e+00, 1.734985850226846926e+00, 1.674364166800371923e+00, 1.462249053143293231e+00, 1.751558787951618790e+00, 1.430541597559687350e+00, 1.672922946425833945e+00, 1.337375036818582830e+00, 1.485623833837558916e+00, 1.452447486965855905e+00, 1.591847849775035018e+00, 1.865854803470311962e+00, 1.642558051724170909e+00, 1.671060232676637280e+00, 1.723226845125009454e+00, 1.481310460423773678e+00
1.863000000000000000e+03, 1.440331907321200644e+00, 1.607768704208426103e+00, 1.694463365246210662e+00, 1.481219878703973647e+00, 1.757640655333404078e+00, 1.384848633330925560e+00, 1.614631085775879660e+00, 1.355537915008695249e+00, 1.502233899957063912e+00, 1.376565703509693428e+00, 1.567044015020468972e+00, 1.876802344708880632e+00, 1.688289441852446338e+00, 1.684112271708588349e+00, 1.700314814031298027e+00, 1.482677083259558382e+00
1.864000000000000000e+03, 1.436752457182891574e+00, 1.654809445721295624e+00, 1.656422193344933680e+00, 1.513695955464943399e+00, 1.855137126414833304e+00, 1.456751496274685032e+00, 1.621868047820433256e+00, 1.388940215060394889e+00, 1.498315953958511138e+00, 1.396359911232656126e+00, 1.510045214463850982e+00, 1.851946160334672964e+00, 1.639806047454629878e+00, 1.729869986055309727e+00, 1.647298538956493363e+00, 1.462584242277864099e+00
1.865000000000000000e+03, 1.463456812429187348e+00, 1.587209222860246793e+00, 1.580636453990077017e+00, 1.529329317834683621e+00, 1.760441538441479103e+00, 1.452275764558959903e+00, 1.669852856574023381e+00, 1.345997439769914150e+00, 1.430251716945632356e+00, 1.465135332822027125e+00, 1.613065251110161302e+00, 1.949062841946062941e+00, 1.618438207429485631e+00, 1.744826767230309050e+00, 1.646194226459757992e+00, 1.448741153167080187e+00
1.866000000000000000e+03, 1.469189822664111134e+00, 1.675986064418826915e+00, 1.600323491112539909e+00, 1.496216799975633949e+00, 1.711403537871427849e+00, 1.352876639969601946e+00, 1.685826958164062139e+00, 1.355268264687466973e+00, 1.513674997757756158e+00, 1.472407334015631619e+00, 1.642470507647547429e+00, 1.840319555410368624e+00, 1.593133919766326345e+00, 1.753668988048824096e+00, 1.710608742030882423e+00, 1.465414966567711197e+00
1.867000000000000000e+03, 1.415624939496579859e+00, 1.666846356742750279e+00, 1.676132447563599692e+00, 1.490460055003464790e+00, 1.738446309837962778e+00, 1.433062503081415917e+00, 1.628057698867330316e+00, 1.344138996544251397e+00, 1.505714090692412688e+00, 1.388337635413901872e+00, 1.476311098789693022e+00, 1.959247513160047083e+00, 1.652854865231514259e+00, 1.707114275437699114e+00, 1.824847863337541121e+00, 1.481508788999633230e+00
1.868000000000000000e+03, 1.423850889720839730e+00, 1.645624074090626499e+00, 1.649412025956162431e+00, 1.504822961456132813e+00, 1.800634853411559932e+00, 1.477854589497710869e+00, 1.641592185851086017e+00, 1.434193748516358280e+00, 1.488880984762192217e+00, 1.435178685280052990e+00, 1.604173046978301764e+00, 1.859896214809410475e+00, 1.583053473306791137e+00, 1.736238773779716027e+00, 1.630787846511133177e+00, 1.461385878132180016e+00
1.869000000000000000e+03, 1.419144235809635335e+00, 1.655003906056810914e+00, 1.685960436744653235e+00, 1.530685498766403807e+00, 1.845853937979486714e+00, 1.364026575803650942e+00, 1.648636081071480630e+00, 1.358656469942175482e+00, 1.505001671754900849e+00, 1.421532592955318863e+00, 1.581762333431511403e+00, 1.976418324257293913e+00, 1.684555517021319559e+00, 1.738360375129616164e+00, 1.729952704536505959e+00, 1.495996399809945920e+00
1.870000000000000000e+03, 1.496595409992147907e+00, 1.676068311708690972e+00, 1.713129439991339265e+00, 1.445130143140988421e+00, 1.757318979001860848e+00, 1.338222815384404241e+00, 1.644085555984268643e+00, 1.381310466596319397e+00, 1.492020140062364941e+00, 1.504020461649353990e+00, 1.565359025342787369e+00, 1.856794609017612840e+00, 1.636407111446520846e+00, 1.688426084372640190e+00, 1.737679969909413202e+00, 1.421048647577258794e+00
1.871000000000000000e+03, 1.471910449510906771e+00, 1.664876710265174031e+00, 1.643948703200694750e+00, 1.505238348007145399e+00, 1.680549528110607316e+00, 1.401788939419066571e+00, 1.623184837472958497e+00, 1.410695734579644256e+00, 1.537558771594097040e+00, 1.412384643141721074e+00, 1.514337050511748384e+00, 1.884731794306010233e+00, 1.638386420304367652e+00, 1.700945007571683654e+00, 1.658869960759977946e+00, 1.471092600490472080e+00
1.872000000000000000e+03, 1.439379872614243050e+00, 1.745884170025390425e+00, 1.691901280300719401e+00, 1.545438222537771633e+00, 1.813091182460437434e+00, 1.447084739235002138e+00, 1.651740177726443992e+00, 1.407226730104306656e+00, 1.527293496572545983e+00, 1.466187225610384504e+00, 1.546965526823725456e+00, 1.887050334180386812e+00, 1.586537718828930021e+00, 1.667795308130908039e+00, 1.669518825714060739e+00, 1.454767938531522420e+00
1.873000000000000000e+03, 1.467371899902407240e+00, 1.717159093929991220e+00, 1.720224204185622607e+00, 1.451098937144057466e+00, 1.773473120180092177e+00, 1.368242326871059511e+00, 1.676446730951252073e+00, 1.402529716764056911e+00, 1.465942810312667710e+00, 1.490865066577172771e+00, 1.563851787348651934e+00, 1.865690898166706635e+00, 1.588510308289370121e+00, 1.668588860834294918e+00, 1.753514293259907708e+00, 1.464838584374503094e+00
1.874000000000000000e+03, 1.439433303356129956e+00, 1.671054813821250429e+00, 1.665555072363576583e+00, 1.494985097376080541e+00, 1.795602574090745751e+00, 1.453447705826721004e+00, 1.628396765307791094e+00, 1.421815914756324961e+00, 1.500953698003759440e+00, 1.411833486940622384e+00, 1.582792826614423776e+00, 1.914262342612101486e+00, 1.627210640262199970e+00, 1.701199724443285710e+00, 1.765461406296869429e+00, 1.433632129594870408e+00
1.875000000000000000e+03, 1.520638136121736927e+00, 1.726789088707667341e+00, 1.649383357643695591e+00, 1.443509655211728138e+00, 1.806360454608968436e+00, 1.520509154559026133e+00, 1.646037174976345829e+00, 1.365257656149084342e+00, 1.521322468889101609e+00, 1.531686445291368770e+00, 1.617479610264835443e+00, 1.944801574381660236e+00, 1.683774663525304138e+00, 1.732275596019636987e+00, 1.641431473133273311e+00, 1.415337280257196184e+00
1.876000000000000000e+03, 1.494545940459790501e+00, 1.694348298588451263e+00, 1.664590642038078050e+00, 1.457852291914661702e+00, 1.783727150798700700e+00, 1.430618711472000815e+00, 1.685473350443140061e+00, 1.325382140317739488e+00, 1.544236688055561579e+00, 1.420360327518462640e+00, 1.594239072946380675e+00, 1.885513247199939402e+00, 1.636208596018386308e+00, 1.658461861969599438e+00, 1.620152815292698723e+00, 1.416365677962491576e+00
1.877000000000000000e+03, 1.527315382319302195e+00, 1.749882232692475448e+00, 1.637487724577354031e+00, 1.511309994795336120e+00, 1.768344598455874772e+00, 1.488702608721749643e+00, 1.658084208510530289e+00, 1.384629468726624957e+00, 1.475329778063445563e+00, 1.522495547739613819e+00, 1.614628017039910546e+00, 1.930169158386004558e+00, 1.618373135694860077e+00, 1.641194424591915002e+00, 1.702352977053861016e+00, 1.451238257476324511e+00
1.878000000000000000e+03, 1.489114610710841502e+00, 1.705569182203716894e+00, 1.675603728685365335e+00, 1.499695037092810379e+00, 1.756957122933928472e+00, 1.362999364121912693e+00, 1.670312949793751667e+00, 1.294155177818197444e+00, 1.508465341818519212e+00, 1.431628242242635629e+00, 1.536526094028647593e+00, 1.879021762052068611e+00, 1.602082399745614838e+00, 1.691990198760115582e+00, 1.682632904512247229e+00, 1.498092058751105959e+00
1.879000000000000000e+03, 1.473886690149934786e+00, 1.710984564207552072e+00, 1.637006091976805022e+00, 1.534736851114098855e+00, 1.789208214061198454e+00, 1.426556176318762192e+00, 1.570277548463151041e+00, 1.338889793079704127e+00, 1.535549361798469015e+00, 1.475783283252715572e+00, 1.435857615841222623e+00, 1.962509489659229001e+00, 1.577651780206524190e+00, 1.673768078367424472e+00, 1.693960555498772447e+00, 1.525594885814232304e+00
1.880000000000000000e+03, 1.432978479624251067e+00, 1.623162361755210892e+00, 1.692063554434730221e+00, 1.463891292910235231e+00, 1.803319796559197385e+00, 1.436543401902717010e+00, 1.688741518401555730e+00, 1.428874802007164213e+00, 1.560080943601475978e+00, 1.447118002324395469e+00, 1.583823022587994123e+00, 1.948583487926758062e+00, 1.700320744608078138e+00, 1.604907299884889671e+00, 1.673962321206142301e+00, 1.505002186473179959e+00
1.881000000000000000e+03, 1.438270738711901364e+00, 1.630000962105281781e+00, 1.661883078535147718e+00, 1.440576815026867630e+00, 1.767598025256461591e+00, 1.407693417466661545e+00, 1.679725084970510762e+00, 1.360319686885374191e+00, 1.581932898518945585e+00, 1.474364569020357951e+00, 1.556402042664132734e+00, 1.895064039012393620e+00, 1.669766544783058970e+00, 1.688585022987327822e+00, 1.629073221261526871e+00, 1.416487718309271449e+00
1.882000000000000000e+03, 1.418832397030030945e+00, 1.666614968468431934e+00, 1.719080780943800457e+00, 1.435291396058574254e+00, 1.777173269556475477e+00, 1.377565852148803005e+00, 1.678271689078863371e+00, 1.354624710353138584e+00, 1.528401416688063952e+00, 1.402589751298813692e+00, 1.518429197020085608e+00, 1.793824339095054121e+00, 1.566981440707781781e+00, 1.719731986283386416e+00, 1.710970788733737979e+00, 1.417288982213881887e+00
1.883000000000000000e+03, 1.447903998139374870e+00, 1.679571674077518617e+00, 1.687702809503391244e+00, 1.561656970361876340e+00, 1.762342309744774793e+00, 1.415288406549952471e+00, 1.581990954875665878e+00, 1.394068731140537976e+00, 1.492599499197950319e+00, 1.351852495117530362e+00, 1.556023912957513744e+00, 1.904767562367275291e+00, 1.648860253965930722e+00, 1.698048300048754289e+00, 1.715569810651464300e+00, 1.460859765659542342e+00
1.884000000000000000e+03, 1.418761259121012364e+00, 1.603949070247293385e+00, 1.583080346588553455e+00, 1.485830635096846652e+00, 1.719764577787085802e+00, 1.414573738788252655e+00, 1.566234036285639508e+00, 1.305288979397573934e+00, 1.496770369363520814e+00, 1.423743212339189768e+00, 1.544100278238763169e+00, 1.902373987622753448e+00, 1.542318282178012145e+00, 1.521618840441779863e+00, 1.702349680110331498e+00, 1.416352417312343182e+00
1.885000000000000000e+03, 1.455660529302756023e+00, 1.603058488689147909e+00, 1.574556624407345451e+00, 1.484864710757569872e+00, 1.754980927143257707e+00, 1.356480577118855946e+00, 1.493741358490539684e+00, 1.424601469350648575e+00, 1.470810699031680047e+00, 1.401103837784491990e+00, 1.591942381637162507e+00, 1.812769723751979978e+00, 1.614318101511832859e+00, 1.726146386449443071e+00, 1.663854759749943124e+00, 1.416230202395829751e+00
1.886000000000000000e+03, 1.466024951260268328e+00, 1.630682141847892952e+00, 1.660203895889571735e+00, 1.456909648894049392e+00, 1.795875920577343354e+00, 1.343909086888085636e+00, 1.621998759261041867e+00, 1.377037131908454448e+00, 1.542514475117974238e+00, 1.462702027430740515e+00, 1.617547102392752567e+00, 1.897621813078721908e+00, 1.575991848396008699e+00, 1.684495263525665365e+00, 1.661663373052570503e+00, 1.415612710868702218e+00
1.887000000000000000e+03, 1.493527669782805045e+00, 1.639896871318519578e+00, 1.571500789974972445e+00, 1.495414142420968373e+00, 1.780190686844229875e+00, 1.335890832523560778e+00, 1.653040087019916449e+00, 1.400713907830763327e+00, 1.552696568557371704e+00, 1.441209309418587381e+00, 1.555093311264845735e+00, 1.836313866349933654e+00, 1.542618179307364334e+00, 1.676099210677186813e+00, 1.693743377754129309e+00, 1.407538119812000499e+00
1.888000000000000000e+03, 1.431337323948141949e+00, 1.664771074214999702e+00, 1.654173730875329928e+00, 1.512357374275923760e+00, 1.800085000144450165e+00, 1.367439791597193643e+00, 1.690573307896899413e+00, 1.369966326488138320e+00, 1.482789672625561828e+00, 1.434339762737212087e+00, 1.549994153480297676e+00, 1.871334068645326365e+00, 1.606057852827025512e+00, 1.639656450879969141e+00, 1.612341580155711718e+00, 1.403340656990093249e+00
1.889000000000000000e+03, 1.418464721048006805e+00, 1.644833793234959707e+00, 1.651893199102788312e+00, 1.410519530083560236e+00, 1.780087194441682952e+00, 1.357494088263199394e+00, 1.622488235070304929e+00, 1.361078126236257679e+00, 1.463008576771896774e+00, 1.456143376533441502e+00, 1.622646936238026694e+00, 1.833690152599426026e+00, 1.559554712284104916e+00, 1.650559917425832968e+00, 1.787854905078750445e+00, 1.400147415459033429e+00
1.890000000000000000e+03, 1.495679514145182187e+00, 1.706319520108365184e+00, 1.682009270238642884e+00, 1.468860899098265671e+00, 1.800628516334545681e+00, 1.305332972678971526e+00, 1.668562098203142385e+00, 1.436312308096044266e+00, 1.427935186296702685e+00, 1.438259306895734335e+00, 1.537345243762855640e+00, 1.904917889244849949e+00, 1.601011009685032294e+00, 1.546248966634560462e+00, 1.708460178645962335e+00, 1.455293485257897812e+00
1.891000000000000000e+03, 1.465528492848954256e+00, 1.619364332011330010e+00, 1.651329970957022830e+00, 1.433411740195170703e+00, 1.740980768288094893e+00, 1.374682867676918496e+00, 1.630780038163550882e+00, 1.386019415122452081e+00, 1.509644155239687757e+00, 1.445209622921958204e+00, 1.584248796422687455e+00, 1.881047130317772265e+00, 1.535499881301191083e+00, 1.749112752545597171e+00, 1.673818095530790195e+00, 1.413153521854070505e+00
1.892000000000000000e+03, 1.462339926723112526e+00, 1.643711602287540874e+00, 1.636646507928860794e+00, 1.545101536558427080e+00, 1.765987874098194466e+00, 1.389634290950649831e+00, 1.646080278847268374e+00, 1.413502588486286182e+00, 1.509113915126586880e+00, 1.467664572464046469e+00, 1.545628714800317383e+00, 1.858671065462488947e+00, 1.619137352524696594e+00, 1.752131063868134664e+00, 1.615782521057192778e+00, 1.380712055642673963e+00
1.893000000000000000e+03, 1.503352889833547312e+00, 1.710008981773313952e+00, 1.640488290069202382e+00, 1.478068152808073688e+00, 1.747396428954253400e+00, 1.379590217689604437e+00, 1.600811006205907994e+00, 1.365563227415260927e+00, 1.560550279051566402e+00, 1.432871045852064817e+00, 1.554677023732961905e+00, 1.873398027162975987e+00, 1.565744906003857295e+00, 1.645324567485765721e+00, 1.600636850795803090e+00, 1.403967040609205963e+00
1.894000000000000000e+03, 1.514517761687183217e+00, 1.677827302693600586e+00, 1.631211379850819654e+00, 1.426099250106033667e+00, 1.752491206175476490e+00, 1.361708288819260204e+00, 1.624555697255374298e+00, 1.379653475248387551e+00, 1.458721229486954929e+00, 1.438304296933389015e+00, 1.560496393327842402e+00, 1.867123024094134998e+00, 1.658162611149668342e+00, 1.596045110292871216e+00, 1.628337423331662315e+00, 1.477764803466719679e+00
1.895000000000000000e+03, 1.475661871993274143e+00, 1.596784491737037071e+00, 1.661677802831768025e+00, 1.496259999579134137e+00, 1.823857151423912804e+00, 1.315897672095468263e+00, 1.676903375235585525e+00, 1.468185066177919662e+00, 1.473674969141963498e+00, 1.428008801494795588e+00, 1.612719131783876492e+00, 1.882538552145402555e+00, 1.563058610832853468e+00, 1.742354152272353129e+00, 1.717061309733706853e+00, 1.474574036384898035e+00
