year, MPI-ESM1-2-LR, CanESM5, NorESM2-MM, GFDL-ESM4, IPSL-CM6A-LR, CESM2-WACCM, NorESM2-LM, EC-Earth3-Veg, MIROC-ES2L, CMCC-CM2-SR5, CNRM-ESM2-1, ACCESS-ESM1-5, TaiESM1
2.015000000000000000e+03, 6.108853007911684330e+01, 1.112476784131138885e+01, 8.392168478462988190e+00, 7.944074858050515786e+01, 1.389393976471791703e+01, 8.679202779275190238e+00, 6.801980355434204206e+00, 1.837136777185577685e+01, 6.434771895291791566e+01, 1.046772394040454301e+01, 6.804880094440443372e+01, 1.000967813300362685e+01, 1.473810713376904280e+00
2.016000000000000000e+03, 6.122239916818228522e+01, 1.121181872536409330e+01, 8.603165380923767813e+00, 7.947827295842489548e+01, 1.399264226033135294e+01, 8.739231963957276861e+00, 6.795805178908626232e+00, 1.791302661421056186e+01, 6.460569754722152425e+01, 1.042180565950942217e+01, 6.816181808065769587e+01, 1.003484739338641418e+01, 1.447269282841481708e+00
2.017000000000000000e+03, 6.132624981089202976e+01, 1.130847243869443908e+01, 8.791710641061357023e+00, 7.953756686899174611e+01, 1.415277085288006731e+01, 8.523512085288462714e+00, 6.771535329963801253e+00, 1.756729689438038022e+01, 6.486072465671961140e+01, 1.031698944382955396e+01, 6.834079550229537858e+01, 1.008442406059051955e+01, 1.406127622302422164e+00
2.018000000000000000e+03, 6.143385158141862235e+01, 1.139909892320219242e+01, 8.802948245554572893e+00, 7.966453935554721966e+01, 1.420667774174811093e+01, 8.295403322122496093e+00, 6.796437967765914578e+00, 1.768218965369888807e+01, 6.508548980020771069e+01, 1.038099178449551019e+01, 6.862298223400991048e+01, 1.013465830100915177e+01, 1.403256700491706921e+00
2.019000000000000000e+03, 6.153755413276695663e+01, 1.148377425402518703e+01, 8.801415518607958788e+00, 7.977177737594966800e+01, 1.427007465607209369e+01, 8.318162916804634932e+00, 6.899661404189124880e+00, 1.809826011330876483e+01, 6.527948111713102719e+01, 1.032272047499630396e+01, 6.875927976791197693e+01, 1.016173279137629848e+01, 1.438095753842639546e+00
2.020000000000000000e+03, 6.160366801219032595e+01, 1.152315348651537086e+01, 8.793841898674902069e+00, 7.989716416630672313e+01, 1.441377183662723205e+01, 8.430962739963440811e+00, 7.012211655248213660e+00, 1.810610270327146765e+01, 6.540537867746641609e+01, 1.022754578178934359e+01, 6.899888834281782124e+01, 1.018880685970706601e+01, 1.472908457322421372e+00
2.021000000000000000e+03, 6.167235310890430355e+01, 1.154027337772121875e+01, 8.699319643273444314e+00, 8.003701652119617904e+01, 1.451847382493440186e+01, 8.557034481485990440e+00, 7.011028152608225206e+00, 1.827170900674286003e+01, 6.553659245951139667e+01, 1.022169484225713276e+01, 6.909431557363795662e+01, 1.022223073350940581e+01, 1.437143808806486511e+00
2.022000000000000000e+03, 6.171632966902158302e+01, 1.160378611728108922e+01, 8.576751934485699280e+00, 8.009153535745161889e+01, 1.461504360004612657e+01, 8.673125236653904224e+00, 6.999703192176518485e+00, 1.810025425299231117e+01, 6.571213139062537323e+01, 1.021038173707294305e+01, 6.930750666204359334e+01, 1.023956240258300987e+01, 1.386131791629778842e+00
2.023000000000000000e+03, 6.180137978029966206e+01, 1.159874186573170363e+01, 8.498214566544278981e+00, 8.022488923421374807e+01, 1.473268724952377084e+01, 8.786141543673451793e+00, 6.949931658753245145e+00, 1.818946384447823306e+01, 6.585160766236670327e+01, 1.014209533708214295e+01, 6.962677480257102047e+01, 1.026420889724523811e+01, 1.405816793182893099e+00
2.024000000000000000e+03, 6.192791314584719942e+01, 1.153750647655271777e+01, 8.507196239156549211e+00, 8.039073023629734394e+01, 1.484588413306159538e+01, 8.860039061412821937e+00, 6.893724660068485832e+00, 1.830854412743594040e+01, 6.589497138566709111e+01, 1.022682226551236262e+01, 6.984060055153855728e+01, 1.029578913227895143e+01, 1.409902223018996592e+00
