year, IPSL-CM6A-LR, EC-Earth3-Veg, UKESM1-0-LL, MPI-ESM1-2-LR, CNRM-ESM2-1, ACCESS-ESM1-5, CMCC-CM2-SR5, MIROC-ES2L, CESM2-WACCM
2.015000000000000000e+03, 9.105112352361519057e-02, 1.041779442376358040e-03, 3.905806405197292808e-06, 7.909360491894393830e-01, 6.092935546118121055e-03, 4.475094693924195344e-01, 4.382549234516082692e-01, 2.870812515641495422e-01, 6.872561703352056961e-01
2.016000000000000000e+03, 1.065897993549496242e-01, 1.031069509162853065e-03, 3.550669195288042773e-06, 8.034351158696931838e-01, 5.367586978361147884e-03, 5.107276403707342594e-01, 4.395129958935334868e-01, 3.382774008745685901e-01, 6.898347282639079037e-01
2.017000000000000000e+03, 1.090010194266215482e-01, 3.379411610218998729e-03, 3.282098748186760176e-06, 8.202544663481611265e-01, 4.642156399276208163e-03, 4.981858656753597736e-01, 4.513751480179204467e-01, 3.557291465401340447e-01, 7.178926640815752602e-01
2.018000000000000000e+03, 1.077271506743191221e-01, 4.271687151995607647e-03, 3.050284696822141411e-06, 8.290432943604784111e-01, 3.917912785929434337e-03, 4.897588273478802878e-01, 4.717075887777863463e-01, 3.469378633449835547e-01, 7.376745438819253264e-01
2.019000000000000000e+03, 1.095663479465029122e-01, 4.126639368775401363e-03, 2.842978656503455849e-06, 8.351880999623884083e-01, 2.610745269436178049e-03, 4.839101939522112983e-01, 4.851259275111962088e-01, 3.457060161528313635e-01, 7.467341695655983491e-01
2.020000000000000000e+03, 1.112568508151378782e-01, 3.988922742537883391e-03, 2.652622056329832710e-06, 8.417006874611333567e-01, 2.457216257307781333e-03, 4.786320286326174456e-01, 4.949305778357988572e-01, 3.466216248124746602e-01, 7.560695044116757524e-01
2.021000000000000000e+03, 1.129107300688452914e-01, 3.858232344564715803e-03, 2.476252344754383042e-06, 8.485690727265154942e-01, 2.321447076445976206e-03, 4.745196360526389712e-01, 5.039130532348743419e-01, 3.474734315028334408e-01, 7.645451662104971735e-01
2.022000000000000000e+03, 1.144598284642830421e-01, 3.731481402673201674e-03, 2.317146513303006843e-06, 8.552787248511799501e-01, 2.195003109477289271e-03, 4.714446630023088058e-01, 5.121061367708105161e-01, 3.493994643458247507e-01, 7.721994327751341425e-01
2.023000000000000000e+03, 1.159190555849088367e-01, 3.610235630031989520e-03, 2.172360730609045283e-06, 8.618586701215502632e-01, 2.090405004478631049e-03, 4.694839744119955749e-01, 5.197633552944747048e-01, 3.514685835369791844e-01, 7.787876686252885872e-01
2.024000000000000000e+03, 1.175640386888634620e-01, 3.494490698538252685e-03, 2.041378075018370700e-06, 8.687518946424865884e-01, 1.997395301950158353e-03, 4.671676732492489048e-01, 5.267478939819115746e-01, 3.538962899583452670e-01, 7.848572784949136016e-01
2.025000000000000000e+03, 1.191817647215877712e-01, 3.383730083795219619e-03, 1.923770680329789795e-06, 8.754662497622117678e-01, 1.907889937891810725e-03, 4.650154317055153474e-01, 5.332237495492990753e-01, 3.570402908028396660e-01, 7.907043866011007616e-01
2.026000000000000000e+03, 1.206893272227002323e-01, 3.278125430788558694e-03, 1.830465559260101149e-06, 8.818554431969056751e-01, 1.818485121879969118e-03, 4.628234876640620610e-01, 5.392047101677387433e-01, 3.596399280568253198e-01, 7.962111679463241831e-01
2.027000000000000000e+03, 1.222794919148692955e-01, 3.177251517927982914e-03, 1.742354343082864716e-06, 8.880441039477984244e-01, 1.729316236131891874e-03, 4.607993829567186839e-01, 5.446147906629220659e-01, 3.627166873238600320e-01, 8.016685046004546900e-01
2.028000000000000000e+03, 1.238337724933220307e-01, 3.080748929212923093e-03, 1.660620044595234302e-06, 8.943805695898274788e-01, 1.640546809662539159e-03, 4.585315917292103749e-01, 5.495842143037871219e-01, 3.655123763811959359e-01, 8.067523031522113586e-01
2.029000000000000000e+03, 1.254649923220991226e-01, 2.988909890512908302e-03, 1.587354712849472908e-06, 9.011092861766986095e-01, 1.552074814722286021e-03, 4.569217537445398047e-01, 5.542804019246329039e-01, 3.693794671967479126e-01, 8.112770001608533565e-01
2.030000000000000000e+03, 1.272143459929525044e-01, 2.901321827362391380e-03, 1.529946185980500660e-06, 9.074620738352067173e-01, 1.462879673944930074e-03, 4.551242087932495517e-01, 5.585583083049159292e-01, 3.733836113525632050e-01, 8.159120879642846047e-01
2.031000000000000000e+03, 1.292918581400631373e-01, 2.818407396441678734e-03, 1.500380927143828120e-06, 9.138723562993229521e-01, 1.378137747024227398e-03, 4.539945026415599938e-01, 5.624801885377540556e-01, 3.793687799974444497e-01, 8.204153822743522895e-01
2.032000000000000000e+03, 1.313514802831396433e-01, 2.741415703261390613e-03, 1.470090206486265690e-06, 9.202958948349333479e-01, 1.294242886665857841e-03, 4.522400167283388006e-01, 5.669422829418270249e-01, 3.836602771465824624e-01, 8.250855197770633476e-01
2.033000000000000000e+03, 1.330403220952035281e-01, 2.667881660409265020e-03, 1.433640976112363908e-06, 9.270054000678579209e-01, 1.211886229591254771e-03, 4.510890909219510414e-01, 5.724604351929806212e-01, 3.880858730628573561e-01, 8.305382300301721310e-01
2.034000000000000000e+03, 1.344953495575622326e-01, 2.597844846698608989e-03, 1.400172876272993452e-06, 9.333870003666294712e-01, 1.130615257593752931e-03, 4.498094286802775121e-01, 5.781813694551442007e-01, 3.924041200883428004e-01, 8.356229412897445696e-01
2.035000000000000000e+03, 1.362552525864497432e-01, 2.533103872032154043e-03, 1.403126282475445527e-06, 9.396944538850157125e-01, 1.050557157741523542e-03, 4.490441094222590857e-01, 5.832679618983341863e-01, 3.962531200426949174e-01, 8.392475613558728620e-01
2.036000000000000000e+03, 1.382991190834066131e-01, 2.472065053876806948e-03, 1.473098780806737840e-06, 9.456113938255829021e-01, 9.736044299828189742e-04, 4.478190117404628467e-01, 5.877375004041881512e-01, 3.997794152167675752e-01, 8.429323118820100103e-01
2.037000000000000000e+03, 1.403937892226414796e-01, 2.413651593727311837e-03, 1.527498258873409785e-06, 9.514762964173917315e-01, 8.980791986309411001e-04, 4.471569508893214473e-01, 5.919299325084580454e-01, 4.050116005634568639e-01, 8.465827261621119426e-01
2.038000000000000000e+03, 1.424540816580313340e-01, 2.357291935892674196e-03, 1.577978656163210167e-06, 9.570202985794721284e-01, 8.234648626130559521e-04, 4.457661583276872341e-01, 5.958763129419539784e-01, 4.095737529166261770e-01, 8.499277513377396787e-01
2.039000000000000000e+03, 1.447367666606660108e-01, 2.303881820279023336e-03, 1.605260946360457100e-06, 9.630619943498932578e-01, 7.500583787406301739e-04, 4.447054809288182309e-01, 5.995080381894172250e-01, 4.137510149946221349e-01, 8.535258717125546735e-01
2.040000000000000000e+03, 1.466539754805633311e-01, 2.252983848502836204e-03, 1.601073843639019754e-06, 9.688204673876984474e-01, 6.791421719336755052e-04, 4.434019238761001680e-01, 6.028689055566980315e-01, 4.168530648321677190e-01, 8.563458509597512425e-01
2.041000000000000000e+03, 1.488631223187555086e-01, 2.203671417298622235e-03, 1.566471170032622818e-06, 9.747127886698828680e-01, 6.041641248417137060e-04, 4.434572208434095497e-01, 6.060859210585537449e-01, 4.215467271486464940e-01, 8.586183575850225846e-01
2.042000000000000000e+03, 1.507537604619914873e-01, 2.161642679482070947e-03, 1.538155149544267356e-06, 9.804351154634598497e-01, 5.292270090937611785e-04, 4.422187472228488181e-01, 6.094233930876110650e-01, 4.250309029408919637e-01, 8.614342901588706303e-01
2.043000000000000000e+03, 1.527721933404943278e-01, 2.121416956336740368e-03, 1.534563745677830259e-06, 9.854749383524175066e-01, 4.558312736529935693e-04, 4.410419272346997044e-01, 6.127559140748078947e-01, 4.286280300267238941e-01, 8.642077654702623457e-01
2.044000000000000000e+03, 1.538770130910590006e-01, 2.081625177567744071e-03, 1.524838642583931370e-06, 9.904856267834590833e-01, 3.678286356106073894e-04, 4.401664929866356268e-01, 6.158881918046046344e-01, 4.257742012232924589e-01, 8.671361474081097365e-01
2.045000000000000000e+03, 1.555126189054162333e-01, 2.036370846474921861e-03, 1.605834593760610135e-06, 9.956802026158586560e-01, 3.104034796676691937e-04, 4.390609585092999367e-01, 6.193580796456799042e-01, 4.256356514876272756e-01, 8.675461908217730889e-01
2.046000000000000000e+03, 1.575599735272872892e-01, 1.993501304910146130e-03, 1.863339319622181724e-06, 1.000696162637639164e+00, 2.575616477503790062e-04, 4.373082320963059266e-01, 6.230632551048702616e-01, 4.262686539079526549e-01, 8.684650587010666056e-01
2.047000000000000000e+03, 1.593822506186691745e-01, 1.952954436287591142e-03, 2.066949256059143246e-06, 1.005599062642119623e+00, 2.052698440030579293e-04, 4.357244051220925951e-01, 6.264878681239679503e-01, 4.271275467325926223e-01, 8.694759408076885299e-01
2.048000000000000000e+03, 1.608447693703511372e-01, 1.914152040613943759e-03, 2.237574139455958547e-06, 1.010382739874708280e+00, 1.527508799733501006e-04, 4.343152677803022166e-01, 6.296370497040467695e-01, 4.280027408274508227e-01, 8.706104060786028498e-01
2.049000000000000000e+03, 1.621250428776774555e-01, 1.876660434077361776e-03, 2.346878724558352087e-06, 1.014784540468701701e+00, 4.913791340414496377e-05, 4.328168222221884243e-01, 6.325318208206764936e-01, 4.294344247167161122e-01, 8.718537529360488314e-01
2.050000000000000000e+03, 1.616684698960941524e-01, 1.841291422705409412e-03, 2.727285838166325721e-06, 1.016896145403531904e+00, 4.651016619741600491e-05, 4.314512238430960878e-01, 6.354607647566810069e-01, 4.335903133095466711e-01, 8.730869539305626814e-01
