year, GFDL-ESM4, MIROC-ES2L, TaiESM1, NorESM2-LM, EC-Earth3-Veg, MPI-ESM1-2-LR, CMCC-CM2-SR5, CanESM5, UKESM1-0-LL, CNRM-ESM2-1, ACCESS-ESM1-5, NorESM2-MM, IPSL-CM6A-LR, CESM2-WACCM
2.015000000000000000e+03, 1.254463767584092722e+02, 3.546291751661322564e+02, 6.161430281294008182e+01, 1.332451741899966237e+03, 3.132785293841870953e+02, 1.505229467449398157e+02, 1.010730111216920136e+03, 2.147225496686141923e+02, 2.460750805701065360e+02, 4.314419795661822832e+02, 1.957305530288718955e+02, 7.333036252583648320e+02, 6.309804492566125589e+01, 9.328138929476680232e+02
2.016000000000000000e+03, 1.253694515912171283e+02, 3.547448571942745730e+02, 6.163530918911401102e+01, 1.332444922112601034e+03, 3.133578745451317218e+02, 1.506766658315660834e+02, 1.010650057978158202e+03, 2.146787205563053647e+02, 2.463172080222511795e+02, 4.316591018406011244e+02, 1.957854644420359591e+02, 7.332703665622428844e+02, 6.326253508331441111e+01, 9.328357641499673036e+02
2.017000000000000000e+03, 1.253466460805927909e+02, 3.548538485925150212e+02, 6.162568291578106283e+01, 1.332400182090631461e+03, 3.133381574737798019e+02, 1.507966635917310327e+02, 1.010551046389467274e+03, 2.146364711398366580e+02, 2.467051906771246195e+02, 4.318579623486079981e+02, 1.958321977688542574e+02, 7.333164574619278255e+02, 6.342065067538653267e+01, 9.328410138490012287e+02
2.018000000000000000e+03, 1.253454763902947491e+02, 3.549690107212427392e+02, 6.161253662444361368e+01, 1.332323211292094129e+03, 3.133186537737331605e+02, 1.509224156421684881e+02, 1.010456437296474405e+03, 2.146158079061268609e+02, 2.470213749871319919e+02, 4.320675249790455723e+02, 1.958916083355652518e+02, 7.333821526894662384e+02, 6.358205561862431665e+01, 9.327753084289505523e+02
2.019000000000000000e+03, 1.253323069341610960e+02, 3.551037518715975807e+02, 6.160641498228199708e+01, 1.332247641944728684e+03, 3.133709091668740143e+02, 1.510651220363177174e+02, 1.010374942570038343e+03, 2.146098071347626330e+02, 2.474355969230043968e+02, 4.322767765134675528e+02, 1.959438056098798313e+02, 7.334025012757950890e+02, 6.373354053303314259e+01, 9.326920842927036119e+02
2.020000000000000000e+03, 1.252252718789333983e+02, 3.552660755560476673e+02, 6.161147206136507748e+01, 1.332212233490895187e+03, 3.134323026593932582e+02, 1.511631198518835504e+02, 1.010273746878429733e+03, 2.146086953123156320e+02, 2.476510196630836447e+02, 4.324860449923432952e+02, 1.960002751265333529e+02, 7.334107302231882386e+02, 6.389579371839285216e+01, 9.326356289640984869e+02
2.021000000000000000e+03, 1.251252680714409991e+02, 3.554200310144286732e+02, 6.162248169812553300e+01, 1.332198905782727707e+03, 3.134908700933683576e+02, 1.512593347809184365e+02, 1.010169823568813968e+03, 2.145991295376449557e+02, 2.478243987513795901e+02, 4.327098628582122046e+02, 1.960562854248110511e+02, 7.334129219813370355e+02, 6.406501404732527760e+01, 9.325930407798958868e+02
2.022000000000000000e+03, 1.250410980898947457e+02, 3.555961789340457244e+02, 6.160850176082598040e+01, 1.332152350627739452e+03, 3.135407768743902466e+02, 1.512981345361877743e+02, 1.010053511674019092e+03, 2.145919846096045660e+02, 2.480948008466114629e+02, 4.328823354419021712e+02, 1.961149726654678034e+02, 7.334194133286650867e+02, 6.424165969453493119e+01, 9.325582847663538359e+02
2.023000000000000000e+03, 1.250725907690227672e+02, 3.557793498122865685e+02, 6.158768615281286429e+01, 1.332089684750421156e+03, 3.135841996077483032e+02, 1.513923170388854089e+02, 1.009914827596729651e+03, 2.146015799068626393e+02, 2.484207591300773288e+02, 4.331210516731408688e+02, 1.961672322197864275e+02, 7.334030780589014284e+02, 6.440950983509483763e+01, 9.325294116187022837e+02
2.024000000000000000e+03, 1.250575213303212792e+02, 3.559522255880253283e+02, 6.157951537525190844e+01, 1.332022761569735394e+03, 3.136227709980368559e+02, 1.515433516823469233e+02, 1.009781955319677763e+03, 2.146099308218910267e+02, 2.486427454942826216e+02, 4.333832200069671785e+02, 1.962286263083531139e+02, 7.333669634966602189e+02, 6.457950664629059645e+01, 9.325239153697102665e+02
