year, EC-Earth3-Veg, UKESM1-0-LL, CESM2-WACCM, ACCESS-ESM1-5, MPI-ESM1-2-LR, INM-CM5-0, MIROC-ES2L, CanESM5, NorESM2-MM, GFDL-ESM4, INM-CM4-8, CNRM-ESM2-1, CMCC-CM2-SR5, IPSL-CM6A-LR, TaiESM1, NorESM2-LM
2.015000000000000000e+03, 7.134707373349765902e+00, 1.080764088196034045e+01, 9.326956224332892731e+00, 6.038066086144636913e+00, 1.109253402690182355e+01, 9.900552103093183121e+00, 1.091980068012306582e+01, 7.636416132607313223e+00, 1.028575785406157195e+01, 1.191658430027085025e+01, 9.961904129194502744e+00, 9.497645875442891850e+00, 1.080686121754255780e+01, 8.363240688181273086e+00, 5.699026466614476760e+00, 7.280823347167419968e+00
2.016000000000000000e+03, 7.544852771415682113e+00, 1.079149132674418610e+01, 8.799525223808286611e+00, 6.028818218781692551e+00, 1.044393789886462542e+01, 9.856047204378016957e+00, 1.025054998177886212e+01, 7.755787416841830151e+00, 8.503866372448392497e+00, 1.175437760415342758e+01, 9.404547422001268586e+00, 9.671159740867462773e+00, 1.128640324572039333e+01, 8.401255502776797002e+00, 5.691344491463489419e+00, 8.334643055368445630e+00
2.017000000000000000e+03, 8.057596597381474268e+00, 1.201817026942323174e+01, 9.758312013416361452e+00, 6.219793854308216297e+00, 1.131913298396883505e+01, 1.004498929638302762e+01, 1.041087040286459953e+01, 7.895272050122257745e+00, 8.338785654234326827e+00, 1.195565098437437257e+01, 9.700090968763687371e+00, 9.580394616187438928e+00, 1.103654028328047154e+01, 8.185931944494967638e+00, 5.931008729430850224e+00, 8.571226151562671092e+00
2.018000000000000000e+03, 7.165895482577679942e+00, 1.132671691126064495e+01, 1.023660047485900648e+01, 6.216500935163218777e+00, 1.066351269951663383e+01, 9.821344435546189189e+00, 1.009795065731847430e+01, 7.449308156008113357e+00, 8.903356589175759339e+00, 1.177261500970111463e+01, 9.837539833966740588e+00, 9.271489203074882113e+00, 1.085201586688680031e+01, 8.699787349691844085e+00, 5.874153075192434237e+00, 8.410235481703892901e+00
2.019000000000000000e+03, 7.791657874104150672e+00, 1.161320221180663026e+01, 9.797088047756897566e+00, 6.162135155321807112e+00, 1.077943370007612423e+01, 1.054421417163428742e+01, 1.106285666136393786e+01, 7.622124918079202338e+00, 8.711137295700591920e+00, 1.285041236160317624e+01, 9.895322108528032956e+00, 9.839602737129524712e+00, 1.128913774147475735e+01, 8.911618651601580510e+00, 5.982569504054148446e+00, 8.248766857612144676e+00
2.020000000000000000e+03, 7.365400762441231208e+00, 1.233517652182853119e+01, 9.737454619232766007e+00, 6.055879538639361570e+00, 1.119975772419504700e+01, 1.011794518714085100e+01, 1.058896913374412563e+01, 7.798675330692317331e+00, 9.113965599330077438e+00, 1.254649407059680755e+01, 9.702903158738669376e+00, 9.909619502398285817e+00, 1.070437975245193485e+01, 8.738271464344617101e+00, 5.760545444136531579e+00, 7.917889073105604858e+00
2.021000000000000000e+03, 7.772563625560693801e+00, 1.251498439095028559e+01, 1.035482139535978874e+01, 6.248919097047347826e+00, 1.096127201085870162e+01, 1.014310943361900996e+01, 1.071147371297827888e+01, 8.018702289122261462e+00, 8.538805643391189193e+00, 1.270081577383109384e+01, 9.903477181690020004e+00, 1.052890060906667991e+01, 1.094333851342832276e+01, 8.945745757417313371e+00, 5.952495130797402112e+00, 8.198378486755673933e+00
2.022000000000000000e+03, 7.592324870681245841e+00, 1.261851480988694618e+01, 1.058406133996581566e+01, 6.505891968769142331e+00, 1.092533317326644671e+01, 1.003922503786620979e+01, 1.060130451519275852e+01, 7.729615986442976094e+00, 8.791387360306336163e+00, 1.255841251017510629e+01, 1.019963591155448235e+01, 1.036392917312863915e+01, 1.148559181666457363e+01, 9.180472225961588961e+00, 6.129041557600389822e+00, 7.845137696616796497e+00
2.023000000000000000e+03, 8.041558418481139725e+00, 1.215542826574543511e+01, 1.019241785611834494e+01, 6.523020903448055741e+00, 1.140247550834506463e+01, 9.956002746905612710e+00, 1.106730010473919101e+01, 8.101119532229276388e+00, 9.275525885604650966e+00, 1.305494984733911323e+01, 1.013409165861776629e+01, 1.018532637022391896e+01, 1.138697359318664404e+01, 9.020124104403702603e+00, 6.191703235566779817e+00, 8.098425243901809623e+00
2.024000000000000000e+03, 7.744259153836233089e+00, 1.224704302164488290e+01, 1.008966496346186936e+01, 6.418007917228544024e+00, 1.162587799477642392e+01, 1.045236736439346004e+01, 1.137743688064549907e+01, 8.508911146200595965e+00, 9.583453909357084299e+00, 1.284538684708743261e+01, 9.827291271726293687e+00, 1.001137685953505851e+01, 1.111364208259911734e+01, 9.139059004516568052e+00, 6.159447297145121070e+00, 8.044729494715740614e+00
