year, CNRM-ESM2-1, NorESM2-MM, ACCESS-ESM1-5, GFDL-ESM4, CMCC-CM2-SR5, MIROC-ES2L, IPSL-CM6A-LR, TaiESM1, INM-CM4-8, CanESM5, UKESM1-0-LL, MPI-ESM1-2-LR, CESM2-WACCM, EC-Earth3-Veg, INM-CM5-0, NorESM2-LM
2.015000000000000000e+03, 7.199577161693180294e-01, 4.614081259944172730e-01, 2.923718081200668006e-01, 1.785128810792893927e-01, -8.170580448539568885e-02, 6.611557556053923035e-01, 5.321587408125250107e-01, 4.226901724335112992e-02, 4.795399207793403229e-01, 4.209487163585670100e-01, 4.996115050860805429e-01, 3.800979737406001702e-01, 2.420174804722600992e-01, 9.819543697546015415e-02, 4.744855471748481990e-01, -1.605904072503373803e-02
2.016000000000000000e+03, 5.995567944323874077e-01, 2.163891440355753815e-01, 3.205073974396882575e-01, 2.598490615870047149e-01, -3.532637981177792763e-02, 3.270680158877961596e-01, 5.539715570222635277e-01, 1.503252094109504798e-02, 4.100192555393548655e-01, 3.702062553615760310e-01, 6.481771179708690767e-01, 3.240911485736296394e-01, -9.987439293818357877e-02, -2.277356410734335812e-01, 4.036797513406725768e-01, 2.478944106117219603e-01
2.017000000000000000e+03, 6.879174158255214611e-01, 9.862067423131022637e-02, 4.689158152114204503e-01, 3.753664886827691172e-01, -7.161767471453231448e-02, 3.844786085818213128e-01, 3.636477415021032722e-01, 1.190103519951686839e-01, 4.666629424803584447e-01, 4.109447687040437835e-01, 8.559432578086593191e-01, 4.707816592564552094e-01, 1.599498630878647409e-01, 7.771939475412104059e-02, 3.788247563692350162e-01, 2.800268652762469279e-01
2.018000000000000000e+03, 5.797810398348036687e-01, 2.447066893703075952e-01, 3.625541631048139202e-01, 4.621232128482878898e-01, -9.082473070572687213e-02, 2.262940983230976033e-01, 4.658106974041245629e-01, 9.778079123503753689e-02, 4.924406606309846279e-01, 2.366471428332258264e-01, 7.463958566952054730e-01, 3.699629832231509652e-01, 4.185383753406697882e-01, 6.061190224281277628e-01, 2.901444307492124230e-01, 2.389278206140978966e-01
2.019000000000000000e+03, 7.819410885710346149e-01, 2.436072459103496568e-01, 3.681221600217893797e-01, 5.053900562956437081e-01, 6.339844877256847755e-02, 7.377938724287739225e-01, 6.065129789238499214e-01, 1.005075294905537903e-01, 6.052954051340769803e-01, 3.504932535127803228e-01, 6.993960637069936981e-01, 1.993384445750236156e-01, 2.255679425903017732e-01, 2.742257152024618061e-01, 6.074909887095247818e-01, 2.283935913947548746e-01
2.020000000000000000e+03, 7.710320120602259797e-01, 2.043348546117617348e-01, 2.315743429804613951e-01, 4.623391904894625370e-01, -2.022352901412010073e-01, 3.678197010064654382e-01, 5.788207597159068518e-01, 9.407490693449118563e-03, 4.750488713582318723e-01, 3.250509767032343511e-01, 7.346278216342542189e-01, 4.161021486367303956e-01, 2.901412985417193835e-01, 4.054220794580082332e-01, 4.802288517331708695e-01, 7.944870897459914427e-02
2.021000000000000000e+03, 7.513827681234419575e-01, -5.902256578292969236e-02, 4.250406709573907316e-01, 2.872003738788584393e-01, 8.908207261070337502e-02, 4.498379428389505663e-01, 5.894276083448758419e-01, 6.179747942616683337e-02, 5.406060885755175072e-01, 3.811647408801047687e-01, 8.234389786150276835e-01, 1.779402392103969222e-01, 5.388423668804250832e-01, 1.042291479483575117e-01, 4.728375080795646501e-01, 2.145951442495926398e-01
2.022000000000000000e+03, 8.624906885147008984e-01, 1.555656858921325714e-01, 3.909904688254587368e-01, 4.136801941120444304e-01, 1.483212172133413775e-01, 4.407429113447572377e-01, 6.426022832622688696e-01, 1.517912414368194907e-01, 4.740613682780057125e-01, 2.603547215392773562e-01, 7.773173250340090767e-01, 2.280762384734218440e-01, 3.705111230724738025e-01, 3.992153851560310551e-01, 4.369668326517160972e-01, -2.316166741220808054e-02
2.023000000000000000e+03, 7.713689740535359940e-01, 3.682613919366403699e-01, 4.794382700476194636e-01, 4.964782428282141780e-01, -6.616463141897174771e-02, 6.356814882830338354e-01, 5.221323510409379143e-01, 7.079800180684127364e-02, 5.131554112928325972e-01, 2.794560136771084835e-01, 6.229330004522396491e-01, 5.718405754936819463e-01, 3.327767770836496108e-01, 3.025783079678947551e-01, 4.168182137364974116e-01, 2.678828910217926837e-02
2.024000000000000000e+03, 6.125578763491376089e-01, 4.953481460704193817e-01, 3.412161243771618668e-01, 4.633577345865215746e-01, -1.891250252069230364e-01, 6.869435372194374612e-01, 5.967215393026229497e-01, 6.335230183178866548e-02, 2.797433788860242410e-01, 5.372421102909714641e-01, 6.713955104430421317e-01, 3.494290531379707354e-01, 1.630658075895398407e-01, 4.072552820513028471e-01, 4.938473041024058485e-01, 2.012868575944320726e-01
2.025000000000000000e+03, 5.251058864635514967e-01, 4.608525412507896157e-01, 3.197501772757946892e-01, 4.462774068363031810e-01, -8.467688385061621359e-01, 2.173734572147404120e-01, 7.193134715968176884e-01, 7.960451992703801438e-02, 4.520049263655212535e-01, 3.477315375755682392e-01, 6.493116526339230976e-01, 4.537883449723979085e-02, 5.192950297760617895e-01, 4.120263118686233184e-01, 4.488117453720822936e-01, 2.683386640195781214e-01
2.026000000000000000e+03, 7.841435223056870685e-01, 2.055170997408239664e-01, 3.060448242404772978e-01, 4.830809807114782584e-01, -3.741088259042515962e-02, 6.010836856773372761e-01, 5.580413235343284484e-01, 1.293021635179499584e-01, 2.449868387721734764e-01, 4.559147792858466164e-01, 8.548430322843962870e-01, 3.878965266494261988e-01, -5.490964794909879848e-02, 6.280730960850561435e-03, 3.509431423533183603e-01, 1.448801689012929328e-01
2.027000000000000000e+03, 9.032301354541472094e-01, 2.810979088398093406e-01, 3.824322773172179613e-01, 4.969462196836961221e-01, 1.670883367937140429e-01, 4.902085241176121766e-01, 5.379643752062993611e-01, 4.373750400059617932e-02, 3.776635708883956943e-01, 2.206520154823277680e-01, 7.573701180854854886e-01, 3.355992140499011178e-01, 5.252486857439177259e-02, 4.406958763156685333e-01, 5.787481374296159498e-01, 2.258957476232018036e-01
2.028000000000000000e+03, 8.354069846328091575e-01, 6.633290915188844172e-02, 2.449250125029377445e-01, 6.972655030952722433e-01, -8.189256586122291293e-02, 6.930054450590839021e-01, 4.804603432065292501e-01, 1.481664922568175780e-01, 5.465765822609128799e-01, 4.699872747719091026e-01, 8.449922728148104856e-01, 3.274596076856319815e-01, 1.220752322627573633e-01, 4.020368202009243497e-01, 5.817094437686705088e-01, 2.340279909544035475e-01
2.029000000000000000e+03, 6.991766855081210652e-01, 2.378883656826052684e-01, 2.782199146836994430e-01, 7.672803691828324890e-01, -7.651046306299204292e-02, 6.197956602626306655e-01, 6.542767875537341959e-01, 9.809924636362093997e-02, 5.493537807672064233e-01, 5.622749835403761942e-01, 7.801656202550846242e-01, 2.864057301169617986e-01, -6.934020379079458563e-02, 2.368985263716445189e-01, 4.234194806717301307e-01, 1.371157266821852565e-02
