year, CanESM5, NorESM2-MM, MPI-ESM1-2-LR, INM-CM4-8, MIROC-ES2L, UKESM1-0-LL, IPSL-CM6A-LR, TaiESM1, CNRM-ESM2-1, EC-Earth3-Veg, CMCC-CM2-SR5, INM-CM5-0, NorESM2-LM, GFDL-ESM4, ACCESS-ESM1-5, CESM2-WACCM
2.015000000000000000e+03, 1.573765146344443533e+00, 1.577225169530654947e+00, 1.794205345295716292e+00, 1.719843662482755997e+00, 1.727607812562260037e+00, 1.649137400656356389e+00, 1.809097394588440766e+00, 1.398461107373632606e+00, 1.709042470295968563e+00, 1.593878196608361275e+00, 1.639706555108040309e+00, 1.743264777000472332e+00, 1.597802291334799119e+00, 1.791902859433763151e+00, 1.981352364692758661e+00, 1.614564385531820578e+00
2.016000000000000000e+03, 1.575938923632346667e+00, 1.554470670186876902e+00, 1.743191516333896685e+00, 1.715738012011631008e+00, 1.814456043103914284e+00, 1.615184964583653127e+00, 1.818470931995118889e+00, 1.412988260330344081e+00, 1.765706754237230891e+00, 1.567977261192440075e+00, 1.651303716272968902e+00, 1.753386843799459749e+00, 1.582344512385346791e+00, 1.775582288880960924e+00, 2.011922340333165415e+00, 1.634279519958653948e+00
2.017000000000000000e+03, 1.564749691417492761e+00, 1.526727475320668770e+00, 1.754685789643475990e+00, 1.708564590253880633e+00, 1.836272860119186889e+00, 1.659528244682947129e+00, 1.807133133171524797e+00, 1.493486764902749009e+00, 1.779010161840010040e+00, 1.550060111117450123e+00, 1.674675463860580527e+00, 1.737499988123190287e+00, 1.574746888001991252e+00, 1.764728630110398599e+00, 1.999611446758317701e+00, 1.718440311593173897e+00
2.018000000000000000e+03, 1.594579785768255542e+00, 1.480794025131963787e+00, 1.769822556614802700e+00, 1.724832076816047888e+00, 1.736945806400643555e+00, 1.617766448647304678e+00, 1.773378719692171313e+00, 1.396560347643153843e+00, 1.790133441240346901e+00, 1.609894827717601284e+00, 1.645768085013790794e+00, 1.694091713601507454e+00, 1.587726791766784329e+00, 1.744896508150343584e+00, 1.996596752779835171e+00, 1.573182125595229408e+00
2.019000000000000000e+03, 1.580281750546039365e+00, 1.512274601161761378e+00, 1.865763491599562451e+00, 1.706372162028723327e+00, 1.841997940710553561e+00, 1.717009124337656623e+00, 1.822753032422354424e+00, 1.406559191319160851e+00, 1.827018110667816719e+00, 1.552074062203512961e+00, 1.644015966527412109e+00, 1.787154785586666739e+00, 1.607503199963942198e+00, 1.747612870893470616e+00, 2.042716614731271196e+00, 1.670093867193120918e+00
2.020000000000000000e+03, 1.610544758114908825e+00, 1.479941176186663876e+00, 1.760297628572640383e+00, 1.747141290646939682e+00, 1.776829727037922524e+00, 1.714062019978302542e+00, 1.804474401414215334e+00, 1.537648173604829971e+00, 1.763134703620261812e+00, 1.656567938607638402e+00, 1.689422958748345804e+00, 1.859278229776374136e+00, 1.545102458010945368e+00, 1.793002779499891064e+00, 1.967015054329901425e+00, 1.696207465816489846e+00
2.021000000000000000e+03, 1.521374337278119881e+00, 1.544107509752717045e+00, 1.858157270050738941e+00, 1.713539733079533667e+00, 1.829526381306462612e+00, 1.717397582980727089e+00, 1.858414494279530427e+00, 1.447603439503896583e+00, 1.843234550540603367e+00, 1.663587639859937406e+00, 1.618521912530887619e+00, 1.803083134508139729e+00, 1.532569138819294130e+00, 1.788073409315874773e+00, 1.913954497938233024e+00, 1.578325823648450754e+00
2.022000000000000000e+03, 1.696353632781397947e+00, 1.616695690434331034e+00, 1.821396047060636070e+00, 1.786651469027774608e+00, 1.867824331853054520e+00, 1.689510801243088833e+00, 1.872141145022030884e+00, 1.488245267951665785e+00, 1.796477776705317275e+00, 1.569119019449637831e+00, 1.675426090858273875e+00, 1.780087746522172720e+00, 1.530755457958198340e+00, 1.851789703311729207e+00, 2.015948408866243824e+00, 1.623814312654689118e+00
2.023000000000000000e+03, 1.659756454453378050e+00, 1.553775646081314132e+00, 1.767512808745176356e+00, 1.760703538387895506e+00, 1.773425088449794407e+00, 1.669407275548596248e+00, 1.884438657881906343e+00, 1.457597796970865334e+00, 1.752435180570283801e+00, 1.584840922156670606e+00, 1.721076159187386434e+00, 1.711164389322893831e+00, 1.595199014594905762e+00, 1.865156109873301160e+00, 2.042406887894654854e+00, 1.617951992306556841e+00
2.024000000000000000e+03, 1.647382340559788272e+00, 1.586455347355484324e+00, 1.856031340241632854e+00, 1.777079242872370068e+00, 1.787831009495015611e+00, 1.675066518596313614e+00, 1.833589079382350384e+00, 1.474496481601941023e+00, 1.761743008173689340e+00, 1.616920932338020256e+00, 1.731820170378039148e+00, 1.803786126045546556e+00, 1.610349320504985249e+00, 1.837034136873755941e+00, 2.063876719351392275e+00, 1.613880698431652050e+00
2.025000000000000000e+03, 1.616798041092044613e+00, 1.518057888020178492e+00, 1.903755738666792485e+00, 1.732151121266500837e+00, 1.817438958906066215e+00, 1.735386629990221641e+00, 1.812681258290051778e+00, 1.545166578998119489e+00, 1.792554965415751766e+00, 1.708480665295202039e+00, 1.639740002447752865e+00, 1.740166708270429297e+00, 1.610931858654660598e+00, 1.815337288111236180e+00, 1.963600142035611951e+00, 1.623164779719481476e+00
2.026000000000000000e+03, 1.627934680293452896e+00, 1.535660122245125603e+00, 1.795566631667981916e+00, 1.742045251356541868e+00, 1.868668023957821722e+00, 1.667285865090778696e+00, 1.816798757422929400e+00, 1.483926091539719438e+00, 1.791167992545995569e+00, 1.591542160751665769e+00, 1.684441537734687078e+00, 1.724020695882102494e+00, 1.551665508907353219e+00, 1.810863718578587633e+00, 1.974035526570135257e+00, 1.627792543739037923e+00
