year, EC-Earth3-Veg, MIROC-ES2L, IPSL-CM6A-LR, CNRM-ESM2-1, CESM2-WACCM, CMCC-CM2-SR5, CanESM5, MPI-ESM1-2-LR, GFDL-ESM4, NorESM2-LM, NorESM2-MM, TaiESM1, ACCESS-ESM1-5
2.015000000000000000e+03, 1.858030908258718483e+01, 6.436256308495043754e+01, 1.390858051539134088e+01, 6.809637875021512343e+01, 8.618122095729857435e+00, 1.048495224149519522e+01, 1.108660521994595172e+01, 6.115713993393045200e+01, 7.944778918887116959e+01, 6.793166130810438297e+00, 8.466116317365845134e+00, 1.452054487745782607e+00, 1.002626841553736625e+01
2.016000000000000000e+03, 1.854226730711197746e+01, 6.449415424648748285e+01, 1.403504585610846789e+01, 6.818807960786878652e+01, 8.557061650300088473e+00, 1.048835767070062097e+01, 1.113778988173454287e+01, 6.128531317688271685e+01, 7.949708024599908640e+01, 6.861037783122903022e+00, 8.553883358810322690e+00, 1.409904148976645955e+00, 1.002604296792832805e+01
2.017000000000000000e+03, 1.821506948984192320e+01, 6.471384426119071520e+01, 1.417364014688343943e+01, 6.819963814254886358e+01, 8.618835192267539469e+00, 1.035413397462322393e+01, 1.121158416461343599e+01, 6.136209615842999199e+01, 7.961749620753612078e+01, 6.906304276998116443e+00, 8.493331360544223330e+00, 1.374336190865127927e+00, 1.003608073947613377e+01
2.018000000000000000e+03, 1.781809871934692779e+01, 6.498621685819033189e+01, 1.426045299347863171e+01, 6.841014082609916613e+01, 8.652520624357698864e+00, 1.041119189475823248e+01, 1.128404920496844710e+01, 6.143375274193010682e+01, 7.966427546126703874e+01, 6.829748091634833429e+00, 8.408548645929517562e+00, 1.386205615339318520e+00, 1.005551435386851544e+01
2.019000000000000000e+03, 1.772313934093386933e+01, 6.520320132251710277e+01, 1.439293899072653637e+01, 6.854540091619075781e+01, 8.589697279312037637e+00, 1.047546831536602774e+01, 1.126248225599656649e+01, 6.150505944557988869e+01, 7.975665549906901219e+01, 6.755860460820245272e+00, 8.325501910262946836e+00, 1.408707451010206224e+00, 1.009917541102744565e+01
2.020000000000000000e+03, 1.802063553266421891e+01, 6.542254434672078389e+01, 1.458310756355847815e+01, 6.869808889769899451e+01, 8.521267814553599607e+00, 1.050487513551620822e+01, 1.125468173817262851e+01, 6.161112870557303012e+01, 7.990550857642810456e+01, 6.638712900839873754e+00, 8.423364728842718918e+00, 1.411037018740224358e+00, 1.017429731115453961e+01
2.021000000000000000e+03, 1.800787658372580680e+01, 6.558237053015380980e+01, 1.466050564716815430e+01, 6.888585080273617223e+01, 8.684315008166128891e+00, 1.047617818812564572e+01, 1.129204382511948168e+01, 6.161919768134959696e+01, 8.003997974334134824e+01, 6.760566065656746559e+00, 8.637816627181056361e+00, 1.449728162015796018e+00, 1.020507177858204528e+01
2.022000000000000000e+03, 1.772136044602517302e+01, 6.566028269581507004e+01, 1.480028934449741485e+01, 6.896879463629178986e+01, 8.709886780832636788e+00, 1.032134474640345445e+01, 1.123467512152755177e+01, 6.164136121789438505e+01, 8.015925144733580510e+01, 6.769191942482436275e+00, 8.740055878898489894e+00, 1.460633688771475036e+00, 1.026687956095944187e+01
2.023000000000000000e+03, 1.819105815060023801e+01, 6.581169533772842328e+01, 1.489311234932789141e+01, 6.899398959254035901e+01, 8.695821274693722458e+00, 1.034539263779035778e+01, 1.113434194092011964e+01, 6.167701273198503742e+01, 8.024249931233707400e+01, 6.752923896617041954e+00, 8.751471140417278249e+00, 1.437409924974948794e+00, 1.032668339199536689e+01
2.024000000000000000e+03, 1.865958160197961391e+01, 6.598444791457875169e+01, 1.501397330801058949e+01, 6.908738415737126104e+01, 8.695263781883749488e+00, 1.048033796253897698e+01, 1.114049360936146194e+01, 6.167928744146372821e+01, 8.031022878167814838e+01, 6.770188161166934115e+00, 8.825607584480819057e+00, 1.444844897597078237e+00, 1.037556384320607528e+01
