year, EC-Earth3-Veg, TaiESM1, CESM2-WACCM, CanESM5, MIROC-ES2L, MPI-ESM1-2-LR, CNRM-ESM2-1, NorESM2-MM, CMCC-CM2-SR5, ACCESS-ESM1-5, IPSL-CM6A-LR, NorESM2-LM, UKESM1-0-LL
2.015000000000000000e+03, 3.132673488989834141e+02, 6.172650497653265944e+01, 9.328179792622279365e+02, 2.147277583614815057e+02, 3.546349781965245711e+02, 1.505688100081900700e+02, 4.314403131758560903e+02, 7.333147293518001106e+02, 1.010731535658889698e+03, 1.957328922766726009e+02, 6.310073904625726726e+01, 1.332441881148811262e+03, 2.460465580167406472e+02
2.016000000000000000e+03, 3.133696051039850659e+02, 6.172706803181382185e+01, 9.328186081535570793e+02, 2.146939806803503075e+02, 3.548006054179851958e+02, 1.507329949405555567e+02, 4.316651994219578228e+02, 7.333173685333233607e+02, 1.010642984330566492e+03, 1.957897553978729945e+02, 6.326704161978170049e+01, 1.332410641172016994e+03, 2.463537759246689234e+02
2.017000000000000000e+03, 3.134274100599184862e+02, 6.170618845745335790e+01, 9.328126913317141771e+02, 2.146655562947668443e+02, 3.549410966559059375e+02, 1.508514862043273297e+02, 4.318825320046290130e+02, 7.333497492912312055e+02, 1.010520056710099652e+03, 1.958361289586619307e+02, 6.343259392487044579e+01, 1.332378096076845623e+03, 2.465851893197517199e+02
2.018000000000000000e+03, 3.134433915094541021e+02, 6.167650084163542346e+01, 9.328428623575672418e+02, 2.146411300876444272e+02, 3.550858119302693581e+02, 1.509306748920470511e+02, 4.321026771160709359e+02, 7.333624729561320237e+02, 1.010385674970900936e+03, 1.958891914077015599e+02, 6.359784044197026986e+01, 1.332325453115702203e+03, 2.468196017144765051e+02
2.019000000000000000e+03, 3.134309022517766152e+02, 6.166532554411492839e+01, 9.328661159624991797e+02, 2.146140087189116912e+02, 3.552545762018353912e+02, 1.510277949599217493e+02, 4.323321345275359135e+02, 7.333462472224040312e+02, 1.010285396014590106e+03, 1.959450574297437697e+02, 6.375758780882993193e+01, 1.332241804898759710e+03, 2.470927250176469840e+02
2.020000000000000000e+03, 3.134466458072042201e+02, 6.166486452027544374e+01, 9.328503978770685308e+02, 2.145868990707558055e+02, 3.554296730824165138e+02, 1.511667645667470765e+02, 4.325195943590961747e+02, 7.333278036414444614e+02, 1.010195519325075679e+03, 1.960083596845873899e+02, 6.393014839295018703e+01, 1.332124728481372586e+03, 2.473624696258863196e+02
2.021000000000000000e+03, 3.134983955466590828e+02, 6.165338432685626202e+01, 9.328351397580480580e+02, 2.145649108183238809e+02, 3.556379095838079820e+02, 1.512420445434244982e+02, 4.327027711794416973e+02, 7.333603583073843311e+02, 1.010128966583357737e+03, 1.960634036273582694e+02, 6.412067939245133630e+01, 1.332038293545178249e+03, 2.478401436276558343e+02
2.022000000000000000e+03, 3.135062598911187024e+02, 6.165876412081461666e+01, 9.328395166660196764e+02, 2.145512799313133314e+02, 3.558562456318862246e+02, 1.513192518114970255e+02, 4.329192972685237919e+02, 7.334132246349447541e+02, 1.010037388983316305e+03, 1.961172139669507999e+02, 6.429489628332842699e+01, 1.331999969956809991e+03, 2.481565209439914952e+02
2.023000000000000000e+03, 3.135311607812477632e+02, 6.167100873500037039e+01, 9.328343902937668872e+02, 2.145242271192080068e+02, 3.560214395352683141e+02, 1.513565235775002975e+02, 4.331187858545966378e+02, 7.334571435467785250e+02, 1.009919787133742034e+03, 1.961812076979658741e+02, 6.448409073274211778e+01, 1.331961054720097081e+03, 2.485515718664551912e+02
2.024000000000000000e+03, 3.136072922360129382e+02, 6.166653376846620205e+01, 9.328405328990214684e+02, 2.144797731835042214e+02, 3.561416876750584493e+02, 1.513910620070770960e+02, 4.333247666975566403e+02, 7.334948813458070163e+02, 1.009833304359180602e+03, 1.962449274436257554e+02, 6.466243182950830715e+01, 1.331911630475897937e+03, 2.488034943780610035e+02
