year, INM-CM4-8, CMCC-CM2-SR5, TaiESM1, CESM2-WACCM, GFDL-ESM4, NorESM2-LM, INM-CM5-0, MIROC-ES2L, MPI-ESM1-2-LR, NorESM2-MM, EC-Earth3-Veg, CanESM5, CNRM-ESM2-1, UKESM1-0-LL, IPSL-CM6A-LR, ACCESS-ESM1-5
2.015000000000000000e+03, 9.581012009606800106e+00, 1.085682556424740319e+01, 6.178737903531255959e+00, 9.417687208184451819e+00, 1.132000984925370268e+01, 7.663015785227547561e+00, 1.036323795496287481e+01, 1.089637776179905160e+01, 9.981800901155457595e+00, 9.023553425055149901e+00, 6.267927625432061056e+00, 7.605758167889950627e+00, 8.958144452138496305e+00, 1.166970273637041977e+01, 8.626578823459331247e+00, 6.050175081778021102e+00
2.016000000000000000e+03, 9.694010767386728844e+00, 1.128271576982783664e+01, 5.675484076036449110e+00, 9.396418442162380202e+00, 1.198350094539202892e+01, 8.216640429571699045e+00, 9.672193292900152173e+00, 1.065805921887723606e+01, 1.069083160916447994e+01, 7.930320769955425675e+00, 6.588712385882280032e+00, 7.382945524660819103e+00, 9.123043996149233337e+00, 1.149019545519252539e+01, 8.457763038987206272e+00, 6.228427112635579022e+00
2.017000000000000000e+03, 1.026213877952432618e+01, 1.160553348717598077e+01, 5.849440213452774984e+00, 8.913735374738170236e+00, 1.196580944780601108e+01, 8.378674605826102351e+00, 1.036099755438943859e+01, 1.075107672683783910e+01, 1.071398948192750389e+01, 8.201973031313009699e+00, 7.122931559387718714e+00, 7.406752865287513643e+00, 9.518389798796777157e+00, 1.159867866450851714e+01, 8.431493857958399119e+00, 6.254497583978361419e+00
2.018000000000000000e+03, 1.010370547970721944e+01, 1.098554702750691980e+01, 5.993061653355071350e+00, 9.060681761477869856e+00, 1.228845414476689513e+01, 8.082417774939395727e+00, 1.026212335922184238e+01, 1.064714682994172712e+01, 1.018264378219408073e+01, 8.512497869399087591e+00, 7.594281770040023360e+00, 7.516127435376830590e+00, 9.501450271977006423e+00, 1.114315097985797465e+01, 8.984507735569479792e+00, 6.232402225268570461e+00
2.019000000000000000e+03, 1.014249892734624403e+01, 1.100029069484214439e+01, 5.865851507948669941e+00, 9.348210181315554479e+00, 1.168126801726987019e+01, 7.784025329129065973e+00, 1.011196635585944748e+01, 1.059874390860013627e+01, 1.087351186988677831e+01, 8.922012031421209244e+00, 7.176128685754529890e+00, 7.654130325828806924e+00, 9.701643959821774743e+00, 1.196942008117022027e+01, 8.971465793404043154e+00, 6.178662430696360452e+00
2.020000000000000000e+03, 9.731162619676085868e+00, 1.074269485182806783e+01, 5.882011856032208108e+00, 9.576010675875748390e+00, 1.221072543625289875e+01, 8.397713652224828351e+00, 9.893312707952235385e+00, 1.033884218653535214e+01, 1.072893907420548310e+01, 8.555313242209491520e+00, 6.719422475957728125e+00, 8.096134333711107800e+00, 9.679869990216769082e+00, 1.143974717870167801e+01, 8.701869619936276834e+00, 6.157365563144640674e+00
2.021000000000000000e+03, 1.011979840101172279e+01, 1.102065733047007612e+01, 5.884153963717955627e+00, 9.157250398369042088e+00, 1.265949670342935107e+01, 7.805016739802796977e+00, 9.773258418690147664e+00, 1.072881387109609186e+01, 1.072736857378601627e+01, 8.512189381969044177e+00, 8.109490150610515258e+00, 7.418018083282236219e+00, 9.575164270142423106e+00, 1.203039535237685698e+01, 9.348430255125109056e+00, 6.446694535045337737e+00
2.022000000000000000e+03, 9.953528504065413784e+00, 1.154781337402789276e+01, 5.842791262385752304e+00, 9.619335182583050425e+00, 1.248791793957483875e+01, 7.631675309722067979e+00, 1.038226348760322537e+01, 1.119422089120240393e+01, 1.093186517550756776e+01, 8.913668434114439876e+00, 7.470035829543445693e+00, 8.414418834779324285e+00, 9.862866801230255831e+00, 1.235235613066204508e+01, 8.798393320499110715e+00, 6.469412611164473859e+00
2.023000000000000000e+03, 9.725278668928156733e+00, 1.072366347207229609e+01, 5.946761744262815341e+00, 9.451282846024582796e+00, 1.238307671552222899e+01, 7.949794315978810921e+00, 1.020370209497800928e+01, 1.072247416842881229e+01, 1.098509008620927752e+01, 9.147082734982477703e+00, 7.384547413148965234e+00, 8.378410111365877100e+00, 9.957493543308737927e+00, 1.153996658988425494e+01, 8.898832840914135289e+00, 6.395490259508905595e+00
2.024000000000000000e+03, 1.024829615983231257e+01, 1.117206357454421983e+01, 6.016706446100599237e+00, 9.185687830641517948e+00, 1.260585931240563440e+01, 7.486251280606237124e+00, 1.024313045404930023e+01, 1.121925927919195054e+01, 1.148834277553475403e+01, 7.984179220153276191e+00, 6.673130357737564466e+00, 8.348594101111427079e+00, 1.028205878045839938e+01, 1.253863776007286290e+01, 8.749909123629322494e+00, 6.587831664453089431e+00
