year, CNRM-ESM2-1, CMCC-CM2-SR5, TaiESM1, CESM2-WACCM, ACCESS-ESM1-5, MPI-ESM1-2-LR, UKESM1-0-LL, EC-Earth3-Veg, NorESM2-LM, GFDL-ESM4, IPSL-CM6A-LR, INM-CM5-0, MIROC-ES2L, CanESM5, NorESM2-MM, INM-CM4-8
2.015000000000000000e+03, 1.734948085128796169e+00, 1.596264153011601961e+00, 1.386877613563747946e+00, 1.628985720768217238e+00, 1.973586622498529453e+00, 1.707732302030076754e+00, 1.674536295238822303e+00, 1.617714497953035346e+00, 1.603486216397180808e+00, 1.815778104999832943e+00, 1.816096667836819778e+00, 1.762418402174302123e+00, 1.762386428838206509e+00, 1.566056546813470840e+00, 1.509937995323193505e+00, 1.706950183393600273e+00
2.016000000000000000e+03, 1.697348740404849732e+00, 1.620766242231719279e+00, 1.400229334163470840e+00, 1.598332857879521951e+00, 2.029920387638897150e+00, 1.801395981846044769e+00, 1.616371747893675881e+00, 1.641990157933411743e+00, 1.537711424934677718e+00, 1.804820709547247715e+00, 1.810732031642645401e+00, 1.793650807291493843e+00, 1.771446939331403181e+00, 1.576439561093590846e+00, 1.528973155406974760e+00, 1.659408135902845638e+00
2.017000000000000000e+03, 1.776649212735469829e+00, 1.712622753483665772e+00, 1.500231996632053200e+00, 1.667598929289479281e+00, 2.007168006220821255e+00, 1.819237977385891325e+00, 1.665064500459856767e+00, 1.632404259215223474e+00, 1.636618197021972865e+00, 1.759561349063371027e+00, 1.826734601658899004e+00, 1.829681948909632538e+00, 1.795544169440314697e+00, 1.573849039263177652e+00, 1.554940170182988801e+00, 1.750772377404664182e+00
2.018000000000000000e+03, 1.703851175869704360e+00, 1.672565050463832081e+00, 1.496175853252210475e+00, 1.672085257166119110e+00, 2.029615700901630682e+00, 1.794133479249375940e+00, 1.610372483470574378e+00, 1.751724933323032030e+00, 1.589443329325963994e+00, 1.759047699262169528e+00, 1.844407672604273518e+00, 1.755250994778225104e+00, 1.793671823774234841e+00, 1.554321744585510423e+00, 1.566162265091430195e+00, 1.693236021096946597e+00
2.019000000000000000e+03, 1.718447592719134942e+00, 1.571116957433799755e+00, 1.408118328492880211e+00, 1.578247171746577582e+00, 2.004532713818977907e+00, 1.755951079646744351e+00, 1.645292786111441696e+00, 1.643063879404344840e+00, 1.575250244035626190e+00, 1.800142130097790671e+00, 1.769484017914017882e+00, 1.701630740830143873e+00, 1.741446957995745226e+00, 1.621875107961273210e+00, 1.497910149695895976e+00, 1.671612363672369872e+00
2.020000000000000000e+03, 1.753961384625205788e+00, 1.620990552632500581e+00, 1.406612797766179757e+00, 1.627613427298416626e+00, 2.022633442694738992e+00, 1.836030810091142662e+00, 1.590164256918709551e+00, 1.579054060087377920e+00, 1.593090281690886734e+00, 1.779635491046847484e+00, 1.796937578353455356e+00, 1.738143062029308128e+00, 1.656908838341824453e+00, 1.626026391425871687e+00, 1.482400982813126822e+00, 1.730159073167742978e+00
2.021000000000000000e+03, 1.728669365656815726e+00, 1.613647934272953277e+00, 1.416885347076340285e+00, 1.616227347835590633e+00, 1.969266370998931537e+00, 1.855624180121988376e+00, 1.717169703113686996e+00, 1.668910773032472594e+00, 1.576939281040437013e+00, 1.782212133932411069e+00, 1.853516397545682981e+00, 1.742448837995766331e+00, 1.761637662870378263e+00, 1.587078851885429076e+00, 1.532169495024676475e+00, 1.726410265927500243e+00
2.022000000000000000e+03, 1.744021635979740692e+00, 1.653922693027333857e+00, 1.451998613410220518e+00, 1.604975074872988960e+00, 1.975096242684629022e+00, 1.855079335421436104e+00, 1.617529764920280222e+00, 1.552317985209128670e+00, 1.508592570931863719e+00, 1.800064426947729501e+00, 1.778483299302049403e+00, 1.824595964145016902e+00, 1.792866693020239710e+00, 1.682453178427639306e+00, 1.536791945855395358e+00, 1.711704629608579165e+00
2.023000000000000000e+03, 1.802827943202661487e+00, 1.622197074216462642e+00, 1.458793598631591193e+00, 1.620691302966524194e+00, 2.022436693081298476e+00, 1.872604697080908487e+00, 1.593898132932756839e+00, 1.706080133160456480e+00, 1.570569157122327253e+00, 1.818197167704331152e+00, 1.746225813726948184e+00, 1.746288962805240041e+00, 1.800803089051958850e+00, 1.617729243785436033e+00, 1.485326266224068714e+00, 1.691898573303298736e+00
2.024000000000000000e+03, 1.799972186704438926e+00, 1.690165514420169268e+00, 1.458719646954528937e+00, 1.549021135143077821e+00, 1.989973806543045898e+00, 1.811743590730352071e+00, 1.744578524648473739e+00, 1.647838937886209276e+00, 1.523392145420793486e+00, 1.813219658738773665e+00, 1.758453634653209585e+00, 1.770607340957175646e+00, 1.767863774917809438e+00, 1.620068636173212839e+00, 1.515872487477007757e+00, 1.696119728237071023e+00
