year, NorESM2-LM, CanESM5, MIROC-ES2L, MPI-ESM1-2-LR, ACCESS-ESM1-5, EC-Earth3-Veg, GFDL-ESM4, CESM2-WACCM, CNRM-ESM2-1, CMCC-CM2-SR5, IPSL-CM6A-LR, UKESM1-0-LL, TaiESM1, NorESM2-MM
2.015000000000000000e+03, 3.607465140019924021e+00, 3.689896085942760973e+00, 6.041925269731340364e+00, 5.419599168753951091e+00, 3.134488697819272307e+00, 2.975102626647044612e+00, 5.476589707248781913e+00, 4.407885341041660077e+00, 5.300332295435923768e+00, 5.156009093321723746e+00, 2.917176884872384246e+00, 5.603939684754060124e+00, 2.058948787822566295e+00, 4.161166568572270741e+00
2.016000000000000000e+03, 3.558077809577754103e+00, 3.608667571301543919e+00, 6.013864514659879035e+00, 5.626845126576559331e+00, 3.245698430096985110e+00, 3.064166652438167215e+00, 5.589841278833697302e+00, 4.294347678702464144e+00, 5.370120932590788598e+00, 5.356104735532402294e+00, 2.947086374712259094e+00, 5.562556524134965485e+00, 1.879817781766198070e+00, 3.872352182691230382e+00
2.017000000000000000e+03, 3.836123449768438665e+00, 3.620723277744938517e+00, 5.952417248339552991e+00, 5.795184873851503937e+00, 3.211746897313333182e+00, 3.413018767290190159e+00, 5.663861297409458651e+00, 4.265448591694648073e+00, 5.637825913724578974e+00, 5.491748180712797911e+00, 2.957867187058319303e+00, 5.742453689510434778e+00, 1.846914684158766917e+00, 3.826058320177178729e+00
2.018000000000000000e+03, 3.854218412330899124e+00, 3.683733387604559706e+00, 5.956922646036382218e+00, 5.662073679200370968e+00, 3.217638458242571442e+00, 3.256941170467790414e+00, 5.890686045545077576e+00, 4.279252832736877288e+00, 5.519960482291340398e+00, 5.311992177775166191e+00, 3.082875670616884278e+00, 5.480024832062451168e+00, 1.877382599497311233e+00, 4.033265518324309795e+00
2.019000000000000000e+03, 3.902828437878283818e+00, 3.682687370278520778e+00, 6.002065991147358837e+00, 5.626937707625330631e+00, 3.203351245853790719e+00, 3.159262518118713281e+00, 5.571015030924662881e+00, 4.343355050222820424e+00, 5.640557098024376437e+00, 5.180155718492374106e+00, 3.078899277524596023e+00, 5.749723617009510512e+00, 1.877850048879402545e+00, 4.042825656747529806e+00
2.020000000000000000e+03, 3.749476541770685678e+00, 3.855602002859050970e+00, 5.964180402339684051e+00, 5.861916113013262652e+00, 3.143976833159785489e+00, 2.826497009258077231e+00, 5.772376733784555292e+00, 4.148186584801116794e+00, 5.699498251521227132e+00, 5.151081988405761258e+00, 3.018980460327061799e+00, 5.448451608980701799e+00, 1.886500273547897066e+00, 3.731857114589880453e+00
2.021000000000000000e+03, 3.722620839529596104e+00, 3.695535904084528145e+00, 6.116828954571250421e+00, 5.795609713019936216e+00, 3.245422120260149867e+00, 3.691816635144346659e+00, 6.004043311818833217e+00, 4.091656819389103639e+00, 5.637678306362497338e+00, 5.219418191746812319e+00, 3.242836309676759843e+00, 5.667648973485580832e+00, 1.889495513554741102e+00, 3.726986895533968891e+00
2.022000000000000000e+03, 3.677063434486160354e+00, 3.968006610182486238e+00, 6.156732772655607810e+00, 5.978588491974960561e+00, 3.224680434431629106e+00, 3.230234063823090196e+00, 5.851036867889601645e+00, 4.424224205210243177e+00, 5.746455307956585656e+00, 5.393800187035009408e+00, 3.094314416898117148e+00, 5.774861943307621814e+00, 1.864976091060789543e+00, 3.896841546311708093e+00
2.023000000000000000e+03, 3.576968602106281647e+00, 3.980201793776796393e+00, 6.221320680050293817e+00, 6.078794516018380278e+00, 3.219191927891313920e+00, 2.954948178996168906e+00, 5.837673213587620147e+00, 4.380134138826512036e+00, 5.784573278660825935e+00, 5.016536898964617741e+00, 3.130544123293981684e+00, 5.617777737890197187e+00, 1.896834504915531072e+00, 3.869469270242289483e+00
2.024000000000000000e+03, 3.584717122345132623e+00, 4.003928197042832871e+00, 6.128071269367245222e+00, 6.044840673611864723e+00, 3.266025116781457349e+00, 2.813606245663201388e+00, 5.812806849233886908e+00, 4.326766524169062045e+00, 5.820119917595891756e+00, 5.313440233128113199e+00, 3.101832622818651686e+00, 5.893719911372324205e+00, 1.941198500749783395e+00, 3.785567810424276924e+00
2.025000000000000000e+03, 3.684469422905940039e+00, 4.088719501940616396e+00, 6.226961016651957337e+00, 5.987618389098078531e+00, 3.263180669200760775e+00, 3.639533826917723314e+00, 5.998097129042141873e+00, 4.562583997463137919e+00, 5.689698773236238516e+00, 5.261297922512222058e+00, 3.128824896973608105e+00, 6.065186685744945905e+00, 1.957131757951191764e+00, 3.793971118011161714e+00
2.026000000000000000e+03, 3.672559841895191912e+00, 4.014141440310388553e+00, 6.212484085087681684e+00, 6.062539990017361546e+00, 3.261865955266073591e+00, 2.733168655487452359e+00, 5.877832786508938590e+00, 4.363543821018472713e+00, 5.912312884049782724e+00, 5.336508945393942049e+00, 3.277149810823446696e+00, 6.058375016997972651e+00, 1.931577603061099824e+00, 4.046860878176097742e+00
2.027000000000000000e+03, 3.858977153510498415e+00, 3.914984844888397042e+00, 6.309099763136147843e+00, 5.979714520958966162e+00, 3.243186330462067168e+00, 3.546804301659082892e+00, 5.835213184983552459e+00, 4.442511581543629795e+00, 6.001793689229383055e+00, 5.357523273329169555e+00, 3.207578780608933311e+00, 6.015644522689056473e+00, 1.969728207539977793e+00, 3.899966430452921795e+00
2.028000000000000000e+03, 3.959149070373115364e+00, 4.023655303158234275e+00, 6.171412807356722929e+00, 5.979352185958379806e+00, 3.265273000851828034e+00, 3.273713561908154102e+00, 5.991254411988824913e+00, 4.651965205419892335e+00, 6.044989234885842500e+00, 5.209122466550946129e+00, 3.195064559736912280e+00, 6.110410507709413075e+00, 1.959872509043657951e+00, 4.076588965766643646e+00
2.029000000000000000e+03, 3.721588660395846571e+00, 4.009046528437072432e+00, 6.491846511463879921e+00, 5.938918865471385367e+00, 3.244497069863781835e+00, 3.577398092938334440e+00, 6.007881101195669871e+00, 4.638949135517467681e+00, 5.715559895439600524e+00, 5.186650439576698801e+00, 3.282243480052402962e+00, 6.039645576995853915e+00, 1.986771855126859831e+00, 4.195355715103982419e+00
2.030000000000000000e+03, 3.812554494507876868e+00, 4.104660732199660877e+00, 6.367485640741421093e+00, 6.024489924857804546e+00, 3.278834683863201871e+00, 3.344162672399328073e+00, 5.962276977434760816e+00, 4.540833021636059286e+00, 6.015545102427876323e+00, 5.258956719019020731e+00, 3.248976875926202101e+00, 6.288652270788570142e+00, 2.045699877559718161e+00, 4.189621294688369524e+00
2.031000000000000000e+03, 3.769510538089064777e+00, 4.162031658645690690e+00, 6.375994422346468404e+00, 5.839782443544449642e+00, 3.256338157520528132e+00, 3.512587210147097405e+00, 6.177657373556362685e+00, 4.640662079682382313e+00, 6.096225102842342203e+00, 5.197977022433090788e+00, 3.258666636409015105e+00, 6.571574775568250537e+00, 1.999663161291718838e+00, 4.007721078376046187e+00
2.032000000000000000e+03, 3.836822799593282873e+00, 4.198288222818893800e+00, 6.550067845876373696e+00, 5.962647222011754344e+00, 3.320972214716229498e+00, 4.275849691446500067e+00, 5.942303165889928351e+00, 4.751443348808320088e+00, 5.899540228718856305e+00, 5.370389177157407268e+00, 3.377500542835552011e+00, 6.598386479211768574e+00, 1.970719632835638002e+00, 4.179472711107623084e+00
2.033000000000000000e+03, 3.760535500080498306e+00, 4.249155663586209997e+00, 6.347157969142674716e+00, 5.757205508586686449e+00, 3.250496308423345582e+00, 3.069421118587324138e+00, 5.928082685626700155e+00, 4.584107014608433062e+00, 6.065578062576763685e+00, 5.540799514737918763e+00, 3.378424297735072912e+00, 6.479348740801512463e+00, 2.043190983717802389e+00, 3.985366951537645086e+00
2.034000000000000000e+03, 3.903342400599596917e+00, 4.122639697858809349e+00, 6.503951540603518211e+00, 6.163082821137218836e+00, 3.356082746672338857e+00, 3.282315543505913702e+00, 5.941243000568240618e+00, 4.303713052050166965e+00, 6.253809283882626247e+00, 5.557349007597792934e+00, 3.421308637091234228e+00, 6.474359552433660348e+00, 2.030305471120877669e+00, 4.006770025799206714e+00
2.035000000000000000e+03, 3.998614798880083754e+00, 4.221310156493313315e+00, 6.574975088226638675e+00, 6.101664903344312663e+00, 3.275259780484047312e+00, 3.129552763018971007e+00, 6.201823137603377667e+00, 4.497078233819610027e+00, 6.034363712650768541e+00, 5.678883498004839936e+00, 3.456903806628619957e+00, 6.617329918319200921e+00, 1.946405939757171355e+00, 4.032544762652879200e+00
2.036000000000000000e+03, 3.867283856709816448e+00, 4.386127289450872269e+00, 6.617560441202990695e+00, 5.964472385694744361e+00, 3.350195120666948689e+00, 3.476483098513104331e+00, 6.267184949597791821e+00, 4.726612284730468794e+00, 6.214632987136701203e+00, 5.687447728464869456e+00, 3.478300656307561578e+00, 6.541955428698496000e+00, 2.032567808817443478e+00, 4.222071584579728309e+00
2.037000000000000000e+03, 3.859082069564708561e+00, 4.260050830814530620e+00, 6.631744360064439014e+00, 6.134753098382948799e+00, 3.382375049877649253e+00, 4.110640453753318546e+00, 6.328679479039876377e+00, 4.776925348646024361e+00, 6.035519560179767318e+00, 5.740611930117672124e+00, 3.554997286395788159e+00, 6.741357774984469309e+00, 2.026362327747521341e+00, 4.353090167396556076e+00
2.038000000000000000e+03, 3.723917955680307035e+00, 4.195606933623533763e+00, 6.547888472821965067e+00, 6.128057808125948469e+00, 3.334032541700707952e+00, 3.853505458006202922e+00, 6.228379471362677222e+00, 4.894000978214251063e+00, 6.254245931447693252e+00, 5.724689529976178193e+00, 3.566198249928034247e+00, 6.634204026690001754e+00, 1.985632246736009687e+00, 4.020003692884204227e+00
2.039000000000000000e+03, 3.922032272756288407e+00, 4.469748419297600250e+00, 6.580404462630360385e+00, 6.026056845899221415e+00, 3.335335381400759136e+00, 3.561551364163533684e+00, 6.282786001512303820e+00, 4.913726141100017486e+00, 6.325927295846399012e+00, 5.518266984271381403e+00, 3.609193921798523164e+00, 6.828339501183624982e+00, 2.062667115174282362e+00, 4.110559412536987978e+00
2.040000000000000000e+03, 3.866535670001089109e+00, 4.389162995949123847e+00, 6.667266205944467394e+00, 6.289570992609917255e+00, 3.310822373532340990e+00, 3.523369721903619300e+00, 6.086071659226753638e+00, 4.911181442556173948e+00, 6.192015920634869275e+00, 5.474552287538179129e+00, 3.693427323374622873e+00, 6.836425919663241757e+00, 2.038012871648180901e+00, 4.327695210069310683e+00
2.041000000000000000e+03, 4.109710729720628564e+00, 4.582411242205489899e+00, 6.616185238468391461e+00, 5.955234636375946522e+00, 3.355690406687207972e+00, 3.660238866443144889e+00, 5.960584933307993438e+00, 5.009749678366215875e+00, 6.279489717309123975e+00, 5.780843669018511655e+00, 3.707679883969051016e+00, 6.664391806139732033e+00, 2.062334907931668404e+00, 4.141857414360097245e+00
