year, NorESM2-LM, CMCC-CM2-SR5, CNRM-ESM2-1, MPI-ESM1-2-LR, NorESM2-MM, GFDL-ESM4, MIROC-ES2L, IPSL-CM6A-LR, CanESM5, TaiESM1, CESM2-WACCM, EC-Earth3-Veg, ACCESS-ESM1-5
1.850000000000000000e+03, 4.635646768155265107e+00, 6.463830737233195123e+00, 2.961386731251105786e+01, 5.469336580133776238e+01, 4.708872438964641916e+00, 3.350968579291866689e+01, 3.424794565987731687e+01, 1.884172573848641008e+01, 1.146703020564870279e+01, 2.181837823357814621e+00, 4.866425255916177584e+00, 6.655863844607365465e+00, 6.331114412953179560e+00
1.851000000000000000e+03, 4.688662550002776541e+00, 6.523232966935846200e+00, 2.980239878405341969e+01, 5.481276378760610157e+01, 4.819262575464603238e+00, 3.338211415465855225e+01, 3.387259247013459174e+01, 1.886293260106191383e+01, 1.140762792547570825e+01, 2.071512121703343201e+00, 4.850529975482160694e+00, 6.625208681322872550e+00, 6.420664648781263750e+00
1.852000000000000000e+03, 4.690217548153614580e+00, 6.495808704672278999e+00, 2.970236205647324468e+01, 5.458782160274866868e+01, 4.781741337141691695e+00, 3.363479415845603882e+01, 3.374234198548366948e+01, 1.892839233601330662e+01, 1.151262823036386962e+01, 1.930357649023304756e+00, 5.063332192157671940e+00, 6.389923016376313214e+00, 6.550150976953338144e+00
1.853000000000000000e+03, 4.679610751822307790e+00, 6.482076152296244231e+00, 2.958170585902305305e+01, 5.468481155433794072e+01, 4.672699004809662604e+00, 3.361831552047326710e+01, 3.390323021914379353e+01, 1.890967059132049144e+01, 1.161989867581446134e+01, 2.110419844327329653e+00, 4.773030251778568989e+00, 6.262987506636767066e+00, 6.669800684846557637e+00
1.854000000000000000e+03, 4.586900142587958307e+00, 6.460984316443212805e+00, 2.971684316928675074e+01, 5.473054017937590743e+01, 4.622954718059027357e+00, 3.326286663679985622e+01, 3.422253352177116881e+01, 1.884355645072924190e+01, 1.138926640583124161e+01, 2.180000917717972442e+00, 4.782319625315383682e+00, 6.330540795914856744e+00, 6.646402857255078622e+00
1.855000000000000000e+03, 4.694423379367655080e+00, 6.315272106343972958e+00, 2.980982735222072222e+01, 5.422214013711999314e+01, 4.565912345437991959e+00, 3.322683555232372044e+01, 3.432312620489247479e+01, 1.881194741811118476e+01, 1.123892619908845525e+01, 1.978543238567769924e+00, 4.962098236625632985e+00, 6.449918079535740034e+00, 6.615937314196499663e+00
1.856000000000000000e+03, 4.660899278559154091e+00, 6.379493997352753354e+00, 2.985521955100997715e+01, 5.398005986970061088e+01, 4.637352676546223407e+00, 3.369867368100279492e+01, 3.425221889084231464e+01, 1.883439607345481548e+01, 1.113056213597867306e+01, 2.019617810634533051e+00, 4.815052312886621166e+00, 6.495492437376951145e+00, 6.621399358719624928e+00
1.857000000000000000e+03, 4.583199421633816328e+00, 6.848042672107890638e+00, 2.985155882851840303e+01, 5.398161066488544435e+01, 4.754472277859115081e+00, 3.361785803789999250e+01, 3.429788999434800445e+01, 1.880392468228746949e+01, 1.110185900131262926e+01, 2.171275747794559230e+00, 4.844833251181356992e+00, 6.523280474079254709e+00, 6.639449195963791794e+00
1.858000000000000000e+03, 4.727951796486442149e+00, 6.549035462005513786e+00, 2.993785357351637444e+01, 5.432917616913645986e+01, 4.758379668546557362e+00, 3.335217056431847737e+01, 3.427069391884463556e+01, 1.886481402769359406e+01, 1.110059673895981192e+01, 2.103172309129909934e+00, 4.814344328094000147e+00, 6.368436278949317852e+00, 6.684461976086962132e+00
1.859000000000000000e+03, 4.727198865739544509e+00, 6.129386190658559386e+00, 3.005904337488941991e+01, 5.449464226026507419e+01, 4.782061960736312400e+00, 3.342784219752763875e+01, 3.429320526562594296e+01, 1.890970606366230555e+01, 1.125049187071344647e+01, 2.059453796196485165e+00, 4.827532020481912767e+00, 6.496965686864626832e+00, 6.815244847588273203e+00
