year, TaiESM1, NorESM2-MM, MIROC-ES2L, NorESM2-LM, CMCC-CM2-SR5, CanESM5, INM-CM5-0, ACCESS-ESM1-5, CESM2-WACCM, IPSL-CM6A-LR, INM-CM4-8, MPI-ESM1-2-LR, CNRM-ESM2-1, UKESM1-0-LL, GFDL-ESM4, EC-Earth3-Veg
1.850000000000000000e+03, 1.994243988596408030e+02, 1.687009016960686267e+02, 1.206254394830549188e+02, 1.706089651913341925e+02, 1.157759726622184360e+02, 9.879012026729195384e+01, 1.252326688601528133e+02, 1.796572326215406008e+02, 1.663494482389967857e+02, 1.260603827387876805e+02, 1.241784408695853443e+02, 1.533448729475158530e+02, 1.275229180919848346e+02, 2.002134744688486876e+02, 8.238421844971841779e+01, 1.497620154370106036e+02
1.851000000000000000e+03, 1.985245252581975990e+02, 1.682179833304012107e+02, 1.204437691342600942e+02, 1.702608353824350615e+02, 1.152629792697924671e+02, 9.858430133822258767e+01, 1.256158851021399414e+02, 1.799868011899538658e+02, 1.662980510336775808e+02, 1.259967149493202356e+02, 1.239325927298294090e+02, 1.528616495435592810e+02, 1.270339363701383348e+02, 2.001760111972581342e+02, 8.250999103751055941e+01, 1.484248684574340871e+02
1.852000000000000000e+03, 1.989341664097948410e+02, 1.678934990599028936e+02, 1.203320362242351536e+02, 1.699033947237244035e+02, 1.153593544315776853e+02, 9.820097217402377510e+01, 1.247738111234200602e+02, 1.807540284092888214e+02, 1.657051418484466581e+02, 1.259064949944000915e+02, 1.237317053592031897e+02, 1.527650659129960786e+02, 1.260666441311949200e+02, 2.003350285140948586e+02, 8.312285845487930658e+01, 1.477547733104036922e+02
1.853000000000000000e+03, 1.994636056456255062e+02, 1.678087014140924396e+02, 1.202715598983933916e+02, 1.693693213089359233e+02, 1.155096995195668086e+02, 9.710646171336401267e+01, 1.249906476870576171e+02, 1.814856200201080583e+02, 1.655490464217667466e+02, 1.256620186696313795e+02, 1.234965953053529546e+02, 1.518302875408936643e+02, 1.267476743650856861e+02, 2.002657016877675460e+02, 8.221122115836759292e+01, 1.465593212656669380e+02
1.854000000000000000e+03, 1.981645120606964952e+02, 1.677068288776198699e+02, 1.205046449187936020e+02, 1.691141367015833055e+02, 1.153412473757302195e+02, 9.621505763677234313e+01, 1.247908615148748623e+02, 1.814838706352727513e+02, 1.655703259785067587e+02, 1.256461874849537423e+02, 1.233706537929276266e+02, 1.506048617035573614e+02, 1.267949155465886548e+02, 1.999953960024481603e+02, 8.211323056979082935e+01, 1.455553798629044024e+02
1.855000000000000000e+03, 1.980154862115208516e+02, 1.680151058811763676e+02, 1.205193506507814618e+02, 1.689245351985149739e+02, 1.156217803392771799e+02, 9.663698213860759267e+01, 1.244150124475793575e+02, 1.815144832584689425e+02, 1.651260271272428213e+02, 1.258475782430985817e+02, 1.233155941934849693e+02, 1.515274705317687278e+02, 1.268339105464125112e+02, 1.999502804217898699e+02, 8.247715923143989869e+01, 1.457576858203279642e+02
1.856000000000000000e+03, 1.987762634807022835e+02, 1.683373294958036013e+02, 1.205148041365635976e+02, 1.687838239464223591e+02, 1.157623115850370255e+02, 9.653284730200618924e+01, 1.245323785394828064e+02, 1.815759472684252103e+02, 1.648419085549078034e+02, 1.259842182631909537e+02, 1.230587059138794075e+02, 1.528711177727737436e+02, 1.268151688076292487e+02, 2.002024926629424613e+02, 8.310164338543449958e+01, 1.466983011734512843e+02
1.857000000000000000e+03, 1.982434007838851642e+02, 1.683596024239479902e+02, 1.205809763788338103e+02, 1.689127300933063509e+02, 1.145228397254821573e+02, 9.688780815645847611e+01, 1.249306373741223979e+02, 1.816531363320635819e+02, 1.646753276730254356e+02, 1.259522554577917788e+02, 1.224461798468150562e+02, 1.536591688731559202e+02, 1.268817628091918408e+02, 2.002657392208436420e+02, 8.251457614960285980e+01, 1.450790269005209439e+02
1.858000000000000000e+03, 1.971472153989819844e+02, 1.682352417673015168e+02, 1.204340756574898705e+02, 1.685750652293103542e+02, 1.141693774846077076e+02, 9.685886159294425113e+01, 1.250738531520330952e+02, 1.819287220265448752e+02, 1.646377541332593637e+02, 1.261521718290786822e+02, 1.223159674603568732e+02, 1.531795039541470942e+02, 1.270379890293089460e+02, 2.002653968078928131e+02, 8.259230551757740102e+01, 1.444214875207727573e+02
1.859000000000000000e+03, 1.964978444127309274e+02, 1.679359476969310663e+02, 1.202870918039252501e+02, 1.681945026677256863e+02, 1.148007473608258522e+02, 9.736197808559661837e+01, 1.248011699506184300e+02, 1.828034118286273895e+02, 1.647982402090116807e+02, 1.260884163133436431e+02, 1.221435721962473906e+02, 1.526662076256769467e+02, 1.269588675688306409e+02, 2.001342701171169836e+02, 8.273450092971853564e+01, 1.439491282322132975e+02
1.860000000000000000e+03, 1.969923741193394449e+02, 1.674997676096076020e+02, 1.202421973974186500e+02, 1.681944085184146900e+02, 1.148565615811650389e+02, 9.680137504610311794e+01, 1.249443851907126231e+02, 1.830270476389463852e+02, 1.650050459346926459e+02, 1.257434877716133741e+02, 1.222348358551461871e+02, 1.521549080000924334e+02, 1.259076473479456695e+02, 2.004013025765028715e+02, 8.262186904688381617e+01, 1.438960261387966852e+02
1.861000000000000000e+03, 1.966637561538876753e+02, 1.671562098922355517e+02, 1.201607646134751803e+02, 1.686320014284528668e+02, 1.153953405981544336e+02, 9.637386907837461081e+01, 1.252257050420023745e+02, 1.831126129371674267e+02, 1.652576382103459025e+02, 1.255238932999997843e+02, 1.228726334633099242e+02, 1.513148039064349746e+02, 1.263329028655643782e+02, 2.007013729311254906e+02, 8.330452509039963616e+01, 1.429738474035427203e+02
1.862000000000000000e+03, 1.965907923359305016e+02, 1.669357439687521492e+02, 1.201977627415173657e+02, 1.687280164554324244e+02, 1.152122013194919390e+02, 9.698258535791553925e+01, 1.255413608617041632e+02, 1.832163167009277913e+02, 1.654881141257044987e+02, 1.256273790666726740e+02, 1.229928867128940624e+02, 1.504827436040924340e+02, 1.262579638346353903e+02, 2.005897406018841878e+02, 8.311288882263391997e+01, 1.431473504924092026e+02
1.863000000000000000e+03, 1.963417618618052529e+02, 1.665739697749602897e+02, 1.202304201231038263e+02, 1.684386388373895613e+02, 1.149463221652758449e+02, 9.805466151014562115e+01, 1.255940493940252338e+02, 1.827769784296240232e+02, 1.655494930916879355e+02, 1.259199927339684990e+02, 1.226499926260712812e+02, 1.509055628075504671e+02, 1.260737622859111156e+02, 2.003267960574659980e+02, 8.322761300965052556e+01, 1.429424523279214156e+02
1.864000000000000000e+03, 1.957172162124925592e+02, 1.666376744599564859e+02, 1.201428603684999246e+02, 1.682358722605696926e+02, 1.148586393247471733e+02, 9.835221370440081046e+01, 1.253934146134041754e+02, 1.813166451124479863e+02, 1.652487337438308543e+02, 1.260407170535239345e+02, 1.228189911365162743e+02, 1.512640561431938693e+02, 1.254588173810355869e+02, 2.000030393163277154e+02, 8.314690341519388994e+01, 1.427155425217991080e+02
1.865000000000000000e+03, 1.961968137310756219e+02, 1.667602802744656287e+02, 1.199666584964080727e+02, 1.682275653921978744e+02, 1.153584256586135126e+02, 9.899211914471720775e+01, 1.250273843307771386e+02, 1.814737734031367324e+02, 1.650692749206534700e+02, 1.257314433267668079e+02, 1.226726803838493254e+02, 1.514133739010938200e+02, 1.257244699226376241e+02, 1.997180889319640471e+02, 8.209497299100542023e+01, 1.431009467828084780e+02
1.866000000000000000e+03, 1.963439769592482946e+02, 1.668514360679698143e+02, 1.198294817862758350e+02, 1.682458815341085483e+02, 1.153419175137915431e+02, 9.827668936555343748e+01, 1.249944562521428253e+02, 1.819180434507305222e+02, 1.648953760659665875e+02, 1.255348125675854476e+02, 1.230412666752589246e+02, 1.511922321358190686e+02, 1.256194079775542320e+02, 1.997728366699977869e+02, 8.204887219168870161e+01, 1.436510884246742421e+02
1.867000000000000000e+03, 1.966293958566230060e+02, 1.660258603443473646e+02, 1.198448274716962203e+02, 1.681598681816427359e+02, 1.153427801084055915e+02, 9.780168857313104525e+01, 1.248783802380600889e+02, 1.819712729358167564e+02, 1.642789629415809998e+02, 1.252753727017998102e+02, 1.229072341282712415e+02, 1.517730379212726746e+02, 1.253674068348172455e+02, 1.998873541352947427e+02, 8.145215036098326777e+01, 1.433720524473807814e+02
