year, CESM2-WACCM, IPSL-CM6A-LR, CNRM-ESM2-1, UKESM1-0-LL
1.850000000000000000e+03, 1.751783804687380766e-17, -1.628232106424845116e-10, 0.000000000000000000e+00, 9.675646506400932186e-11
1.851000000000000000e+03, 3.755330339773584781e-11, -1.723927789395841694e-10, 2.630448459350367531e-12, 9.475290723877597216e-11
1.852000000000000000e+03, 4.053191910410684906e-11, -1.766657684620431171e-10, 2.721827793837603661e-12, 9.318597252689206989e-11
1.853000000000000000e+03, 4.276186992924168099e-11, -1.808882842344205297e-10, 2.945127989080374647e-12, 9.554892022019489013e-11
1.854000000000000000e+03, 4.482579362126520144e-11, -1.782915408972998563e-10, 3.137574935029988559e-12, 9.018692379683382621e-11
1.855000000000000000e+03, 4.613317163345978730e-11, -1.875171816462078768e-10, 3.245491687686284368e-12, 9.714038191539457195e-11
1.856000000000000000e+03, 4.703003475646497912e-11, -1.859901823066690281e-10, 3.376756201700910400e-12, 9.595344944641692635e-11
1.857000000000000000e+03, 4.815229829853764337e-11, -1.883310344804269649e-10, 3.543630566918886315e-12, 9.968347351208870539e-11
1.858000000000000000e+03, 4.885193779495224531e-11, -1.938171720085772734e-10, 3.672085097628346719e-12, 9.727327156013227796e-11
1.859000000000000000e+03, 4.958073241863034446e-11, -1.922372228329444190e-10, 3.826282877639392953e-12, 9.920813137181509984e-11
1.860000000000000000e+03, 5.008778171338429994e-11, -1.897142042441524458e-10, 3.912870871404430627e-12, 9.876662219703875190e-11
1.861000000000000000e+03, 5.097678861985640166e-11, -1.914994008299003570e-10, 3.708592534598896549e-12, 1.004573977838644059e-10
1.862000000000000000e+03, 5.123247739785225374e-11, -1.879736987728449020e-10, 3.678151484277383582e-12, 1.000027899651272272e-10
1.863000000000000000e+03, 5.165418242436741092e-11, -1.915681350219187934e-10, 3.731249379374563574e-12, 9.695086668233081280e-11
1.864000000000000000e+03, 5.187498838196865976e-11, -1.974726781518566077e-10, 3.658405298154424013e-12, 1.010320348321437579e-10
1.865000000000000000e+03, 5.203990978494017047e-11, -1.921009233113559111e-10, 3.643280550686999465e-12, 1.015135675867655220e-10
1.866000000000000000e+03, 5.226972783146835652e-11, -1.892540973118258676e-10, 3.617668276100718989e-12, 1.024682864004832566e-10
1.867000000000000000e+03, 5.204253114295852592e-11, -1.887476415198696988e-10, 3.632990072475690234e-12, 1.009694547873734337e-10
1.868000000000000000e+03, 5.220306011532350506e-11, -1.870576425327168972e-10, 3.717562309169566367e-12, 9.547024408901831432e-11
1.869000000000000000e+03, 5.276235818413342693e-11, -1.856488435206834004e-10, 3.655402142692352430e-12, 9.805646203087779432e-11
1.870000000000000000e+03, 5.262726978796807402e-11, -1.882769839863313174e-10, 3.682346461608611041e-12, 9.824489490717009831e-11
1.871000000000000000e+03, 7.618092934317172485e-11, -2.114212929558186504e-10, 5.579566661912848698e-12, 9.617492760608549371e-11
1.872000000000000000e+03, 7.827468382392356340e-11, -2.085884917400838853e-10, 5.749978184105469138e-12, 9.930773090703817881e-11
1.873000000000000000e+03, 7.901133655485085013e-11, -2.105511285995819358e-10, 5.952165582932424524e-12, 1.036374454826782231e-10
1.874000000000000000e+03, 7.993059323247164262e-11, -2.072377397735036154e-10, 5.960784756662807646e-12, 1.006799454587216380e-10
