year, GFDL-ESM4, NorESM2-LM, CNRM-ESM2-1, TaiESM1, NorESM2-MM
1.850000000000000000e+03, 1.798692368186719109e-09, 3.544688380067518420e-10, 9.978196396345958828e-10, 1.657549915699748955e-09, 4.201048713216787557e-10
1.851000000000000000e+03, 1.194287455813855099e-09, 7.383172400120893473e-10, 1.056255945255747557e-09, 1.321812898032697016e-09, 8.015129530312670121e-10
1.852000000000000000e+03, 1.410824085318503613e-09, 7.876711928005982804e-10, 9.002483422303692890e-10, 1.051846334408411543e-09, 8.855684536254247765e-10
1.853000000000000000e+03, 3.080330680609987780e-09, 6.246889339990475098e-10, 1.051386481079687897e-09, 1.330517381444148146e-09, 7.979192512943507571e-10
1.854000000000000000e+03, 2.015942306507132795e-09, 5.845616782654836642e-10, 1.054166261154834895e-09, 1.704069345102959551e-09, 5.166925032166320936e-10
1.855000000000000000e+03, 1.245954142276312186e-09, 9.268372883609439955e-10, 1.031598254016670659e-09, 1.135130079928295159e-09, 5.965075143652043664e-10
1.856000000000000000e+03, 2.545021046328131912e-09, 6.352520191726823403e-10, 1.054377729260354796e-09, 1.189423377071520045e-09, 7.298175459863673770e-10
1.857000000000000000e+03, 1.910711217338629064e-09, 5.408699956967929526e-10, 1.058781997382281025e-09, 1.505134440363154293e-09, 7.936783033146382073e-10
1.858000000000000000e+03, 1.563282756666417768e-09, 7.880041739220520940e-10, 1.142406282044192796e-09, 1.766178173209238173e-09, 7.994507561797108425e-10
1.859000000000000000e+03, 2.964199132872511869e-09, 8.482089520000476405e-10, 1.037891626511306668e-09, 1.286268774937242807e-09, 8.215978637508699432e-10
1.860000000000000000e+03, 1.454942419450655054e-09, 5.389437831633232141e-10, 8.926664836590327308e-10, 1.319820960108355319e-09, 9.836637355324593494e-10
1.861000000000000000e+03, 2.060161269439137340e-09, 5.272781412771491327e-10, 1.088321848764026513e-09, 1.284328097464734502e-09, 8.567707566793509536e-10
1.862000000000000000e+03, 2.225877728636075733e-09, 6.745913229735835362e-10, 9.503053626454859421e-10, 1.217140895263641438e-09, 8.759959629025351714e-10
1.863000000000000000e+03, 1.502760279154555959e-09, 5.542108784141332415e-10, 1.170006539993502361e-09, 1.653103893062100999e-09, 8.669801451467886417e-10
1.864000000000000000e+03, 3.096368364876503781e-09, 5.387650370237058482e-10, 9.521939958968384314e-10, 1.294261093329932738e-09, 6.525949657162826877e-10
1.865000000000000000e+03, 1.739858673431983215e-09, 6.119874460471152872e-10, 1.068997677515848960e-09, 1.288486732708924767e-09, 5.840678375447450569e-10
1.866000000000000000e+03, 2.369287133210524975e-09, 6.991558648590026993e-10, 1.092271226782001160e-09, 1.105658767261032097e-09, 7.795424959764281154e-10
1.867000000000000000e+03, 2.151545105647961686e-09, 5.567564991295977214e-10, 9.549742931084133694e-10, 1.205951419084269367e-09, 7.209374279146761474e-10
1.868000000000000000e+03, 1.700047594590935691e-09, 4.813291180981284894e-10, 9.639795109133553618e-10, 1.355696360750314130e-09, 6.721787866402089036e-10
1.869000000000000000e+03, 1.340802092666193538e-09, 5.648601656003472804e-10, 1.115511916781882033e-09, 1.239830280327588601e-09, 7.044262550952860179e-10
1.870000000000000000e+03, 2.228818428095129606e-09, 6.254867261164558764e-10, 1.055865300119370171e-09, 1.318270968870751450e-09, 6.987075969000661250e-10
1.871000000000000000e+03, 1.895972430556285877e-09, 8.189667811953418940e-10, 8.733217101969255510e-10, 1.204590243617123825e-09, 1.130345533098907335e-09
1.872000000000000000e+03, 2.155829652152343683e-09, 8.234513889062016777e-10, 9.735729082572331404e-10, 1.467968674959379683e-09, 8.330364624368250726e-10
1.873000000000000000e+03, 2.033039708732368865e-09, 1.103786205170896466e-09, 1.113760843937568217e-09, 1.250137243059663637e-09, 8.831147322877474221e-10
1.874000000000000000e+03, 1.980814544490127306e-09, 7.488541600423508993e-10, 9.330352575613994804e-10, 1.141512122785011093e-09, 7.151112329000306288e-10
1.875000000000000000e+03, 2.090176267413157702e-09, 6.035012736850353514e-10, 1.087969905185880313e-09, 1.079816043699808728e-09, 8.994983744710272471e-10
1.876000000000000000e+03, 1.137426831731178193e-09, 6.763898883502844323e-10, 1.016820301841425332e-09, 1.464855945899573470e-09, 7.886089025621403418e-10
1.877000000000000000e+03, 1.476638004327108512e-09, 8.085923536448027495e-10, 9.024676561717544675e-10, 1.173013750161925590e-09, 8.475306843392959167e-10
1.878000000000000000e+03, 1.683029654710024745e-09, 7.344523154654955338e-10, 1.054104027462091668e-09, 1.095666531099295584e-09, 8.914998493400863981e-10
1.879000000000000000e+03, 1.981528127399690355e-09, 6.668316045661827256e-10, 8.476125493284884904e-10, 1.296671040089187142e-09, 9.654663305176659281e-10
1.880000000000000000e+03, 1.834664823048647474e-09, 6.771796558226005611e-10, 1.353158452253710066e-09, 1.246120964570559974e-09, 8.675391772702006346e-10
1.881000000000000000e+03, 1.748715010872195820e-09, 9.053460944088386842e-10, 7.866905454129549774e-10, 9.873396976943450212e-10, 9.915571868898701009e-10
1.882000000000000000e+03, 1.336224725424720869e-09, 8.794404572502242692e-10, 1.008226603357466853e-09, 1.178417332371620130e-09, 9.355807096902717821e-10
1.883000000000000000e+03, 2.798213885612130440e-09, 9.499770222052097697e-10, 8.298842848324469087e-10, 1.070013689551297952e-09, 1.274343041405108404e-09
1.884000000000000000e+03, 2.619528211938984188e-09, 9.384374568469605664e-10, 1.110397332234746410e-09, 1.160198167679424926e-09, 8.668758313182468710e-10
1.885000000000000000e+03, 2.004079672225228705e-09, 9.195931132600666780e-10, 1.081753970755532519e-09, 1.399610571939106306e-09, 9.960068122248424781e-10
1.886000000000000000e+03, 1.761743613148876116e-09, 9.750207549817761383e-10, 8.878917539632051849e-10, 1.171724715223279184e-09, 8.927440384219957821e-10
1.887000000000000000e+03, 1.973974758211959425e-09, 8.400169651540797442e-10, 1.155486298319501902e-09, 1.066745364027271162e-09, 9.159467727868335327e-10
