year, MPI-ESM1-2-LR, EC-Earth3-Veg
1.850000000000000000e+03, 2.260810486265548454e-09, 6.351874029165225218e-11
1.851000000000000000e+03, 2.256804744288483066e-09, 5.783497918115432547e-11
1.852000000000000000e+03, 2.341472690919323125e-09, 6.366729630614824429e-11
1.853000000000000000e+03, 2.081096322230295575e-09, 6.518154342044336222e-11
1.854000000000000000e+03, 1.974028781375638582e-09, 6.969418956086403877e-11
1.855000000000000000e+03, 2.415025064016104563e-09, 7.104915827046840972e-11
1.856000000000000000e+03, 2.737401152913659782e-09, 7.166192671761617337e-11
1.857000000000000000e+03, 2.771237583960442349e-09, 7.230868320727519187e-11
1.858000000000000000e+03, 2.549975826263946276e-09, 7.556441937246799821e-11
1.859000000000000000e+03, 2.462700354828171234e-09, 7.576060345354447184e-11
1.860000000000000000e+03, 2.386098561591498039e-09, 7.760663946121330025e-11
1.861000000000000000e+03, 2.242199534962414224e-09, 7.574581308741920338e-11
1.862000000000000000e+03, 2.162836486854405245e-09, 8.417794776575271763e-11
1.863000000000000000e+03, 2.332463296473196185e-09, 7.801347329782411016e-11
1.864000000000000000e+03, 2.443591484258792956e-09, 8.161335047898171068e-11
1.865000000000000000e+03, 2.412262131253248399e-09, 8.317417366913703601e-11
1.866000000000000000e+03, 2.412233471605458310e-09, 8.597987061837069226e-11
1.867000000000000000e+03, 2.554464138336583756e-09, 8.536394878806226642e-11
1.868000000000000000e+03, 2.556366934260556810e-09, 8.893544652045202476e-11
1.869000000000000000e+03, 2.555673902823691168e-09, 8.896864422926929812e-11
1.870000000000000000e+03, 2.578904181323395370e-09, 9.462601620966075359e-11
1.871000000000000000e+03, 2.501957039388964535e-09, 8.826516744911774378e-11
1.872000000000000000e+03, 2.446006267142695698e-09, 9.631692482823809006e-11
1.873000000000000000e+03, 2.425600795670681250e-09, 9.283622489673634719e-11
1.874000000000000000e+03, 2.296679842547799092e-09, 9.682316301161098411e-11
1.875000000000000000e+03, 2.512341000524824530e-09, 9.756067073737274360e-11
1.876000000000000000e+03, 2.473400961585621167e-09, 1.011952213804994604e-10
1.877000000000000000e+03, 2.432421824467446155e-09, 1.037044831586260844e-10
1.878000000000000000e+03, 2.181926621801878930e-09, 1.070200731142129172e-10
1.879000000000000000e+03, 2.103489602724411184e-09, 1.014420642516181091e-10
1.880000000000000000e+03, 2.133471883818224943e-09, 1.093647705452682169e-10
1.881000000000000000e+03, 2.315846167137324066e-09, 1.084771748393689575e-10
1.882000000000000000e+03, 2.502397998446849023e-09, 1.116807214235134930e-10
1.883000000000000000e+03, 2.594102926838269188e-09, 1.113817259235945114e-10
1.884000000000000000e+03, 2.468774448860264352e-09, 1.248625663414649298e-10
1.885000000000000000e+03, 2.397122565612819901e-09, 1.231453245006980321e-10
1.886000000000000000e+03, 2.279409437226850193e-09, 1.246405680464841516e-10
1.887000000000000000e+03, 2.097026172679207651e-09, 1.292066427878382216e-10
1.888000000000000000e+03, 2.206048637865308216e-09, 1.276454455889944405e-10
1.889000000000000000e+03, 2.373639305685724239e-09, 1.388242520371678008e-10
1.890000000000000000e+03, 2.380860192770623476e-09, 1.331338469187731266e-10
1.891000000000000000e+03, 2.540399620048906225e-09, 1.410474060939819174e-10
1.892000000000000000e+03, 2.704034617740289931e-09, 1.429234387776568601e-10
1.893000000000000000e+03, 2.636355961154511674e-09, 1.480135068851728066e-10
1.894000000000000000e+03, 2.620377759161265279e-09, 1.540688727107445620e-10
1.895000000000000000e+03, 2.725751051261578177e-09, 1.521205945356488004e-10
1.896000000000000000e+03, 2.528285057703432374e-09, 1.604976303587830284e-10
1.897000000000000000e+03, 2.445510494661346879e-09, 1.595954951456829079e-10
1.898000000000000000e+03, 2.509226220256569240e-09, 1.675654116319524590e-10
1.899000000000000000e+03, 2.526985809013979126e-09, 1.758961340254028579e-10
1.900000000000000000e+03, 2.435636023971149499e-09, 1.718658118034807915e-10
1.901000000000000000e+03, 2.432840360123473248e-09, 1.809391211762761701e-10
1.902000000000000000e+03, 2.394918586619992741e-09, 1.833031828565960256e-10
1.903000000000000000e+03, 2.352926615154187270e-09, 1.856835767968263363e-10
1.904000000000000000e+03, 2.378578661961208937e-09, 1.915307999757055823e-10
1.905000000000000000e+03, 2.196810724289703534e-09, 2.004871648636621873e-10
1.906000000000000000e+03, 2.320152254206051277e-09, 2.007088444881640271e-10
1.907000000000000000e+03, 2.523240577530971920e-09, 2.094270589037339185e-10
1.908000000000000000e+03, 2.758849550676487022e-09, 2.052060457550108033e-10
1.909000000000000000e+03, 2.594020749110537582e-09, 2.015887664615012249e-10
1.910000000000000000e+03, 2.519379145694380339e-09, 2.301396270606262554e-10
1.911000000000000000e+03, 2.546448933444360240e-09, 2.145459082530955425e-10
1.912000000000000000e+03, 2.545570748372566979e-09, 2.296943515758762099e-10
1.913000000000000000e+03, 2.127056066125301097e-09, 2.347738586433916770e-10
1.914000000000000000e+03, 2.263128432294614794e-09, 2.478395093917558803e-10
1.915000000000000000e+03, 2.384612928321655213e-09, 2.382732123270716742e-10
1.916000000000000000e+03, 2.302444862201377729e-09, 2.385062653788829916e-10
1.917000000000000000e+03, 2.368902678219326956e-09, 2.428220972630729647e-10
1.918000000000000000e+03, 2.496871242681614106e-09, 2.533765645017698425e-10
1.919000000000000000e+03, 2.607176090883331950e-09, 2.578033398963484466e-10
1.920000000000000000e+03, 2.583889768097013374e-09, 2.715500066811999062e-10
1.921000000000000000e+03, 2.561903723315203039e-09, 2.541889907944410383e-10
1.922000000000000000e+03, 2.600268292964305732e-09, 2.885124634227376322e-10
1.923000000000000000e+03, 2.746813786103327163e-09, 2.778656874111963849e-10
1.924000000000000000e+03, 2.728881077555323992e-09, 2.934250560602120058e-10
1.925000000000000000e+03, 2.702549500366924690e-09, 2.902890579356123119e-10
1.926000000000000000e+03, 2.612463809050663947e-09, 3.035330813206324202e-10
1.927000000000000000e+03, 2.636453513572309810e-09, 3.226684266105463964e-10
1.928000000000000000e+03, 2.540858526659806346e-09, 3.088680338894079987e-10
1.929000000000000000e+03, 2.578658396839967166e-09, 3.307542461418791079e-10
1.930000000000000000e+03, 2.660526854969835477e-09, 3.299850265967669977e-10
1.931000000000000000e+03, 2.655300495106782353e-09, 3.458215606569175520e-10
1.932000000000000000e+03, 2.638499940933442384e-09, 3.397557707137064243e-10
1.933000000000000000e+03, 2.491586027238035634e-09, 3.556727765050368011e-10
1.934000000000000000e+03, 2.474066027714225151e-09, 3.450239534626024268e-10
1.935000000000000000e+03, 2.466513289247671343e-09, 3.812491664206510151e-10
1.936000000000000000e+03, 2.480920706231044399e-09, 3.763118918382391418e-10
1.937000000000000000e+03, 2.505273450269989516e-09, 3.867548805993443192e-10
1.938000000000000000e+03, 2.509639260584027193e-09, 3.869674716854604850e-10
1.939000000000000000e+03, 2.409796972347327273e-09, 3.890683835486557534e-10
1.940000000000000000e+03, 2.413799173296030090e-09, 4.154947208012111371e-10
1.941000000000000000e+03, 2.454583738718894647e-09, 4.349429388878934746e-10
1.942000000000000000e+03, 2.434110362089239370e-09, 4.134944324130454118e-10
1.943000000000000000e+03, 2.405884476969636306e-09, 4.238284210279351411e-10
