year, TaiESM1, NorESM2-LM, CESM2-WACCM, NorESM2-MM, EC-Earth3-Veg, UKESM1-0-LL, IPSL-CM6A-LR, MPI-ESM1-2-LR
1.850000000000000000e+03, 1.073419812389864060e-17, 3.451736560784105908e-17, 1.365382149484267927e-11, 1.211915098787050454e-16, 7.964451849982259877e-11, 9.675646506400932186e-11, 8.005711411805599961e-11, 2.845915056000386768e-11
1.851000000000000000e+03, 1.111205818825661331e-13, 1.034841060417522844e-13, 1.234767710556115110e-11, 1.017326456461661495e-13, 7.567851365604069695e-11, 9.475290723877597216e-11, 7.659924774307727971e-11, 2.937864181376410196e-11
1.852000000000000000e+03, 2.260859606578386004e-13, 2.105792834586290451e-13, 1.425425210495253851e-11, 2.074635332917129325e-13, 8.363308178658231776e-11, 9.318597252689206989e-11, 7.985713134005449347e-11, 2.895956943902665557e-11
1.853000000000000000e+03, 3.455197244327949926e-13, 3.224508555729120707e-13, 1.507515303016451242e-11, 3.172480384837821637e-13, 8.733391562488421230e-11, 9.554892022019489013e-11, 8.249763957000979830e-11, 2.934900268816472907e-11
1.854000000000000000e+03, 4.678015509414403590e-13, 4.387370306893894059e-13, 1.556208236603669029e-11, 4.310334944811704389e-13, 8.949257711217065477e-11, 9.018692379683382621e-11, 7.770553556038509625e-11, 2.882000271695261947e-11
1.855000000000000000e+03, 5.940473194842963130e-13, 5.597709932161048109e-13, 1.512198944359161041e-11, 5.493287846404029472e-13, 9.819500228760543002e-11, 9.714038191539457195e-11, 8.507687177764880658e-11, 3.009037549181329967e-11
1.856000000000000000e+03, 7.251897340183343115e-13, 6.844977313822924175e-13, 1.579025237295759963e-11, 6.715650586793781730e-13, 9.555752633927696628e-11, 9.595344944641692635e-11, 8.229170979835535091e-11, 3.061370568446135561e-11
1.857000000000000000e+03, 8.592213854846658610e-13, 8.135621113402301030e-13, 1.654547960349517581e-11, 7.979648425165579234e-13, 9.781408842634683097e-11, 9.968347351208870539e-11, 8.428488352253708854e-11, 3.142220647883502383e-11
1.858000000000000000e+03, 9.950205485369087915e-13, 9.483299504817594304e-13, 1.560901424945605077e-11, 9.291091062745015454e-13, 1.013080524921140935e-10, 9.727327156013227796e-11, 8.913424387301330108e-11, 3.189152297940825582e-11
1.859000000000000000e+03, 1.134277553418680208e-12, 1.087885241899664020e-12, 1.648429799839425543e-11, 1.064902693050785779e-12, 1.010153470718220372e-10, 9.920813137181509984e-11, 8.711861587350877618e-11, 3.180891491946018810e-11
1.860000000000000000e+03, 1.279466894063086068e-12, 1.231540381740987471e-12, 1.690368111671111628e-11, 1.204918690231890927e-12, 1.042805873217493705e-10, 9.876662219703875190e-11, 8.373880292388648510e-11, 3.172506445158940399e-11
1.861000000000000000e+03, 1.428323897228876433e-12, 1.378911370410236722e-12, 1.745512072266286627e-11, 1.349729446221969108e-12, 9.922408867436129699e-11, 1.004573977838644059e-10, 8.699051885607325915e-11, 3.099058824565178589e-11
1.862000000000000000e+03, 1.575594172784712719e-12, 1.529652724600442086e-12, 1.763935145964428495e-11, 1.506975559638172548e-12, 1.103591856428564237e-10, 1.000027899651272272e-10, 8.419585431761210201e-11, 3.067447006064101567e-11
1.863000000000000000e+03, 1.732318191492742047e-12, 1.686683756481537048e-12, 1.591382326712398446e-11, 1.659898153174172686e-12, 1.056011856235538663e-10, 9.695086668233081280e-11, 8.790217568224879504e-11, 3.148168855873373934e-11
1.864000000000000000e+03, 1.894652273539754306e-12, 1.869701620561679351e-12, 1.684833391638761741e-11, 1.833583538177689094e-12, 1.083655062552753171e-10, 1.010320348321437579e-10, 9.377841402760272012e-11, 3.230681968207087849e-11
1.865000000000000000e+03, 2.071988218151047648e-12, 2.080071865269273368e-12, 1.686135923335138582e-11, 2.029459088802477862e-12, 1.110782256878306603e-10, 1.015135675867655220e-10, 8.831837919218826774e-11, 3.353740475902113237e-11
1.866000000000000000e+03, 2.252052577143393547e-12, 2.293073407275598734e-12, 1.758973515239422719e-11, 2.229503007482405066e-12, 1.129780013824668053e-10, 1.024682864004832566e-10, 8.519173313228040101e-11, 3.375562442442397699e-11
1.867000000000000000e+03, 2.438339924006745760e-12, 2.510748384631913045e-12, 1.778283714127523510e-11, 2.437517467587704460e-12, 1.104168379222127126e-10, 1.009694547873734337e-10, 8.588183557208622619e-11, 3.401935943340063004e-11
1.868000000000000000e+03, 2.626232211750733776e-12, 2.726328022953108684e-12, 1.807766616237363873e-11, 2.642628969633939450e-12, 1.145001832844455710e-10, 9.547024408901831432e-11, 8.443662331637253493e-11, 3.445848895388089709e-11
1.869000000000000000e+03, 2.815757141387347076e-12, 2.954604846792457253e-12, 1.851899766491478297e-11, 2.851275020455970849e-12, 1.133679104116347872e-10, 9.805646203087779432e-11, 8.200108026917983963e-11, 3.423215933472869033e-11
1.870000000000000000e+03, 3.008472121771103325e-12, 3.194592469483447916e-12, 1.798446067205322993e-11, 3.063826803942109400e-12, 1.192588985382318527e-10, 9.824489490717009831e-11, 8.489944534299850120e-11, 3.509292548899835308e-11
1.871000000000000000e+03, 3.152992966820193866e-12, 3.244160437661015101e-12, 1.900273556594271372e-11, 3.119214303083665561e-12, 1.131490519419311717e-10, 9.617492760608549371e-11, 9.301033367818044167e-11, 3.510348233962596193e-11
1.872000000000000000e+03, 3.362555723077444564e-12, 3.525621163393901878e-12, 1.820158348610277327e-11, 3.359392401757729376e-12, 1.217636579659662028e-10, 9.930773090703817881e-11, 8.958735434378217747e-11, 3.554518366251997260e-11
1.873000000000000000e+03, 3.581031162706257974e-12, 3.697371158357941440e-12, 1.685782399904887603e-11, 3.599164346650229389e-12, 1.177849718815795895e-10, 1.036374454826782231e-10, 9.239784773436733216e-11, 3.679407291260257344e-11
1.874000000000000000e+03, 3.806530709734841382e-12, 3.925278234006934821e-12, 2.033490402422145706e-11, 3.842796650219564177e-12, 1.233515240740354761e-10, 1.006799454587216380e-10, 8.844656179342001223e-11, 3.675767767811830492e-11
1.875000000000000000e+03, 4.039909207364169922e-12, 4.181103334090869955e-12, 2.011198444924859268e-11, 4.094578954749389063e-12, 1.246823217768899878e-10, 1.017498402602655512e-10, 9.338300405247860687e-11, 3.668421305630390810e-11
1.876000000000000000e+03, 4.275636862535185015e-12, 4.441148195190553092e-12, 2.032511583561387730e-11, 4.350537039218991239e-12, 1.283575416942197614e-10, 1.067702573866864860e-10, 9.459798977326400837e-11, 3.767785049233936658e-11
1.877000000000000000e+03, 4.510712316856694445e-12, 4.705169441878751973e-12, 1.880467779194227668e-11, 4.608015507870496519e-12, 1.313955735609472367e-10, 1.056875399798541202e-10, 1.003392859388626035e-10, 3.799339415045662865e-11
1.878000000000000000e+03, 4.760230072336220182e-12, 4.977547750524298257e-12, 2.050288395554478494e-11, 4.872079331904589654e-12, 1.350168669438654786e-10, 1.093594314844542607e-10, 9.772788933200779370e-11, 3.776871835484431308e-11
1.879000000000000000e+03, 5.014278257724537410e-12, 5.257185601187248559e-12, 2.122053263447903923e-11, 5.142211293351842486e-12, 1.295017913698211285e-10, 1.086116646775053483e-10, 1.003738070136353538e-10, 3.741950116355025534e-11
1.880000000000000000e+03, 5.267830375701947160e-12, 5.540187426302967966e-12, 2.077405825826057278e-11, 5.411826246188773234e-12, 1.376977654835496971e-10, 1.089703596456213634e-10, 9.880156598129210517e-11, 3.764065356694910159e-11
1.881000000000000000e+03, 5.554519448630120374e-12, 5.913200706090093720e-12, 2.010079631847087323e-11, 5.758991477849909360e-12, 1.369108552649037685e-10, 1.061368327103626523e-10, 9.324350088663280733e-11, 3.945203548985344618e-11
1.882000000000000000e+03, 5.870044113705335285e-12, 6.238124564458066855e-12, 2.099550551052452458e-11, 6.082321416534518795e-12, 1.398968392646958255e-10, 1.098461822562415354e-10, 1.002122181892656415e-10, 4.019051662140611587e-11
1.883000000000000000e+03, 6.203511782583827634e-12, 6.581291069614538371e-12, 2.514285503440943404e-11, 6.414270750085711260e-12, 1.386372590704375827e-10, 1.073157027609635229e-10, 9.596987051568822226e-11, 4.062084347365504390e-11
1.884000000000000000e+03, 6.543337039358170947e-12, 6.930258083013929436e-12, 2.365033768024266976e-11, 6.751612574412635140e-12, 1.541707625732124441e-10, 1.031709864210956695e-10, 1.021573642250758086e-10, 4.081700336589609601e-11
1.885000000000000000e+03, 6.883435278499108589e-12, 7.285655403859683755e-12, 2.297625324994780505e-11, 7.097844642182755303e-12, 1.532288848336073656e-10, 1.076088202223393837e-10, 9.494036233094759552e-11, 4.323317336875049172e-11
1.886000000000000000e+03, 7.233652597890322564e-12, 7.647488694756046722e-12, 2.239707275515779744e-11, 7.453790324350185484e-12, 1.543265669788962839e-10, 1.104821132219414386e-10, 9.775712321074521874e-11, 4.575667974146768683e-11
1.887000000000000000e+03, 7.600942957353969879e-12, 8.019360674052829990e-12, 2.533641186316230282e-11, 7.819799035756147476e-12, 1.598677078159847366e-10, 1.058339139633657948e-10, 9.723347815957370070e-11, 4.571273563554888052e-11
1.888000000000000000e+03, 7.979884766898452576e-12, 8.392208995778403036e-12, 2.442380312629025512e-11, 8.198240901640490326e-12, 1.576104047896125374e-10, 1.106940950579467417e-10, 1.037553544021728022e-10, 4.472607130633369673e-11
1.889000000000000000e+03, 8.362387420121986683e-12, 8.780930594011252926e-12, 2.599544664311758987e-11, 8.583823324925639746e-12, 1.694697147834744444e-10, 1.154249415027440941e-10, 1.056966816713650118e-10, 4.583720139363359817e-11
1.890000000000000000e+03, 8.752876285101118504e-12, 9.185145485543656979e-12, 2.675525215984911429e-11, 8.980778992938699854e-12, 1.639865737764352789e-10, 1.155892619845679752e-10, 1.128904082046364576e-10, 4.769648152702896218e-11
1.891000000000000000e+03, 9.122779484801032987e-12, 9.462495254359858784e-12, 2.623999870653820088e-11, 9.268541376588394774e-12, 1.722351137555032226e-10, 1.183259439616044260e-10, 1.133913580564889695e-10, 4.759837420788263791e-11
1.892000000000000000e+03, 9.527733490285920704e-12, 9.870987761093461813e-12, 2.423572022074673966e-11, 9.685780744495647764e-12, 1.756014750736192020e-10, 1.216635306878521248e-10, 1.176710144794765569e-10, 4.893596347708718814e-11
1.893000000000000000e+03, 9.956020109015125121e-12, 1.030904335433622918e-11, 2.727839458089238865e-11, 1.011291245088352318e-11, 1.795422712616565698e-10, 1.252170830336635217e-10, 1.074257928760739127e-10, 5.011057704156137868e-11
1.894000000000000000e+03, 1.039989444535182149e-11, 1.074880128571467599e-11, 2.542114151078603222e-11, 1.054575631297900945e-11, 1.868482896855182238e-10, 1.204788613499406084e-10, 1.092633474207528042e-10, 5.089962794467222026e-11
1.895000000000000000e+03, 1.085773246630150988e-11, 1.118833105603076710e-11, 2.603845098096016240e-11, 1.098560513087819836e-11, 1.849547716479939433e-10, 1.154768594174823989e-10, 1.080642100033576812e-10, 5.180609701161098142e-11
1.896000000000000000e+03, 1.133753351086735435e-11, 1.164509009269633696e-11, 2.575141013381608501e-11, 1.143084547063733688e-11, 1.916378026219898872e-10, 1.230611283721351591e-10, 1.084719267125748566e-10, 5.199760543902743666e-11
1.897000000000000000e+03, 1.181542895408402057e-11, 1.209833782045058244e-11, 2.807038778990266831e-11, 1.188889010994797243e-11, 1.928331193204104964e-10, 1.260053134768164397e-10, 1.169748113463931803e-10, 5.356305465868041185e-11
1.898000000000000000e+03, 1.226759668299301844e-11, 1.255762517807108384e-11, 2.685056482247625115e-11, 1.236317712996226234e-11, 2.012900466344151642e-10, 1.293273170720415407e-10, 1.226127454339833894e-10, 5.375696298147663606e-11
