year, UKESM1-0-LL, CESM2-WACCM, CNRM-ESM2-1, ACCESS-ESM1-5, MIROC-ES2L, MPI-ESM1-2-LR, IPSL-CM6A-LR, CMCC-ESM2
1.850000000000000000e+03, 6.642887076412198960e-14, 1.365383899132647706e-11, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.497437022243567365e-10, 1.809892829885419391e-10, 1.627164738964565827e-10, 8.301955516908142150e-13
1.851000000000000000e+03, 1.491358062880586497e-13, 1.628278013107688145e-11, 0.000000000000000000e+00, 1.050839276211374724e-11, 1.647159284880730892e-10, 2.819032753826821735e-10, 1.721828315146564544e-10, 2.282593958542150125e-12
1.852000000000000000e+03, 1.800306441035605504e-13, 2.133453176632384976e-11, 1.488008128601241632e-13, 1.495314012251449342e-11, 1.713616631173692521e-10, 3.007781620843229786e-10, 1.763458540247484569e-10, 3.465311597369093515e-12
1.853000000000000000e+03, 2.024969050724435492e-13, 2.466545857927142193e-11, 2.935788919970501597e-13, 1.742732825452058932e-11, 1.754470972067893598e-10, 3.090207167379579738e-10, 1.804541041855831905e-10, 4.432807637159137994e-12
1.854000000000000000e+03, 2.110090800704493588e-13, 2.716386731651867355e-11, 4.438488482768419397e-13, 1.862131916834661716e-11, 1.782513101650167404e-10, 3.122794226290477164e-10, 1.777387422230700698e-10, 5.228942118444643070e-12
1.855000000000000000e+03, 1.999181892143248363e-13, 2.833031816206739720e-11, 5.968500295914432407e-13, 1.970966643356876348e-11, 1.792447613465548865e-10, 3.189880531266234468e-10, 1.868413800714520613e-10, 5.890777125459618004e-12
1.856000000000000000e+03, 1.702884000562734845e-13, 3.027289250100858045e-11, 7.466980872689796687e-13, 2.063271139267419329e-11, 1.794511124976287355e-10, 3.229593617950751236e-10, 1.851869574420745326e-10, 6.444486997856882088e-12
1.857000000000000000e+03, 1.702953114475031803e-13, 3.205744769494394935e-11, 8.953947669666951416e-13, 2.168566249232144892e-11, 1.804198720314424141e-10, 3.247736901665221114e-10, 1.873958665469985627e-10, 6.908324214623513390e-12
1.858000000000000000e+03, 1.668475876538181696e-13, 3.196034080333644751e-11, 1.045438703707564156e-12, 2.198425884664528745e-11, 1.805417088818492714e-10, 3.246658475428650540e-10, 1.927455468462381116e-10, 7.305229014181412817e-12
1.859000000000000000e+03, 1.573824491081286356e-13, 3.353096764975081902e-11, 1.194096239692076263e-12, 2.274541112020517847e-11, 1.793520305666719196e-10, 3.227591993388157009e-10, 1.910245715206843320e-10, 7.647767608642204986e-12
1.860000000000000000e+03, 1.491185087210176463e-13, 3.452843159006724937e-11, 1.342956045790498569e-12, 2.371511669073280332e-11, 1.713555233974789708e-10, 3.202490381724561778e-10, 1.883558477115013132e-10, 8.027787768432506221e-12
1.861000000000000000e+03, 1.412332702538019729e-13, 3.560354757534845822e-11, 1.348644537444874744e-12, 2.381787604856300474e-11, 1.688798201343853800e-10, 3.159893726165531172e-10, 1.899964940455986110e-10, 8.434087556756937381e-12
1.862000000000000000e+03, 1.407351404627634327e-13, 3.622842442510745408e-11, 1.350962850462514890e-12, 2.427640293453205083e-11, 1.673675980870925372e-10, 3.111213563902986983e-10, 1.863183828633250376e-10, 8.790178600065726135e-12
1.863000000000000000e+03, 1.304771498260082945e-13, 3.488103380570889911e-11, 1.345419762482558324e-12, 2.467618630834928118e-11, 1.661187405601519898e-10, 3.094256963910672460e-10, 1.897393439477258219e-10, 9.104611466478845731e-12
1.864000000000000000e+03, 1.294694483677954803e-13, 3.613917640807921546e-11, 1.341118514908603727e-12, 2.515927139152603837e-11, 1.646886810309160660e-10, 3.076614047965841936e-10, 1.954484588967352926e-10, 9.363671753843117099e-12
1.865000000000000000e+03, 1.343260789515877698e-13, 3.643535681865408011e-11, 1.335438878510189366e-12, 2.585697676421272684e-11, 1.642774759238639350e-10, 3.055242380918400273e-10, 1.898764950735568491e-10, 9.570031266796155259e-12
1.866000000000000000e+03, 1.324351201703286598e-13, 3.741008869493194783e-11, 1.330203155060170897e-12, 2.603006706954417225e-11, 1.633368074714094040e-10, 3.033733623742469311e-10, 1.868257636618103603e-10, 9.764064778509981217e-12
1.867000000000000000e+03, 1.225527164909787562e-13, 3.782598450282786446e-11, 1.322180791649334829e-12, 2.617760526117927737e-11, 1.621656871639695754e-10, 3.018161776586215290e-10, 1.861111920925432163e-10, 9.951477225105732842e-12
