year, NorESM2-MM, CNRM-ESM2-1, GFDL-ESM4, MPI-ESM1-2-LR, MIROC-ES2L, TaiESM1, CESM2-WACCM, EC-Earth3-Veg, CanESM5, NorESM2-LM, INM-CM4-8, IPSL-CM6A-LR, UKESM1-0-LL, INM-CM5-0, ACCESS-ESM1-5, CMCC-CM2-SR5
1.850000000000000000e+03, 9.243857096303354837e+00, 9.311478647876365144e+00, 1.290764967273599062e+01, 1.695433545138405051e+01, 1.120044883814359871e+01, 1.109476751242275760e+01, 9.414496219920401643e+00, 1.308273857922196370e+01, 1.063409904457476962e+01, 9.922748535597865072e+00, 1.608949136815635939e+01, 1.014310333268873698e+01, 1.621856033536929331e+01, 1.727197958649242437e+01, 9.939349533451565577e+00, 7.626527597580031959e+00
1.851000000000000000e+03, 9.147672434588734802e+00, 8.209484535987838782e+00, 1.402131464391213811e+01, 1.676551745745834765e+01, 1.124536947726671521e+01, 1.198054306281509795e+01, 9.540297377953120161e+00, 1.324906002757719747e+01, 1.096485754978284888e+01, 9.558840668762718096e+00, 1.617767566391807676e+01, 1.020306291589726655e+01, 1.669404600916353587e+01, 1.618868955754938455e+01, 1.094526186473240514e+01, 7.761672572310814644e+00
1.852000000000000000e+03, 9.209226187567443489e+00, 8.986839028821089315e+00, 1.405850376524156964e+01, 1.647093856918492705e+01, 1.120266184024316303e+01, 1.244826467889511257e+01, 8.914155656566411068e+00, 1.262363500251009185e+01, 1.075385343945834649e+01, 9.464260185682405790e+00, 1.593946156395737823e+01, 9.769485212565399479e+00, 1.689341024907600897e+01, 1.577912432223106620e+01, 1.145552608382435800e+01, 8.318895221663021644e+00
1.853000000000000000e+03, 9.512270108230694632e+00, 9.735772732569675014e+00, 1.257752623242807566e+01, 1.536867212284243500e+01, 1.142852478035744568e+01, 1.144248639016488411e+01, 9.662756208297906824e+00, 1.280477022993429870e+01, 9.618111985061657876e+00, 9.668952868663220457e+00, 1.590781441380487493e+01, 9.967243829178546122e+00, 1.585476639835701995e+01, 1.682553768378619097e+01, 1.119246526153684940e+01, 8.211664075715939148e+00
1.854000000000000000e+03, 9.650816421351231966e+00, 9.014346397292875679e+00, 1.334496796146156150e+01, 1.668395669020156902e+01, 1.165412118869155655e+01, 1.101139799802928643e+01, 9.296988896534569946e+00, 1.438258639078723355e+01, 1.125446009973065919e+01, 9.746408425621801541e+00, 1.622823984249319906e+01, 1.008066361923671828e+01, 1.549318944285080768e+01, 1.578924632068222955e+01, 1.035459366099487077e+01, 8.015834469216658320e+00
1.855000000000000000e+03, 9.847801289007687586e+00, 9.255672342578989742e+00, 1.502428941871964341e+01, 1.809976490793167869e+01, 1.121673854873120746e+01, 1.246219511822966552e+01, 9.214489002063551482e+00, 1.484939068435873644e+01, 1.090158720508817858e+01, 9.629791627031051959e+00, 1.615189161830705800e+01, 1.041775614286795459e+01, 1.686197574709133562e+01, 1.622398580557693393e+01, 1.077057571215278919e+01, 8.101319753783537081e+00
1.856000000000000000e+03, 1.005137443129309993e+01, 9.249774040682595455e+00, 1.358486560328662129e+01, 1.841017320550667691e+01, 1.143104286887983712e+01, 1.187564489685978231e+01, 9.361541384824255019e+00, 1.301614233377208940e+01, 1.147935431386557781e+01, 1.023444526749464956e+01, 1.571582422705137816e+01, 1.020922910019768182e+01, 1.694620811302351271e+01, 1.692249990107796975e+01, 1.059802447364502243e+01, 7.725689048936115633e+00
1.857000000000000000e+03, 9.868758667910173088e+00, 9.405857493362024258e+00, 1.333308863478763229e+01, 1.801798493627287456e+01, 1.140067031299915890e+01, 1.116443551290812586e+01, 9.180405101377271393e+00, 1.351890919425168569e+01, 1.123359562266423595e+01, 9.833613531403692321e+00, 1.548120263761273208e+01, 1.046053690245457268e+01, 1.666889619761109742e+01, 1.668211900323483832e+01, 1.059685320601375302e+01, 7.496912225570524946e+00
1.858000000000000000e+03, 9.463254947100557146e+00, 9.517711876155281914e+00, 1.387257776102342532e+01, 1.767646430926970780e+01, 1.104781012373943661e+01, 1.107494539920483589e+01, 9.735099505131948661e+00, 1.339836886793967530e+01, 1.172214513052054663e+01, 9.436857525003674141e+00, 1.618709782675439612e+01, 1.023479650213068126e+01, 1.607471448643693535e+01, 1.674501245172577413e+01, 1.132691655987007096e+01, 8.005092676185419975e+00
1.859000000000000000e+03, 9.405602872877748766e+00, 8.488410978324260725e+00, 1.303756220466615368e+01, 1.771784024166406368e+01, 1.139743059660688296e+01, 1.199519221071600228e+01, 9.638093750916610247e+00, 1.401749915262069734e+01, 1.108067909135763607e+01, 9.836453773777124709e+00, 1.535151823849059838e+01, 9.973806761366343920e+00, 1.677815094475752034e+01, 1.600389268465367820e+01, 1.132482818766208688e+01, 8.364677462520415219e+00
1.860000000000000000e+03, 9.110331637972958418e+00, 8.753820990843539818e+00, 1.454759673117434993e+01, 1.639261700965821689e+01, 1.123289248957517827e+01, 1.153638743712674319e+01, 1.008159361573601132e+01, 1.282897236233783822e+01, 1.075221712718215805e+01, 1.044307919702014509e+01, 1.676947301371463794e+01, 9.582522598241769884e+00, 1.748251174155080179e+01, 1.688031448499807397e+01, 1.089849545743869896e+01, 8.182421716671216316e+00
1.861000000000000000e+03, 9.484363538532097238e+00, 9.062993008058077393e+00, 1.412827137841438230e+01, 1.564393746673720287e+01, 1.122800445497426125e+01, 1.166304042116768258e+01, 9.765247047639778799e+00, 1.358898549490558239e+01, 1.126499351668782900e+01, 1.023973983691924872e+01, 1.695162210402823888e+01, 9.917769030369182559e+00, 1.678273291862911876e+01, 1.688844721710038499e+01, 1.065349548833177451e+01, 8.314547944820528613e+00
1.862000000000000000e+03, 9.056263179021614818e+00, 9.456724416677277034e+00, 1.381455117445293546e+01, 1.660969675157659609e+01, 1.141509101786054892e+01, 1.200216797710512573e+01, 1.005011755694865982e+01, 1.388710154951641407e+01, 1.214237410209568147e+01, 9.824187915325332199e+00, 1.584490480759761866e+01, 1.027113222235865564e+01, 1.594410084066112177e+01, 1.668798423929293406e+01, 1.092665307439668787e+01, 7.660712124921049693e+00
1.863000000000000000e+03, 9.292883759078641503e+00, 8.426177144125691854e+00, 1.441943888743220015e+01, 1.764680323427420916e+01, 1.119921579568026537e+01, 1.109966147467616615e+01, 9.483946956587377741e+00, 1.336349750978211937e+01, 1.212426368039120739e+01, 1.002563791184119957e+01, 1.619335585101596919e+01, 1.044923281646369162e+01, 1.597152797012204672e+01, 1.676479753160836239e+01, 9.333673349639868277e+00, 8.129645042953690393e+00
1.864000000000000000e+03, 9.529541023654497067e+00, 8.982120140106388817e+00, 1.258360655250610272e+01, 1.764601454645212897e+01, 1.125845478274387368e+01, 1.199533244252333297e+01, 9.542274469360563671e+00, 1.394140982258105055e+01, 1.166098829982271567e+01, 9.599413355281898319e+00, 1.609090957133604505e+01, 1.014453691715409533e+01, 1.488513345179330472e+01, 1.595548091287037984e+01, 9.196585950048888236e+00, 8.228861115248466973e+00
1.865000000000000000e+03, 9.785818938360174357e+00, 9.023319212892674912e+00, 1.255055933803341084e+01, 1.715323660862378574e+01, 1.099916061767021702e+01, 1.181102557054727065e+01, 9.669232395250979550e+00, 1.373534570796764598e+01, 1.169594587290168874e+01, 1.025876377016114560e+01, 1.672671223887498471e+01, 9.939745539881929659e+00, 1.618007601354257474e+01, 1.609888256216563107e+01, 1.083064747685933149e+01, 8.425859616263705831e+00
