year, NorESM2-MM, CESM2-WACCM, INM-CM4-8, GFDL-ESM4, INM-CM5-0, CNRM-ESM2-1, IPSL-CM6A-LR, UKESM1-0-LL, MPI-ESM1-2-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, TaiESM1, NorESM2-LM, CanESM5, EC-Earth3-Veg, MIROC-ES2L
1.850000000000000000e+03, 4.072964854690397374e+00, 4.266752040793292622e+00, 4.700414792379911333e+00, 4.326286229412132478e+00, 5.300593053503797059e+00, 4.118004296250452612e+00, 4.896393035696111617e+00, 5.063880188744350974e+00, 3.662497143898610474e+00, 4.366467363617815067e+00, 5.274988562377258994e+00, 4.310690799719604449e+00, 4.388310340357068462e+00, 4.374878330902889800e+00, 4.589725069386481060e+00, 4.954826762700693443e+00
1.851000000000000000e+03, 4.227481791413737255e+00, 4.362577094205065009e+00, 4.825360780486844803e+00, 4.650452590825153720e+00, 4.879967888720591951e+00, 3.790310377677947873e+00, 4.926889799869191400e+00, 5.402901522442069115e+00, 3.806147546315368668e+00, 4.318722336115539129e+00, 5.598923000174812259e+00, 4.585604010857833757e+00, 4.076030825003437386e+00, 4.373002961111284392e+00, 4.600754328802283410e+00, 4.886605553879013186e+00
1.852000000000000000e+03, 4.021316363188003784e+00, 4.200370608865673816e+00, 4.662533512047008166e+00, 4.623399834233433481e+00, 4.791140993566694206e+00, 4.049763186364790712e+00, 4.781493985757875542e+00, 5.251561788698449362e+00, 3.732017688087235996e+00, 4.652529962913780182e+00, 5.475111960392805344e+00, 4.605239199466509170e+00, 3.970520581338810473e+00, 4.161007792548097939e+00, 4.604761638227056864e+00, 5.134184172026856174e+00
1.853000000000000000e+03, 4.163124560515107042e+00, 4.349915412778317503e+00, 4.652228100142139056e+00, 4.339612274316555940e+00, 4.944182868091900218e+00, 4.243332838039274080e+00, 4.763920454964647000e+00, 4.961668866070755080e+00, 3.576577429184700119e+00, 4.501645918736928209e+00, 5.402836990924125615e+00, 4.322926424529407008e+00, 4.182434055927899408e+00, 3.918340212899872110e+00, 4.480154954845574800e+00, 5.119611780623055886e+00
1.854000000000000000e+03, 4.254634671857940198e+00, 4.107609589676862960e+00, 4.763013577193542680e+00, 4.493555660401175267e+00, 4.715569095148672396e+00, 4.213486573971659155e+00, 4.863896175564365265e+00, 4.923664081555479299e+00, 3.854117855599374920e+00, 4.451102926922620995e+00, 5.415523913821615132e+00, 4.265204170424160779e+00, 4.227844850715651859e+00, 4.577511755705513607e+00, 4.922378707141364274e+00, 4.775299559037267549e+00
1.855000000000000000e+03, 4.464093856138314109e+00, 4.277215372848558239e+00, 4.653273748756055817e+00, 4.777088984322968912e+00, 4.818181671785055187e+00, 4.148290930086250938e+00, 4.910894172301558669e+00, 5.165098613056851029e+00, 4.149562725156170195e+00, 4.472282612442600502e+00, 5.475974830072296129e+00, 4.799201308382532893e+00, 4.343233990516448983e+00, 4.207036679252540878e+00, 4.773621028888231699e+00, 4.914611040865634273e+00
1.856000000000000000e+03, 4.437766892064034074e+00, 4.194454055658645153e+00, 4.616664155816817328e+00, 4.436912863854021616e+00, 5.018801289156278322e+00, 4.161302733919064245e+00, 4.800642107457290919e+00, 5.314890928117764091e+00, 4.141084042233645235e+00, 4.370970380788917531e+00, 5.555618707661789557e+00, 4.514445381464168960e+00, 4.529577725438260316e+00, 4.587698732298584936e+00, 4.513553814261499930e+00, 4.877177060906726425e+00
1.857000000000000000e+03, 4.415222602890352732e+00, 4.152930867656118963e+00, 4.542506935461124939e+00, 4.354433464151369115e+00, 4.913178919319491023e+00, 4.085718794707519308e+00, 4.925725603022938159e+00, 5.201007852687355104e+00, 4.024832826855507584e+00, 4.252495158776595119e+00, 5.235778280775497784e+00, 4.392037205612500550e+00, 4.187015108694783549e+00, 4.341304596950042338e+00, 4.505774749280266889e+00, 4.845525751880123799e+00
1.858000000000000000e+03, 3.976431606017124309e+00, 4.340099013504789660e+00, 4.797303781511780940e+00, 4.468790744980693397e+00, 5.095079275415652198e+00, 4.217791456936382133e+00, 4.906110035245697887e+00, 4.970563286128449221e+00, 3.916735760231131902e+00, 4.274118118601109018e+00, 5.624639796223308785e+00, 4.255180827830583823e+00, 4.168619468212244605e+00, 4.653218379443997854e+00, 4.767125588669766323e+00, 4.961915798813773648e+00
1.859000000000000000e+03, 4.014916896962290593e+00, 4.355340664961802055e+00, 4.559751113787511301e+00, 4.208991377608908735e+00, 5.041709319580244930e+00, 3.749220496866110253e+00, 4.781485467474540840e+00, 5.294104235324026853e+00, 3.826247437980375476e+00, 4.382060545853409650e+00, 5.435848246725270450e+00, 4.517373825379710439e+00, 4.487573415108503383e+00, 4.356999560011312056e+00, 4.750117564543743676e+00, 5.052931203995839837e+00
