year, UKESM1-0-LL, MIROC-ES2L, MPI-ESM1-2-LR, ACCESS-ESM1-5, EC-Earth3-Veg, IPSL-CM6A-LR, CNRM-ESM2-1, CMCC-CM2-SR5, CESM2-WACCM
2.015000000000000000e+03, 5.585232790547869364e-01, 2.083892041767506420e+00, 1.870492918685237038e+00, 3.354001143111678296e+00, 5.562184351964165607e-01, 4.857338882473179464e-01, 2.143067851502427068e-01, 4.681454283534263738e-01, 8.785689844327130293e-01
2.016000000000000000e+03, 4.925342972340268632e-01, 2.017461371423758809e+00, 1.790972245599881996e+00, 3.638845369590007817e+00, 5.347542872574631012e-01, 4.482455919628141605e-01, 1.946033268522742998e-01, 4.598007215330082720e-01, 8.464622336383287315e-01
2.017000000000000000e+03, 4.542017163063934992e-01, 1.966645623000683241e+00, 1.741143302278173710e+00, 3.517961499863335728e+00, 5.142229876487450779e-01, 4.154826399219900823e-01, 1.756597014853662764e-01, 4.501706907596318419e-01, 8.142666870164649850e-01
2.018000000000000000e+03, 4.270730049286189378e-01, 1.927750722987036314e+00, 1.716489847684283587e+00, 3.429588587628406682e+00, 4.945578074814356850e-01, 3.837220517499601580e-01, 1.571388895112366957e-01, 4.407607673417247018e-01, 8.155033044028688893e-01
2.019000000000000000e+03, 4.051182328828348278e-01, 1.896292975509565881e+00, 1.688156727052554595e+00, 3.355579101826530408e+00, 4.757425172354378673e-01, 3.537326181832147198e-01, 1.328983732477563295e-01, 4.320858334377073451e-01, 7.838632511560847949e-01
2.020000000000000000e+03, 3.860945631576220838e-01, 1.872395518862855379e+00, 1.653926295282970971e+00, 3.289405269322128511e+00, 4.575286086931834029e-01, 3.268019128518069860e-01, 1.186399430921033921e-01, 4.297076995454361392e-01, 7.770185440026610157e-01
2.021000000000000000e+03, 3.689527724694819932e-01, 1.852666504961193672e+00, 1.631077884204349182e+00, 3.236346260114568718e+00, 4.409729391442711588e-01, 3.055266545116647192e-01, 1.072415711674083033e-01, 4.320435997278695428e-01, 7.407986164533596485e-01
2.022000000000000000e+03, 3.533819942768640088e-01, 1.835601382742249932e+00, 1.598765331361830633e+00, 3.185576964942217870e+00, 4.251529437672386114e-01, 2.899619493375676371e-01, 9.491053305842010734e-02, 4.330895494819740899e-01, 7.519274396577002584e-01
2.023000000000000000e+03, 3.391479016749869291e-01, 1.826593346108969618e+00, 1.576604394439383272e+00, 3.137419023443237531e+00, 4.098221012512006656e-01, 2.779700638104855015e-01, 8.603986667485812034e-02, 4.333252146538322802e-01, 7.370605413009302387e-01
2.024000000000000000e+03, 3.261000949396779536e-01, 1.819993673731231887e+00, 1.558469504754665946e+00, 3.091688868619016706e+00, 3.950307062932994495e-01, 2.706810571649416741e-01, 8.116439158306579249e-02, 4.327913495255820697e-01, 7.139309542662849450e-01
2.025000000000000000e+03, 3.141695260481759955e-01, 1.816134041870543392e+00, 1.554044403230386173e+00, 3.048333672554588869e+00, 3.811592951793459361e-01, 2.671496074568289192e-01, 7.972282040869915765e-02, 4.313380055095363264e-01, 7.079434485062341409e-01
2.026000000000000000e+03, 3.031877219957451186e-01, 1.810365814761465852e+00, 1.554417697109177654e+00, 3.007536857049151191e+00, 3.668404751188913959e-01, 2.665812480004367546e-01, 7.786815775221184177e-02, 4.296003557921533322e-01, 7.159350393493504328e-01
2.027000000000000000e+03, 2.930459950469822550e-01, 1.809518734469693246e+00, 1.546334279085856966e+00, 2.968377202660182679e+00, 3.532516535743236430e-01, 2.657077315651792393e-01, 7.589169109319165996e-02, 4.281602055898141579e-01, 6.941426344860655018e-01
2.028000000000000000e+03, 2.836599549824783684e-01, 1.808701836967003818e+00, 1.534739116271965464e+00, 2.930840198141312580e+00, 3.403209884915793793e-01, 2.648883471859946326e-01, 7.370410545756415910e-02, 4.271170018297952842e-01, 7.110263301932865376e-01
2.029000000000000000e+03, 2.750416587330817286e-01, 1.812892174341690144e+00, 1.533077700946005928e+00, 2.895280160216663123e+00, 3.279943420104612373e-01, 2.636179949264111921e-01, 7.150746294540345771e-02, 4.263995478659263760e-01, 6.916601292853350458e-01
2.030000000000000000e+03, 2.670545442001577841e-01, 1.851782625589903697e+00, 1.542251123305687255e+00, 2.861126328256599738e+00, 3.163895674567323013e-01, 2.621325149459816650e-01, 6.904689882401705836e-02, 4.264853555266746588e-01, 7.157059171922061092e-01
2.031000000000000000e+03, 2.598095394338549857e-01, 1.880374387777537848e+00, 1.554656470867755491e+00, 2.870396882610615652e+00, 3.058400250846681212e-01, 2.687117486142605594e-01, 6.753062841610138478e-02, 4.273438322936307654e-01, 6.875374335806927473e-01
2.032000000000000000e+03, 2.557981737899415187e-01, 1.903672931255736334e+00, 1.553712935524950600e+00, 2.862070143900106167e+00, 2.956933522228123445e-01, 2.737432344293377895e-01, 6.767939885271018197e-02, 4.283136279217140685e-01, 6.979593685603546760e-01
2.033000000000000000e+03, 2.556436487751040376e-01, 1.925681624484723020e+00, 1.554125063232569603e+00, 2.853872241558864875e+00, 2.861571523595261568e-01, 2.780544089134353025e-01, 6.779397377327360530e-02, 4.294761608924288487e-01, 7.118471596870934448e-01
2.034000000000000000e+03, 2.629743260635428737e-01, 1.943644146529127426e+00, 1.573245353290915416e+00, 2.844876596996395612e+00, 2.773822261680586876e-01, 2.810051033891096672e-01, 6.877227834778439075e-02, 4.305942679005650420e-01, 7.020469982837403977e-01
2.035000000000000000e+03, 2.685720773720601806e-01, 1.963606059859632103e+00, 1.592361106190042230e+00, 2.836435679943000832e+00, 2.691146963128053793e-01, 2.833129253417106530e-01, 7.037033016943952668e-02, 4.328331308815827616e-01, 6.943857411328435703e-01
2.036000000000000000e+03, 2.561963716948242320e-01, 1.976120273963863916e+00, 1.600172178036551651e+00, 2.823833031966527685e+00, 2.611901828856942331e-01, 2.902535686869265330e-01, 7.038432859174897915e-02, 4.358935741284985510e-01, 7.164299239419207321e-01
2.037000000000000000e+03, 2.463097685049142616e-01, 1.985832380661873842e+00, 1.623970000032444849e+00, 2.812843908173371155e+00, 2.538286288458703188e-01, 2.965513207930803308e-01, 7.039634098816961727e-02, 4.387139154957080400e-01, 6.866146993558722711e-01
2.038000000000000000e+03, 2.392112971732731630e-01, 1.997521403381719018e+00, 1.636383865979264662e+00, 2.802773730414440223e+00, 2.468017338856094700e-01, 3.011331078890724378e-01, 7.036450710616758142e-02, 4.422788412000606684e-01, 7.246446254999652226e-01
2.039000000000000000e+03, 2.333681666807878030e-01, 2.008016140804687488e+00, 1.647566899045526778e+00, 2.793760053589726677e+00, 2.401712915595805853e-01, 3.037061152480862170e-01, 7.087965540738658254e-02, 4.460878051458286864e-01, 7.135576473192820623e-01
2.040000000000000000e+03, 2.288878351125046839e-01, 1.969475724734781164e+00, 1.623720219468459236e+00, 2.784699966263517901e+00, 2.337512488801400112e-01, 3.058157618109542120e-01, 7.163479889862077454e-02, 4.456798201920615377e-01, 7.087736710047154443e-01
2.041000000000000000e+03, 2.235621945265832411e-01, 1.948381872453829322e+00, 1.596888563014829732e+00, 2.744526392764611078e+00, 2.245638965317772739e-01, 2.929928822495572183e-01, 6.509084391966685201e-02, 4.418854531254386986e-01, 7.296122596283048933e-01
2.042000000000000000e+03, 2.185547437431056839e-01, 1.933932170468938949e+00, 1.584021955865037912e+00, 2.708925622320976334e+00, 2.158925865981666248e-01, 2.818803178645687413e-01, 5.854180955616618276e-02, 4.384087548253401412e-01, 7.147082114085603344e-01
2.043000000000000000e+03, 2.140481188171292626e-01, 1.923036777112573592e+00, 1.563887557440108989e+00, 2.676190339886853398e+00, 2.076366259339788578e-01, 2.710631948906934707e-01, 5.233303225016223276e-02, 4.352340531810514612e-01, 7.032098898825412947e-01
2.044000000000000000e+03, 2.098816860290992348e-01, 1.910112652246325204e+00, 1.548266049800791855e+00, 2.644942499754559417e+00, 1.997894231534021181e-01, 2.597285301503291510e-01, 4.660254632423979637e-02, 4.323297667366451380e-01, 7.049619959051873774e-01
2.045000000000000000e+03, 2.059774384264158320e-01, 1.913558468854137162e+00, 1.531868677815930946e+00, 2.614796054029622674e+00, 1.922574200735168437e-01, 2.500600564218396493e-01, 4.143289353768515870e-02, 4.311512697318958254e-01, 7.000203052207224497e-01
2.046000000000000000e+03, 2.023284646440466628e-01, 1.913341254660789525e+00, 1.534731424363837915e+00, 2.588101661542244525e+00, 1.850652390792066615e-01, 2.463230483446336716e-01, 3.941680085590302390e-02, 4.314143341610777727e-01, 6.998672975259518925e-01
2.047000000000000000e+03, 1.988917442339051822e-01, 1.913090973726756960e+00, 1.535803503883293564e+00, 2.561944366295015652e+00, 1.783272041570513611e-01, 2.422276855074413371e-01, 3.781285383095698421e-02, 4.313836378084298095e-01, 6.744627632415269858e-01
2.048000000000000000e+03, 1.956224111590846026e-01, 1.912653738899603439e+00, 1.546869121964543847e+00, 2.536404866809773839e+00, 1.720088654517489268e-01, 2.397242814352437967e-01, 3.609499164918975739e-02, 4.307596805906919735e-01, 6.989214207439029547e-01
2.049000000000000000e+03, 1.924826581444596119e-01, 1.912715704763376934e+00, 1.544787774043284490e+00, 2.512259875648028107e+00, 1.659486562061096293e-01, 2.384855536325574121e-01, 3.401233317249681420e-02, 4.297546449736205365e-01, 6.700386793977938238e-01
2.050000000000000000e+03, 1.895343116616529378e-01, 1.914380443448175484e+00, 1.561058267096914864e+00, 2.490555002587911293e+00, 1.600412320102140851e-01, 2.383239824809610663e-01, 3.359166220437845296e-02, 4.288034682812447151e-01, 6.701716553169221324e-01
