year, EC-Earth3-Veg, MPI-ESM1-2-LR, GFDL-ESM4, IPSL-CM6A-LR, CNRM-ESM2-1, MIROC-ES2L, TaiESM1, CESM2-WACCM, CMCC-CM2-SR5, UKESM1-0-LL, ACCESS-ESM1-5, NorESM2-MM, NorESM2-LM, CanESM5
2.015000000000000000e+03, 2.008210363804145402e+02, 1.190223917088140269e+02, 3.042669892560935452e+01, 1.135499253119698722e+02, 1.873158802798773763e+02, 1.137425097979979967e+02, 1.065935096433558442e+02, 1.402279767978511984e+02, 2.909006238658078587e+02, 3.207954169556273882e+02, 1.079306100699993607e+02, 1.367110099017930054e+02, 1.397773471536073941e+02, 2.092638264443934304e+02
2.016000000000000000e+03, 2.007606112334575812e+02, 1.191592605319152369e+02, 3.041330481023569732e+01, 1.135844459809240306e+02, 1.874642731152602835e+02, 1.135521202566957726e+02, 1.063377005261711190e+02, 1.403128205349040627e+02, 2.909646826947810041e+02, 3.206369279899644766e+02, 1.079303453474643391e+02, 1.368259506881634309e+02, 1.398964806933628893e+02, 2.089977751816931288e+02
2.017000000000000000e+03, 2.007554603955275354e+02, 1.191968602738304952e+02, 3.003635374196320384e+01, 1.135841624252972792e+02, 1.874827003264027212e+02, 1.134246516914116114e+02, 1.064064076213908407e+02, 1.404105296002773002e+02, 2.910528298776700922e+02, 3.205810483930897021e+02, 1.079406918930909853e+02, 1.368926685414794520e+02, 1.399720190326843294e+02, 2.087018262925467411e+02
2.018000000000000000e+03, 2.007542485107669563e+02, 1.192726149699672504e+02, 2.998546988247477785e+01, 1.135506928751490960e+02, 1.876212320531632542e+02, 1.134473222711634008e+02, 1.062034479619171634e+02, 1.404175491963660534e+02, 2.911433967674775545e+02, 3.208769575923444108e+02, 1.079573411438266533e+02, 1.369530517353289838e+02, 1.400517399481749123e+02, 2.083388177828083769e+02
2.019000000000000000e+03, 2.006886206726882733e+02, 1.193364732174708109e+02, 3.014587170097484403e+01, 1.135383627430451838e+02, 1.877053548462876336e+02, 1.133350130805331446e+02, 1.063496676708071078e+02, 1.404470435974837699e+02, 2.912210667826132635e+02, 3.207123774046808649e+02, 1.080332035455832056e+02, 1.370335257903668378e+02, 1.401461888120564083e+02, 2.080521857697102348e+02
2.020000000000000000e+03, 2.005800563308445987e+02, 1.192788532766111587e+02, 3.007539667250852844e+01, 1.135766165348944696e+02, 1.877084779870910722e+02, 1.131658775584087095e+02, 1.065408140730385895e+02, 1.405304490019439072e+02, 2.913028070864764913e+02, 3.201348185743922272e+02, 1.081377113665329688e+02, 1.371455107898113113e+02, 1.402754460556946583e+02, 2.077867046387034407e+02
2.021000000000000000e+03, 2.005384083620890294e+02, 1.190330696576969700e+02, 2.989786076883011390e+01, 1.135868680758496652e+02, 1.877996633310561947e+02, 1.131654193413843501e+02, 1.064625009243903975e+02, 1.406426068778977481e+02, 2.913897844975887210e+02, 3.202675394500429888e+02, 1.081487858558949142e+02, 1.372516634176112973e+02, 1.404104869154334949e+02, 2.075858444046220654e+02
2.022000000000000000e+03, 2.004313878000141074e+02, 1.191536491201091792e+02, 2.995279027033458874e+01, 1.136213448302496545e+02, 1.879004010353658032e+02, 1.133056863400518921e+02, 1.061759834127656887e+02, 1.407346438917998910e+02, 2.913934027177448911e+02, 3.199258331483482607e+02, 1.081648670617371693e+02, 1.373743367367432029e+02, 1.405306992484855186e+02, 2.074198112904441871e+02
2.023000000000000000e+03, 2.003043062259108638e+02, 1.191879349164630923e+02, 3.010081444358310065e+01, 1.136713487716430819e+02, 1.879700500991150705e+02, 1.133944618927436352e+02, 1.064491462518353728e+02, 1.407725241975822996e+02, 2.914674606993584689e+02, 3.196937483116909675e+02, 1.081686535614082203e+02, 1.375383054332912138e+02, 1.406045666125328353e+02, 2.072766989737362167e+02
2.024000000000000000e+03, 2.002166688237179244e+02, 1.193229490467848422e+02, 3.016915334442570895e+01, 1.136739671551947310e+02, 1.880243932075129294e+02, 1.133100165747271717e+02, 1.066049809207067653e+02, 1.408519779500226434e+02, 2.915744999798103549e+02, 3.194835196969602293e+02, 1.080792907376496572e+02, 1.376621861533320441e+02, 1.406981105724345866e+02, 2.069359506663012382e+02
2.025000000000000000e+03, 2.002754559559629968e+02, 1.199097640473344910e+02, 3.009601112793238187e+01, 1.136690138943817345e+02, 1.880547790141018822e+02, 1.129617734058386276e+02, 1.063384521454110256e+02, 1.409556516676636591e+02, 2.917237060180897288e+02, 3.196124380172669248e+02, 1.079149570276049417e+02, 1.376895333009903482e+02, 1.408275428547157162e+02, 2.068068509126646859e+02
2.026000000000000000e+03, 2.002341071699510167e+02, 1.203160721049915196e+02, 2.968576655745626525e+01, 1.136959680780505551e+02, 1.879943481107868593e+02, 1.129568207555846442e+02, 1.061302068345367360e+02, 1.409909136172777835e+02, 2.918760521921365125e+02, 3.201388118808744707e+02, 1.077133581100711410e+02, 1.377442413783233803e+02, 1.409677209208971931e+02, 2.066999062327623449e+02
2.027000000000000000e+03, 2.000678640799683308e+02, 1.203253524328276427e+02, 2.986027104880093219e+01, 1.137577924349712220e+02, 1.880316920246445704e+02, 1.131187011556771864e+02, 1.064015057113340958e+02, 1.410550008906871255e+02, 2.919418366766162194e+02, 3.200731619522325673e+02, 1.075724730529337023e+02, 1.378505663332402378e+02, 1.410425216057177522e+02, 2.064842957339710381e+02
2.028000000000000000e+03, 2.000284231678684534e+02, 1.204527794727272578e+02, 2.968435953267893268e+01, 1.137868041047282333e+02, 1.881625075888003664e+02, 1.131643206912961261e+02, 1.064649310641539302e+02, 1.411387943587167229e+02, 2.920883309353279174e+02, 3.190110167442793454e+02, 1.075087227324187751e+02, 1.379553967499667237e+02, 1.412069701248327647e+02, 2.063022876443929192e+02
2.029000000000000000e+03, 2.001179824683279378e+02, 1.203944321466481995e+02, 2.942214868579828391e+01, 1.137872098812649853e+02, 1.881768767529117952e+02, 1.129985938235879246e+02, 1.063348023605830974e+02, 1.412548416189235638e+02, 2.921094840257811143e+02, 3.191866655117815981e+02, 1.074651844299209955e+02, 1.381020452503837248e+02, 1.413166261320100148e+02, 2.062049736285989923e+02
2.030000000000000000e+03, 2.001710664947399039e+02, 1.207023254814938156e+02, 2.932183234684005768e+01, 1.137858116816328788e+02, 1.882820185311769023e+02, 1.131382183544696574e+02, 1.063080773047673659e+02, 1.413631001778142604e+02, 2.921960285962402395e+02, 3.196989221013467954e+02, 1.074015555789083720e+02, 1.382138454470281488e+02, 1.414187619710618549e+02, 2.060817125694509855e+02
2.031000000000000000e+03, 2.001474350552910551e+02, 1.208928832933835622e+02, 2.913580553298350750e+01, 1.137792538364386274e+02, 1.883679225809328841e+02, 1.133502619177955069e+02, 1.064892755205746653e+02, 1.415457443020842732e+02, 2.922312331929279594e+02, 3.199939588204032361e+02, 1.073370942300779234e+02, 1.383424345138514298e+02, 1.415992083225056319e+02, 2.059305476917606939e+02
2.032000000000000000e+03, 2.001003655298983688e+02, 1.207434322612018889e+02, 2.923300470743579638e+01, 1.137929376215528663e+02, 1.884261936377613722e+02, 1.136852481214033048e+02, 1.062773921457976058e+02, 1.416718742086302143e+02, 2.923047245223829691e+02, 3.202409661090538862e+02, 1.072313535808107190e+02, 1.384157586597221439e+02, 1.417660455686543628e+02, 2.057529224802140675e+02
2.033000000000000000e+03, 2.000364378835943455e+02, 1.205468470428824332e+02, 2.936183391209845794e+01, 1.137775503160233797e+02, 1.885369750209416111e+02, 1.140309956942175234e+02, 1.063887204765349423e+02, 1.417405967856394682e+02, 2.924567883172302913e+02, 3.211148126773592821e+02, 1.070793373120253307e+02, 1.385166841071050499e+02, 1.419150045115349599e+02, 2.056218349016356512e+02
2.034000000000000000e+03, 1.999025600722343086e+02, 1.208470386329853170e+02, 2.906086852596649450e+01, 1.137856658138650232e+02, 1.885945289501818820e+02, 1.136804219619478431e+02, 1.065051409643141653e+02, 1.418516359273797889e+02, 2.925624428198199780e+02, 3.211630597030779199e+02, 1.069732687888884470e+02, 1.386637359838794339e+02, 1.420053041059497048e+02, 2.055025414958115846e+02
2.035000000000000000e+03, 1.998157126394159775e+02, 1.213479123751985185e+02, 2.904949860931572658e+01, 1.138380222386219600e+02, 1.885363619781548152e+02, 1.136098378288357793e+02, 1.064378110333710623e+02, 1.419646451512976171e+02, 2.926912592084595417e+02, 3.211795875113668899e+02, 1.069628770037629977e+02, 1.388029246253224187e+02, 1.421008974218927676e+02, 2.053319811734697566e+02
2.036000000000000000e+03, 1.997455862413908108e+02, 1.214599409723834782e+02, 2.902414537749793766e+01, 1.138616835720403060e+02, 1.885731454892957402e+02, 1.137292071496109713e+02, 1.061386399421841560e+02, 1.420529188255820259e+02, 2.928165777938779684e+02, 3.205183802960345929e+02, 1.069537980027347857e+02, 1.389760326382034066e+02, 1.421985086425608529e+02, 2.052564282830721822e+02
2.037000000000000000e+03, 1.997461377872945150e+02, 1.211282824336072110e+02, 2.885404677484137892e+01, 1.138762127463873952e+02, 1.885206159378655570e+02, 1.139751588346271518e+02, 1.064072771278852798e+02, 1.421696294699258374e+02, 2.928321937930076047e+02, 3.199578170670860118e+02, 1.069333325828604302e+02, 1.391334355006877672e+02, 1.423267881261413663e+02, 2.052378920140867535e+02
2.038000000000000000e+03, 1.997764452118217378e+02, 1.215385761260716180e+02, 2.893497223428443377e+01, 1.138789830048506104e+02, 1.885111338703168258e+02, 1.140925319791865604e+02, 1.064483368845990157e+02, 1.422771751739906563e+02, 2.929897343767610209e+02, 3.198805880681156282e+02, 1.069545167999189488e+02, 1.392777069774904248e+02, 1.424156479636440622e+02, 2.051839711825826100e+02
2.039000000000000000e+03, 1.997870789062058350e+02, 1.218314818008661007e+02, 2.904779286523261206e+01, 1.139054726410195855e+02, 1.886318063214509095e+02, 1.137174021444743630e+02, 1.063415692171839027e+02, 1.424053207660609246e+02, 2.930631882771749588e+02, 3.205368698093066087e+02, 1.068023103318675311e+02, 1.394163094325487293e+02, 1.425557817971939016e+02, 2.051895235882455495e+02
2.040000000000000000e+03, 1.997526347397659379e+02, 1.222343312871887377e+02, 2.921953524709986993e+01, 1.139598608231842150e+02, 1.886307005509489443e+02, 1.137233585362285027e+02, 1.062488210176295240e+02, 1.425020952842446320e+02, 2.932075801109528470e+02, 3.208788340825324212e+02, 1.066642823553396653e+02, 1.395594420087070375e+02, 1.427209412666464345e+02, 2.052418344034047379e+02
2.041000000000000000e+03, 1.997477644691744842e+02, 1.224019227524263584e+02, 2.916906669725382883e+01, 1.140420979825658065e+02, 1.887089270603565581e+02, 1.138714474168612583e+02, 1.061425616999222541e+02, 1.425535254117729949e+02, 2.932477305226936437e+02, 3.211122622254249563e+02, 1.065692614505756239e+02, 1.396574234318674712e+02, 1.428547029612968799e+02, 2.052288932271669353e+02
2.042000000000000000e+03, 1.997502644030103625e+02, 1.227242151100962957e+02, 2.873001250105819793e+01, 1.140899955285166811e+02, 1.888549012008313355e+02, 1.140913503512056906e+02, 1.059415402554583352e+02, 1.425806998038964366e+02, 2.933287657033907294e+02, 3.213522320726887642e+02, 1.064090680093750478e+02, 1.397413123522439946e+02, 1.429998376126336552e+02, 2.052109085657934600e+02
2.043000000000000000e+03, 1.997019336757410315e+02, 1.229355160499953996e+02, 2.862626411915942271e+01, 1.141258134665649635e+02, 1.888560847652886423e+02, 1.141476511997276475e+02, 1.060674862260805469e+02, 1.426920233562213696e+02, 2.934755822709387871e+02, 3.212915922842782379e+02, 1.061929868693579095e+02, 1.398656517516841973e+02, 1.430732654019467134e+02, 2.051981457878324022e+02
2.044000000000000000e+03, 1.997723852214482463e+02, 1.225696089752623550e+02, 2.888181895500768448e+01, 1.141645858510969731e+02, 1.889812429318192812e+02, 1.142053075282013737e+02, 1.060437302891087938e+02, 1.428147120720617806e+02, 2.935789003147129961e+02, 3.211285676300087175e+02, 1.059651097807220879e+02, 1.399640636901117148e+02, 1.431626872773632897e+02, 2.052453649366870536e+02
2.045000000000000000e+03, 1.998412112863930474e+02, 1.227132670366415965e+02, 2.871787674564190596e+01, 1.142081673790028731e+02, 1.890152461063109683e+02, 1.143464801324071516e+02, 1.060083603385740787e+02, 1.429012792314719036e+02, 2.936826221672886845e+02, 3.205029118916938842e+02, 1.059253045902200654e+02, 1.400435197657852200e+02, 1.432891828839860011e+02, 2.052021788286035360e+02
