year, UKESM1-0-LL, NorESM2-LM, ACCESS-ESM1-5, IPSL-CM6A-LR, MIROC-ES2L, INM-CM5-0, TaiESM1, EC-Earth3-Veg, NorESM2-MM, GFDL-ESM4, MPI-ESM1-2-LR, CESM2-WACCM, INM-CM4-8, CanESM5, CMCC-CM2-SR5, CNRM-ESM2-1
2.015000000000000000e+03, 1.919978557203987179e+02, 1.538855036824762124e+02, 1.835961079115639336e+02, 1.307385475420322507e+02, 1.272178071004709068e+02, 1.443133011197131168e+02, 1.648086037926439928e+02, 1.202548697186824853e+02, 1.548231952166755150e+02, 7.044664086269941095e+01, 1.465112292493966777e+02, 1.520508550864545896e+02, 1.442066327601939975e+02, 9.804720352063543487e+01, 1.294397531107608472e+02, 1.237486916003394555e+02
2.016000000000000000e+03, 1.913002066011478064e+02, 1.543590324197334951e+02, 1.829746336967672562e+02, 1.313269939046900561e+02, 1.272998780302716284e+02, 1.450725293223339349e+02, 1.659525984142123605e+02, 1.202623029100629282e+02, 1.544804867901624732e+02, 7.052162763667212175e+01, 1.466050450349045491e+02, 1.521189863844368233e+02, 1.446561940665787063e+02, 9.879925437697221469e+01, 1.299323754029461497e+02, 1.240423299641792028e+02
2.017000000000000000e+03, 1.912180813371662964e+02, 1.553000590332347883e+02, 1.836961757740837129e+02, 1.312625563794037475e+02, 1.278599335479916732e+02, 1.455530198550479213e+02, 1.659651025833574920e+02, 1.207610386624521794e+02, 1.551126525838042767e+02, 7.021899127487371572e+01, 1.467855116331243437e+02, 1.523127625924815618e+02, 1.453171281375771855e+02, 9.854405329205280850e+01, 1.302525764975109439e+02, 1.250215164443132494e+02
2.018000000000000000e+03, 1.913828281667535691e+02, 1.561399900214731247e+02, 1.843667145437217130e+02, 1.315390485798728264e+02, 1.282654651459025104e+02, 1.455782401374780193e+02, 1.669581699654789020e+02, 1.213483239670349576e+02, 1.558076851651478592e+02, 7.040236031994376731e+01, 1.477684802498274905e+02, 1.532876215647545166e+02, 1.462507686141169643e+02, 9.784191784933217662e+01, 1.305734744249297421e+02, 1.244732493459056570e+02
2.019000000000000000e+03, 1.910789506886297886e+02, 1.567547446036756185e+02, 1.852253402212992341e+02, 1.322679336851728351e+02, 1.285697482956637998e+02, 1.464023226315386239e+02, 1.659384978403305411e+02, 1.207781331745736253e+02, 1.565016043947876767e+02, 7.114622728551219666e+01, 1.480230483385466016e+02, 1.535867843432770030e+02, 1.469135499184370701e+02, 9.868754289047858208e+01, 1.310883295221652816e+02, 1.250285908905186574e+02
2.020000000000000000e+03, 1.911090249238743581e+02, 1.573207255660827855e+02, 1.856966579727542523e+02, 1.328129637514742001e+02, 1.285049325853048572e+02, 1.474052677341516358e+02, 1.652141821057802531e+02, 1.207205225986080848e+02, 1.569247704866845936e+02, 7.111991208314638868e+01, 1.478800967642949615e+02, 1.544429636424248429e+02, 1.476046577534905566e+02, 1.001763939452468435e+02, 1.316340851443167992e+02, 1.256934865855143215e+02
2.021000000000000000e+03, 1.912518325317441850e+02, 1.578920957508681511e+02, 1.855169912548332150e+02, 1.332031342595441004e+02, 1.288327200545918174e+02, 1.480900258052814422e+02, 1.657931638284828750e+02, 1.210955928428168420e+02, 1.574928212477005900e+02, 7.117465465960508197e+01, 1.482153691425240254e+02, 1.547083936374130815e+02, 1.483757657910938690e+02, 1.011468628218548105e+02, 1.321782949199277368e+02, 1.254400402766534768e+02
2.022000000000000000e+03, 1.912387173020885598e+02, 1.583111399754926936e+02, 1.860596389766331527e+02, 1.337280256936248293e+02, 1.293062797270113435e+02, 1.482614055859164068e+02, 1.670862334868484425e+02, 1.207459926311465921e+02, 1.578680741651330948e+02, 7.170479674411291171e+01, 1.488452136776231782e+02, 1.547444801027075414e+02, 1.481621700549807770e+02, 1.017643007776012922e+02, 1.328557718870955853e+02, 1.253362522438058591e+02
2.023000000000000000e+03, 1.910915410370344887e+02, 1.592419398159973696e+02, 1.861513594599735484e+02, 1.343218159366647058e+02, 1.298854147027902854e+02, 1.488361326733738963e+02, 1.655871842367578779e+02, 1.212334045699092968e+02, 1.580774642268296191e+02, 7.227916443329289109e+01, 1.495614921398596096e+02, 1.554646419047738846e+02, 1.481991043240257113e+02, 1.019113929875125848e+02, 1.327926544603761272e+02, 1.256272615768977374e+02
2.024000000000000000e+03, 1.906842723794582639e+02, 1.600280600129659376e+02, 1.857389529671310981e+02, 1.345388364042514979e+02, 1.302752321123557238e+02, 1.492784056361961404e+02, 1.642254399672243039e+02, 1.217024460533039871e+02, 1.586537823504117455e+02, 7.240459946126060231e+01, 1.509105183773503143e+02, 1.557095154470702596e+02, 1.492030940971880568e+02, 1.001661087480775194e+02, 1.336043932323386230e+02, 1.264319365585237307e+02
2.025000000000000000e+03, 1.908180322108866278e+02, 1.605200597980899317e+02, 1.850765985100830449e+02, 1.351253074034844417e+02, 1.301792703993248210e+02, 1.493875846567837868e+02, 1.651059441221942166e+02, 1.223605758774658767e+02, 1.596491712575636086e+02, 7.278488898424784281e+01, 1.507449347489894933e+02, 1.558393422895970843e+02, 1.491689233953986786e+02, 1.001368217803846221e+02, 1.334846609708120582e+02, 1.271166628765596727e+02
2.026000000000000000e+03, 1.912087554357083263e+02, 1.612167563807263946e+02, 1.844554996366329362e+02, 1.356699993688056622e+02, 1.303898794545176258e+02, 1.501638778363779636e+02, 1.655169094386930055e+02, 1.229515569063329963e+02, 1.597163574644753510e+02, 7.223648463145063658e+01, 1.499823072657248417e+02, 1.568268943844076944e+02, 1.488895270879411328e+02, 1.016773643353145644e+02, 1.341434087955814789e+02, 1.285484215199076345e+02
2.027000000000000000e+03, 1.912153208510748641e+02, 1.618362538729384994e+02, 1.847395629396897050e+02, 1.360640858526109582e+02, 1.307888717451872367e+02, 1.501312161986353146e+02, 1.635119148451420585e+02, 1.222628279690321875e+02, 1.604335292493211398e+02, 7.281578853298535137e+01, 1.504450030566377166e+02, 1.577389564670884852e+02, 1.496008970786521957e+02, 1.023601308643500261e+02, 1.346870183806642558e+02, 1.282449699802453154e+02
2.028000000000000000e+03, 1.905479469033935800e+02, 1.624310816158898945e+02, 1.849494375678743836e+02, 1.364548534899286949e+02, 1.313034258622253105e+02, 1.502034564151973086e+02, 1.634522277056028656e+02, 1.223267943783263974e+02, 1.611653877147180651e+02, 7.260444010582645546e+01, 1.510604844850026609e+02, 1.585545382359490532e+02, 1.504304665061251853e+02, 1.029453322037887375e+02, 1.344923408298814707e+02, 1.280253552186826198e+02
2.029000000000000000e+03, 1.907708239105511154e+02, 1.633667656872824239e+02, 1.853254464325580386e+02, 1.367294269911485856e+02, 1.316368481990236887e+02, 1.505903294301531048e+02, 1.640954391805776140e+02, 1.238985998885065669e+02, 1.613474254233202601e+02, 7.242687668272607482e+01, 1.521671740226443319e+02, 1.592651470413438233e+02, 1.502800798792678734e+02, 1.041190675993278631e+02, 1.354369812398206534e+02, 1.289195241346338321e+02
2.030000000000000000e+03, 1.914859889129909902e+02, 1.642310719010690718e+02, 1.855788404304005894e+02, 1.370327247356381974e+02, 1.316035535259631502e+02, 1.512639513784436645e+02, 1.640528092889753395e+02, 1.247286464818246543e+02, 1.624114372862001119e+02, 7.241194947681420047e+01, 1.520760478268386748e+02, 1.596961847786931799e+02, 1.508611315364013024e+02, 1.048573261642594474e+02, 1.355572927698266028e+02, 1.294763784076998832e+02
2.031000000000000000e+03, 1.918321005884668295e+02, 1.646073527383015858e+02, 1.856680974359284164e+02, 1.373939906175469332e+02, 1.322819926394757886e+02, 1.513311922749999212e+02, 1.627998132174447505e+02, 1.238383495252533777e+02, 1.629191426648537515e+02, 7.222681574551729966e+01, 1.508011318496613171e+02, 1.597753372743235616e+02, 1.505667370698934349e+02, 1.042841200452805310e+02, 1.367835904827260833e+02, 1.297062617092487926e+02
2.032000000000000000e+03, 1.921493492375859944e+02, 1.649021511183105702e+02, 1.852462147428394417e+02, 1.376711922970042394e+02, 1.328623191775842827e+02, 1.514987128078570890e+02, 1.637859309150718445e+02, 1.243868018735563510e+02, 1.632149173220581133e+02, 7.263243213171773505e+01, 1.505036751551434691e+02, 1.609407682877879893e+02, 1.507189377197739475e+02, 1.037899023025682510e+02, 1.369356001724934231e+02, 1.295530693929924269e+02
2.033000000000000000e+03, 1.925655973332164308e+02, 1.651719252661486337e+02, 1.846949224878543987e+02, 1.378927499826999394e+02, 1.336006739234125575e+02, 1.515253227991351253e+02, 1.630859815404323001e+02, 1.246392077010648904e+02, 1.641818951259286337e+02, 7.302012382272916113e+01, 1.523260937402544357e+02, 1.620871164457006728e+02, 1.513018160170257147e+02, 1.037850918296884402e+02, 1.371565816227425501e+02, 1.290004732203409503e+02
2.034000000000000000e+03, 1.925558641515441707e+02, 1.663157948114689759e+02, 1.852357140743559683e+02, 1.383176081779297419e+02, 1.340023094222804900e+02, 1.518214607381784162e+02, 1.622851249872780670e+02, 1.242761822106153460e+02, 1.649523180663648532e+02, 7.242529990875289059e+01, 1.540240521938062841e+02, 1.624799182788403584e+02, 1.520343019117836718e+02, 1.047029567736693139e+02, 1.374784923242882826e+02, 1.285627452099100481e+02
2.035000000000000000e+03, 1.927675345716388620e+02, 1.670229534610419933e+02, 1.854657456079150961e+02, 1.386700611587960736e+02, 1.338602984400124285e+02, 1.523152281673315827e+02, 1.627794697261404906e+02, 1.243911634583646872e+02, 1.655853214936288680e+02, 7.260722779184456499e+01, 1.537634901729383046e+02, 1.630923704344496912e+02, 1.519916599240906123e+02, 1.047812557742277733e+02, 1.374598379658883118e+02, 1.294907350315234282e+02
2.036000000000000000e+03, 1.927885837271138598e+02, 1.675581199593152064e+02, 1.858139833936365619e+02, 1.391107411590128606e+02, 1.341280933440220622e+02, 1.522536361231109083e+02, 1.636444929962728168e+02, 1.251101816769152180e+02, 1.662419433772352590e+02, 7.294137926585788989e+01, 1.528655475113835678e+02, 1.635514276358576922e+02, 1.520231067860501355e+02, 1.064592825143670467e+02, 1.379902004267187579e+02, 1.298126488905569147e+02
2.037000000000000000e+03, 1.925523250494930494e+02, 1.675441751344072543e+02, 1.860392962690848435e+02, 1.396078940466431959e+02, 1.346702018267366441e+02, 1.524254469029647794e+02, 1.617565696046140715e+02, 1.248308347155622471e+02, 1.667187879645300939e+02, 7.249155949107637298e+01, 1.542226756239539895e+02, 1.638549976804830521e+02, 1.524313278012664341e+02, 1.090555208679998458e+02, 1.386389391297394411e+02, 1.305700267194674211e+02
