year, NorESM2-MM, GFDL-ESM4, CNRM-ESM2-1, TaiESM1, NorESM2-LM
2.015000000000000000e+03, 1.786193859672624290e-09, 1.874538663766996069e-09, 1.041195432676711168e-09, 1.292683698743080931e-09, 1.107788541288380609e-09
2.016000000000000000e+03, 1.158431097581955689e-09, 2.009486330782699641e-09, 8.625136912107689230e-10, 1.304708411543713499e-09, 7.249249152376040019e-10
2.017000000000000000e+03, 1.069079004359125904e-09, 1.429823648704379620e-09, 9.704555254469933041e-10, 9.117518505080088893e-10, 6.797018368426435030e-10
2.018000000000000000e+03, 1.093287955374724548e-09, 1.479362570131516775e-09, 8.054774418107055622e-10, 1.295223647168317082e-09, 8.397147796197162061e-10
2.019000000000000000e+03, 8.879490349226172144e-10, 2.208818958810037977e-09, 7.535024453237654889e-10, 1.347842492534958368e-09, 7.583774679913115353e-10
2.020000000000000000e+03, 1.066659360547082945e-09, 1.915188679417277929e-09, 1.107896969786244965e-09, 1.283687637115937158e-09, 8.219484892743144841e-10
2.021000000000000000e+03, 9.975048707702547666e-10, 1.669543645845423057e-09, 8.374796310021092457e-10, 1.128480720430999891e-09, 7.597945040330282714e-10
2.022000000000000000e+03, 1.444595155416117117e-09, 1.772219266482925604e-09, 7.916364444088424010e-10, 1.325838515125692313e-09, 6.921676221217554380e-10
2.023000000000000000e+03, 1.216317150586135545e-09, 2.677230632203439561e-09, 9.079276528956617073e-10, 1.541266371482243504e-09, 6.699333575302085292e-10
2.024000000000000000e+03, 1.039854285350107134e-09, 2.244495006560478535e-09, 9.655327700806695571e-10, 1.760737482981535093e-09, 8.226623679326345687e-10
2.025000000000000000e+03, 1.208227167430661296e-09, 2.729825790493218780e-09, 7.656073648856596032e-10, 1.560571733483138003e-09, 7.682260760246437552e-10
2.026000000000000000e+03, 9.834716444271616097e-10, 2.310509964661635014e-09, 8.592948270780146227e-10, 1.608774539822022762e-09, 6.096724338033320928e-10
2.027000000000000000e+03, 8.271040713086149310e-10, 2.589181396510620454e-09, 9.193514245969859981e-10, 1.549120372106795019e-09, 6.656157510573260536e-10
2.028000000000000000e+03, 1.185337218855240127e-09, 1.785069443180775504e-09, 8.031207530103894691e-10, 1.167215687976588897e-09, 7.800511492569720532e-10
2.029000000000000000e+03, 1.182383671732090784e-09, 3.988213792853450877e-09, 9.096773808950874033e-10, 1.358594793860623348e-09, 6.399810661108410950e-10
2.030000000000000000e+03, 1.067030711202868722e-09, 2.016948191703033929e-09, 9.694810268113503469e-10, 1.505614579915281678e-09, 6.144454682666066990e-10
2.031000000000000000e+03, 8.971395654721483778e-10, 2.787203902091629632e-09, 7.573231585739369440e-10, 1.442244092991797294e-09, 8.918175255542968971e-10
2.032000000000000000e+03, 7.385003620605961737e-10, 2.049585737118616217e-09, 8.822316413071386470e-10, 1.322267278385311708e-09, 8.766642039454998842e-10
2.033000000000000000e+03, 1.154527747426707133e-09, 2.855383220299334320e-09, 9.447256585927219726e-10, 1.617444492995312086e-09, 7.838070933729097716e-10
2.034000000000000000e+03, 1.005133985013405383e-09, 2.905174466128250931e-09, 6.486953586489885010e-10, 1.536362182107816311e-09, 7.647184070138765120e-10
2.035000000000000000e+03, 1.141310088465711950e-09, 2.352959457143353864e-09, 7.926784074655781048e-10, 1.377727000803874419e-09, 7.465888419193569157e-10
2.036000000000000000e+03, 8.558778212697416309e-10, 2.901595017858649976e-09, 6.531194475964031280e-10, 1.532003564942991273e-09, 9.478314882392317527e-10
2.037000000000000000e+03, 1.092741242069756475e-09, 2.358757338643939098e-09, 8.119574164890351376e-10, 1.908787113922346257e-09, 8.295573856138074206e-10
2.038000000000000000e+03, 1.054744115717005168e-09, 3.716226098218258022e-09, 8.733872109321042339e-10, 1.850031306510037433e-09, 7.791057074442378602e-10
2.039000000000000000e+03, 1.377146416954513223e-09, 2.128730325839014723e-09, 8.584576447652213318e-10, 1.431564740925960648e-09, 1.117810420423106295e-09
2.040000000000000000e+03, 1.349780291794969641e-09, 2.445441453943845613e-09, 7.242276172780504593e-10, 1.366236940150121334e-09, 6.881771770035406570e-10
2.041000000000000000e+03, 9.130478930736485511e-10, 3.114485775550508925e-09, 8.558940632467456535e-10, 1.165388842391909216e-09, 6.001052520799685470e-10
2.042000000000000000e+03, 7.776723601029082282e-10, 3.603493196384485069e-09, 6.590673845538636663e-10, 1.505426233620094118e-09, 6.744553618012762308e-10
2.043000000000000000e+03, 9.999442858138449344e-10, 2.174380085541364439e-09, 9.971096500459734318e-10, 1.430993261902517976e-09, 5.941722254489764855e-10
2.044000000000000000e+03, 8.049191459784556761e-10, 2.312068410610166479e-09, 7.122795390256891476e-10, 1.414758217093329218e-09, 7.012995935763383134e-10
2.045000000000000000e+03, 1.092322860087274099e-09, 3.452378445273320352e-09, 8.164615581954236154e-10, 1.761271952547198534e-09, 6.868136697671287439e-10
2.046000000000000000e+03, 1.225307873792796407e-09, 3.929030061531573176e-09, 4.980226760132399271e-10, 1.282575797358861558e-09, 6.795852559005101578e-10
2.047000000000000000e+03, 7.349052611195272072e-10, 2.987348266754135805e-09, 9.693148429836451098e-10, 1.319585703625154876e-09, 7.849708477059673838e-10
2.048000000000000000e+03, 8.223853447269304489e-10, 2.818035727815546825e-09, 7.308445073103965560e-10, 1.700700283033272274e-09, 5.887740182164212146e-10
2.049000000000000000e+03, 1.157829753241388754e-09, 2.610939972075209372e-09, 7.497038095391169045e-10, 1.841301828233619210e-09, 9.345305166225859056e-10
2.050000000000000000e+03, 1.192266264501328654e-09, 2.554617711873943296e-09, 6.883269532696509874e-10, 1.393725537299378849e-09, 8.067372410265669744e-10
2.051000000000000000e+03, 9.265363195481440426e-10, 3.016848002366968392e-09, 8.881161484802979294e-10, 1.621079422788647375e-09, 9.657736504286650431e-10
2.052000000000000000e+03, 1.170971810259948475e-09, 3.500033102641926901e-09, 7.106572262210825200e-10, 1.886853062705643612e-09, 7.454983797765686739e-10
2.053000000000000000e+03, 1.148220149358325845e-09, 2.483518084726525168e-09, 9.506702382940591213e-10, 2.088141887437000446e-09, 5.759299710653007504e-10
2.054000000000000000e+03, 1.054845005186807897e-09, 3.511103404580610510e-09, 6.171373514256368769e-10, 1.984694772588902074e-09, 4.986573431916264034e-10
2.055000000000000000e+03, 1.052259434515716677e-09, 4.669376204159802263e-09, 6.566375890394884565e-10, 1.819837818727934773e-09, 4.618878316451778095e-10
2.056000000000000000e+03, 1.302507520843169598e-09, 2.857038843569874219e-09, 7.462840873128484133e-10, 1.677920418137565567e-09, 5.007770143845940037e-10
2.057000000000000000e+03, 9.516905840783413707e-10, 2.169596490247301683e-09, 7.473844750334626999e-10, 2.092904206654277366e-09, 4.547700824349143560e-10
2.058000000000000000e+03, 8.162577247346603434e-10, 2.914710570993317372e-09, 6.893208161151332112e-10, 1.929396407387237031e-09, 6.697058461757393805e-10
2.059000000000000000e+03, 9.177846103253490257e-10, 3.155793981460364070e-09, 9.324613977933184258e-10, 2.169949309575430076e-09, 7.998522683140996846e-10
2.060000000000000000e+03, 1.053477501069262251e-09, 5.109255348845549473e-09, 6.785480355975102273e-10, 1.744363141556297609e-09, 4.629136326424091791e-10
2.061000000000000000e+03, 1.338380937360042047e-09, 3.159286473230318909e-09, 7.036984684387916866e-10, 1.795107301735094865e-09, 1.557498235283380440e-09
2.062000000000000000e+03, 1.836150874898321907e-09, 3.208015516795983055e-09, 7.788194750539520728e-10, 1.736554679151351288e-09, 1.415615040572634545e-09
2.063000000000000000e+03, 1.336596198792275716e-09, 2.497889214345915888e-09, 5.565483613603621489e-10, 1.445750694705444903e-09, 9.271009643777276291e-10
2.064000000000000000e+03, 1.321669707579432331e-09, 2.457678395521152862e-09, 1.008254079873913154e-09, 1.735539231240668833e-09, 1.139112194149532977e-09
2.065000000000000000e+03, 1.535608325083956679e-09, 2.474588322455730281e-09, 6.817339836267121112e-10, 1.989517317348625187e-09, 1.341483155555868160e-09
2.066000000000000000e+03, 1.198026720278148701e-09, 3.104819058044358903e-09, 5.483477919836747023e-10, 1.409267867411647491e-09, 8.386290467826186952e-10
2.067000000000000000e+03, 1.171711785634888490e-09, 2.638122026069486019e-09, 7.856725891078842572e-10, 1.403105755288015333e-09, 9.475469009849582262e-10
2.068000000000000000e+03, 1.871159608028619839e-09, 3.256858609183975647e-09, 6.780084506862239084e-10, 1.778313760251475762e-09, 1.060388972901227905e-09
2.069000000000000000e+03, 1.752433376501844792e-09, 2.760198428935167376e-09, 6.405303599876245620e-10, 1.846852415989773500e-09, 6.375888326395288130e-10
2.070000000000000000e+03, 1.273242276187710737e-09, 1.869793418860162845e-09, 7.922838590854670551e-10, 1.427238167535554581e-09, 6.230701264672973680e-10
2.071000000000000000e+03, 1.941053375745916190e-09, 3.021983698972162620e-09, 6.104130478761988929e-10, 1.513610122596759644e-09, 1.085556042146581109e-09
2.072000000000000000e+03, 1.272775980041711103e-09, 2.755133717169987034e-09, 8.825831828820017547e-10, 1.803657746289625383e-09, 1.097725280395672083e-09
2.073000000000000000e+03, 1.683774082984984065e-09, 2.857323761859715442e-09, 6.493881758039688963e-10, 1.705444687948703194e-09, 1.573832638264813000e-09
2.074000000000000000e+03, 1.628161638112674890e-09, 3.179065171004697351e-09, 7.884741924909836075e-10, 1.519498937576218125e-09, 8.425815860969347865e-10
2.075000000000000000e+03, 1.313865325491556103e-09, 3.243549307630720282e-09, 6.659283408428114756e-10, 1.843864799640211754e-09, 1.187783229653055142e-09
2.076000000000000000e+03, 1.666769048658616758e-09, 2.897925797203763136e-09, 6.197633522773931154e-10, 1.610174203941674157e-09, 1.412501810474107492e-09
2.077000000000000000e+03, 1.268708030778671400e-09, 3.337313424815971942e-09, 6.770642380174722417e-10, 1.510698854726391537e-09, 1.317348195023426922e-09
2.078000000000000000e+03, 1.223695593200199480e-09, 2.976528644851396921e-09, 8.266640607104630591e-10, 1.452370842997282373e-09, 1.251430593155270966e-09
2.079000000000000000e+03, 1.320664822347830194e-09, 2.663393788242662616e-09, 6.129836283164777900e-10, 1.187525892194279615e-09, 1.261855590873632619e-09
2.080000000000000000e+03, 1.348073180993031545e-09, 2.695707645186041340e-09, 7.018350142151231112e-10, 1.568999591650840221e-09, 1.261442708973760870e-09
2.081000000000000000e+03, 1.688622996133089901e-09, 2.950935956999462238e-09, 5.801206545221907829e-10, 1.400304040647255200e-09, 1.021715632636872332e-09
2.082000000000000000e+03, 9.998255556950895875e-10, 2.665399960090963548e-09, 7.469099143285124517e-10, 1.343128579524661670e-09, 1.068396857190457499e-09
2.083000000000000000e+03, 1.645233060630586352e-09, 2.974289732860686596e-09, 6.781098942325731529e-10, 1.618474259603550581e-09, 1.158319760883677207e-09
2.084000000000000000e+03, 1.335830893417158551e-09, 2.247428607688884846e-09, 7.602858361838675347e-10, 1.635821259708709868e-09, 1.087107750486719161e-09
2.085000000000000000e+03, 1.256142170147007899e-09, 3.404831908126022887e-09, 7.237196721817352262e-10, 1.537205300144811263e-09, 1.040276076060288836e-09
2.086000000000000000e+03, 1.744575809729297427e-09, 3.166028206459834651e-09, 6.000582905314412374e-10, 1.929540007096361731e-09, 1.057780344505485816e-09
2.087000000000000000e+03, 1.567231225798269567e-09, 2.470601312903724868e-09, 7.099895801183544872e-10, 1.736538530913943741e-09, 1.263310918284013837e-09
2.088000000000000000e+03, 1.660339507625932050e-09, 2.150977084100776187e-09, 8.362763342910199206e-10, 1.690027573697224715e-09, 9.527410552121803112e-10
2.089000000000000000e+03, 1.392268009598669769e-09, 2.887332990768606793e-09, 6.233335189979357482e-10, 1.709500866685982238e-09, 8.065648424978510543e-10
2.090000000000000000e+03, 1.385963082454051430e-09, 3.036347579579894549e-09, 7.662563199177821187e-10, 1.876299522298887698e-09, 1.034246833697977479e-09
2.091000000000000000e+03, 1.257609050370528597e-09, 3.224836404688543559e-09, 5.808115297348882776e-10, 2.101904012231037868e-09, 9.198946832225194539e-10
2.092000000000000000e+03, 1.216365813899003040e-09, 2.595536662637740755e-09, 6.863212826748772924e-10, 2.035724791149930475e-09, 1.085406776813091274e-09
2.093000000000000000e+03, 9.475625257816217397e-10, 4.709912950251474520e-09, 6.119720053341798769e-10, 1.489218328766933397e-09, 8.003279421782862488e-10
2.094000000000000000e+03, 1.076427260725547174e-09, 2.236271072734495098e-09, 6.413361126938227707e-10, 1.552092616219677740e-09, 5.851128651802304568e-10
2.095000000000000000e+03, 1.257736764961156016e-09, 2.382321956701633586e-09, 7.718507427272806182e-10, 1.420806816787658854e-09, 7.660126773227656041e-10
