year, NorESM2-MM, CESM2-WACCM, GFDL-ESM4, EC-Earth3-Veg, GFDL-ESM4, NorESM2-MM, TaiESM1, CNRM-ESM2-1, MPI-ESM1-2-LR, CNRM-ESM2-1, TaiESM1, NorESM2-LM
2.015000000000000000e+03, 1.786193859672624290e-09, 1.314184574609974534e-09, 1.888702379729993106e-09, 1.997918242861063553e-09, 1.874538663766996069e-09, 1.786193859672624290e-09, 1.292683698743080931e-09, 1.041195432676711168e-09, 7.696957981690289359e-10, 1.041195432676711168e-09, 1.292683698743080931e-09, 1.107788541288380609e-09
2.016000000000000000e+03, 1.158431097581955689e-09, 1.197041378203998136e-09, 2.023043216474713754e-09, 1.861173121058435638e-09, 2.009486330782699641e-09, 1.158431097581955689e-09, 1.304708411543713499e-09, 8.625136912107689230e-10, 8.014488873523815706e-10, 8.625136912107689230e-10, 1.304708411543713499e-09, 7.249249152376040019e-10
2.017000000000000000e+03, 1.069079004359125904e-09, 8.516208408749440071e-10, 1.442734534284600107e-09, 1.434836391902334905e-09, 1.429823648704379620e-09, 1.069079004359125904e-09, 9.117518505080088893e-10, 9.704555254469933041e-10, 8.330022023480781031e-10, 9.704555254469933041e-10, 9.117518505080088893e-10, 6.797018368426435030e-10
2.018000000000000000e+03, 1.093287955374724548e-09, 8.625399606390482350e-10, 1.491666886755210009e-09, 3.058028168726941277e-09, 1.479362570131516775e-09, 1.093287955374724548e-09, 1.295223647168317082e-09, 8.054774418107055622e-10, 8.023700519873732899e-10, 8.054774418107055622e-10, 1.295223647168317082e-09, 8.397147796197162061e-10
2.019000000000000000e+03, 8.879490349226172144e-10, 8.706215153140613143e-10, 2.220534571974834023e-09, 2.578469403712884867e-09, 2.208818958810037977e-09, 8.879490349226172144e-10, 1.347842492534958368e-09, 7.535024453237654889e-10, 7.476489225023029803e-10, 7.535024453237654889e-10, 1.347842492534958368e-09, 7.583774679913115353e-10
2.020000000000000000e+03, 1.066659360547082945e-09, 9.145817107082188332e-10, 1.926744728927963675e-09, 2.209196162420703570e-09, 1.915188679417277929e-09, 1.066659360547082945e-09, 1.283687637115937158e-09, 1.107896969786244965e-09, 8.277515986251133810e-10, 1.107896969786244965e-09, 1.283687637115937158e-09, 8.219484892743144841e-10
2.021000000000000000e+03, 9.975048707702547666e-10, 1.330924472484067478e-09, 1.680747790787163362e-09, 2.990270223863264335e-09, 1.669543645845423057e-09, 9.975048707702547666e-10, 1.128480720430999891e-09, 8.374796310021092457e-10, 6.845901991554898216e-10, 8.374796310021092457e-10, 1.128480720430999891e-09, 7.597945040330282714e-10
2.022000000000000000e+03, 1.444595155416117117e-09, 1.291175557519553508e-09, 1.783208995999683399e-09, 1.759528709759004718e-09, 1.772219266482925604e-09, 1.444595155416117117e-09, 1.325838515125692313e-09, 7.916364444088424010e-10, 7.813267905671317783e-10, 7.916364444088424010e-10, 1.325838515125692313e-09, 6.921676221217554380e-10
2.023000000000000000e+03, 1.216317150586135545e-09, 1.149967440228871447e-09, 2.688155825098258575e-09, 2.458018356636144609e-09, 2.677230632203439561e-09, 1.216317150586135545e-09, 1.541266371482243504e-09, 9.079276528956617073e-10, 7.322342784403920070e-10, 9.079276528956617073e-10, 1.541266371482243504e-09, 6.699333575302085292e-10
2.024000000000000000e+03, 1.039854285350107134e-09, 1.225834513061842461e-09, 2.255265323658018537e-09, 1.923570170344977266e-09, 2.244495006560478535e-09, 1.039854285350107134e-09, 1.760737482981535093e-09, 9.655327700806695571e-10, 8.136455279822477020e-10, 9.655327700806695571e-10, 1.760737482981535093e-09, 8.226623679326345687e-10
2.025000000000000000e+03, 1.208227167430661296e-09, 1.081929963306334828e-09, 2.740507375328062386e-09, 1.734434491766553304e-09, 2.729825790493218780e-09, 1.208227167430661296e-09, 1.560571733483138003e-09, 7.656073648856596032e-10, 8.883285990719758764e-10, 7.656073648856596032e-10, 1.560571733483138003e-09, 7.682260760246437552e-10
2.026000000000000000e+03, 9.834716444271616097e-10, 1.300922093291585641e-09, 2.321253151393727568e-09, 2.934101964961692022e-09, 2.310509964661635014e-09, 9.834716444271616097e-10, 1.608774539822022762e-09, 8.592948270780146227e-10, 8.263770703477191955e-10, 8.592948270780146227e-10, 1.608774539822022762e-09, 6.096724338033320928e-10
2.027000000000000000e+03, 8.271040713086149310e-10, 9.507928526630125050e-10, 2.599855452560072661e-09, 2.596866256596168566e-09, 2.589181396510620454e-09, 8.271040713086149310e-10, 1.549120372106795019e-09, 9.193514245969859981e-10, 8.893053371762161401e-10, 9.193514245969859981e-10, 1.549120372106795019e-09, 6.656157510573260536e-10
2.028000000000000000e+03, 1.185337218855240127e-09, 9.714563266855359466e-10, 1.795760625725709543e-09, 1.438351955883210543e-09, 1.785069443180775504e-09, 1.185337218855240127e-09, 1.167215687976588897e-09, 8.031207530103894691e-10, 8.141779139895184302e-10, 8.031207530103894691e-10, 1.167215687976588897e-09, 7.800511492569720532e-10
2.029000000000000000e+03, 1.182383671732090784e-09, 9.025371260004212683e-10, 3.998889744506868454e-09, 1.572188151726423914e-09, 3.988213792853450877e-09, 1.182383671732090784e-09, 1.358594793860623348e-09, 9.096773808950874033e-10, 7.576863532094404810e-10, 9.096773808950874033e-10, 1.358594793860623348e-09, 6.399810661108410950e-10
2.030000000000000000e+03, 1.067030711202868722e-09, 1.198067876767851568e-09, 2.027477285843613709e-09, 3.406087250798301797e-09, 2.016948191703033929e-09, 1.067030711202868722e-09, 1.505614579915281678e-09, 9.694810268113503469e-10, 8.553078907773607919e-10, 9.694810268113503469e-10, 1.505614579915281678e-09, 6.144454682666066990e-10
2.031000000000000000e+03, 8.971395654721483778e-10, 1.142315275289243537e-09, 2.797896551563049752e-09, 2.231237609574119592e-09, 2.787203902091629632e-09, 8.971395654721483778e-10, 1.442244092991797294e-09, 7.573231585739369440e-10, 8.093083201073579438e-10, 7.573231585739369440e-10, 1.442244092991797294e-09, 8.918175255542968971e-10
2.032000000000000000e+03, 7.385003620605961737e-10, 9.438710643935573492e-10, 2.059973001393511056e-09, 2.204978805667020580e-09, 2.049585737118616217e-09, 7.385003620605961737e-10, 1.322267278385311708e-09, 8.822316413071386470e-10, 8.027630294428829812e-10, 8.822316413071386470e-10, 1.322267278385311708e-09, 8.766642039454998842e-10
2.033000000000000000e+03, 1.154527747426707133e-09, 8.981652992480416024e-10, 2.865705729580282173e-09, 2.463871778328632522e-09, 2.855383220299334320e-09, 1.154527747426707133e-09, 1.617444492995312086e-09, 9.447256585927219726e-10, 7.481503358667345176e-10, 9.447256585927219726e-10, 1.617444492995312086e-09, 7.838070933729097716e-10
2.034000000000000000e+03, 1.005133985013405383e-09, 1.008958525268400198e-09, 2.915675953512882162e-09, 2.477420597403807721e-09, 2.905174466128250931e-09, 1.005133985013405383e-09, 1.536362182107816311e-09, 6.486953586489885010e-10, 7.342807823911259635e-10, 6.486953586489885010e-10, 1.536362182107816311e-09, 7.647184070138765120e-10
2.035000000000000000e+03, 1.141310088465711950e-09, 1.056548462341484859e-09, 2.363447715561622132e-09, 2.171415218180113876e-09, 2.352959457143353864e-09, 1.141310088465711950e-09, 1.377727000803874419e-09, 7.926784074655781048e-10, 9.174979522594907379e-10, 7.926784074655781048e-10, 1.377727000803874419e-09, 7.465888419193569157e-10
2.036000000000000000e+03, 8.558778212697416309e-10, 1.304760858186963877e-09, 2.912036833070022061e-09, 2.444976775855672202e-09, 2.901595017858649976e-09, 8.558778212697416309e-10, 1.532003564942991273e-09, 6.531194475964031280e-10, 8.516528503071978492e-10, 6.531194475964031280e-10, 1.532003564942991273e-09, 9.478314882392317527e-10
2.037000000000000000e+03, 1.092741242069756475e-09, 1.028580581965011259e-09, 2.369434322765382214e-09, 1.739260963991883045e-09, 2.358757338643939098e-09, 1.092741242069756475e-09, 1.908787113922346257e-09, 8.119574164890351376e-10, 7.840103874713875993e-10, 8.119574164890351376e-10, 1.908787113922346257e-09, 8.295573856138074206e-10
2.038000000000000000e+03, 1.054744115717005168e-09, 1.461057177854970300e-09, 3.726852423010969518e-09, 1.888037168170790613e-09, 3.716226098218258022e-09, 1.054744115717005168e-09, 1.850031306510037433e-09, 8.733872109321042339e-10, 8.572291941484393534e-10, 8.733872109321042339e-10, 1.850031306510037433e-09, 7.791057074442378602e-10
2.039000000000000000e+03, 1.377146416954513223e-09, 1.428190390205440528e-09, 2.139661808595846052e-09, 2.415110105068099608e-09, 2.128730325839014723e-09, 1.377146416954513223e-09, 1.431564740925960648e-09, 8.584576447652213318e-10, 8.790038380559922895e-10, 8.584576447652213318e-10, 1.431564740925960648e-09, 1.117810420423106295e-09
2.040000000000000000e+03, 1.349780291794969641e-09, 1.244058400389515059e-09, 2.456266207983066187e-09, 1.601268852904780212e-09, 2.445441453943845613e-09, 1.349780291794969641e-09, 1.366236940150121334e-09, 7.242276172780504593e-10, 9.704356875348711237e-10, 7.242276172780504593e-10, 1.366236940150121334e-09, 6.881771770035406570e-10
2.041000000000000000e+03, 9.130478930736485511e-10, 7.355488577876440304e-10, 3.125321500660382724e-09, 2.124895579118161496e-09, 3.114485775550508925e-09, 9.130478930736485511e-10, 1.165388842391909216e-09, 8.558940632467456535e-10, 9.424602760900662163e-10, 8.558940632467456535e-10, 1.165388842391909216e-09, 6.001052520799685470e-10
