year, MPI-ESM1-2-LR, CNRM-ESM2-1, EC-Earth3-Veg, CMCC-ESM2, UKESM1-0-LL, NorESM2-MM, IPSL-CM6A-LR, NorESM2-LM, TaiESM1, CESM2-WACCM
2.015000000000000000e+03, 7.857628707157739099e-10, 4.360851816174592241e-10, 5.767756073646091179e-10, 1.848236234554304124e-10, 1.662164837067542447e-10, 8.721078676152837100e-10, 3.012488466172617536e-10, 8.439082973326868492e-10, 4.319849736612259372e-10, 3.378559826286299468e-10
2.016000000000000000e+03, 6.765212454364999216e-10, 2.125569261363198400e-10, 2.926864048126189942e-10, 1.787741202665498732e-10, 8.827561433366109012e-11, 6.753902862233874176e-10, 1.354035436542357085e-10, 7.182440527211858238e-10, 2.860142446575400573e-10, 2.459643859154725150e-10
2.017000000000000000e+03, 6.402114979169990209e-10, 2.039270722999162547e-10, 2.812194965293874809e-10, 1.781447830544883449e-10, 5.784535354325483377e-11, 7.559914064753996091e-10, 1.349116760457247742e-10, 7.559479779882695128e-10, 2.580949449856197645e-10, 2.371519235463768426e-10
2.018000000000000000e+03, 6.178601124072113345e-10, 1.980496592086212003e-10, 2.685465560691497870e-10, 1.753876800680170776e-10, 4.473084799495857513e-11, 7.065520799597582490e-10, 1.330349246023314193e-10, 7.228017341727952968e-10, 2.359629721373015532e-10, 2.304332665582125073e-10
2.019000000000000000e+03, 5.979495159484128219e-10, 1.942969523011477314e-10, 2.673948111487905718e-10, 1.713126545467420038e-10, 3.804853450187668319e-11, 7.564492602987476731e-10, 1.315350081510284774e-10, 6.658935734837454344e-10, 2.210492631044944403e-10, 2.238181425119839661e-10
2.020000000000000000e+03, 5.835900083326112914e-10, 1.381321440918255676e-10, 2.573832446696516445e-10, 1.815669614817969537e-10, 3.393330096754090789e-11, 7.424476075680410832e-10, 1.315565212591841306e-10, 6.774696799347825574e-10, 2.179398207153022361e-10, 2.162720902366836940e-10
2.021000000000000000e+03, 5.724162329152167427e-10, 1.335475525845844645e-10, 2.616638966199760869e-10, 1.822579369506435714e-10, 3.071143710237698971e-11, 7.663098265567724828e-10, 1.141690741816494056e-10, 6.899817472309765750e-10, 2.148095688637172985e-10, 2.267316450008018626e-10
2.022000000000000000e+03, 5.622572306278118313e-10, 1.221433221277013282e-10, 2.553700604589148683e-10, 1.813993712829453685e-10, 2.803981971903781080e-11, 7.429749648097572069e-10, 1.110708771784457280e-10, 6.778000418862850382e-10, 2.133778180456244760e-10, 2.197881891732603005e-10
2.023000000000000000e+03, 5.499446618413351062e-10, 9.470639253122946423e-11, 2.542831193474231182e-10, 1.814262717977025192e-10, 2.570968057417938987e-11, 6.878156609369782001e-10, 1.077504642904169730e-10, 7.293144799623049022e-10, 2.067621214806375294e-10, 2.169484403877501554e-10
2.024000000000000000e+03, 5.427130822286624364e-10, 7.100510856569955615e-11, 2.462587183667115845e-10, 1.814087439870695084e-10, 2.363774867330918989e-11, 6.838467652167378990e-10, 9.735448527537176316e-11, 7.059121136007215346e-10, 2.016818712584961089e-10, 2.120149612181025192e-10
