year, TaiESM1, CanESM5, NorESM2-LM, INM-CM5-0, MPI-ESM1-2-LR, CESM2-WACCM, INM-CM4-8, EC-Earth3-Veg, CMCC-CM2-SR5, GFDL-ESM4, UKESM1-0-LL, NorESM2-MM, IPSL-CM6A-LR, MIROC-ES2L, ACCESS-ESM1-5, CNRM-ESM2-1
2.015000000000000000e+03, 2.153520058397622727e-01, 6.107518659481279144e-01, 1.813772434223420715e-01, 7.648267359490231732e-01, 1.438140325345556858e-01, 2.621871924385109631e-01, 1.379986537773904010e+00, 1.791468401257523962e-02, 5.180103030767903016e-01, 3.384791431120385830e-01, -3.578192156781276334e-01, -6.142605904504336856e-01, 2.614937340807436672e-01, -5.528711490876128121e-01, -2.948375711255387666e-01, 2.051519343635545972e-02
2.016000000000000000e+03, 2.115347389647808871e-02, -4.868621223780762730e-02, 7.750325315943191740e-01, 1.842590241161772058e+00, -6.853952664414791895e-02, 1.215380688381905022e-01, 8.638056869834559448e-01, 1.685089060625181712e-01, 3.341217813847752738e-01, -3.333486751944709225e-01, -9.803926693378526291e-01, 4.368192689703886411e-01, 6.894400548496794068e-01, 7.284500271505476299e-01, 1.143337828428461628e-01, 5.811873383413102001e-01
2.017000000000000000e+03, 5.460111921545994784e-01, -1.062985677427727982e+00, 7.227310807686970762e-01, 7.229510687947741099e-01, 8.758849437872355814e-01, 8.042441104545449138e-01, 1.932223048188148162e+00, 1.409880594586372382e+00, 4.846412397690051388e-01, -8.949296264742240270e-02, 3.544742117125594949e-01, 7.477133083248695966e-01, -3.421252327525756143e-01, 8.377861116903314587e-01, 3.415748067799653231e-01, 2.507149260552284376e-01
2.018000000000000000e+03, -2.296246644819252836e-01, -4.463024326432263877e-01, 5.779296243636403707e-01, 9.064638659787183084e-01, 8.640052989224418223e-01, 5.891152971014294026e-01, 1.569254028851875260e+00, -1.507164455116030366e+00, 4.747449032542611080e-01, 1.068556334975796718e+00, 3.294421925058630407e-01, 7.262649535979790461e-01, 2.708418313538796807e-01, 5.308145523832499268e-01, 9.936051735279868291e-01, -4.906997459904217651e-01
2.019000000000000000e+03, -1.218210716819526418e+00, 6.881401178157574572e-01, 6.664941927230697560e-01, 2.091560364110265358e+00, -3.150506276241197279e-01, 5.852289539595063594e-01, 1.370524142071191775e+00, -7.680820279758383551e-01, 8.099538851149420404e-01, 4.566817550431225281e-01, -1.019865321241168354e+00, 7.465362785014367786e-01, 8.367749327367470791e-01, -7.312832545409014839e-01, 9.394494769993501082e-01, 1.204805108028227378e+00
2.020000000000000000e+03, -4.055235826496599028e-02, 1.411015216123006288e+00, 6.453905550220849774e-01, 1.745393245252355063e+00, -2.353090894102136121e-01, 9.078204483899535715e-01, 2.070333265888338214e+00, 4.699097077719602833e-01, 6.877518300849275734e-01, -8.708472401361223858e-02, -8.873506499431148276e-02, 4.989408950892239569e-01, 3.507950367250879942e-01, 1.532688341386767572e-01, -4.661453775859549647e-02, -6.264049193847982533e-01
2.021000000000000000e+03, 1.084981312051016999e+00, 8.790113141095997618e-01, 6.455520120956831365e-01, 1.151546587212146866e+00, 1.554124109549507304e-01, 2.608963126361064644e-01, 5.595095842266072372e-01, -5.909173777172499475e-01, 5.715856917718157293e-01, 3.411273204802064418e-01, 3.226250195964107115e-01, 8.275487425198497782e-01, 7.267361372819303167e-01, 6.251947062058601512e-01, -8.033537280856836715e-02, 7.675783250327918028e-02
2.022000000000000000e+03, -6.938524693755475370e-02, 6.439871529652770876e-01, 8.780964637882963109e-01, -1.569140132108694588e-02, 6.893261900536159503e-01, 2.263236257180422373e-01, 4.819465474891887480e-02, 5.264543317716939841e-01, 5.757813103026654389e-01, 1.090521373012915074e+00, -9.940515300244334718e-01, 4.448765750224330517e-01, 4.684511922243577708e-01, 7.461742761755523201e-01, 4.260328070010303003e-01, -3.778766180260333396e-01
2.023000000000000000e+03, -1.183419930338998283e+00, -1.324111632678571793e+00, 9.085628217325331102e-01, 2.160939549206472243e+00, 1.250774450294325213e+00, 7.036085399926879091e-01, 1.993068253848414573e+00, 4.006757566172653440e-01, 5.837158611775713490e-01, 5.741451832618355011e-01, -1.969331539582163670e-01, 6.346972586887174028e-01, 3.201444591382195948e-01, 3.970000996469105203e-01, -1.074283252873417110e-01, 1.106279153276041427e+00
2.024000000000000000e+03, -4.208157474224497041e-01, -1.402244819462101111e+00, 8.414727276014047908e-01, -4.392437767938667248e-02, 1.623589435961584782e+00, 4.123394978602321626e-01, 7.342861759387495635e-01, 1.572527248920464027e+00, 8.697042341312191116e-01, 3.852848870339619092e-01, -4.318335113668411163e-01, 7.670647524921183624e-01, 4.380424534602698761e-01, -2.732520312971302712e-01, -1.185639830801104910e+00, 2.925451375076982274e-01
2.025000000000000000e+03, 8.876927047856976172e-01, 6.803802786159105498e-01, 7.651381138849470132e-01, 1.267782777201495792e+00, 3.390656377788680009e-01, 4.489372297639943055e-01, -4.168987215637183774e-01, 7.151703337949431027e-01, 2.820084681207787880e-01, -4.132540184560585250e-01, 1.029647193553814954e+00, 5.209110205662418336e-01, 5.189390883283696576e-01, -1.470764542877684156e-01, -1.170026494284661434e+00, 7.672682266570759468e-01
2.026000000000000000e+03, -9.227503458786214807e-01, 7.663816233357438890e-01, 8.055534326711416560e-01, 9.599872660792639900e-01, -2.360001802696951034e-01, 8.791272000756535920e-01, 6.627411389338218051e-01, -1.723896508473268252e+00, 7.545275961305347723e-01, -2.037958740010619718e-01, 5.563880013135156233e-01, 6.463969733641881099e-01, 3.974709395565470538e-01, 6.458605757478492748e-01, -5.460662953607479109e-01, 1.144256790340951069e+00
