year, CESM2-WACCM, MPI-ESM1-2-LR, EC-Earth3-Veg, TaiESM1, IPSL-CM6A-LR, NorESM2-MM, CMCC-CM2-SR5, CNRM-ESM2-1, INM-CM4-8, GFDL-ESM4, UKESM1-0-LL, ACCESS-ESM1-5, MIROC-ES2L, NorESM2-LM, INM-CM5-0, CanESM5
2.015000000000000000e+03, 1.108327645251089599e+01, 2.123977020657181924e+01, 1.501302947670348686e+01, 1.258833752830224917e+01, 1.240879636145528586e+01, 1.048110063727432184e+01, 9.895140952158206105e+00, 1.006969800683832261e+01, 1.969353001697475136e+01, 1.406803737993719849e+01, 1.743930586263700633e+01, 1.169777534421330856e+01, 1.272242976104923606e+01, 1.168278657750423832e+01, 1.954487132243944814e+01, 1.509248700124767595e+01
2.016000000000000000e+03, 1.075845943932016446e+01, 2.029806532787518591e+01, 1.494128482513072775e+01, 1.198168172833793754e+01, 1.325052224953912017e+01, 1.133618645346203024e+01, 9.386082984499525494e+00, 1.070059023925174735e+01, 1.945831867247800773e+01, 1.345047713291591229e+01, 1.724671587615508273e+01, 1.204326852747329646e+01, 1.317720039444294322e+01, 1.214945035111934679e+01, 2.028181175107588530e+01, 1.428535556716986044e+01
2.017000000000000000e+03, 1.157762030230071382e+01, 2.207180759370196910e+01, 1.544625705422141770e+01, 1.278666878797521456e+01, 1.238147566419734957e+01, 1.187333951762039952e+01, 9.710012955159308845e+00, 1.037401443522565536e+01, 2.036336150423984392e+01, 1.344322199128420792e+01, 1.967270342438395048e+01, 1.230420243240018152e+01, 1.328308153078408971e+01, 1.223968648692894767e+01, 1.944426489174734840e+01, 1.329661094899046958e+01
2.018000000000000000e+03, 1.156491206578239606e+01, 2.176374723790563692e+01, 1.401595004425985636e+01, 1.174599050645161036e+01, 1.291956187189739325e+01, 1.169788560733199390e+01, 9.934819793467042359e+00, 9.651995906830901362e+00, 2.017662704488241232e+01, 1.443031733148814055e+01, 1.939136636368251132e+01, 1.299061855556003309e+01, 1.339006686670872526e+01, 1.218816595346270937e+01, 1.970973878549344604e+01, 1.455817012259478993e+01
2.019000000000000000e+03, 1.130742412096798866e+01, 2.034753925711973110e+01, 1.450419859394136424e+01, 1.152734524480748313e+01, 1.352563684296919710e+01, 1.168202166947252429e+01, 1.016513651823598252e+01, 1.137357115198935986e+01, 2.022274930414625516e+01, 1.445658878894311883e+01, 1.782267903962300437e+01, 1.302602748034330205e+01, 1.273153461697318001e+01, 1.220737874653124955e+01, 2.063265294624164525e+01, 1.538117592183779792e+01
2.020000000000000000e+03, 1.198655130506568334e+01, 2.059456946203678029e+01, 1.511311719655320651e+01, 1.246488729784478444e+01, 1.301158685881363830e+01, 1.159479746108079112e+01, 9.872727231233531242e+00, 9.333547477662976988e+00, 2.062967308425762880e+01, 1.402636313334092577e+01, 2.000946403692577391e+01, 1.223946525905037852e+01, 1.305060487105081535e+01, 1.198651110995498392e+01, 2.063405204164488183e+01, 1.575500166157268289e+01
2.021000000000000000e+03, 1.125537581952785438e+01, 2.146455546763230871e+01, 1.465548566480711301e+01, 1.298812032080773626e+01, 1.363192779527703991e+01, 1.198465133464560495e+01, 9.665856064573853601e+00, 1.001139065563065955e+01, 1.970900985945745987e+01, 1.420641194475794933e+01, 1.949206578613355845e+01, 1.221079343803995698e+01, 1.325750102690673415e+01, 1.200555403569960866e+01, 2.022192869649089886e+01, 1.528751969764375040e+01
2.022000000000000000e+03, 1.116788501669972078e+01, 2.118913175748492961e+01, 1.496644914992717901e+01, 1.182620619045192178e+01, 1.324093508127756103e+01, 1.154716769147818312e+01, 9.924934177252445977e+00, 9.699512308275677341e+00, 1.932176289874628949e+01, 1.496327339466796857e+01, 1.898655026439335813e+01, 1.258389144427153994e+01, 1.357161849910127494e+01, 1.231406012561385666e+01, 1.941853233392504663e+01, 1.531454687258223935e+01
2.023000000000000000e+03, 1.199274381496655728e+01, 2.271902254625573647e+01, 1.535843562624474501e+01, 1.153299305011461051e+01, 1.329258801319736172e+01, 1.177159371068345095e+01, 1.004270909568473513e+01, 1.119184723638182177e+01, 2.070019345087492368e+01, 1.513699459462813124e+01, 1.790845022160652178e+01, 1.209964762971641505e+01, 1.347735362020015337e+01, 1.254618477284299694e+01, 2.097045892207469819e+01, 1.351485267214270181e+01
2.024000000000000000e+03, 1.125831379503079965e+01, 2.258257536184234837e+01, 1.571985856899235579e+01, 1.215834744285397839e+01, 1.337020287507601424e+01, 1.200619632887678634e+01, 1.023618046764863898e+01, 1.010721143871250582e+01, 2.000822845101606617e+01, 1.478775795684110506e+01, 1.867268151936657361e+01, 1.112346015714998337e+01, 1.313063271838072943e+01, 1.242271366214125727e+01, 1.946085891733802242e+01, 1.301141182306941779e+01
2.025000000000000000e+03, 1.156766076296583101e+01, 2.142929559519675564e+01, 1.532894817844863411e+01, 1.274103201293839405e+01, 1.343070713622284096e+01, 1.198953686334315805e+01, 9.687292795422266067e+00, 1.113535088391643946e+01, 1.914716730995469973e+01, 1.420112830654703551e+01, 2.082704837940349663e+01, 1.095063240307230501e+01, 1.288695268594739574e+01, 1.210839205353166115e+01, 2.045508389902094493e+01, 1.558500932023898322e+01
2.026000000000000000e+03, 1.222947839497581590e+01, 2.098793461342160782e+01, 1.412521224845638379e+01, 1.147503443244649546e+01, 1.313826897862927545e+01, 1.174046488584784775e+01, 1.014187321320493318e+01, 1.180565403063953589e+01, 1.995341088808565644e+01, 1.432304319809623117e+01, 2.005772535581463600e+01, 1.133065622906375935e+01, 1.338763673106717356e+01, 1.258189712256139892e+01, 2.013080783221944614e+01, 1.559094502396690451e+01
2.027000000000000000e+03, 1.209500651218928624e+01, 2.189881253798455063e+01, 1.472017262482735234e+01, 1.177844402139712621e+01, 1.366874172138708055e+01, 1.249619541198148376e+01, 9.639445954282564344e+00, 9.059033431125415703e+00, 2.045405533946330578e+01, 1.444181826823905368e+01, 1.779237723900351043e+01, 1.223968241175138694e+01, 1.352502847498744920e+01, 1.209439955038785364e+01, 1.946953257148931726e+01, 1.499287668209785096e+01
2.028000000000000000e+03, 1.220782771676793921e+01, 2.242277654418425215e+01, 1.590485333025035608e+01, 1.274474628851452351e+01, 1.304769145043458423e+01, 1.165513689498170535e+01, 9.480692571189754503e+00, 1.028119985102404499e+01, 2.016778574022159276e+01, 1.460927916497766610e+01, 1.828434690778230021e+01, 1.216088281301813012e+01, 1.374481469757481555e+01, 1.250108475037202105e+01, 2.033185925164554320e+01, 1.556004072829948015e+01
2.029000000000000000e+03, 1.197643004773173558e+01, 2.215755537995914182e+01, 1.598330536430641757e+01, 1.228594816746367968e+01, 1.285284835220018707e+01, 1.232849193106475738e+01, 1.035432316716163825e+01, 1.113599691437979899e+01, 1.992585559360830061e+01, 1.351813958319550402e+01, 2.129217356019585239e+01, 1.209261317139719161e+01, 1.290691038982700611e+01, 1.290554145493092264e+01, 2.028677997547852740e+01, 1.590042580968766472e+01
