year, INM-CM5-0, CanESM5, MPI-ESM1-2-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, UKESM1-0-LL, EC-Earth3-Veg, IPSL-CM6A-LR, CESM2-WACCM, NorESM2-LM, GFDL-ESM4, TaiESM1, MIROC-ES2L, INM-CM4-8, NorESM2-MM, CNRM-ESM2-1
2.015000000000000000e+03, 2.943708213696151006e+02, 2.962833813866691344e+02, 2.944227594341845702e+02, 2.967952608406434365e+02, 2.971021692820825706e+02, 2.960148693978976553e+02, 2.952737657589094624e+02, 2.943717486730442374e+02, 2.964121080153687444e+02, 2.961246045993537450e+02, 2.944524330308676099e+02, 2.953324579185729704e+02, 2.973412991467923234e+02, 2.942876328670079147e+02, 2.964759488629769066e+02, 2.946040513371849556e+02
2.016000000000000000e+03, 2.942813097257350705e+02, 2.964588155803047016e+02, 2.948319247093286890e+02, 2.969592199213930144e+02, 2.965797119566404376e+02, 2.959696357856843179e+02, 2.949873020987738528e+02, 2.947546631892745950e+02, 2.965014919018396995e+02, 2.961003807876380165e+02, 2.949495393472209912e+02, 2.951643656572459236e+02, 2.961658302014039350e+02, 2.945292888480032047e+02, 2.959946482819430571e+02, 2.945325176823326387e+02
2.017000000000000000e+03, 2.942817195959686387e+02, 2.973478403926194460e+02, 2.943243211798352377e+02, 2.970117581546431893e+02, 2.968861815613325348e+02, 2.956353921585757689e+02, 2.947907995754714534e+02, 2.950624276713564882e+02, 2.962599778916300579e+02, 2.963569166737300407e+02, 2.953096532936373819e+02, 2.950559874791242692e+02, 2.962023683348929808e+02, 2.944276079626505975e+02, 2.957484046413956094e+02, 2.948944985003898296e+02
2.018000000000000000e+03, 2.942802925776418306e+02, 2.968552476484209706e+02, 2.941783971297190305e+02, 2.968104866913565161e+02, 2.966941208197781066e+02, 2.958276669302658775e+02, 2.952848788355456691e+02, 2.949683926698689902e+02, 2.970705801842620417e+02, 2.964748619708878437e+02, 2.945204817933500863e+02, 2.954648027703858020e+02, 2.965910902453001654e+02, 2.943944943346535865e+02, 2.958501326125488049e+02, 2.952422204486049964e+02
2.019000000000000000e+03, 2.942436808010364189e+02, 2.967821940936358374e+02, 2.948789503213570811e+02, 2.963459927858593801e+02, 2.967933293056423167e+02, 2.962806650115201137e+02, 2.956201892328965641e+02, 2.946747156978837552e+02, 2.966557740625976862e+02, 2.962488358030223026e+02, 2.946681485632624344e+02, 2.959820971088713577e+02, 2.977093679210164510e+02, 2.946409928790002937e+02, 2.958094002522788628e+02, 2.945151311719857290e+02
2.020000000000000000e+03, 2.944947456076118897e+02, 2.962783465338300175e+02, 2.948957961802003638e+02, 2.964016067817637463e+02, 2.971925283091474626e+02, 2.960877233617675870e+02, 2.952764834021395473e+02, 2.946589871578787552e+02, 2.961826480261823349e+02, 2.960958577854833038e+02, 2.951254013186303382e+02, 2.954086145652990467e+02, 2.967034625681106377e+02, 2.944469886272437407e+02, 2.959707796778725992e+02, 2.951711319117165999e+02
2.021000000000000000e+03, 2.946160986502592891e+02, 2.964948250549944646e+02, 2.948168130038203572e+02, 2.971157644020598241e+02, 2.974229192972748024e+02, 2.960330325327002470e+02, 2.955571862213328700e+02, 2.950829007280487417e+02, 2.969845421765259061e+02, 2.961715060728535036e+02, 2.952360784549954360e+02, 2.951638780158847339e+02, 2.963527079805408562e+02, 2.945891147109678059e+02, 2.958281499167652555e+02, 2.952166184544078646e+02
2.022000000000000000e+03, 2.945629789323985506e+02, 2.963844567527135609e+02, 2.948782703349244230e+02, 2.971031781233228344e+02, 2.969792817142785566e+02, 2.966975982807086325e+02, 2.954984351986729507e+02, 2.945747589327398828e+02, 2.973673275396274676e+02, 2.966673929052215613e+02, 2.947557684305491534e+02, 2.952627928943217057e+02, 2.965825090535646495e+02, 2.946597644302887602e+02, 2.958973116652505837e+02, 2.954429974191223778e+02
2.023000000000000000e+03, 2.944232021135997570e+02, 2.973585657373125741e+02, 2.941989492248404758e+02, 2.960221310562272379e+02, 2.972230241397786585e+02, 2.964402666658680232e+02, 2.955029128629523143e+02, 2.949616621721022511e+02, 2.963916551454661885e+02, 2.966885373700482091e+02, 2.943920679086659220e+02, 2.957629470151173336e+02, 2.969443309053081066e+02, 2.944195280864996107e+02, 2.958422549000886761e+02, 2.947651469654796301e+02
2.024000000000000000e+03, 2.946872689677460926e+02, 2.980604645417029701e+02, 2.943041646842746673e+02, 2.957941421460551510e+02, 2.977624995387061517e+02, 2.964794235417582513e+02, 2.950193328234068417e+02, 2.953503182381944043e+02, 2.969004408833411048e+02, 2.963236628606408658e+02, 2.945977339590845077e+02, 2.958469309025923621e+02, 2.978891439384677255e+02, 2.946635823475028246e+02, 2.961154145733964924e+02, 2.948370795662250430e+02
2.025000000000000000e+03, 2.945131439630467867e+02, 2.966409016096489495e+02, 2.947158046990863340e+02, 2.962770795948071054e+02, 2.976670681599186992e+02, 2.959197020690126578e+02, 2.955740376658468449e+02, 2.952507894196982647e+02, 2.971369952737813378e+02, 2.964138488532725546e+02, 2.949055687318419814e+02, 2.955524954857577882e+02, 2.970490430192542703e+02, 2.949085967458638038e+02, 2.967307378920399401e+02, 2.950384408959451434e+02
2.026000000000000000e+03, 2.944593682458556145e+02, 2.969275317464143882e+02, 2.951240183493769109e+02, 2.968694686843915633e+02, 2.973119754074919001e+02, 2.961581001126094179e+02, 2.962490027589002466e+02, 2.948671517684605305e+02, 2.965060900224290776e+02, 2.969061386767186264e+02, 2.952096875940258087e+02, 2.960519162058723168e+02, 2.964316517916406042e+02, 2.946129484776737968e+02, 2.964865935450330312e+02, 2.947085861878825312e+02
2.027000000000000000e+03, 2.948293404023365269e+02, 2.971323018268401484e+02, 2.945215455249112892e+02, 2.973389472767594839e+02, 2.971676143694958228e+02, 2.972475079735593226e+02, 2.960750055134708987e+02, 2.948815599573682107e+02, 2.962970139233820532e+02, 2.966107852326632042e+02, 2.949023312106889989e+02, 2.962359679258585743e+02, 2.965759654336463882e+02, 2.945646249800142868e+02, 2.960216787491121408e+02, 2.954512070974059270e+02
2.028000000000000000e+03, 2.948258206146221028e+02, 2.967561145647107423e+02, 2.944744543922737989e+02, 2.975743783472081532e+02, 2.974151185939343236e+02, 2.970311966335380021e+02, 2.950821848865531933e+02, 2.951987828773227989e+02, 2.965866705731795605e+02, 2.964621317747944431e+02, 2.948688927830136208e+02, 2.958428501110292359e+02, 2.974501598157979174e+02, 2.946330319237617346e+02, 2.964616992218730616e+02, 2.951018845410686708e+02
2.029000000000000000e+03, 2.945236795120462716e+02, 2.968738518220005744e+02, 2.948577713919315784e+02, 2.971544222531363175e+02, 2.974927188078625591e+02, 2.960735239809214931e+02, 2.951860809676404642e+02, 2.950716656503137187e+02, 2.967690416794396810e+02, 2.967531215606796309e+02, 2.955338735652927085e+02, 2.959534268856005497e+02, 2.974367387994316800e+02, 2.947112683206802899e+02, 2.959913802336037065e+02, 2.946029018961440329e+02
2.030000000000000000e+03, 2.944935013056089588e+02, 2.973944934791842343e+02, 2.953444015695471307e+02, 2.967096349985812935e+02, 2.974389546222176364e+02, 2.960453826777203972e+02, 2.959021146965742446e+02, 2.954121426303086650e+02, 2.970067946508418117e+02, 2.963961338980066103e+02, 2.953542629348513628e+02, 2.963787661033836685e+02, 2.964616987872120148e+02, 2.947756709240030091e+02, 2.959905581689602627e+02, 2.948437344060765213e+02
2.031000000000000000e+03, 2.947613862020730835e+02, 2.977683040493277531e+02, 2.959431019926085469e+02, 2.966093488446238666e+02, 2.978015532712760773e+02, 2.963975302849091236e+02, 2.956752500843780354e+02, 2.953591288473099894e+02, 2.966171443847051705e+02, 2.967049102671355172e+02, 2.953680426006553716e+02, 2.960583684091907912e+02, 2.962113019397187941e+02, 2.950469901798093701e+02, 2.965953833551917569e+02, 2.953601072061802029e+02
2.032000000000000000e+03, 2.944699587461715851e+02, 2.977601721782606319e+02, 2.949378947294000568e+02, 2.967042526837140031e+02, 2.978781460541288197e+02, 2.962531661571467225e+02, 2.957307858068078303e+02, 2.952652746551277687e+02, 2.967293257689275379e+02, 2.973854484612314764e+02, 2.947852599807992533e+02, 2.960002983539863521e+02, 2.961666827133736319e+02, 2.948817434439113185e+02, 2.964322743953334225e+02, 2.953602479953611351e+02
2.033000000000000000e+03, 2.947141988241700119e+02, 2.973622801782951797e+02, 2.940052788526815561e+02, 2.972872659885082953e+02, 2.980036952828259587e+02, 2.963046904851498766e+02, 2.961518901842314335e+02, 2.955136274880910605e+02, 2.970393043118772880e+02, 2.963168928015967367e+02, 2.955446231977297202e+02, 2.962316548444877640e+02, 2.971536160279218848e+02, 2.947630848739404428e+02, 2.957802357323000706e+02, 2.957759875608393827e+02
2.034000000000000000e+03, 2.948798857779389095e+02, 2.974855750778319816e+02, 2.940774860656533747e+02, 2.972706373724651598e+02, 2.974115171299818030e+02, 2.967944699901324839e+02, 2.959296000331415257e+02, 2.952138947211932987e+02, 2.974072694739217582e+02, 2.963999998424513933e+02, 2.955078561563393009e+02, 2.963753168455332343e+02, 2.980080771902196375e+02, 2.948154269590753529e+02, 2.957945693406193755e+02, 2.956599240667771369e+02
2.035000000000000000e+03, 2.949338475753096986e+02, 2.976679251084270277e+02, 2.953397267797080303e+02, 2.972498646636332182e+02, 2.977447114762532578e+02, 2.967368163065900148e+02, 2.957587414682702729e+02, 2.954383672280640667e+02, 2.970976553609868915e+02, 2.967070231859854630e+02, 2.949372708898064275e+02, 2.960336048357856953e+02, 2.968399263321018111e+02, 2.947780800051352799e+02, 2.957471447908358755e+02, 2.950685644803804735e+02
2.036000000000000000e+03, 2.949001090571890700e+02, 2.967078146225325099e+02, 2.952844737080193909e+02, 2.970205088630404475e+02, 2.976664588624297494e+02, 2.970783977783133878e+02, 2.961597141532818114e+02, 2.950697655048049910e+02, 2.976597085388191886e+02, 2.971674297776497156e+02, 2.954788781122627483e+02, 2.964131076748544729e+02, 2.962776264491695883e+02, 2.946090932221220555e+02, 2.956444954963423584e+02, 2.956083801643654283e+02
2.037000000000000000e+03, 2.946103066213577222e+02, 2.968173086992393905e+02, 2.944886512415329207e+02, 2.973148340689554061e+02, 2.976101510076013028e+02, 2.972259148525129717e+02, 2.956700395529577463e+02, 2.956990469858258734e+02, 2.967214885564595761e+02, 2.975889842942334553e+02, 2.955585593236812656e+02, 2.967715692232621905e+02, 2.967898489714794437e+02, 2.947852368219888035e+02, 2.964137702221137829e+02, 2.953140923765662933e+02
2.038000000000000000e+03, 2.949577864413952852e+02, 2.975916892105449847e+02, 2.946096766051336999e+02, 2.969646135770835826e+02, 2.981859867395561423e+02, 2.965337734276699848e+02, 2.954247539096489845e+02, 2.956209173368400798e+02, 2.972599364922028258e+02, 2.973065877881200549e+02, 2.951800854657213904e+02, 2.965654915065119326e+02, 2.980070934266688596e+02, 2.947566133908877646e+02, 2.964750488565730961e+02, 2.949413853303884139e+02
2.039000000000000000e+03, 2.949904521832920068e+02, 2.976380528387081199e+02, 2.949950873398498743e+02, 2.973625971096103626e+02, 2.982294974711205668e+02, 2.967610287426308560e+02, 2.959984719221876048e+02, 2.952724782135895225e+02, 2.971595500851903466e+02, 2.965361932489975629e+02, 2.947766082770738763e+02, 2.962380794119505367e+02, 2.978410151950511136e+02, 2.949387578516366943e+02, 2.959272459619010078e+02, 2.950803620413745421e+02
2.040000000000000000e+03, 2.948439911468593664e+02, 2.976279789775303470e+02, 2.945755132494581403e+02, 2.974349745130111842e+02, 2.976692253353152751e+02, 2.966414778098856004e+02, 2.955306582472693435e+02, 2.951175812866186448e+02, 2.974284009729335594e+02, 2.963946980866552394e+02, 2.946756686455249223e+02, 2.960701990022637347e+02, 2.967841193640068127e+02, 2.948404898210686724e+02, 2.963332488238311271e+02, 2.953162926827311026e+02
2.041000000000000000e+03, 2.947050060969784226e+02, 2.973328485687093803e+02, 2.951738541972380290e+02, 2.970150749722990895e+02, 2.978951480864218979e+02, 2.965173949331151562e+02, 2.958025882807036169e+02, 2.955248162225735200e+02, 2.976110872960124425e+02, 2.967014156654044541e+02, 2.956338840365161218e+02, 2.962377421652035991e+02, 2.965897227554715414e+02, 2.947822935815182746e+02, 2.966534883303179981e+02, 2.950244167335201269e+02
2.042000000000000000e+03, 2.947254161625336906e+02, 2.975732293778169151e+02, 2.955315865585163237e+02, 2.972365591490150791e+02, 2.979024351612548571e+02, 2.969578288401747841e+02, 2.962789459492419155e+02, 2.955042558792282534e+02, 2.970051168827737911e+02, 2.974793648117758380e+02, 2.955997912939065486e+02, 2.968560395175107942e+02, 2.972489955223961147e+02, 2.947482243732104052e+02, 2.960948150952060587e+02, 2.954133551457600220e+02
2.043000000000000000e+03, 2.945470513835964539e+02, 2.971744323338568279e+02, 2.951083842358216884e+02, 2.972083420911234271e+02, 2.986535094778135999e+02, 2.972626423105272124e+02, 2.953270583193215089e+02, 2.951376593667716861e+02, 2.972792614736827659e+02, 2.974719356853266277e+02, 2.952761396484577290e+02, 2.964287603942537430e+02, 2.977568041700726553e+02, 2.947617413196002758e+02, 2.968076802501975635e+02, 2.958507637938656671e+02
2.044000000000000000e+03, 2.947951038030155928e+02, 2.971928810486490420e+02, 2.951246035779586236e+02, 2.972573348202745933e+02, 2.975057734848802511e+02, 2.973582876866929610e+02, 2.955880275402563484e+02, 2.953750458696197825e+02, 2.974827058152142172e+02, 2.963980575775374291e+02, 2.950951272750920111e+02, 2.966339648341302109e+02, 2.971802740057095207e+02, 2.947168033806953531e+02, 2.967451551236371188e+02, 2.954316445057437477e+02
2.045000000000000000e+03, 2.948921611813017876e+02, 2.981436892931386637e+02, 2.950297058968604915e+02, 2.973775467176787402e+02, 2.977754488404168001e+02, 2.980036660176663759e+02, 2.958533583593209642e+02, 2.956313845175557162e+02, 2.970613733793053370e+02, 2.962109507254683081e+02, 2.953723397152721759e+02, 2.968284063447070480e+02, 2.967295653325187459e+02, 2.950305166281448237e+02, 2.959907486734257418e+02, 2.954506804428833675e+02
2.046000000000000000e+03, 2.948871077920010748e+02, 2.990879417897403982e+02, 2.948214361244905035e+02, 2.977779465151426166e+02, 2.979992919217741019e+02, 2.976166631721735598e+02, 2.959604091583986474e+02, 2.954653588610890438e+02, 2.971335006642370899e+02, 2.963016422831979639e+02, 2.958952579908522580e+02, 2.966221179027294852e+02, 2.976453365683930770e+02, 2.950343913564622085e+02, 2.966005970088916115e+02, 2.957286897487900887e+02
2.047000000000000000e+03, 2.947848596897341622e+02, 2.978538923862138290e+02, 2.952483747350107137e+02, 2.974976124657261494e+02, 2.974792035408703441e+02, 2.974840109182395054e+02, 2.958701356351397749e+02, 2.957837824762102059e+02, 2.973229388467992180e+02, 2.965562869410852045e+02, 2.952087795720763665e+02, 2.965065788434238243e+02, 2.980144397831821266e+02, 2.948881142395117081e+02, 2.967925088457974425e+02, 2.951803088476669359e+02
2.048000000000000000e+03, 2.949745739637072006e+02, 2.973645924868096131e+02, 2.953040563868590311e+02, 2.975300845895683892e+02, 2.978507653759502318e+02, 2.966509958164730278e+02, 2.956863344284313371e+02, 2.954984528070284568e+02, 2.976400345815750939e+02, 2.972940197115534033e+02, 2.954468040936080797e+02, 2.970450072950332014e+02, 2.976674680718591617e+02, 2.951564191990182167e+02, 2.962377447115802624e+02, 2.957591036127845996e+02
2.049000000000000000e+03, 2.949541710506803724e+02, 2.977462478516442275e+02, 2.951547892517180571e+02, 2.978999624637859256e+02, 2.986498844149163574e+02, 2.967381276820267999e+02, 2.966077862211435558e+02, 2.957135535614232253e+02, 2.975431241532760964e+02, 2.974998933831770387e+02, 2.957816534637827885e+02, 2.969540673815207583e+02, 2.973239571613398198e+02, 2.948316912548921209e+02, 2.962103966109421549e+02, 2.957479718793635470e+02
2.050000000000000000e+03, 2.948244657442331800e+02, 2.976431654814491594e+02, 2.949504785943159391e+02, 2.981261075739371336e+02, 2.989400510500057067e+02, 2.973994973891354903e+02, 2.967214548988098954e+02, 2.959889547816727031e+02, 2.975860500891830611e+02, 2.968227050350462832e+02, 2.954754729341990469e+02, 2.963516276384727348e+02, 2.975438514794049638e+02, 2.949939120339580541e+02, 2.967251847919678767e+02, 2.958266878860458746e+02
