year, NorESM2-LM, ACCESS-ESM1-5, TaiESM1, EC-Earth3-Veg, IPSL-CM6A-LR, MPI-ESM1-2-LR, CESM2-WACCM, MIROC-ES2L, CanESM5, CMCC-CM2-SR5, NorESM2-MM, UKESM1-0-LL, CNRM-ESM2-1
2.015000000000000000e+03, 1.397765707384650682e+02, 1.079503859255333538e+02, 1.067234958893836279e+02, 2.008490033880897840e+02, 1.135354583869967229e+02, 1.191356602743645539e+02, 1.402211698249138294e+02, 1.137950181669089602e+02, 2.092749387713823808e+02, 2.909384282319937256e+02, 1.367056697332998283e+02, 3.207073389514763448e+02, 1.872874509375632499e+02
2.016000000000000000e+03, 1.398995301846930204e+02, 1.079881146831894938e+02, 1.067615622987484727e+02, 2.008208299948084914e+02, 1.135851041906043832e+02, 1.189149517804019354e+02, 1.403080704520572510e+02, 1.136703344590790579e+02, 2.089963272320228498e+02, 2.911100305254504974e+02, 1.368426939068368142e+02, 3.205156970406365531e+02, 1.874205544903261966e+02
2.017000000000000000e+03, 1.399728980196452994e+02, 1.080240389578726052e+02, 1.066377141394842170e+02, 2.006654294267103467e+02, 1.135771763517931134e+02, 1.189691356008455614e+02, 1.403575527329950603e+02, 1.136866523186849349e+02, 2.087418179610013169e+02, 2.910699770405413460e+02, 1.369315390674408945e+02, 3.205254933904843142e+02, 1.874932032146434722e+02
2.018000000000000000e+03, 1.400272249320144624e+02, 1.080692613712608505e+02, 1.064132441500294846e+02, 2.005320937808027679e+02, 1.135551953205603724e+02, 1.190519189746670463e+02, 1.404844537154777981e+02, 1.137031112105596833e+02, 2.085383263578359845e+02, 2.911339059263400486e+02, 1.369858086791550420e+02, 3.203877165471428157e+02, 1.875977224419516745e+02
2.019000000000000000e+03, 1.400968432291566899e+02, 1.081036850837257219e+02, 1.065694217115369042e+02, 2.005208752984358966e+02, 1.135896080813229503e+02, 1.192604757561291819e+02, 1.405417068074672216e+02, 1.137646524112303723e+02, 2.081619270989677375e+02, 2.911675230394383789e+02, 1.370603301748536182e+02, 3.199751673660500160e+02, 1.878360003317629321e+02
2.020000000000000000e+03, 1.402235516373027906e+02, 1.081293595781913410e+02, 1.066703677436280771e+02, 2.004465559368489949e+02, 1.135983927695693296e+02, 1.193582181764714534e+02, 1.406186002889829751e+02, 1.137693318257225599e+02, 2.078902237119976348e+02, 2.912612998831071423e+02, 1.371216617899851258e+02, 3.197171056049833737e+02, 1.879241656429143745e+02
2.021000000000000000e+03, 1.403199403125854587e+02, 1.081316798674102273e+02, 1.065439481335231164e+02, 2.003831401396518572e+02, 1.136176133510376474e+02, 1.195145067137869859e+02, 1.406438468768151893e+02, 1.135778613522567753e+02, 2.077076160222635508e+02, 2.913738594491607046e+02, 1.372168342279095725e+02, 3.199669698760022243e+02, 1.881703425359496293e+02
2.022000000000000000e+03, 1.403876891051195344e+02, 1.081641384367145236e+02, 1.065143094803796515e+02, 2.002514786284747288e+02, 1.136947374559250079e+02, 1.195750469079544018e+02, 1.407391830223083389e+02, 1.135262611560746535e+02, 2.074633396941060539e+02, 2.914370049743415052e+02, 1.373562678291308998e+02, 3.204648915583648545e+02, 1.884065008371892134e+02
2.023000000000000000e+03, 1.404628893037584589e+02, 1.081761930911397513e+02, 1.065731693609624102e+02, 2.001132010624783675e+02, 1.137722941210498391e+02, 1.196863554327956649e+02, 1.408923585060197752e+02, 1.136211693095116004e+02, 2.071656712438734758e+02, 2.915181051908039080e+02, 1.374776502238806870e+02, 3.211459212937504049e+02, 1.884750007075560632e+02
2.024000000000000000e+03, 1.405710822030142992e+02, 1.080270685701432853e+02, 1.064246276308986410e+02, 2.000281665846886767e+02, 1.138457409144718753e+02, 1.196359272545698929e+02, 1.410034741184451264e+02, 1.135519889213805556e+02, 2.069133200929234704e+02, 2.916744619450913660e+02, 1.376389475350501925e+02, 3.213387126259577258e+02, 1.884410373224699526e+02
2.025000000000000000e+03, 1.407238822557928302e+02, 1.078882283054875302e+02, 1.065082449472387935e+02, 1.999167531356785048e+02, 1.138733012377011562e+02, 1.201649594931573120e+02, 1.410528718736939879e+02, 1.134476975586944150e+02, 2.067893050778331201e+02, 2.916789795701987487e+02, 1.377616873085573843e+02, 3.206535982926140491e+02, 1.885706403518670697e+02
2.026000000000000000e+03, 1.408311017911773035e+02, 1.079432646866145973e+02, 1.066351129254283165e+02, 1.998608828465210934e+02, 1.138802893033666237e+02, 1.201930819201669607e+02, 1.411389483120286741e+02, 1.133347549510166203e+02, 2.066259557307035379e+02, 2.917178569753928628e+02, 1.378739639133603987e+02, 3.202540982035577031e+02, 1.886953564108066530e+02
2.027000000000000000e+03, 1.408736149576045591e+02, 1.079793780141418580e+02, 1.067837486404107494e+02, 1.998906798043229855e+02, 1.139328117179716173e+02, 1.205936652766979478e+02, 1.412538735859361338e+02, 1.134359104602435195e+02, 2.063760783035339443e+02, 2.918562855346339120e+02, 1.379904623098039167e+02, 3.199438657047638230e+02, 1.887692826609523991e+02
