year, IPSL-CM6A-LR, NorESM2-LM, CanESM5, CMCC-CM2-SR5, CESM2-WACCM, TaiESM1, GFDL-ESM4, EC-Earth3-Veg, CNRM-ESM2-1, MPI-ESM1-2-LR, MIROC-ES2L, INM-CM5-0, UKESM1-0-LL, NorESM2-MM, INM-CM4-8, ACCESS-ESM1-5
2.015000000000000000e+03, 1.309007117869883245e+02, 1.538923062374693984e+02, 9.810569048287015903e+01, 1.284592090204338035e+02, 1.521776129018840606e+02, 1.655726260452004226e+02, 7.036771334743262685e+01, 1.202883219523588565e+02, 1.240740184965380308e+02, 1.461856666803714973e+02, 1.270454296149941484e+02, 1.444119503851669890e+02, 1.920583920776463174e+02, 1.548244091471814841e+02, 1.444440821152599881e+02, 1.837872985724120838e+02
2.016000000000000000e+03, 1.311982350815100915e+02, 1.538400183952059308e+02, 9.910736113781754852e+01, 1.281292483638353019e+02, 1.521825328815806131e+02, 1.643408450747161851e+02, 6.992089747693638913e+01, 1.202117161851682283e+02, 1.248228001270050669e+02, 1.466080904818759905e+02, 1.270399625599793438e+02, 1.448180187838302402e+02, 1.917720191776949434e+02, 1.540005729092091826e+02, 1.451427067758871488e+02, 1.831465003592910534e+02
2.017000000000000000e+03, 1.315356484397917711e+02, 1.538085242443981713e+02, 9.882988051119002648e+01, 1.286143303111394687e+02, 1.527900908299272373e+02, 1.644112803715482869e+02, 6.911392886780136280e+01, 1.198330148247097497e+02, 1.253385791877337851e+02, 1.465907850345710415e+02, 1.274110878737824919e+02, 1.453148567491932965e+02, 1.915254066782675864e+02, 1.538542814114486532e+02, 1.457944741802955377e+02, 1.835427418172335479e+02
2.018000000000000000e+03, 1.315749602315777906e+02, 1.539769771176011943e+02, 9.917370872402284476e+01, 1.286956289456096556e+02, 1.528605286806907486e+02, 1.654419389436508538e+02, 6.859244660154151063e+01, 1.198544886127889413e+02, 1.255027456992940245e+02, 1.472683914890297672e+02, 1.277110503065979685e+02, 1.461423901530014291e+02, 1.911206152727716869e+02, 1.538766932229804922e+02, 1.462461458054170578e+02, 1.841170714072180488e+02
2.019000000000000000e+03, 1.320369852081784927e+02, 1.541356625176848070e+02, 9.745735564584491328e+01, 1.290821241983531422e+02, 1.533156652089620877e+02, 1.643730734590645000e+02, 6.892433771717317370e+01, 1.203509329222470257e+02, 1.244537488016289757e+02, 1.470063983164926640e+02, 1.277734606728840419e+02, 1.465082251339984225e+02, 1.906435652326773607e+02, 1.532846112796098339e+02, 1.466700996974925033e+02, 1.842439767743253185e+02
2.020000000000000000e+03, 1.321799552766015040e+02, 1.540189608343285954e+02, 9.773180381109931147e+01, 1.284629038431715173e+02, 1.541734355000570531e+02, 1.627496636858516865e+02, 6.923627777744134448e+01, 1.206124623798049385e+02, 1.248937863558606693e+02, 1.468839498004794848e+02, 1.278479101382423551e+02, 1.465104771233132794e+02, 1.906541094109369112e+02, 1.535763500384398128e+02, 1.470357339753045096e+02, 1.840781790637938116e+02
2.021000000000000000e+03, 1.325692436814466646e+02, 1.543131975042372233e+02, 9.917620208880343569e+01, 1.278176813418767068e+02, 1.553421044671499374e+02, 1.627623754669619416e+02, 6.905889480193080487e+01, 1.205227938212707528e+02, 1.245620643060170636e+02, 1.470597241546334146e+02, 1.283631450110777621e+02, 1.475223085202441098e+02, 1.910336799608683691e+02, 1.539851225204576792e+02, 1.479992841874914404e+02, 1.839914043711395948e+02
2.022000000000000000e+03, 1.328151515279870978e+02, 1.541172332733675034e+02, 9.980563042210499702e+01, 1.272495155358594019e+02, 1.559662181378777746e+02, 1.628107070650615071e+02, 6.880329260329189367e+01, 1.206302829135515537e+02, 1.239440361252634091e+02, 1.476592912847629009e+02, 1.282014139363964489e+02, 1.479486007795311480e+02, 1.914003302822384853e+02, 1.543751268489394590e+02, 1.488313142120082375e+02, 1.842369618158112701e+02
2.023000000000000000e+03, 1.330452886095619647e+02, 1.544600260065753048e+02, 9.912819206558474150e+01, 1.270868239905319967e+02, 1.560419868257496887e+02, 1.625474137480933052e+02, 6.887613825587098404e+01, 1.203546625936080403e+02, 1.243533494623805780e+02, 1.483724121239846170e+02, 1.280966010461841336e+02, 1.482796548710178115e+02, 1.915286899099451432e+02, 1.546413840954756438e+02, 1.490182505759527771e+02, 1.841258150438239340e+02
2.024000000000000000e+03, 1.334057689481745683e+02, 1.549963169829093204e+02, 9.931341426990280752e+01, 1.268417160479874042e+02, 1.563611935391795669e+02, 1.629758707308282339e+02, 6.911258678063813932e+01, 1.205899302189602764e+02, 1.254856334634655184e+02, 1.493623127182079600e+02, 1.280811667563311858e+02, 1.482060419447936965e+02, 1.914032948715582449e+02, 1.544437712211309019e+02, 1.494841980251854636e+02, 1.828671419117421806e+02
2.025000000000000000e+03, 1.333436921916353413e+02, 1.555579089734713136e+02, 1.002104457955146870e+02, 1.275902753319486322e+02, 1.572663066380851546e+02, 1.623667993570919919e+02, 6.853537317029616815e+01, 1.204353370093206195e+02, 1.256914836545487759e+02, 1.491992511472734577e+02, 1.280626899997953672e+02, 1.487419653727055788e+02, 1.907658667808420887e+02, 1.544496708946576859e+02, 1.496707348055354885e+02, 1.830792708082737761e+02
2.026000000000000000e+03, 1.333190595454273932e+02, 1.563260522712158718e+02, 1.011403569016390236e+02, 1.274110577198205618e+02, 1.583204486390505394e+02, 1.611093633543254384e+02, 6.786124586343883891e+01, 1.208675524189829389e+02, 1.254323431073840140e+02, 1.497536974240157690e+02, 1.283987977395757127e+02, 1.489252257399581936e+02, 1.905179698258559711e+02, 1.545981185180695832e+02, 1.497914646013194897e+02, 1.841712537067982396e+02
2.027000000000000000e+03, 1.338052325625159540e+02, 1.570953861166228194e+02, 1.020279657763018264e+02, 1.267352167308300608e+02, 1.592604461788098149e+02, 1.599785632197046255e+02, 6.812555268309080247e+01, 1.210722075617743059e+02, 1.251823457927762320e+02, 1.504797783887103435e+02, 1.286731805733287217e+02, 1.495041781864649408e+02, 1.902175101404397708e+02, 1.551829744601751599e+02, 1.499844774797543892e+02, 1.841759716115365677e+02
2.028000000000000000e+03, 1.338500484164720490e+02, 1.572244686315506499e+02, 9.992117046964571614e+01, 1.269456180438648261e+02, 1.597142292546919577e+02, 1.608152132783578736e+02, 6.800407729427860204e+01, 1.213433118796951646e+02, 1.252413611514175926e+02, 1.490643183498826829e+02, 1.290837592763749342e+02, 1.501918522754300511e+02, 1.901135279513249259e+02, 1.555039112103203820e+02, 1.502987236685746097e+02, 1.836247186752126197e+02
2.029000000000000000e+03, 1.342073472611739646e+02, 1.571057019218406765e+02, 9.973489542531474683e+01, 1.264249996129593256e+02, 1.603024555580273045e+02, 1.610405676550866474e+02, 6.779086648299528406e+01, 1.218117901262671552e+02, 1.262881649573593990e+02, 1.492743046505646589e+02, 1.291160691041172583e+02, 1.510954877968916890e+02, 1.899035716401091634e+02, 1.559654146840387909e+02, 1.509889753825667071e+02, 1.827223551800076393e+02
2.030000000000000000e+03, 1.341582125917239239e+02, 1.577998893689258182e+02, 1.013279403655479314e+02, 1.269006902097583520e+02, 1.612598048322556110e+02, 1.594944659313407840e+02, 6.777692086813311789e+01, 1.215990096706938459e+02, 1.264973743323882758e+02, 1.511115433575861005e+02, 1.295830338106531769e+02, 1.515576522413717555e+02, 1.902468541950974554e+02, 1.563312643505416872e+02, 1.510016863633524622e+02, 1.832637904706935785e+02
2.031000000000000000e+03, 1.346221308912273571e+02, 1.576658198971072977e+02, 1.020127013559429940e+02, 1.274113345505750914e+02, 1.621264670411044619e+02, 1.591015687094141242e+02, 6.851591220017830608e+01, 1.220018539186627748e+02, 1.259651827835291442e+02, 1.520234389623176412e+02, 1.300892639540583104e+02, 1.518186484561998952e+02, 1.900235666140060573e+02, 1.565295211249344050e+02, 1.513898219809986756e+02, 1.838903773208394625e+02
