year, GFDL-ESM4, NorESM2-LM, TaiESM1, CNRM-ESM2-1, NorESM2-MM
2.015000000000000000e+03, 1.948897154096945009e-09, 1.176371758570016401e-09, 1.514266686390682931e-09, 9.106770436249080517e-10, 1.550155146940300331e-09
2.016000000000000000e+03, 3.119464862735356871e-09, 2.013489887653373356e-09, 1.850515710748459336e-09, 7.925611747357885482e-10, 2.245191326464793129e-09
2.017000000000000000e+03, 2.719775365762998657e-09, 1.500285184930049008e-09, 1.087228512498126352e-09, 8.553031249182174768e-10, 1.675701829859903312e-09
2.018000000000000000e+03, 1.928146117855252906e-09, 1.427090029629063686e-09, 1.159819307771370558e-09, 1.187995947140516429e-09, 1.864169955266299726e-09
2.019000000000000000e+03, 2.001261886415836866e-09, 1.516975735908539195e-09, 1.526709678970794187e-09, 6.580228911078572833e-10, 1.657674892865628051e-09
2.020000000000000000e+03, 2.357843233728705118e-09, 1.768349295221118677e-09, 1.875772641687215392e-09, 1.029043409308877039e-09, 1.689284979002276084e-09
2.021000000000000000e+03, 1.965246561865063143e-09, 1.492090983897878932e-09, 1.417893915231457872e-09, 9.843276362022056519e-10, 1.809296639801746595e-09
2.022000000000000000e+03, 2.506460163856667915e-09, 1.569699810558416861e-09, 1.245868988371873231e-09, 9.529629027791573682e-10, 1.380461405374707400e-09
2.023000000000000000e+03, 1.718512898264364545e-09, 1.519959753015107366e-09, 1.129511719535769046e-09, 6.897511850654389063e-10, 1.913161889455930204e-09
2.024000000000000000e+03, 1.810550989250583447e-09, 1.639824464744927656e-09, 1.324700519054354536e-09, 8.950105325652065836e-10, 1.634978057721011859e-09
2.025000000000000000e+03, 3.035085592223174570e-09, 1.141483644312630980e-09, 1.295378433136370647e-09, 9.361167406855939936e-10, 2.004345140152381426e-09
2.026000000000000000e+03, 1.943148780730118205e-09, 8.219250233376872326e-10, 1.812873932226511196e-09, 9.805213601017017535e-10, 1.367557157548462428e-09
2.027000000000000000e+03, 2.232198398072424856e-09, 1.265610779939845665e-09, 1.472856534706349632e-09, 9.161083868935787517e-10, 1.193590095504561686e-09
2.028000000000000000e+03, 2.304589403304169664e-09, 1.412766033689806180e-09, 1.429466915636045266e-09, 7.998326777409668148e-10, 1.392465913028045416e-09
2.029000000000000000e+03, 2.767551009220729041e-09, 1.631740883224851282e-09, 1.508736745513731459e-09, 9.384966993409773460e-10, 1.300613186704272002e-09
2.030000000000000000e+03, 1.791553893744115419e-09, 1.270976872862597894e-09, 1.630509336082106120e-09, 8.203776037479341323e-10, 1.730814995278232293e-09
2.031000000000000000e+03, 2.540002100884271961e-09, 1.746510154674475238e-09, 1.212802156590938572e-09, 1.009941475151313651e-09, 1.135675770335059151e-09
2.032000000000000000e+03, 2.095888427034825638e-09, 1.337696100251806021e-09, 1.309797068174314307e-09, 7.300589971609681256e-10, 1.715769933911446838e-09
2.033000000000000000e+03, 2.568073680776028651e-09, 1.383559740365355137e-09, 1.434318822284255314e-09, 8.735320353626053221e-10, 1.532969953667058452e-09
2.034000000000000000e+03, 3.472712858670060683e-09, 1.416142229175519967e-09, 1.047221363642997187e-09, 8.843397599807577467e-10, 1.247528080485020517e-09
