year, GFDL-ESM4, NorESM2-LM, EC-Earth3-Veg, NorESM2-MM, TaiESM1, MPI-ESM1-2-LR, CNRM-ESM2-1, GFDL-ESM4, TaiESM1, CNRM-ESM2-1, CESM2-WACCM, NorESM2-MM
2.015000000000000000e+03, 1.948897154096945009e-09, 1.176371758570016401e-09, 2.124122840677513176e-09, 1.550155146940300331e-09, 1.514266686390682931e-09, 7.068142426417824693e-10, 9.106770436249080517e-10, 1.963060901128687449e-09, 1.514266686390682931e-09, 9.106770436249080517e-10, 1.238824235987448939e-09, 1.550155146940300331e-09
2.016000000000000000e+03, 3.119464862735356871e-09, 2.013489887653373356e-09, 2.389696633125750316e-09, 2.245191326464793129e-09, 1.850515710748459336e-09, 7.702359107477033401e-10, 7.925611747357885482e-10, 3.133897846749919527e-09, 1.850515710748459336e-09, 7.925611747357885482e-10, 1.041530962631419475e-09, 2.245191326464793129e-09
2.017000000000000000e+03, 2.719775365762998657e-09, 1.500285184930049008e-09, 1.945661347897019951e-09, 1.675701829859903312e-09, 1.087228512498126352e-09, 7.635160294789500008e-10, 8.553031249182174768e-10, 2.734791614635504188e-09, 1.087228512498126352e-09, 8.553031249182174768e-10, 1.189978739493427181e-09, 1.675701829859903312e-09
2.018000000000000000e+03, 1.928146117855252906e-09, 1.427090029629063686e-09, 1.621882967954819492e-09, 1.864169955266299726e-09, 1.159819307771370558e-09, 8.036451581039793639e-10, 1.187995947140516429e-09, 1.943552306424190987e-09, 1.159819307771370558e-09, 1.187995947140516429e-09, 1.086723410637750915e-09, 1.864169955266299726e-09
2.019000000000000000e+03, 2.001261886415836866e-09, 1.516975735908539195e-09, 1.735371796788719767e-09, 1.657674892865628051e-09, 1.526709678970794187e-09, 7.630424126875946651e-10, 6.580228911078572833e-10, 2.017109885773943766e-09, 1.526709678970794187e-09, 6.580228911078572833e-10, 1.021726954450866150e-09, 1.657674892865628051e-09
2.020000000000000000e+03, 2.357843233728705118e-09, 1.768349295221118677e-09, 1.947843974656051055e-09, 1.689284979002276084e-09, 1.875772641687215392e-09, 8.260339617115754998e-10, 1.029043409308877039e-09, 2.374148989813061281e-09, 1.875772641687215392e-09, 1.029043409308877039e-09, 8.404791449897496744e-10, 1.689284979002276084e-09
2.021000000000000000e+03, 1.965246561865063143e-09, 1.492090983897878932e-09, 2.083979619187212368e-09, 1.809296639801746595e-09, 1.417893915231457872e-09, 7.753779126926790273e-10, 9.843276362022056519e-10, 1.981471968720357869e-09, 1.417893915231457872e-09, 9.843276362022056519e-10, 1.119747925335573883e-09, 1.809296639801746595e-09
2.022000000000000000e+03, 2.506460163856667915e-09, 1.569699810558416861e-09, 2.570138528912508797e-09, 1.380461405374707400e-09, 1.245868988371873231e-09, 7.700988420776943339e-10, 9.529629027791573682e-10, 2.522852704629018784e-09, 1.245868988371873231e-09, 9.529629027791573682e-10, 1.253515844873467245e-09, 1.380461405374707400e-09
2.023000000000000000e+03, 1.718512898264364545e-09, 1.519959753015107366e-09, 1.940863495672296227e-09, 1.913161889455930204e-09, 1.129511719535769046e-09, 7.481366547729375282e-10, 6.897511850654389063e-10, 1.734837880265295273e-09, 1.129511719535769046e-09, 6.897511850654389063e-10, 1.313714406599384613e-09, 1.913161889455930204e-09
2.024000000000000000e+03, 1.810550989250583447e-09, 1.639824464744927656e-09, 2.555472723035418445e-09, 1.634978057721011859e-09, 1.324700519054354536e-09, 8.106621824039831735e-10, 8.950105325652065836e-10, 1.826962207377742733e-09, 1.324700519054354536e-09, 8.950105325652065836e-10, 1.260284757825152148e-09, 1.634978057721011859e-09
