year, MPI-ESM1-2-LR, EC-Earth3-Veg, GFDL-ESM4
2.015000000000000000e+03, 2.767487542876149306e-09, 7.511396667985163790e-10, 1.544832263890912086e-09
2.016000000000000000e+03, 2.798859562943279530e-09, 7.389266692201225426e-10, 1.537380960109129582e-09
2.017000000000000000e+03, 2.697255924937605553e-09, 7.568164381255573856e-10, 1.544277031464817514e-09
2.018000000000000000e+03, 2.857412728257508803e-09, 7.709338198602791670e-10, 1.611712835143879304e-09
2.019000000000000000e+03, 2.698330342001241888e-09, 7.513488550998123304e-10, 1.689679883289425137e-09
2.020000000000000000e+03, 2.655215703913336194e-09, 7.692094788910867721e-10, 1.776762075665176477e-09
2.021000000000000000e+03, 2.692277344185115628e-09, 7.452107130310269719e-10, 1.691634394230973818e-09
2.022000000000000000e+03, 2.801445734733790742e-09, 7.714652829881424923e-10, 1.591805214356707626e-09
2.023000000000000000e+03, 2.890259029252985107e-09, 7.602160646490827222e-10, 1.623020439246868535e-09
2.024000000000000000e+03, 3.005818918813792411e-09, 7.491474535241484647e-10, 1.735863221265813515e-09
2.025000000000000000e+03, 2.782845495308561583e-09, 7.656254628577328396e-10, 1.681630376154604371e-09
2.026000000000000000e+03, 2.912731925023516253e-09, 7.960495940517019597e-10, 1.623958310504090238e-09
2.027000000000000000e+03, 2.920859460653771148e-09, 7.536903712090164931e-10, 1.672957017112008226e-09
2.028000000000000000e+03, 2.524600250898301835e-09, 7.806981008334218111e-10, 1.762084971049892366e-09
2.029000000000000000e+03, 2.703266407394489685e-09, 7.683481914655163471e-10, 1.681419543018233978e-09
2.030000000000000000e+03, 3.084619355768096099e-09, 7.791462546576139264e-10, 1.683434383001578623e-09
2.031000000000000000e+03, 3.062072442063810321e-09, 7.577431495723416081e-10, 1.620055474363865324e-09
2.032000000000000000e+03, 2.863134870790185165e-09, 7.583963096960574362e-10, 1.777478649623965484e-09
2.033000000000000000e+03, 2.669657019019801752e-09, 7.853640382742380650e-10, 1.808398608546713449e-09
2.034000000000000000e+03, 2.682467060548773410e-09, 7.597301639382212800e-10, 1.684035175749710620e-09
2.035000000000000000e+03, 2.713044202511199226e-09, 7.507709610347569546e-10, 1.789863244259032019e-09
2.036000000000000000e+03, 2.633104824457369336e-09, 7.696308158897662039e-10, 1.744317426744229473e-09
2.037000000000000000e+03, 2.565366217957421322e-09, 7.544678237210509847e-10, 1.740654048584738257e-09
2.038000000000000000e+03, 2.635132688191663620e-09, 7.859512836906751399e-10, 1.813232347639126730e-09
2.039000000000000000e+03, 2.732432248361790859e-09, 7.727118554696249729e-10, 1.763982082116306550e-09
2.040000000000000000e+03, 2.900114851634909373e-09, 7.807501942602577110e-10, 1.842780768750066853e-09
2.041000000000000000e+03, 2.929897333380176257e-09, 7.772988059544526333e-10, 1.955569674428608448e-09
2.042000000000000000e+03, 2.903670666692747088e-09, 7.829927940487807012e-10, 1.800301906788079918e-09
2.043000000000000000e+03, 2.724425615085372358e-09, 7.378112021594572791e-10, 1.784579161641234525e-09
2.044000000000000000e+03, 2.438441561838483388e-09, 7.973532751682706137e-10, 1.846032354012713337e-09
2.045000000000000000e+03, 2.502215372176602451e-09, 7.521708459543306178e-10, 1.846933987945910093e-09
2.046000000000000000e+03, 2.734776993852235505e-09, 7.766337442183725028e-10, 1.692196977235415152e-09
2.047000000000000000e+03, 2.844350059691337414e-09, 7.703179377790326783e-10, 1.862725141202921305e-09
2.048000000000000000e+03, 2.687839785199677542e-09, 7.658985573183916149e-10, 1.804248302209227078e-09
2.049000000000000000e+03, 2.670290732738940213e-09, 7.611424724134117904e-10, 1.792871143045828264e-09
2.050000000000000000e+03, 2.791223274364467637e-09, 7.768053250957984620e-10, 1.915401346401700476e-09
2.051000000000000000e+03, 2.992469361535543502e-09, 7.805320420820855470e-10, 1.873918313499123087e-09
2.052000000000000000e+03, 3.037173299146938958e-09, 7.665289506549539734e-10, 1.705445642933105271e-09
2.053000000000000000e+03, 2.974094561334336689e-09, 7.903338955754450266e-10, 1.824205308882891181e-09
2.054000000000000000e+03, 2.908946450156781410e-09, 7.772672513660231214e-10, 1.967906723356679021e-09
2.055000000000000000e+03, 2.756871902429366179e-09, 7.723605528716743131e-10, 1.958117222866775027e-09
2.056000000000000000e+03, 2.655417516607506108e-09, 7.719940694280652734e-10, 2.013149504601228209e-09
2.057000000000000000e+03, 2.811694765132147754e-09, 7.586853641859822342e-10, 1.947196459728582194e-09
2.058000000000000000e+03, 3.076825312122393672e-09, 7.829951389868520700e-10, 1.991832860459830590e-09
2.059000000000000000e+03, 2.816774892173348456e-09, 7.583781368050572850e-10, 1.917246881994565649e-09
2.060000000000000000e+03, 2.618827554278143167e-09, 7.840620222719762314e-10, 1.994315021628881932e-09
2.061000000000000000e+03, 2.575370706046155697e-09, 7.592319326661684350e-10, 1.906358910408939406e-09
2.062000000000000000e+03, 2.656185915054420840e-09, 7.815107679754287568e-10, 1.938398928015852035e-09
2.063000000000000000e+03, 2.982016568182858966e-09, 7.887294419872143735e-10, 2.053630161318366209e-09
2.064000000000000000e+03, 3.067360455318149901e-09, 7.662546959204252123e-10, 2.074056586569876883e-09
2.065000000000000000e+03, 2.918653239992601290e-09, 7.584618384933785182e-10, 2.064517950623055587e-09
2.066000000000000000e+03, 2.815417043881960508e-09, 7.740940782667166864e-10, 1.878835616822854302e-09
2.067000000000000000e+03, 2.785884957600694876e-09, 7.591872469375976608e-10, 1.956761598767426303e-09
2.068000000000000000e+03, 2.802459858188165564e-09, 7.570037528741172357e-10, 1.978302720730990469e-09
2.069000000000000000e+03, 2.857453580861160484e-09, 7.648368383675134663e-10, 1.971038140596805265e-09
2.070000000000000000e+03, 2.672174820733562226e-09, 7.583110484332222754e-10, 2.122604479518947110e-09
2.071000000000000000e+03, 2.697127589130423060e-09, 7.715199385494596769e-10, 2.213897804558048172e-09
2.072000000000000000e+03, 3.021324501761509086e-09, 7.607794303627060608e-10, 2.181929440985968808e-09
2.073000000000000000e+03, 2.736537513935446610e-09, 7.545448982119656359e-10, 2.083666607356751484e-09
2.074000000000000000e+03, 2.448622297398194867e-09, 7.602883806078352563e-10, 1.984736065864783478e-09
2.075000000000000000e+03, 2.791112194293793154e-09, 7.649703874857580340e-10, 2.152868828070453353e-09
2.076000000000000000e+03, 2.965935454719707280e-09, 7.562933648639695057e-10, 2.123184327071124427e-09
2.077000000000000000e+03, 2.946333304221809405e-09, 7.715297104020762343e-10, 2.133843473993468864e-09
2.078000000000000000e+03, 2.892750858088919207e-09, 7.526087184190941037e-10, 2.178603407716817309e-09
2.079000000000000000e+03, 2.580810424479900713e-09, 7.691978373769284747e-10, 2.148057788928156322e-09
2.080000000000000000e+03, 2.500336725451629718e-09, 7.347829910159457118e-10, 2.089860842229564091e-09
2.081000000000000000e+03, 2.595619360192517002e-09, 7.839741092174475804e-10, 2.161415997263120467e-09
2.082000000000000000e+03, 2.709634073189644025e-09, 7.425982529909996476e-10, 2.091702570093541096e-09
