year, IPSL-CM6A-LR, CNRM-ESM2-1, INM-CM5-0, MPI-ESM1-2-LR, CanESM5, UKESM1-0-LL, TaiESM1, MIROC-ES2L, GFDL-ESM4, NorESM2-LM, NorESM2-MM, CESM2-WACCM, INM-CM4-8, ACCESS-ESM1-5, EC-Earth3-Veg, CMCC-CM2-SR5
2.015000000000000000e+03, 3.304890076436129220e+01, 3.013764883842765485e+01, 4.295970119360702455e+01, 4.111240274873244971e+01, 3.365146606383976291e+01, 3.909779982583194169e+01, 3.516727195183520394e+01, 2.581648587936823702e+01, 2.866883612772220502e+01, 3.042042985820072332e+01, 2.790567969137109472e+01, 2.922058817766203376e+01, 4.457183256344547573e+01, 3.486713629175991258e+01, 3.555982871259846689e+01, 2.401897563298536653e+01
2.016000000000000000e+03, 3.421948043871645950e+01, 3.209957818182103040e+01, 4.317050117392843589e+01, 4.207807350151672665e+01, 3.279489053004022026e+01, 3.941498505012894071e+01, 3.470047585165071524e+01, 2.608036273685371853e+01, 2.667122680148840885e+01, 2.971349673908311573e+01, 2.859784015358565412e+01, 2.894672466080363549e+01, 4.267186182530361549e+01, 3.577749270919512981e+01, 3.518233180101203317e+01, 2.442728918956861150e+01
2.017000000000000000e+03, 3.413264589588424514e+01, 3.149256679723594132e+01, 4.382225400503433832e+01, 4.202701430248350079e+01, 3.350697211810457077e+01, 4.002990387424623009e+01, 3.666417296520554459e+01, 2.614614472014841695e+01, 2.685178607478770729e+01, 3.092361893690446450e+01, 2.993929976760965772e+01, 2.902100270593821207e+01, 4.392269041173731381e+01, 3.625324698206598839e+01, 3.593159846701623650e+01, 2.486828194582354001e+01
2.018000000000000000e+03, 3.434396616641293321e+01, 2.956434775047441121e+01, 4.332916083152831277e+01, 4.324541938346945358e+01, 3.209028949928354990e+01, 3.734828830118117793e+01, 3.669082517008630617e+01, 2.654482186015824041e+01, 2.736870308165348575e+01, 3.166763161917776515e+01, 2.946219706748210143e+01, 2.895224126496659522e+01, 4.369399611964901453e+01, 3.718147447439822173e+01, 3.596219496555795558e+01, 2.534976072203329522e+01
2.019000000000000000e+03, 3.400326059092822106e+01, 2.810041524080205022e+01, 4.327276107036767883e+01, 4.156792932369156546e+01, 3.186031443152585041e+01, 4.062499903077070229e+01, 3.583800045603636164e+01, 2.592325275271047502e+01, 2.927920919347084450e+01, 3.183045362094874164e+01, 2.957246158259382085e+01, 2.891526700460904209e+01, 4.244527603682734451e+01, 3.600153356747287603e+01, 3.613562166892621974e+01, 2.503697785761013606e+01
2.020000000000000000e+03, 3.509155063394417340e+01, 2.984850073784870617e+01, 4.416045073744182758e+01, 4.228882639451116177e+01, 3.383312891485095264e+01, 4.309021509902041203e+01, 3.600890323405079130e+01, 2.668692099180052679e+01, 2.891282775684699402e+01, 3.144929932118474269e+01, 3.088189517196925848e+01, 3.076959419140411001e+01, 4.459996511459491586e+01, 3.546188254758737202e+01, 3.524201645991442433e+01, 2.467149729543633541e+01
2.021000000000000000e+03, 3.441566479916435384e+01, 2.769399045250666802e+01, 4.410173420287437551e+01, 4.254609116064757757e+01, 3.506177571202521648e+01, 4.381664404029286430e+01, 3.667952275018249253e+01, 2.652077585569643148e+01, 2.746962836829831645e+01, 3.178547026482016946e+01, 3.088666665250279664e+01, 3.101895924763400103e+01, 4.481989357706623878e+01, 3.549736704554575795e+01, 3.630709053294116728e+01, 2.370007298978872967e+01
2.022000000000000000e+03, 3.428687321709937663e+01, 2.804623594009306231e+01, 4.430083215118461482e+01, 4.326591288385186829e+01, 3.329699214919757821e+01, 4.394061800143165897e+01, 3.699278545980889277e+01, 2.589698033519087161e+01, 2.774463930681385193e+01, 3.145037688276075727e+01, 3.105845275517023296e+01, 3.056274042038649341e+01, 4.430503184736037525e+01, 3.616326013288043839e+01, 3.518820824510378031e+01, 2.505056631912639631e+01
2.023000000000000000e+03, 3.491753117225825775e+01, 2.979327212649457124e+01, 4.295347713878506823e+01, 4.357257336698009453e+01, 3.321705088708831255e+01, 4.098132817854884280e+01, 3.725953536397779686e+01, 2.620934328160929638e+01, 2.906848221338681526e+01, 3.274482318862953178e+01, 3.053191530191334735e+01, 2.979677199117683273e+01, 4.338365862103195525e+01, 3.517163891327088976e+01, 3.641026161554080431e+01, 2.487313132789302017e+01
2.024000000000000000e+03, 3.409178359319268026e+01, 3.160228110840597537e+01, 4.328889845322422758e+01, 4.495653870852479628e+01, 3.342382084535064735e+01, 3.996869406936617963e+01, 3.707764079116480360e+01, 2.620750825514976512e+01, 2.857167489660583470e+01, 3.227254074577776066e+01, 3.021788152293519403e+01, 2.968672928561950997e+01, 4.399641631443338241e+01, 3.267096260490837523e+01, 3.571824281486444619e+01, 2.467422806788829703e+01
