year, CNRM-ESM2-1, UKESM1-0-LL, GFDL-ESM4, EC-Earth3-Veg, INM-CM4-8, CMCC-ESM2, ACCESS-ESM1-5, CanESM5, CESM2-WACCM, TaiESM1, NorESM2-MM, INM-CM5-0, NorESM2-LM, MPI-ESM1-2-LR, IPSL-CM6A-LR, MIROC-ES2L
2.015000000000000000e+03, 2.623552884604381852e+00, 4.496105767232603689e+00, 3.194509711996587953e+00, 4.187337046266709883e+00, 2.542386581074775442e+00, 3.008674046041843742e+00, 2.339792544195953727e+00, 2.276735536424220552e+00, 2.880995607679731396e+00, 3.680222771768767220e+00, 2.807673475241772909e+00, 2.494127840316244349e+00, 2.923990881794847674e+00, 3.149575330306934706e+00, 3.279368320597180197e+00, 2.780439406157305005e+00
2.016000000000000000e+03, 2.716588037897389452e+00, 4.511938175465083134e+00, 3.040042406694578148e+00, 4.213540556345119370e+00, 2.465550828287222718e+00, 3.047864421464094420e+00, 2.388356574774586960e+00, 2.263409575926740747e+00, 2.837090274337449980e+00, 3.522995755653729244e+00, 2.765690880688019160e+00, 2.504725542395482840e+00, 2.886076987383733083e+00, 3.117898545748383654e+00, 3.358085608794911803e+00, 2.773544778366372920e+00
2.017000000000000000e+03, 2.724970142141427853e+00, 4.503689996110959548e+00, 3.015464670542276071e+00, 4.139168801128136899e+00, 2.517711716001853617e+00, 2.976535207205602163e+00, 2.460721255945009123e+00, 2.255930541380235965e+00, 2.853554148471113106e+00, 3.665027327027154502e+00, 2.824842134433748431e+00, 2.531310716764138213e+00, 3.007340077983603699e+00, 3.084043164559390870e+00, 3.341610330862422540e+00, 2.790902814374342622e+00
2.018000000000000000e+03, 2.646649585310486330e+00, 4.485777156019844725e+00, 3.057940176241193520e+00, 4.243237333626443508e+00, 2.512526097394143232e+00, 3.048110739042757977e+00, 2.535154492759247091e+00, 2.266001374284686065e+00, 2.871413195540122310e+00, 3.909849813520252404e+00, 2.887224685449770512e+00, 2.480385483459243812e+00, 3.052797443027903679e+00, 3.217308774223973433e+00, 3.319745956247795782e+00, 2.803859891912694469e+00
2.019000000000000000e+03, 2.461358217467001008e+00, 4.497131318283570600e+00, 3.283081607193676366e+00, 4.216819822573804721e+00, 2.449151588498406529e+00, 3.073994253596095572e+00, 2.455266712321612310e+00, 2.143605863676179890e+00, 2.841302948950289231e+00, 3.827060425090090146e+00, 2.861393821777656221e+00, 2.519301678374334941e+00, 3.073589100020344578e+00, 3.018408361164984566e+00, 3.352040710627377074e+00, 2.797505901926859551e+00
2.020000000000000000e+03, 2.572703000827530229e+00, 4.494702209198663034e+00, 3.269533201741854356e+00, 4.270988057542538741e+00, 2.520908570677649951e+00, 3.044955144040899064e+00, 2.403648171361074670e+00, 2.232680871811581813e+00, 2.919397066486863590e+00, 3.620818453099632350e+00, 2.871257208251581705e+00, 2.536215760326747226e+00, 3.049878200533803874e+00, 3.048075957955844295e+00, 3.375774534333352950e+00, 2.801881972644560292e+00
2.021000000000000000e+03, 2.460349941006509500e+00, 4.521701485394474140e+00, 3.085551806960949328e+00, 4.142054019205969162e+00, 2.523485011282593948e+00, 2.954163713767550714e+00, 2.388685110933936429e+00, 2.390092273328903616e+00, 3.063325174171667609e+00, 3.772435682100347520e+00, 2.947550347464530152e+00, 2.529081829485912536e+00, 3.133646555692648050e+00, 3.095389850112465702e+00, 3.376503438009416769e+00, 2.788230473434910373e+00
2.022000000000000000e+03, 2.423373784556068333e+00, 4.516558844213082402e+00, 3.072835488182571684e+00, 4.159252956217034836e+00, 2.528252169928066895e+00, 2.876680729242850898e+00, 2.449962566587127188e+00, 2.260746242995813837e+00, 3.066401489843432415e+00, 3.878486862993284490e+00, 3.023452795883889266e+00, 2.508029878569045135e+00, 3.096219644574431218e+00, 3.199697665810258496e+00, 3.383958696720430925e+00, 2.783581668236227991e+00
2.023000000000000000e+03, 2.535494826397733714e+00, 4.522654585938441052e+00, 3.230516248734008222e+00, 4.111400135258566735e+00, 2.467276532708465808e+00, 3.043184964371638213e+00, 2.429079694940064815e+00, 2.215171821604470903e+00, 3.015434616464753415e+00, 3.853536540083748019e+00, 3.058922135191814107e+00, 2.466088919063625706e+00, 3.110294481722875481e+00, 3.222993537181144230e+00, 3.396673681742848228e+00, 2.774937752841991401e+00
2.024000000000000000e+03, 2.682011730569825669e+00, 4.513902422166544248e+00, 3.192229758742932244e+00, 4.166083096412794617e+00, 2.493328650644325517e+00, 3.215933017502302871e+00, 2.222761154044095022e+00, 2.258135282077497585e+00, 2.964068153067979328e+00, 3.873866765866826434e+00, 2.996462935376686065e+00, 2.494680896405527815e+00, 3.160497839128889819e+00, 3.274112552339578208e+00, 3.379681786546528954e+00, 2.772271804156461350e+00
2.025000000000000000e+03, 2.641376878007415385e+00, 4.517324125219973396e+00, 2.940087805863129233e+00, 4.191245178177720021e+00, 2.479225894097190963e+00, 3.110976619715230651e+00, 2.353800574204735874e+00, 2.361090554823124243e+00, 3.022180578610873081e+00, 3.908008640755110008e+00, 2.979692924263406262e+00, 2.512869116347247189e+00, 3.278014309020828243e+00, 3.133297461283105712e+00, 3.332684293211671811e+00, 2.758818448609858365e+00
2.026000000000000000e+03, 2.540373389814883254e+00, 4.513082045377237783e+00, 3.083948391266933431e+00, 4.328144339244119898e+00, 2.452676046013216204e+00, 3.076976779000842654e+00, 2.534158629544666752e+00, 2.384144882840988355e+00, 3.131170303345119699e+00, 3.785527263452925784e+00, 2.974564825223519726e+00, 2.467917175477154057e+00, 3.349588590320750736e+00, 3.275565587247287969e+00, 3.317256132538576097e+00, 2.804584777239369053e+00
2.027000000000000000e+03, 2.476086827233214382e+00, 4.492987852376439051e+00, 3.163181290383528577e+00, 4.240210351986502424e+00, 2.505583313475519880e+00, 3.239100906421290116e+00, 2.457776304747229190e+00, 2.324042494735613751e+00, 3.173236654403840173e+00, 3.534224117732676529e+00, 3.065360753573429076e+00, 2.500907551285503683e+00, 3.330069826169709479e+00, 3.143831284608265442e+00, 3.331321751120442265e+00, 2.793568503120950730e+00
2.028000000000000000e+03, 2.539223959545240383e+00, 4.487607851046035989e+00, 3.080280653469850805e+00, 4.300365642628225515e+00, 2.483893246216100525e+00, 3.250619717764299033e+00, 2.338975159367259860e+00, 2.137433975965218558e+00, 3.176232219213096286e+00, 3.722878489588782536e+00, 3.061754560397406788e+00, 2.529114802940835904e+00, 3.289766018965303740e+00, 2.878660644618359132e+00, 3.336323995321962332e+00, 2.792516489602626883e+00
2.029000000000000000e+03, 2.652127889649845915e+00, 4.470419798368141073e+00, 2.996687413595001903e+00, 4.239394802518675398e+00, 2.491589931987684192e+00, 3.026161263453764239e+00, 2.218044960766013762e+00, 2.278957225200265668e+00, 3.116550833784446084e+00, 3.927678006282704359e+00, 3.076486557227668950e+00, 2.476783634129143152e+00, 3.242437377796487663e+00, 3.103631208761845173e+00, 3.319294066208663185e+00, 2.789807780138264803e+00
2.030000000000000000e+03, 2.617115584040264231e+00, 4.481468055759545877e+00, 3.124329479785143526e+00, 4.209181812666319189e+00, 2.459163651698627273e+00, 3.041647330779646996e+00, 2.385979534002561575e+00, 2.372544581924815876e+00, 3.211521555217371926e+00, 3.861941196609885552e+00, 3.117216305964884970e+00, 2.530703331324585026e+00, 3.265029888233219157e+00, 3.384450935240312042e+00, 3.316948166460929492e+00, 2.812024411848051297e+00
2.031000000000000000e+03, 2.491604040873319548e+00, 4.498713271274885628e+00, 3.376869816809474845e+00, 4.197831577245397128e+00, 2.524295833130123512e+00, 3.156486611642862261e+00, 2.474153318659210843e+00, 2.331130945846080937e+00, 3.216881935960425487e+00, 3.774596768326942353e+00, 3.111901483876891028e+00, 2.534197423537903227e+00, 3.240659646287114004e+00, 3.229597928091035186e+00, 3.382988707428493669e+00, 2.810362503999057182e+00
2.032000000000000000e+03, 2.469477528793809995e+00, 4.486893705529359622e+00, 3.191036611147883395e+00, 4.115053696202346067e+00, 2.495221798286184178e+00, 3.067492868944324158e+00, 2.460954369411970877e+00, 2.206983456740677418e+00, 3.124667103067455098e+00, 3.863063085720213063e+00, 3.163726356209912716e+00, 2.504118073103871911e+00, 3.177035296246355944e+00, 3.096205299974597036e+00, 3.428652892452042966e+00, 2.832481995405008224e+00
2.033000000000000000e+03, 2.567085729745564482e+00, 4.494348620947231865e+00, 2.986933446941715253e+00, 4.260263671619477499e+00, 2.548182750140115083e+00, 3.098064287332985334e+00, 2.417181595403691041e+00, 2.284036515228781816e+00, 3.155677849489990194e+00, 3.812971067770098976e+00, 3.184487182574013531e+00, 2.521438602756103098e+00, 3.217938829623711250e+00, 3.006089108568315904e+00, 3.393661062161389630e+00, 2.812943515213715884e+00
2.034000000000000000e+03, 2.461106139747542443e+00, 4.475271821973518804e+00, 3.091989545159801622e+00, 4.266519539581512532e+00, 2.509464029026488685e+00, 3.139074025505264487e+00, 2.418943318931142894e+00, 2.278840015522030971e+00, 3.213758315246154407e+00, 4.010960500661362005e+00, 3.217198195715797127e+00, 2.514363647858497863e+00, 3.199650215862259284e+00, 3.051290486493198895e+00, 3.469614324915361703e+00, 2.837765912127736989e+00
2.035000000000000000e+03, 2.480998643769056322e+00, 4.491795913495420400e+00, 3.153752377643309401e+00, 4.198211867515996509e+00, 2.449815244532666192e+00, 3.041483074081952509e+00, 2.435658929963131492e+00, 2.255899411271463872e+00, 3.274953208462160426e+00, 4.102433175289748490e+00, 3.260669127197271422e+00, 2.498688928228527395e+00, 3.107433218487564819e+00, 3.050414019988067604e+00, 3.352221322546043769e+00, 2.866719434548810508e+00
2.036000000000000000e+03, 2.662585579795883284e+00, 4.481116909986394781e+00, 3.173156137758492701e+00, 4.212938027972151112e+00, 2.535601728778226871e+00, 3.020919272883965334e+00, 2.503010983880893825e+00, 2.165930066182419900e+00, 3.327118846307837163e+00, 4.015663295779150488e+00, 3.272123768418351286e+00, 2.516224351447352792e+00, 3.122441264908717873e+00, 2.952306922469649209e+00, 3.224410151400808111e+00, 2.868294228495031462e+00
2.037000000000000000e+03, 2.634167399031887680e+00, 4.480480981937467355e+00, 3.161600457778816153e+00, 4.134110863797732627e+00, 2.498253185388440212e+00, 3.115651987321442107e+00, 2.275159746851642684e+00, 2.074158410161081267e+00, 3.301432598668721408e+00, 3.815001586187718008e+00, 3.159507403190495278e+00, 2.534921824733819662e+00, 3.225799290649723705e+00, 2.968534238186903096e+00, 3.355941512689333273e+00, 2.839711238343417765e+00
2.038000000000000000e+03, 2.677752302183919575e+00, 4.491810314438865248e+00, 3.060340443469794725e+00, 4.346509608922220380e+00, 2.493481711685701985e+00, 3.104600925684180446e+00, 2.215213531755203746e+00, 2.247780232273584033e+00, 3.221328778773144386e+00, 3.930807509868502692e+00, 3.131118303148025195e+00, 2.525989295754610175e+00, 3.381548485372338320e+00, 3.017501457081409377e+00, 3.430782278390014373e+00, 2.830623695455762423e+00
2.039000000000000000e+03, 2.635795997105826238e+00, 4.472594452568559475e+00, 3.297123200092980433e+00, 4.262016861003232293e+00, 2.534299851557810790e+00, 2.883515997210563064e+00, 2.430179338035888481e+00, 2.212725582707111727e+00, 3.222949057509702175e+00, 4.047087629293588229e+00, 3.197029077809309783e+00, 2.516378220504312591e+00, 3.444675703937721156e+00, 3.059101437863080530e+00, 3.390779597988765826e+00, 2.848144672435458435e+00
2.040000000000000000e+03, 2.572371458426874202e+00, 4.484164835290568973e+00, 3.390815919451674265e+00, 4.410763383706887808e+00, 2.507204937335473449e+00, 2.917242440243200452e+00, 2.463288648745198373e+00, 2.378380850733663454e+00, 3.237265439930943955e+00, 4.229289564980726723e+00, 3.248330404200583832e+00, 2.457368943907155323e+00, 3.438880558273739396e+00, 3.214067338717945699e+00, 3.446674086907393963e+00, 2.869886972954611259e+00
2.041000000000000000e+03, 2.455996788397105224e+00, 4.476397532617841790e+00, 3.101453963924380552e+00, 4.372913976946855463e+00, 2.458773972381917083e+00, 3.014278339180690214e+00, 2.624729675182891686e+00, 2.411365979992694086e+00, 3.245707856488313059e+00, 4.129169791198818551e+00, 3.333260902775371015e+00, 2.509419839650154582e+00, 3.404795003690740174e+00, 3.201834318409236158e+00, 3.463850037239287971e+00, 2.898212869535575997e+00
2.042000000000000000e+03, 2.473416091540311168e+00, 4.487954029956325641e+00, 2.956637239793344474e+00, 4.423168895975286397e+00, 2.519111514721626310e+00, 3.106435602320421374e+00, 2.582469910945939695e+00, 2.365214502015710263e+00, 3.337288401419997719e+00, 3.949092130558212066e+00, 3.282757384587613458e+00, 2.514219308657565488e+00, 3.469442255432964028e+00, 3.163257315870556141e+00, 3.446375240403469764e+00, 2.900728462151248799e+00
2.043000000000000000e+03, 2.396241213783982360e+00, 4.475472779900782960e+00, 3.227107140368524973e+00, 4.204211071023139290e+00, 2.498688018026610891e+00, 2.977146555427336860e+00, 2.504874837186124914e+00, 2.344283898873759764e+00, 3.406126540234569955e+00, 3.927443448561315442e+00, 3.210650926524032389e+00, 2.523374592533606187e+00, 3.349344179069623006e+00, 3.007258598679323214e+00, 3.483705188212441239e+00, 2.875005971579943864e+00
2.044000000000000000e+03, 2.476184205091393142e+00, 4.484923965420217762e+00, 3.216007464116394043e+00, 4.400552047166339520e+00, 2.469213980200056557e+00, 2.903463548529646943e+00, 2.534994459210344608e+00, 2.324569972643018456e+00, 3.407157966749186695e+00, 3.878107955409934693e+00, 3.250359878391173574e+00, 2.547125772895543871e+00, 3.418171379908616192e+00, 2.812958115060518072e+00, 3.433313191625579464e+00, 2.897506473974288621e+00
