year, GFDL-ESM4, CanESM5, CNRM-ESM2-1, TaiESM1, CESM2-WACCM, NorESM2-LM, MIROC-ES2L, ACCESS-ESM1-5, IPSL-CM6A-LR, NorESM2-MM, UKESM1-0-LL, EC-Earth3-Veg, INM-CM4-8, INM-CM5-0, CMCC-CM2-SR5, MPI-ESM1-2-LR
2.015000000000000000e+03, 2.560724140792868808e-01, 7.032215629485877306e-01, 5.405233021120852133e-01, -2.175179402114484351e+00, 3.499114009228837530e-01, 1.790347479611226755e-01, -5.051362402260635154e-01, -1.206537187254132643e-01, 4.460188847308827476e-01, -4.826357224347260222e-01, -3.075345550997783950e-01, 2.540594507219557374e-01, 2.362794855249639614e+00, 7.670161141835368790e-01, -5.672290654446470182e-01, 5.618653348011656140e-02
2.016000000000000000e+03, -1.893232096588589375e+00, 9.002862596117396088e-02, 1.197073382028505772e+00, -1.925746709784419197e+00, 3.152895206462116851e-01, -2.550329049899941469e-01, 5.554973929951231293e-01, 2.713236351814718450e-01, 7.024977557276605999e-01, -4.380156920437701107e-01, -7.170726283796289291e-01, -9.805526205417367525e-01, 1.069613371649685174e+00, 1.365157775943005802e+00, 2.886853270460013401e-02, -3.398223271129071632e-01
2.017000000000000000e+03, -1.296139014649959842e+00, 3.408150633487215253e-01, 3.144803072425687018e-01, 2.981375372188356798e-01, 4.618965655698301642e-01, 1.697637961631033865e-01, 5.177233960919118694e-01, 3.975600125372291127e-01, -4.269573634275758978e-01, 3.976660663697643150e-01, -8.377179408748684775e-02, -4.124019514663710972e-01, 1.672597724561196486e+00, 1.726913614249066864e+00, 4.273277265999115282e-01, 1.885696361517473219e-01
2.018000000000000000e+03, -2.490161524259161818e-01, -1.196744780555695220e+00, -2.807790631815339499e-01, -5.676863350797054508e-01, 4.103046873458800481e-01, 1.976455145227673516e-01, 3.735615411394012098e-01, 4.802014535095719960e-01, 4.129571441575730639e-01, -2.925355870745562359e-01, -8.911936488577826276e-01, 8.489249201961238667e-01, 1.127410744126316589e+00, 7.017239863987467796e-01, 3.582872955138278193e-01, 1.014831344495095822e+00
2.019000000000000000e+03, 1.000729469199505006e+00, -1.298408365529268194e+00, -1.478840588820005963e-01, -1.767769454998376011e+00, 5.763090215935215976e-01, 2.258331105728936805e-01, -2.384575357120917449e-01, -2.113228358228803807e-03, 2.092407065362601182e-01, -3.189684748152066956e-02, -6.254367017452533428e-01, 7.727017825100969128e-01, 7.491262076033230466e-01, 5.987539811700808290e-01, 1.445571151253714770e-01, -4.387757518833940162e-01
2.020000000000000000e+03, 2.736389078111369638e-02, 2.763707594046633242e-01, 7.937110676568015499e-01, -1.222322794303576599e+00, 1.163114810606030725e+00, -6.958051556575263474e-02, 2.522047684439895909e-01, -1.097256436731857410e-01, 7.303677885335284614e-01, 4.839302632784976410e-01, 5.165854559225627890e-02, -2.928983744876282880e-01, 1.747464757958363757e+00, 1.459733289384656407e+00, -3.546187976530583708e-01, 2.634790321395177881e-01
2.021000000000000000e+03, -7.552985687339240917e-01, 1.633075902673299495e+00, -7.772067758098805124e-01, 9.661653150212914237e-03, 9.685653614820178836e-01, 7.654648468694011387e-02, -5.274518998118467306e-02, 4.264655347555736109e-02, 1.701874666810449521e-01, 3.328375448420617388e-01, 8.973459440765030326e-01, -4.499808780244260453e-01, 1.885399076256602635e+00, 1.122486236311131202e+00, -6.913202679933949657e-01, 5.775986236025719700e-01
2.022000000000000000e+03, -3.754401973685601024e-01, -4.515029940190126156e-01, 2.182160365018805392e-01, -6.819163952607372181e-01, 5.295463633785455482e-01, 5.675955953779949353e-02, -2.226093901543925169e-01, 2.299424610868657515e-01, 3.263831439450934346e-01, 5.855693508363446487e-01, 9.771080586099358811e-01, -9.266318442504417607e-01, 1.132837935995185452e+00, 9.141052189324117005e-01, 2.530941682585624020e-01, 9.850834288591556742e-01
2.023000000000000000e+03, 8.929772591867276565e-01, -7.432361411992234324e-01, 5.853237144634465539e-01, -2.430945815300757651e-01, 3.745495516167347549e-01, 6.401599827372272955e-01, -3.126597575565785436e-01, -7.493935177264905434e-01, 6.248700851564106262e-01, 5.671082417597106407e-02, 4.825329907059919821e-01, 3.143208440019591987e-01, 3.645391769444645824e-01, -3.250942475037206236e-01, 6.869587020306151814e-02, 6.317507429666088248e-01
2.024000000000000000e+03, 1.547792592342622509e-01, 2.328269565414365916e-01, 8.892780471756974725e-01, -6.211427691817900110e-01, 4.040126182506230679e-01, 4.988701206130974342e-01, -1.796855725260266545e-01, -1.655712149225392782e+00, 7.566733919592175117e-02, 2.129927170443489393e-01, -4.401517501711814107e-01, -3.861333348766504137e-01, 1.199058853205912545e+00, 3.111807754542347815e-01, 1.912711733440863315e-01, 9.514813919829905320e-01
2.025000000000000000e+03, -1.852621129718639459e+00, 8.396572583104495724e-01, -1.147756404532372515e-01, -3.882524465032052285e-01, 1.170769493771138148e+00, 6.401018808785667868e-01, 4.693772784114539354e-01, 1.212394519924961056e+00, -2.064034892661116005e-01, -9.502126829306744432e-03, -1.412768536460072166e+00, 1.024755736244464810e+00, 8.302731637091251837e-01, 8.854906608091164255e-01, 4.407952521946585933e-01, 5.172935347303264653e-01
2.026000000000000000e+03, 2.628137642559878473e-01, 1.066081990349963649e+00, 1.803254559673940771e-01, -1.706372997200025443e+00, 1.211885710779599501e+00, 8.229204122569128144e-01, 2.751739671480669669e-01, 7.848602336356087505e-01, 2.703081961421276991e-01, 7.871793116964866943e-01, -4.434713913456004852e-01, 2.055398566450294950e-01, 3.035188633962032645e-01, 1.418580934957730522e-01, -4.301939812771329863e-01, 1.186626918936404707e+00
2.027000000000000000e+03, 2.192472514193647137e-01, -6.431980438070029615e-01, -6.128799169607277442e-01, 8.371256479960377528e-02, 7.398494351474939057e-01, 4.540728187942947303e-01, 5.810276092289331507e-01, -2.608065613899813728e-01, 1.832416955722490914e-01, 4.807126344111266603e-01, -5.453249649000765364e-01, 8.063930960882359500e-01, 6.365720835528136945e-01, 1.566677160944974556e+00, 4.650910455493202254e-04, 7.784426596254582220e-01
2.028000000000000000e+03, -9.610475617343496035e-02, -2.130217118565290058e+00, 9.482122923907185807e-01, 3.183939957321653136e-01, 7.976355009876736624e-01, 1.861505402722740954e-01, -4.441271313869252779e-01, -1.372066670826148638e+00, 4.904179476474135324e-01, 3.705682910432036015e-01, -4.191784756407345713e-01, 4.554088999041148167e-01, 7.213606767450766455e-01, 1.594662051052330831e+00, 1.794257909100544779e-01, -1.165738606371125030e+00
2.029000000000000000e+03, -1.033254452988553007e+00, 7.984102270666857404e-01, 1.102043813823830432e+00, -7.251840646313884031e-01, 7.653166658704780856e-01, 4.003829568823860652e-01, 4.469582488043464807e-01, -9.414498322708457767e-01, -2.320470542646728418e-01, 7.997144130130330320e-01, 6.248285273249850613e-01, -5.923596319590599402e-01, 8.051778935085281974e-01, 8.800496453590820334e-01, 9.419007747729002400e-02, 4.703029053066398735e-01
2.030000000000000000e+03, 7.742066785554293507e-01, 8.273786370448125149e-01, -3.512979537972611976e-01, -1.077232160873478950e+00, 1.414700099453384707e+00, 7.652668845602733638e-01, 9.650337936954341833e-01, 1.099190218617638548e+00, 2.081452194553644885e-01, 3.095864424135664761e-01, 4.879307911981093926e-01, 2.608137325809168905e-01, 2.876005661130301982e-01, 9.222333741096165882e-01, 3.564341715037276925e-01, 2.309293342487960476e+00
2.031000000000000000e+03, 9.759705739373866207e-01, 9.129391120352677025e-02, -6.088157448988870124e-01, 2.502309841000935342e-01, 7.901531475075255218e-01, 1.396879936341603456e-01, 6.572013766964595050e-01, 6.800193324464059996e-01, 6.797600965679958529e-01, 9.232214583108071526e-01, -1.568521676834955247e+00, -3.595841053102773466e-01, 1.236320552706727360e+00, 1.430867310862155461e+00, 2.317093557588872088e-01, 6.750968643079146014e-01
2.032000000000000000e+03, -1.913058576365410379e-02, -1.012026645862932561e+00, 3.541825025102532942e-01, -1.183720255715189767e-01, 7.185645529722400893e-01, 5.358939188460196679e-01, 4.486860261529890259e-02, -1.537735929006672220e-01, 6.925174585471992605e-01, 4.444277988371157506e-01, -8.987156766949673248e-01, -1.258955221961781890e+00, 1.410605771412107634e+00, 9.825062422832357978e-01, -7.512777285003737759e-01, -4.919584298387738586e-02
2.033000000000000000e+03, -1.122214212770361597e+00, 5.872050788699161306e-01, 4.302873565464988559e-01, -5.884652308965491185e-01, 9.194766509702322344e-01, 6.911461731144148413e-01, 2.278338828777885794e-01, -2.576817424853580230e-01, 2.207652838709131815e-01, 7.080696567360232896e-01, 5.391166167449089608e-01, 1.739877015478370703e+00, 2.323279735794173906e+00, 1.855835326861651646e+00, 4.225227469733195407e-01, -1.487764977828938961e-01
2.034000000000000000e+03, -5.202820394772176282e-01, -2.977459116748188972e-01, -8.185566486674741293e-01, 7.565634644726841884e-01, 1.293790946005565434e+00, 1.971744565747375888e-01, 1.019262268071436051e+00, 4.926049664104587000e-01, 1.186085335918591444e+00, 8.513996519549421604e-01, -1.028883007726236753e+00, -2.143087332198188033e-01, 7.160883061398056748e-01, 1.316304104173322331e+00, -2.095930224039019851e-01, 4.489213401823261562e-01
