year, CMCC-ESM2, CESM2-WACCM, CanESM5, MPI-ESM1-2-LR, MIROC-ES2L, UKESM1-0-LL, CNRM-ESM2-1
2.015000000000000000e+03, -4.844501793300824408e-10, 6.218516221007440290e-10, 1.245118499726423325e-09, 1.029173391408300588e-10, -8.955984059816164914e-10, -5.479242699753167263e-10, 9.570462546271149250e-10
2.016000000000000000e+03, -4.182215292476280210e-10, 5.603226969115612446e-10, 1.594039682446477682e-10, -6.035134299678257708e-10, 9.848879175066285867e-10, -1.277584875939272633e-09, 2.119528598133641885e-09
2.017000000000000000e+03, 2.634325203931164964e-10, 8.208681620112853707e-10, 6.034444373144891395e-10, 3.467517802605882446e-10, 9.179152302986578199e-10, -1.492534687850492669e-10, 5.568163278519930344e-10
2.018000000000000000e+03, -2.763359112349300188e-10, 7.291806860497403908e-10, -2.118946778982479478e-09, 1.782275684589589874e-09, 6.623185868247300818e-10, -1.587810609765820152e-09, -4.971451734746387258e-10
2.019000000000000000e+03, -9.655448524599016064e-10, 1.024198408408551640e-09, -2.298951513007336829e-09, -7.616876223421509747e-10, -4.227813644542278271e-10, -1.114320139108767006e-09, -2.618423370815672421e-10
2.020000000000000000e+03, -4.674871977692688805e-10, 2.067051344303477431e-09, 4.893398659098637317e-10, 4.380588427686399301e-10, 4.471549863425247619e-10, 9.203834304876797701e-11, 1.405338496210683097e-09
2.021000000000000000e+03, 4.610837348931222839e-10, 1.721304134588420938e-09, 2.891511189375478020e-09, 1.038815209491899242e-09, -9.351637104715725276e-11, 1.598771953167690071e-09, -1.376116128487314886e-09
2.022000000000000000e+03, 2.917200223127871574e-10, 9.410932715423930153e-10, -7.994276059706685116e-10, 1.736832053043082206e-09, -3.946828580138900261e-10, 1.740881506883497362e-09, 3.863715766140865416e-10
2.023000000000000000e+03, -9.129149498341407024e-10, 6.656377746357123496e-10, -1.315967993347908991e-09, 1.124727738906614640e-09, -5.543407068892031859e-10, 8.597132656712548837e-10, 1.036369507998585325e-09
2.024000000000000000e+03, -6.385979966511579776e-10, 7.179986172090687869e-10, 4.122415552919229617e-10, 1.681290842094746094e-09, -3.185796217277627127e-10, -7.842039939630717709e-10, 1.574548629163692281e-09
2.025000000000000000e+03, -2.103869461693577773e-10, 2.080655008346245544e-09, 1.486690455520549952e-09, 9.306198963179511978e-10, 8.321983434828549592e-10, -2.517083547677532079e-09, -2.032208350481457061e-10
2.026000000000000000e+03, -1.267712319073032614e-09, 2.153725466107616893e-09, 1.887596283089163020e-09, 2.099370984882848171e-09, 4.878790051475119332e-10, -7.901184901941812192e-10, 3.192828164357923301e-10
2.027000000000000000e+03, -1.120328589597368723e-09, 1.314837327801684264e-09, -1.138841334691121061e-09, 1.364829054460695776e-09, 1.030152579082154519e-09, -9.715876747419366426e-10, -1.085160300715048935e-09
2.028000000000000000e+03, 3.478773271763779705e-10, 1.417532920693942645e-09, -3.771745467585260660e-09, -2.075946875563846308e-09, -7.874302400978179054e-10, -7.468365959080514844e-10, 1.678897134458318935e-09
2.029000000000000000e+03, -3.403211187976424645e-11, 1.360096895491483434e-09, 1.413658790443239193e-09, 8.579380736189293678e-10, 7.924497656124681787e-10, 1.113236574612624410e-09, 1.951270001374279136e-09
2.030000000000000000e+03, -1.744904767001353640e-09, 2.514160868468112253e-09, 1.464950026480127003e-09, 4.087829859345819387e-09, 1.710989350051840756e-09, 8.693303504673235903e-10, -6.220053596692497798e-10
2.031000000000000000e+03, -2.751491405391157097e-10, 1.404235515589423758e-09, 1.616442722195124938e-10, 1.193480835466647114e-09, 1.165207440105390381e-09, -2.794583829584332211e-09, -1.077964310024645471e-09
2.032000000000000000e+03, 9.109310007504366410e-10, 1.277010499433146022e-09, -1.791886320573682064e-09, -8.529161985165194425e-11, 7.955130869822491754e-11, -1.601212361026214809e-09, 6.271127186513164811e-10
