year, IPSL-CM6A-LR, UKESM1-0-LL, GFDL-ESM4, MPI-ESM1-2-LR, MIROC-ES2L, CNRM-ESM2-1, CESM2-WACCM, INM-CM5-0, ACCESS-ESM1-5, NorESM2-LM, INM-CM4-8, CanESM5, CMCC-CM2-SR5, EC-Earth3-Veg, NorESM2-MM, TaiESM1
2.015000000000000000e+03, 4.728187189905825427e+00, 4.726331619264357187e+00, 4.256447552055874439e+00, 3.958274210014395056e+00, 4.856952756159745199e+00, 4.099598600336373799e+00, 3.935683847297693827e+00, 5.035372297446770062e+00, 5.239205666796775240e+00, 3.996227404572633368e+00, 5.228044705785590551e+00, 4.545653878231815881e+00, 4.154557987988925838e+00, 4.715767261283089873e+00, 3.652393118021396212e+00, 4.231903203473444286e+00
2.016000000000000000e+03, 4.785635008696854875e+00, 4.716392043098875497e+00, 3.901893277555379846e+00, 4.007353935174732484e+00, 4.838132787818880232e+00, 4.320834049297574531e+00, 4.011842404314211130e+00, 5.014775012852620506e+00, 5.321946270516865418e+00, 4.234729867606247922e+00, 4.953584716974311242e+00, 3.948266269610537282e+00, 4.226641828860638661e+00, 4.507631386380298366e+00, 3.912619744009620426e+00, 4.266123093625398432e+00
2.017000000000000000e+03, 4.816420471804534920e+00, 4.864384817661433935e+00, 3.893914174639772074e+00, 3.925492479057603123e+00, 4.770862587487665785e+00, 4.318121951302721584e+00, 4.054164335510956008e+00, 5.232314617217046049e+00, 5.587352681865583648e+00, 4.018136372826281999e+00, 5.027505516968343358e+00, 4.312231015705392245e+00, 4.286505668107246869e+00, 4.669892679646199696e+00, 4.116358867215098805e+00, 4.638479951633017073e+00
2.018000000000000000e+03, 4.891566353762182295e+00, 4.409803226667772691e+00, 4.100658507313132084e+00, 4.130759240704976243e+00, 4.496277413376984278e+00, 3.827674146913782494e+00, 3.864780882537564022e+00, 5.042811262161047914e+00, 5.382221641226995423e+00, 4.147400454019751770e+00, 4.985641027248375323e+00, 3.661622850296582410e+00, 4.496293050944917269e+00, 4.554759829535302451e+00, 3.790403385053482399e+00, 4.385691451692013132e+00
2.019000000000000000e+03, 4.812834024772900676e+00, 4.931860736655935717e+00, 4.312569753659163396e+00, 3.833065091848700146e+00, 4.830555738354723516e+00, 3.929276011796017709e+00, 3.926089479104634350e+00, 4.960438153855292853e+00, 5.046876451069651104e+00, 4.215958044825093509e+00, 4.836305037767778536e+00, 3.586434231753022228e+00, 4.235109085769115822e+00, 4.660175372439489649e+00, 4.060532934736420074e+00, 4.264820707420775570e+00
2.020000000000000000e+03, 4.920253324115081206e+00, 5.241705968981298369e+00, 4.156724406850877074e+00, 3.964719658436111960e+00, 4.713111985723767994e+00, 3.965769638387562690e+00, 4.661293343692749502e+00, 5.169141007099329777e+00, 5.084653852412757580e+00, 4.196274593715545009e+00, 5.126821168028900644e+00, 4.343844027957366905e+00, 4.216342179506874288e+00, 4.613563249596754900e+00, 4.282753133955191416e+00, 4.280155747645351560e+00
2.021000000000000000e+03, 4.936283498444256068e+00, 5.366580137680575291e+00, 3.780101385156406923e+00, 3.915397738699411434e+00, 4.616693545971625845e+00, 3.670243835951123135e+00, 4.237365954792140954e+00, 5.037315443216251687e+00, 5.062331406468088879e+00, 4.068293870657445410e+00, 5.124466467458677066e+00, 4.360596780141748674e+00, 4.111250257324630120e+00, 4.647031615663608228e+00, 4.058259083270671752e+00, 4.421677356033256956e+00
2.022000000000000000e+03, 4.837629241322736640e+00, 5.120446285194282687e+00, 4.031467993511478554e+00, 3.986364923472110799e+00, 5.100313731189024757e+00, 3.955872156408166695e+00, 4.057856840242177299e+00, 5.088918542933038580e+00, 5.350654382758180283e+00, 4.066816779190121522e+00, 4.913023078808189226e+00, 3.976970417784936540e+00, 4.223323972090594403e+00, 4.384924657646097401e+00, 4.176772027455016634e+00, 4.362109193576899635e+00
2.023000000000000000e+03, 4.867595018496010617e+00, 4.879932633322102475e+00, 4.144108841755246964e+00, 4.035374289213256915e+00, 4.745730420642683356e+00, 4.175006916724208317e+00, 3.886701641221541159e+00, 4.897017654694801436e+00, 4.794211195328472286e+00, 4.630920016322536803e+00, 4.997150551518416250e+00, 3.933604986088049760e+00, 4.339683993580141674e+00, 4.578416801649993317e+00, 3.829629797077249265e+00, 4.462219867469620738e+00
2.024000000000000000e+03, 4.635746224423483497e+00, 4.609537572005990569e+00, 3.988333997096841887e+00, 4.026398732238962275e+00, 4.747418640045194316e+00, 4.062480189196448599e+00, 3.964608977588414795e+00, 4.952891269017323239e+00, 4.807634073752085513e+00, 4.370506242826649235e+00, 5.038224093147637639e+00, 4.002875444757132861e+00, 4.387513208690701383e+00, 4.632506791140749591e+00, 3.847243536790761365e+00, 4.284122570932491492e+00
2.025000000000000000e+03, 4.700126989016939483e+00, 4.767168654383713289e+00, 3.610254869698965141e+00, 3.901238986809449916e+00, 4.822224179419663415e+00, 3.974370670598178723e+00, 4.393227952892808652e+00, 5.144044418656479323e+00, 5.511649750502592759e+00, 4.407623357817831433e+00, 4.966953398641342332e+00, 4.309467218612265782e+00, 4.281931837435130284e+00, 4.630525459402117683e+00, 3.899345349413572581e+00, 4.305399897974062640e+00
2.026000000000000000e+03, 4.832102291545200323e+00, 4.839892185823910786e+00, 4.257153957498246655e+00, 4.168730136902889072e+00, 4.949874100720236036e+00, 4.024038766201710082e+00, 4.372578464008250343e+00, 4.875862220833527161e+00, 5.238364727668894716e+00, 4.349155207565551962e+00, 4.937253547015716393e+00, 4.271421896319952616e+00, 4.062652712223660423e+00, 4.507671543086227750e+00, 3.999442000233242922e+00, 3.952112412454017676e+00
2.027000000000000000e+03, 4.679015140324475297e+00, 5.021947776905686389e+00, 4.028491180984564046e+00, 3.563063201020777004e+00, 4.416217885887941286e+00, 3.833171648536344289e+00, 4.057335203636142751e+00, 5.300777018269409169e+00, 5.084747316071807077e+00, 4.165554627366110374e+00, 4.983254659768173056e+00, 3.846919110855446799e+00, 4.351421802281119078e+00, 4.633907729927849495e+00, 4.073834447614670395e+00, 4.282220806242879263e+00
2.028000000000000000e+03, 4.782917234433418763e+00, 4.687669357486839772e+00, 4.085477527014345078e+00, 3.692603374417516182e+00, 4.895806085558586318e+00, 4.080421196693511554e+00, 3.969859949828035361e+00, 5.150546547060754321e+00, 5.048940574968111328e+00, 4.034711048463599070e+00, 5.034159108603811994e+00, 3.554389385021659020e+00, 4.432570270427040882e+00, 4.597113980288244584e+00, 4.118382557072109762e+00, 4.249290721406555171e+00
2.029000000000000000e+03, 4.856116193184076835e+00, 5.043205648397194096e+00, 3.601008992736693504e+00, 4.183697322852815148e+00, 4.803365218811357806e+00, 4.188859131441814654e+00, 4.130675434282677472e+00, 5.145260501412511900e+00, 5.072061503313339159e+00, 4.345471418249215567e+00, 4.948805334963762625e+00, 4.229761043588918135e+00, 4.310431746789391561e+00, 4.492355767893447371e+00, 4.125689703562565036e+00, 4.119261905200672480e+00
2.030000000000000000e+03, 4.901729557323763586e+00, 5.062994028180781036e+00, 4.185536293775032668e+00, 4.365524188457630572e+00, 4.902426956494313259e+00, 3.939226760832664098e+00, 4.263762454279574676e+00, 5.095431640050136934e+00, 5.200733487675953448e+00, 4.501840030712016549e+00, 4.777187149550810474e+00, 4.013370272375293091e+00, 4.278853898416969059e+00, 4.512410782314655755e+00, 3.807180347085518335e+00, 4.183247984717464618e+00
2.031000000000000000e+03, 4.997109121269307508e+00, 4.565383280105494102e+00, 4.102356783424482956e+00, 3.796745060386372828e+00, 4.650588639724215767e+00, 3.904649431315785346e+00, 3.932296440269775317e+00, 5.170152797001158262e+00, 5.375054577781438248e+00, 3.849194293786980303e+00, 5.040550273404705628e+00, 3.666087895736333202e+00, 4.117649772649229156e+00, 4.529062673798703642e+00, 4.358057686077011716e+00, 4.503911548379850416e+00
2.032000000000000000e+03, 4.867934654887152490e+00, 4.850320081816847484e+00, 4.032927244772004371e+00, 3.900947866294730115e+00, 4.652783072444485413e+00, 3.911668412043352916e+00, 4.036687792684153564e+00, 5.255952058162765006e+00, 5.038600227261269104e+00, 4.068545255558118967e+00, 5.067307857380626501e+00, 3.793186251459922165e+00, 3.953864019038241029e+00, 4.318560146619171647e+00, 4.129907047678368137e+00, 4.259860503641939466e+00
2.033000000000000000e+03, 4.772238893808131266e+00, 5.080233206545048397e+00, 3.738059089894837150e+00, 3.712029740842047065e+00, 4.884423129172561495e+00, 4.068677684136396522e+00, 4.130482685472330218e+00, 5.104456749633694557e+00, 4.944943318736570781e+00, 3.949891257344016360e+00, 5.231876042394244308e+00, 3.912132875423300682e+00, 4.194060063134545047e+00, 4.820593244392660459e+00, 4.207260811893178243e+00, 4.315340317358646871e+00
2.034000000000000000e+03, 4.994245433088178032e+00, 4.565873000852052499e+00, 4.063149859977396972e+00, 3.689981376800302915e+00, 5.118880448827351159e+00, 3.784998870137016080e+00, 4.319970455727164982e+00, 5.074972593945620503e+00, 5.249865544425313502e+00, 3.891758546662045681e+00, 5.045185398221845752e+00, 3.759236523066128655e+00, 4.163498029666161671e+00, 4.376622160411602458e+00, 4.193800862049291922e+00, 4.536230363778093633e+00
2.035000000000000000e+03, 4.553127676907185339e+00, 5.253165881764997991e+00, 4.076203524968467384e+00, 3.762696860905007323e+00, 4.858097435265578135e+00, 4.040070021333769468e+00, 4.194302955495057716e+00, 4.974857922871321669e+00, 5.359952854818491375e+00, 3.820006701464443655e+00, 4.896125828930869339e+00, 3.654164870975863622e+00, 4.303399413208446767e+00, 4.589100599937247615e+00, 3.966853227413858818e+00, 4.409309229239024575e+00
2.036000000000000000e+03, 4.667063962835546143e+00, 5.187819261451182662e+00, 4.078733178649848412e+00, 3.628091164803018298e+00, 4.502318836074984176e+00, 4.076004366026337422e+00, 3.919328016981326268e+00, 5.374755485028998692e+00, 4.959671802243480698e+00, 4.089251198627358086e+00, 5.246758839717480249e+00, 3.300887715969741176e+00, 4.218456002864412469e+00, 4.263209144840212517e+00, 3.753465969402101532e+00, 4.211274976949822779e+00
2.037000000000000000e+03, 4.693138751711188661e+00, 4.843316954942336494e+00, 3.884175478740703902e+00, 3.683272707296227910e+00, 4.826789666086225949e+00, 4.079939946062449252e+00, 3.887002813403340085e+00, 5.156722597648305317e+00, 4.503226258142751348e+00, 4.307641520097113208e+00, 5.031066956639282495e+00, 3.281937422376064895e+00, 4.138852741113728584e+00, 4.623868425889040346e+00, 3.737247532729455646e+00, 4.302525747026290759e+00
2.038000000000000000e+03, 4.769381237716159738e+00, 5.028694660661143345e+00, 3.984802257953230065e+00, 3.875039607800516261e+00, 4.739748555032104349e+00, 4.072356203089356974e+00, 3.863044910002314758e+00, 5.037542888605436531e+00, 5.301589063808170188e+00, 4.140673780480338628e+00, 4.970635318451972928e+00, 3.742372510569809130e+00, 4.185791805800919363e+00, 4.681303420853911490e+00, 3.954341214910660707e+00, 4.327463906928453952e+00
2.039000000000000000e+03, 4.891326384970466457e+00, 4.918196131917081715e+00, 4.227824866554704464e+00, 4.037619250476804034e+00, 5.024124442286909797e+00, 3.987811218400111990e+00, 3.931284163770056850e+00, 5.125026128165535155e+00, 5.269610270293762611e+00, 4.366766784060142292e+00, 5.081847987587179816e+00, 3.926131145528094724e+00, 4.073161062753329453e+00, 4.680069557374707756e+00, 3.926444555725260965e+00, 4.314630888055853042e+00
2.040000000000000000e+03, 5.113425735324446109e+00, 4.998802798099599265e+00, 4.237627533974179350e+00, 4.113763517828828320e+00, 4.679102944812190579e+00, 3.881120440941254746e+00, 3.925292755798689193e+00, 4.882491766651088305e+00, 5.452219437988714112e+00, 3.992317975187096302e+00, 5.254583396569090681e+00, 4.272676358679498243e+00, 4.274823822645282156e+00, 4.733746616996839407e+00, 3.986500043646233227e+00, 4.348108827466513837e+00
2.041000000000000000e+03, 4.810313972748517131e+00, 4.852864552542285992e+00, 3.877403649982214429e+00, 3.963789085590008643e+00, 4.410445454014690903e+00, 3.742385769644912319e+00, 4.108881930085341416e+00, 5.114881144104129085e+00, 5.445714836054126096e+00, 4.093702577079469052e+00, 4.904420961300012927e+00, 4.170138205811836585e+00, 4.373329402537324384e+00, 4.768439007391283013e+00, 3.893174851823022031e+00, 4.329053747003387187e+00
2.042000000000000000e+03, 4.818962818165561046e+00, 4.805819390433331506e+00, 3.669015005977717792e+00, 3.878687769672870544e+00, 4.861412973005093896e+00, 3.826498809894404829e+00, 4.200247143495342783e+00, 5.227229424044153028e+00, 5.156387747497846341e+00, 4.107599376387209844e+00, 5.015426987443105666e+00, 4.079145729573803614e+00, 4.339009441217085872e+00, 4.625850077586811437e+00, 3.640087962031867796e+00, 4.376130380576807255e+00
2.043000000000000000e+03, 4.901001295061270469e+00, 4.920127121998735475e+00, 4.119728793845926162e+00, 3.534322831274335552e+00, 4.886521486454627805e+00, 3.788177254821756712e+00, 4.024133419058870231e+00, 5.276798006895614179e+00, 5.226563598777636876e+00, 3.929414632629576243e+00, 4.991164439337060443e+00, 3.610916437864629458e+00, 3.969007116955389769e+00, 4.577702775404570268e+00, 3.760497919406058820e+00, 4.206178402261514293e+00
2.044000000000000000e+03, 4.644848566349469188e+00, 4.688806770701006599e+00, 3.897248429839815564e+00, 3.261411920066797698e+00, 4.690698593669737626e+00, 3.851035035118518302e+00, 4.147143092961022681e+00, 5.128791588916935318e+00, 5.194799821010279040e+00, 3.976770904914015414e+00, 5.017447930670118517e+00, 3.689830394650882806e+00, 4.185688508526436813e+00, 4.716908050252597739e+00, 3.876777439410634685e+00, 4.228365106405862051e+00
2.045000000000000000e+03, 4.760100805838091809e+00, 4.832482266291881601e+00, 3.646944928918194773e+00, 3.730585796164652024e+00, 4.573525471358639294e+00, 3.877864159487705908e+00, 3.874987423989996849e+00, 4.985216640347045036e+00, 5.097246868037147216e+00, 4.355055603127490294e+00, 5.295244750665850653e+00, 3.425061171362872248e+00, 4.484549262727285601e+00, 4.655279261869277541e+00, 3.940903185108671547e+00, 4.141246723818981401e+00
2.046000000000000000e+03, 4.733800441306805773e+00, 4.585453518379256188e+00, 4.034922903723480836e+00, 3.921268469242697119e+00, 4.677914434965189550e+00, 3.895961807679522160e+00, 3.895463573634438514e+00, 5.016108740966027213e+00, 5.165558305240014469e+00, 3.972942817277326899e+00, 5.036312779847526677e+00, 4.056985922530034649e+00, 4.505569432733609325e+00, 4.557749040076660485e+00, 3.988455386981942574e+00, 4.362094293407562162e+00
2.047000000000000000e+03, 4.850553764669180978e+00, 4.603921343312228132e+00, 3.945538914104214090e+00, 4.042642398084748123e+00, 4.817341708212067530e+00, 4.168644885451844750e+00, 4.076294239270760400e+00, 4.907987746269457219e+00, 4.957088497942800487e+00, 4.078629187144905188e+00, 4.802207741409122654e+00, 4.108123483713851165e+00, 4.142455443453264330e+00, 4.322377766652548914e+00, 3.555862939909505194e+00, 4.263278369754238462e+00
2.048000000000000000e+03, 4.895831428026370169e+00, 4.638559439722427236e+00, 3.797409031850412564e+00, 3.689438279169521273e+00, 4.691229634461628883e+00, 3.871614595896780031e+00, 4.068919300099701708e+00, 4.946052297819318433e+00, 5.268559571076761650e+00, 3.808581216546401915e+00, 5.151003672445047421e+00, 3.493861817945763448e+00, 3.998199205524156863e+00, 4.447538425017871333e+00, 4.041203160410666406e+00, 4.251829696984980700e+00
