year, EC-Earth3-Veg, CNRM-ESM2-1, NorESM2-MM, CMCC-CM2-SR5, GFDL-ESM4, CESM2-WACCM, NorESM2-LM, MPI-ESM1-2-LR, TaiESM1, ACCESS-ESM1-5, INM-CM5-0, CanESM5, UKESM1-0-LL, IPSL-CM6A-LR, INM-CM4-8, MIROC-ES2L
2.015000000000000000e+03, 2.949784209664965715e+02, 2.942060030196092839e+02, 2.964700450302563013e+02, 2.967871233586314474e+02, 2.944590956541901505e+02, 2.962978883861350141e+02, 2.959873215024306887e+02, 2.942860512528545769e+02, 2.957079922044559908e+02, 2.971172377410051126e+02, 2.943459149238847203e+02, 2.963653208819133624e+02, 2.959293002482035604e+02, 2.944697638348416717e+02, 2.942222838928159376e+02, 2.971337807187406952e+02
2.016000000000000000e+03, 2.955605809860871886e+02, 2.943135695851704554e+02, 2.960451480959034711e+02, 2.969636689596634369e+02, 2.951349657286321531e+02, 2.967876276999206766e+02, 2.964203636307187821e+02, 2.948061723771261882e+02, 2.958678440373493572e+02, 2.968266214746349760e+02, 2.941676543802064430e+02, 2.967477236799633147e+02, 2.959827403558423953e+02, 2.946136694429968088e+02, 2.942681500403821246e+02, 2.961567611928001611e+02
2.017000000000000000e+03, 2.958890193540085534e+02, 2.945338854055380011e+02, 2.956990922228274030e+02, 2.964433202022161140e+02, 2.954579922716563374e+02, 2.964951986407490381e+02, 2.964233894821250033e+02, 2.945436316753559822e+02, 2.947869932903863059e+02, 2.967256894298264456e+02, 2.942762674048864255e+02, 2.962730236317525510e+02, 2.959166321064789713e+02, 2.954059678426730784e+02, 2.942665524989761252e+02, 2.961744806355465016e+02
2.018000000000000000e+03, 2.949662192646378003e+02, 2.948868925451259315e+02, 2.965913484096967636e+02, 2.962236771081754227e+02, 2.950324570904307393e+02, 2.966938314493025928e+02, 2.966116593863889648e+02, 2.942858297854639318e+02, 2.948790013836239154e+02, 2.970883922360416705e+02, 2.944854172384161757e+02, 2.973020055557626620e+02, 2.964302874882312153e+02, 2.948878729271964971e+02, 2.945314018296278391e+02, 2.965819889886969349e+02
2.019000000000000000e+03, 2.950901126781136554e+02, 2.949632731685338740e+02, 2.964119886956825667e+02, 2.964901949789654054e+02, 2.944485052497943229e+02, 2.964423199366128756e+02, 2.964507891039447145e+02, 2.950083403418452122e+02, 2.958463477954203427e+02, 2.971539186344864447e+02, 2.945271340167611811e+02, 2.977438189491157914e+02, 2.963029761838209311e+02, 2.948541960379390616e+02, 2.944558673667211792e+02, 2.967327735426211461e+02
2.020000000000000000e+03, 2.953766016477766811e+02, 2.943272910112532372e+02, 2.956178556653565010e+02, 2.973211593647783957e+02, 2.946392004759902647e+02, 2.960396460264578309e+02, 2.962634252945583171e+02, 2.947425477195801591e+02, 2.961816195856445120e+02, 2.970425847057675242e+02, 2.943594827474904605e+02, 2.969407618633300672e+02, 2.961019315160858696e+02, 2.948975398333633962e+02, 2.945354071484788392e+02, 2.968456415143115237e+02
2.021000000000000000e+03, 2.959152119623024078e+02, 2.950101723737697625e+02, 2.953747403218968657e+02, 2.975577405182909274e+02, 2.951212199147029196e+02, 2.961857827892922046e+02, 2.968475294665324782e+02, 2.942959333961013613e+02, 2.951294625611387232e+02, 2.970511513738706526e+02, 2.944927147171608226e+02, 2.964142171379679667e+02, 2.956594841003000056e+02, 2.948403120867358780e+02, 2.944040982879690205e+02, 2.971386591541841540e+02
2.022000000000000000e+03, 2.957971684085950415e+02, 2.949898840295012405e+02, 2.952896594524480633e+02, 2.970008302669447176e+02, 2.950271470229716329e+02, 2.964581135981437683e+02, 2.970230617129154780e+02, 2.941625790002296412e+02, 2.953764258003049576e+02, 2.969550416347291275e+02, 2.946620972436692227e+02, 2.971114162494730522e+02, 2.956091293912656965e+02, 2.945998768110766832e+02, 2.945612758740415416e+02, 2.965598629213301365e+02
2.023000000000000000e+03, 2.955965857328759512e+02, 2.948278015613788057e+02, 2.959242430856564283e+02, 2.962636487138778421e+02, 2.943872937397796363e+02, 2.965554158608828175e+02, 2.958469374232448672e+02, 2.941875526403784988e+02, 2.953250112479808536e+02, 2.975976151962571521e+02, 2.948663105025878508e+02, 2.973891946804327517e+02, 2.958005874678051441e+02, 2.947653905417745364e+02, 2.947672357160255956e+02, 2.971329634207154982e+02
2.024000000000000000e+03, 2.957561287931773677e+02, 2.944487772293704779e+02, 2.959934720912416992e+02, 2.961968834920002109e+02, 2.949222351823131021e+02, 2.971793999032805118e+02, 2.953217291628757835e+02, 2.946509698717615606e+02, 2.955820362347389505e+02, 2.979027689297521988e+02, 2.946295062639921412e+02, 2.966344943343249838e+02, 2.964485804727750065e+02, 2.948647653060469906e+02, 2.944686257581809627e+02, 2.970125275785816825e+02
2.025000000000000000e+03, 2.957481826420107609e+02, 2.951215455502076566e+02, 2.960115874492726107e+02, 2.966162304195534603e+02, 2.956030974217655398e+02, 2.963555390025206293e+02, 2.955796991231795232e+02, 2.947108925926102643e+02, 2.957660793552145719e+02, 2.967261131732171293e+02, 2.947207596116500667e+02, 2.967040612612309474e+02, 2.970725773939330452e+02, 2.954309340930158783e+02, 2.945904692973894612e+02, 2.964821490226058245e+02
2.026000000000000000e+03, 2.953003590104004843e+02, 2.950236559227174098e+02, 2.957510125057602863e+02, 2.972415919696231299e+02, 2.950452553998183021e+02, 2.962635029355982397e+02, 2.963957800964864759e+02, 2.943632328613598474e+02, 2.960936818684694458e+02, 2.970371458366086017e+02, 2.947722894802623728e+02, 2.967793960919433971e+02, 2.966853497008905265e+02, 2.948822416889241822e+02, 2.947363754890420751e+02, 2.965409214872520351e+02
2.027000000000000000e+03, 2.953073619202484110e+02, 2.954142091260374627e+02, 2.965580936469679614e+02, 2.972616115680021949e+02, 2.949704405484292806e+02, 2.966581013601196446e+02, 2.968223852483965857e+02, 2.945204591181387741e+02, 2.957514075595626650e+02, 2.977898084881290401e+02, 2.945394662252208491e+02, 2.978628702473488374e+02, 2.966092931853610821e+02, 2.949858340868421465e+02, 2.949467335445834237e+02, 2.971020804757937412e+02
2.028000000000000000e+03, 2.953632013153707589e+02, 2.950612632375450630e+02, 2.966660671519755965e+02, 2.963203809862275193e+02, 2.950537442664452215e+02, 2.970124023719820343e+02, 2.969408929420650907e+02, 2.956080707145898714e+02, 2.956960670664710165e+02, 2.981836756363869654e+02, 2.946265697471509952e+02, 2.984337962675099334e+02, 2.970019386108544950e+02, 2.955362700741334265e+02, 2.949238646385953757e+02, 2.976346871356415136e+02
2.029000000000000000e+03, 2.954884664477228284e+02, 2.946758392930827313e+02, 2.959506378434664953e+02, 2.962648553597930459e+02, 2.956247013607466556e+02, 2.965494657178968509e+02, 2.960488089047784683e+02, 2.951009457092090429e+02, 2.962018742874820987e+02, 2.979327256007374558e+02, 2.946766005190050350e+02, 2.971839525811925000e+02, 2.961330402761623759e+02, 2.957805649647377209e+02, 2.947589015182225580e+02, 2.966925394136993077e+02
2.030000000000000000e+03, 2.954279942994414228e+02, 2.953463010274327303e+02, 2.959345840930395184e+02, 2.963265038179907833e+02, 2.950772975228996984e+02, 2.961487010310535766e+02, 2.961308636873056344e+02, 2.939840934923432769e+02, 2.962394859512698417e+02, 2.970727021191760286e+02, 2.948858249711673238e+02, 2.973361780268499501e+02, 2.963683284110285854e+02, 2.952050351954340499e+02, 2.948265031934270723e+02, 2.965378642147323944e+02
2.031000000000000000e+03, 2.958144160429212093e+02, 2.955739095879216620e+02, 2.959970266790276696e+02, 2.968331669625463292e+02, 2.948982057449132981e+02, 2.969199168897603727e+02, 2.964031229157749863e+02, 2.942812490294958252e+02, 2.955795654480029953e+02, 2.974380372814172233e+02, 2.948583536590273866e+02, 2.975849920231696615e+02, 2.975549154538359744e+02, 2.948925709537437569e+02, 2.947618214418553180e+02, 2.967055914236215131e+02
2.032000000000000000e+03, 2.965778108878067201e+02, 2.953582347188176414e+02, 2.963260979248876765e+02, 2.972998734561804781e+02, 2.953186146066732931e+02, 2.969102577681765069e+02, 2.963669437648930511e+02, 2.949777032542583584e+02, 2.958469012104737885e+02, 2.978738981398450392e+02, 2.949175817157868096e+02, 2.976830371022913937e+02, 2.971477012822304573e+02, 2.950258593199493475e+02, 2.947798368345366384e+02, 2.976919546870420277e+02
