year, MPI-ESM1-2-LR, CNRM-ESM2-1, UKESM1-0-LL, EC-Earth3-Veg, CESM2-WACCM, CMCC-CM2-SR5, IPSL-CM6A-LR, ACCESS-ESM1-5, MIROC-ES2L
1.850000000000000000e+03, 1.824816037732341356e-01, 0.000000000000000000e+00, 3.523582354431782423e-06, 0.000000000000000000e+00, 9.624333373300370323e-03, 2.074911786978736060e-04, 1.483678893238567090e-03, 0.000000000000000000e+00, 4.131929035593056576e-01
1.851000000000000000e+03, 2.630486615440956744e-01, 1.652089713667917762e-03, 6.646907168161771862e-06, 2.044470853944812747e-02, 1.167177700968251471e-02, 7.773164623408206943e-04, 1.977210426645936540e-03, 1.856877821158789670e-03, 4.727256713237516506e-01
1.852000000000000000e+03, 2.987058798880328214e-01, 3.161475898773656590e-03, 8.061752332160121339e-06, 3.297608368172318810e-02, 1.844959480030924914e-02, 1.503063202684313355e-03, 2.199013585859453061e-03, 3.348978063056766256e-03, 5.091551331873058750e-01
1.853000000000000000e+03, 3.295177391843259196e-01, 4.546977877286893094e-03, 8.560619374436314309e-06, 4.339388552391661852e-02, 1.826049479861482916e-02, 2.291426246364784529e-03, 2.350679725619064884e-03, 4.686417814513963234e-03, 5.315394091172223057e-01
1.854000000000000000e+03, 3.433475085870153487e-01, 5.778352021992842931e-03, 9.307753373398170081e-06, 4.863777469218142496e-02, 1.822373620451892343e-02, 3.158101897269547688e-03, 2.399420954705749984e-03, 5.926729448840714967e-03, 5.460654269663605120e-01
1.855000000000000000e+03, 3.667910784257928936e-01, 6.866398771361942321e-03, 9.991971334662811533e-06, 5.166131652867585883e-02, 1.893795139275900388e-02, 4.110523351356245789e-03, 2.512258882119172698e-03, 7.092981566688059264e-03, 5.537942046057192647e-01
1.856000000000000000e+03, 3.770424659324610461e-01, 7.823664504702296588e-03, 1.030892409193536655e-05, 5.158318268286460340e-02, 2.040572014435875284e-02, 5.065846873476941535e-03, 2.575971525532751681e-03, 8.201532635871273264e-03, 5.579923845622480894e-01
1.857000000000000000e+03, 3.796051663443529844e-01, 8.651404085597501001e-03, 1.050444026106560355e-05, 4.983089189502482030e-02, 2.069817273171026262e-02, 5.982651988388716646e-03, 2.691914848251566756e-03, 9.263366851129863078e-03, 5.602097550249616198e-01
1.858000000000000000e+03, 3.846874710828862010e-01, 9.339641181892106500e-03, 1.065866393060916189e-05, 4.818435056733316041e-02, 2.141722064373560719e-02, 6.926646322343143342e-03, 2.772332255873994483e-03, 1.028224257391800213e-02, 5.614652594623774640e-01
1.859000000000000000e+03, 4.061369549966219461e-01, 9.927087174513659837e-03, 1.096370958940770121e-05, 4.678648932217827072e-02, 2.507990478607404275e-02, 7.916998215508553455e-03, 2.869530629505352270e-03, 1.125653493489714441e-02, 5.629790838892192451e-01
1.860000000000000000e+03, 4.167807370374407849e-01, 1.023737346016736355e-02, 1.226395539833457548e-05, 4.489955025178716391e-02, 2.585377426346700119e-02, 8.907679478365794837e-03, 2.966357124724344329e-03, 1.220133490807751367e-02, 5.629337293282856702e-01
1.861000000000000000e+03, 3.926159321072558717e-01, 1.053032765136218546e-02, 1.336077439850037342e-05, 4.357786899016720394e-02, 3.011030435259526988e-02, 9.922953203942184303e-03, 3.009151524186532995e-03, 1.318039558444591801e-02, 5.622686223878412548e-01
1.862000000000000000e+03, 3.814449566339737641e-01, 1.080423420854046725e-02, 1.299307551133282037e-05, 4.253000623341599701e-02, 3.266935401075240358e-02, 1.097316834290699636e-02, 3.009068576860929409e-03, 1.412483673304457989e-02, 5.614137675196205768e-01
1.863000000000000000e+03, 3.816301918617470146e-01, 1.106544431858039190e-02, 1.321049161886374222e-05, 4.160845173239051398e-02, 3.366712520472346648e-02, 1.205183937541535154e-02, 3.092860339053021997e-03, 1.503730733691418381e-02, 5.618554339383796670e-01
1.864000000000000000e+03, 3.785834011181506975e-01, 1.131583699232738965e-02, 1.332806419370124624e-05, 4.061835408997886004e-02, 3.372710919764397575e-02, 1.315376366548330275e-02, 3.242665240163312892e-03, 1.592151300236402389e-02, 5.613487368728912186e-01
1.865000000000000000e+03, 3.924570835584845763e-01, 1.159483306272164442e-02, 1.318679700046704615e-05, 3.959878000363854789e-02, 3.316150418233716757e-02, 1.427876834335492506e-02, 3.251240986071424893e-03, 1.677864796358746746e-02, 5.604131792819704305e-01
1.866000000000000000e+03, 4.040227824399487133e-01, 1.186760649044672246e-02, 1.373852005983693533e-05, 3.808337418566646454e-02, 3.648415241000172587e-02, 1.542058169893557699e-02, 3.273498861651639481e-03, 1.761167164795931703e-02, 5.608544884284102361e-01
1.867000000000000000e+03, 4.132168956580148933e-01, 1.208243654920444429e-02, 1.397423270326455265e-05, 3.678575793519201637e-02, 3.618511721828202715e-02, 1.656313955441797783e-02, 3.447043179368865142e-03, 1.831066622528705612e-02, 5.622926518325476186e-01
1.868000000000000000e+03, 4.156887548351020367e-01, 1.229139759101740940e-02, 1.378613738809161563e-05, 3.564407516030120709e-02, 3.698686875968038718e-02, 1.770805558280030487e-02, 3.616118725837403833e-03, 1.912053942182446661e-02, 5.640885764116780887e-01
1.869000000000000000e+03, 4.123347803810447076e-01, 1.248379489948428685e-02, 1.601129143484934997e-05, 3.463786319164376820e-02, 3.908563950050659291e-02, 1.886899524307781434e-02, 3.875302314007351978e-03, 1.990756848660390349e-02, 5.663851818816997286e-01
1.870000000000000000e+03, 3.893724101828554551e-01, 1.269434022397981573e-02, 1.806111739368973856e-05, 3.366450238139120921e-02, 4.203752952575264684e-02, 2.002476400123832587e-02, 4.107424127811158503e-03, 2.067888057126873735e-02, 5.695528086785919264e-01
1.871000000000000000e+03, 3.838702295045402502e-01, 1.267876773915795063e-02, 1.932010459462469722e-05, 3.263062622134622892e-02, 4.379807130371375645e-02, 2.117076809146656649e-02, 4.403176148169796709e-03, 2.111727650037100931e-02, 5.723769423179445592e-01
1.872000000000000000e+03, 3.840617650543547423e-01, 1.264328535389890214e-02, 1.927306721737123945e-05, 3.162078175611407471e-02, 4.536072491958591940e-02, 2.231770735225477309e-02, 4.450838017945378186e-03, 2.159120630307376568e-02, 5.741706017487613334e-01
1.873000000000000000e+03, 3.863636103038401992e-01, 1.262348811488783577e-02, 1.843117240263252807e-05, 3.064513422626694364e-02, 4.601217341054426174e-02, 2.347768402354830086e-02, 4.702825981972220439e-03, 2.213428524663310984e-02, 5.772810453515145879e-01
1.874000000000000000e+03, 3.831564947552144051e-01, 1.262366859534109868e-02, 1.863002638382365656e-05, 2.968170883834393356e-02, 4.671360722175566665e-02, 2.464815806366419185e-02, 4.981706370469061486e-03, 2.268938509424601666e-02, 5.801671123807357056e-01
1.875000000000000000e+03, 3.885195013031474964e-01, 1.263430157297062116e-02, 1.990119914595082318e-05, 2.878614858211712632e-02, 4.806167009992554084e-02, 2.580722588297935591e-02, 5.270903283979629268e-03, 2.323770313825199163e-02, 5.820007910368036885e-01
1.876000000000000000e+03, 3.910236801131576345e-01, 1.266000280455665573e-02, 1.960255872147301774e-05, 2.793870861920220994e-02, 4.919981509017984367e-02, 2.694858592456724281e-02, 5.533864243148665582e-03, 2.378518238687688663e-02, 5.823528846134125025e-01
1.877000000000000000e+03, 3.976128965372625612e-01, 1.270820779990448728e-02, 1.969652446663786645e-05, 2.710680888805891420e-02, 5.143103762690516556e-02, 2.808384224635103454e-02, 5.826667341910943786e-03, 2.433423221411372406e-02, 5.823892401145900344e-01
1.878000000000000000e+03, 4.012526932217187481e-01, 1.278748080199193678e-02, 1.957482064021211535e-05, 2.632332254864095875e-02, 5.155526406357387875e-02, 2.920648771597212506e-02, 6.008785422289483757e-03, 2.487932904676152385e-02, 5.846762819654196530e-01
1.879000000000000000e+03, 3.897120335472100128e-01, 1.286593633277469291e-02, 1.884216537261404039e-05, 2.557938384542719074e-02, 5.337161350824744244e-02, 3.030908542402866931e-02, 6.332794378382471286e-03, 2.539427160866310554e-02, 5.879388498702284860e-01
1.880000000000000000e+03, 3.771533911161108477e-01, 1.296933408984838818e-02, 1.858796232711762067e-05, 2.486905944391980608e-02, 5.477073678544459173e-02, 3.142612023173072672e-02, 6.662982904469609904e-03, 2.594083902439376157e-02, 5.913295389115499345e-01
1.881000000000000000e+03, 3.828511505588962915e-01, 1.362521082570538299e-02, 1.934390458805936315e-05, 2.429256407462207848e-02, 5.860652022542674894e-02, 3.253248105917461164e-02, 7.036286952234190907e-03, 2.782861267109686468e-02, 5.958585183335924906e-01
1.882000000000000000e+03, 4.052071982555354723e-01, 1.418885789515651231e-02, 2.077459909228322643e-05, 2.365248985384059768e-02, 5.959287889254314546e-02, 3.363737338856961218e-02, 7.416868483622608178e-03, 2.951719852933061550e-02, 6.001041129616081493e-01
1.883000000000000000e+03, 3.992817660496141285e-01, 1.468489986140527129e-02, 2.172962662248203002e-05, 2.300145809849908629e-02, 5.771269870484892206e-02, 3.473473603704466117e-02, 7.682848986131050016e-03, 3.110802886056321034e-02, 6.045395321707712766e-01
1.884000000000000000e+03, 3.856686375881208662e-01, 1.514971701194938250e-02, 2.105436713747909462e-05, 2.241817994548113077e-02, 5.966051907697152851e-02, 3.575104667258692526e-02, 8.019336401445772630e-03, 3.263621676347088635e-02, 6.077324450904960651e-01
1.885000000000000000e+03, 3.806271650301689125e-01, 1.553599186095259814e-02, 2.164924867372106562e-05, 2.184789225384160469e-02, 6.321605795985502096e-02, 3.673855400701838553e-02, 8.397797205437079054e-03, 3.396693253495530057e-02, 6.085486288699250013e-01
1.886000000000000000e+03, 3.856714842668514387e-01, 1.587583265334439886e-02, 2.190449548440517589e-05, 2.128044779074864459e-02, 6.215291577350743474e-02, 3.774692950938350611e-02, 8.721400598988677047e-03, 3.541752231418291569e-02, 6.099125199527821728e-01
1.887000000000000000e+03, 3.965576366583737911e-01, 1.614169823356453176e-02, 2.237298338418254470e-05, 2.074065249902597857e-02, 6.400923641184597113e-02, 3.877283705749857978e-02, 9.037490164132463283e-03, 3.680439738539949962e-02, 6.128772403154009174e-01
1.888000000000000000e+03, 3.970378595164820723e-01, 1.638155074247318529e-02, 2.249734786544355477e-05, 2.022374769948351997e-02, 6.589247903516443072e-02, 3.981078044641302160e-02, 9.325473048116414421e-03, 3.815137127510876552e-02, 6.161979957069443348e-01
1.889000000000000000e+03, 3.890553785703710910e-01, 1.657030850198586494e-02, 2.129522879742871811e-05, 1.979635659948203452e-02, 6.706658256274800056e-02, 4.086482738552823374e-02, 9.689055345527100224e-03, 3.946342081178483285e-02, 6.183782922347847988e-01
1.890000000000000000e+03, 3.847407954831208454e-01, 1.663791569563402920e-02, 2.189389423632824431e-05, 1.937720796766199613e-02, 6.977629807234633774e-02, 4.195669582620897148e-02, 1.003708091493852109e-02, 4.074047321880961553e-02, 6.204808552434192270e-01
1.891000000000000000e+03, 3.855410102548024742e-01, 1.658028758762851787e-02, 2.227866645665667596e-05, 1.893539802812608738e-02, 7.039798020682305757e-02, 4.307535713848609921e-02, 1.028837833220355366e-02, 4.142490292300415183e-02, 6.237918755595818210e-01
1.892000000000000000e+03, 3.793194050189511723e-01, 1.652208524245825025e-02, 2.265301092688909134e-05, 1.849846861537846401e-02, 7.189813252322134474e-02, 4.415044521565898022e-02, 1.056745131760692888e-02, 4.234812771320684011e-02, 6.253635922721000329e-01
1.893000000000000000e+03, 3.836859988104279751e-01, 1.647218253651089315e-02, 2.444451956009357525e-05, 1.810307173205140743e-02, 7.398784921890566579e-02, 4.518608264928193619e-02, 1.097180542228778574e-02, 4.325843923421871656e-02, 6.257058514666821170e-01
1.894000000000000000e+03, 3.836129997435028804e-01, 1.641161968979736041e-02, 2.650412043553681366e-05, 1.772159418188459096e-02, 7.458168784060956180e-02, 4.620554512476789111e-02, 1.126956540075758385e-02, 4.415749245871454509e-02, 6.277127019302103372e-01
1.895000000000000000e+03, 3.854581928518863720e-01, 1.636150221032139571e-02, 2.618203438801450461e-05, 1.734488313056173348e-02, 7.490017794248510219e-02, 4.721711414209068397e-02, 1.161888191608020406e-02, 4.504174386510401834e-02, 6.293107850022805483e-01
1.896000000000000000e+03, 3.840435803795406167e-01, 1.632989778617122828e-02, 2.617424948523552756e-05, 1.698038791439145795e-02, 7.518209009899996798e-02, 4.817024278959863154e-02, 1.195476288149740184e-02, 4.602259099739474529e-02, 6.307783245925713267e-01
1.897000000000000000e+03, 3.818474576420947120e-01, 1.629034038315530994e-02, 2.508068242978376462e-05, 1.665015412523026747e-02, 7.711048831047943863e-02, 4.902157830211787554e-02, 1.233460407746460839e-02, 4.688508669263211082e-02, 6.324316919585821761e-01
