year, UKESM1-0-LL, NorESM2-LM, CNRM-ESM2-1, CMCC-CM2-SR5, MIROC-ES2L, NorESM2-MM, CanESM5, EC-Earth3-Veg, ACCESS-ESM1-5, GFDL-ESM4, CESM2-WACCM, IPSL-CM6A-LR, TaiESM1, MPI-ESM1-2-LR
1.850000000000000000e+03, 3.213380411200932940e+01, 1.329520467977335052e+01, 3.425126505578342773e+01, 4.041031683671056385e+01, 2.001204617176841438e+01, 1.275966906697215286e+01, 2.206334896340491625e+01, 2.708948882587178986e+01, 1.233575430727405475e+01, 4.082945939999483187e+00, 1.303912447922565399e+01, 1.108434477029348386e+01, 1.235521157398035896e+01, 1.370170360338886617e+01
1.851000000000000000e+03, 3.218275110490881019e+01, 1.329496463638423265e+01, 3.423240795875180709e+01, 4.038511074800865686e+01, 2.001007967782419428e+01, 1.275645288325019067e+01, 2.205452465162202458e+01, 2.711479396025713129e+01, 1.234721353558432710e+01, 4.093706035543982047e+00, 1.303809802002560936e+01, 1.109222624813433100e+01, 1.229612494779806298e+01, 1.382918807173728126e+01
1.852000000000000000e+03, 3.215182084212943892e+01, 1.329234661871782031e+01, 3.424143660599971639e+01, 4.031099904998679051e+01, 1.995894241972060357e+01, 1.274909654435364814e+01, 2.203613097612402782e+01, 2.712336676012823489e+01, 1.234333533653413717e+01, 4.101419886908966639e+00, 1.301848930145927064e+01, 1.108804791482340057e+01, 1.231123654234896136e+01, 1.390222343078586320e+01
1.853000000000000000e+03, 3.210314843989197442e+01, 1.329021390953458059e+01, 3.423258945571866008e+01, 4.021341308142936555e+01, 1.991047641522840550e+01, 1.273754809536733568e+01, 2.203181802924695276e+01, 2.709464805989328795e+01, 1.233812576234811331e+01, 4.087640391988039745e+00, 1.301853091667927309e+01, 1.108653028405170282e+01, 1.235718921290946426e+01, 1.394761189549840630e+01
1.854000000000000000e+03, 3.208056193602403283e+01, 1.329024783446785207e+01, 3.423865790436332901e+01, 4.022783026897488412e+01, 1.989221400616931135e+01, 1.273847731533997241e+01, 2.203887162453778359e+01, 2.706428952997852022e+01, 1.232938020701925197e+01, 4.059128573091970615e+00, 1.302963661115854777e+01, 1.108075384938322649e+01, 1.242142673455635205e+01, 1.392072701083725406e+01
1.855000000000000000e+03, 3.215774347185373472e+01, 1.328537890443729275e+01, 3.423575791969595628e+01, 4.022077295935047658e+01, 1.988157737227943045e+01, 1.273796300632954193e+01, 2.203373165174962622e+01, 2.705541412790354627e+01, 1.232033171254029646e+01, 4.088783913017681293e+00, 1.303807173173144740e+01, 1.107720163748211029e+01, 1.224978337698692243e+01, 1.391457685001029887e+01
1.856000000000000000e+03, 3.215821453765341431e+01, 1.328324989842134585e+01, 3.423032314744548188e+01, 4.017848403588596540e+01, 1.982510062821852159e+01, 1.272695582135990833e+01, 2.203102523803296009e+01, 2.706179775318166136e+01, 1.232471641460927181e+01, 4.069761854688572100e+00, 1.303856210698526930e+01, 1.106891960585739021e+01, 1.218658655587345407e+01, 1.392656086435229312e+01
1.857000000000000000e+03, 3.215587888007549111e+01, 1.328834968318721543e+01, 3.422885533670120850e+01, 4.014173275469298119e+01, 1.976485121351015195e+01, 1.271693386111227397e+01, 2.203716143594247612e+01, 2.703312413128324110e+01, 1.232039308949238254e+01, 4.056408751308485883e+00, 1.303778074558716149e+01, 1.107596694921567959e+01, 1.228114361344740146e+01, 1.392314469670214194e+01
1.858000000000000000e+03, 3.215090885451999725e+01, 1.328837991521931272e+01, 3.420148256350821470e+01, 4.013698129957292338e+01, 1.970028678814470524e+01, 1.271585016733607354e+01, 2.204563052334532003e+01, 2.699417333910195893e+01, 1.231905504947893348e+01, 4.033798619225300364e+00, 1.303348553681859379e+01, 1.107553191776093193e+01, 1.228692273422110937e+01, 1.388660683775513682e+01
1.859000000000000000e+03, 3.210560188215766431e+01, 1.327038403613521389e+01, 3.420006282631984362e+01, 4.012465362221549725e+01, 1.961508293943773040e+01, 1.270954025138430765e+01, 2.204016975128272549e+01, 2.697952652069060520e+01, 1.232444635524156062e+01, 4.022788777611049582e+00, 1.302593201733925810e+01, 1.107303537280199635e+01, 1.223924352034961238e+01, 1.397519459198905523e+01
1.860000000000000000e+03, 3.212876374795375511e+01, 1.325473243617726560e+01, 3.422595929512483082e+01, 4.008262083798128117e+01, 1.955048947480635846e+01, 1.270359340895392641e+01, 2.205835160497935021e+01, 2.696597643785830556e+01, 1.233274315289194334e+01, 4.050797841032089508e+00, 1.300851255575318710e+01, 1.107897471942560053e+01, 1.227689221469538694e+01, 1.403228179185928859e+01
1.861000000000000000e+03, 3.218368701249766417e+01, 1.324862051294251586e+01, 3.423274124455164014e+01, 4.003356531855598632e+01, 1.947616937010337423e+01, 1.269427249115614842e+01, 2.205627755142269564e+01, 2.695498535332007606e+01, 1.233143665242256404e+01, 4.093239186892100534e+00, 1.299357362610383682e+01, 1.107673291532672444e+01, 1.230241908944651286e+01, 1.406275988915967723e+01
1.862000000000000000e+03, 3.216732834322695567e+01, 1.325139844136460532e+01, 3.423891821046850481e+01, 4.004448506617568881e+01, 1.940817544700256292e+01, 1.268440467114330517e+01, 2.204863723670571929e+01, 2.695888230813644526e+01, 1.232692312986358552e+01, 4.087562856998190775e+00, 1.298660988524649262e+01, 1.107350444670062117e+01, 1.227072475905057836e+01, 1.401613106012508148e+01
1.863000000000000000e+03, 3.221417827413394974e+01, 1.324674887898733644e+01, 3.424216802102303348e+01, 4.001794123146481041e+01, 1.935808435856972665e+01, 1.268833052747336865e+01, 2.203921357884150822e+01, 2.696887105523161310e+01, 1.231975935841094483e+01, 4.078278164886835810e+00, 1.299358287126963241e+01, 1.106677349642549579e+01, 1.228759985134684207e+01, 1.398722469449015726e+01
1.864000000000000000e+03, 3.224096323839671641e+01, 1.325569678796484396e+01, 3.424944287407943477e+01, 3.996340975323833078e+01, 1.927385660746590546e+01, 1.269808739050367130e+01, 2.203407337633574414e+01, 2.697372343927566973e+01, 1.230529255206604233e+01, 4.084678191608221098e+00, 1.300251282458778412e+01, 1.107059983054531926e+01, 1.230842259865205790e+01, 1.394179840153283401e+01
1.865000000000000000e+03, 3.224685346701321009e+01, 1.324628813457402288e+01, 3.423093529276427915e+01, 3.992826407258354493e+01, 1.917007768331883710e+01, 1.270315221270336359e+01, 2.205699405192558871e+01, 2.696621777901513184e+01, 1.229157089028419847e+01, 4.064983538513474493e+00, 1.301293305344110962e+01, 1.106597706995522046e+01, 1.232766263683691399e+01, 1.392687971877464115e+01
1.866000000000000000e+03, 3.223793247509646420e+01, 1.323434913117041489e+01, 3.425418713334687482e+01, 3.987795460808280268e+01, 1.908277972838707015e+01, 1.270826987967327781e+01, 2.206963796222972007e+01, 2.695965330070658084e+01, 1.228482374350940098e+01, 4.031887866616862937e+00, 1.302138403534794442e+01, 1.106020559409255632e+01, 1.231526462518859688e+01, 1.395170306057821463e+01
