year, CNRM-ESM2-1, TaiESM1, NorESM2-MM, GFDL-ESM4, NorESM2-LM
1.850000000000000000e+03, 1.076132528625157202e-10, 4.682479869962538216e-10, 4.142359861496133000e-10, 3.546410612272790802e-10, 2.837707408311193172e-10
1.851000000000000000e+03, 1.421913468554249697e-10, 4.047204966345723837e-10, 4.612863044788141727e-10, 3.374441325509734843e-10, 2.711734879019219213e-10
1.852000000000000000e+03, 1.012281122825393755e-10, 5.193613497887557212e-10, 3.467214092106203449e-10, 4.348189618194556943e-10, 2.131867776999694464e-10
1.853000000000000000e+03, 1.386389932378561527e-10, 8.610825272528150935e-10, 4.098365991927909964e-10, 3.336953301947924789e-10, 4.184727526864212935e-10
1.854000000000000000e+03, 1.045973311065954018e-10, 9.714616102148093027e-10, 8.924621966555900992e-10, 4.028133526758213971e-10, 3.905258691702275736e-10
1.855000000000000000e+03, 1.345674027149592611e-10, 2.519088062145684357e-10, 5.453798818457522234e-10, 2.626093657415919246e-10, 3.890709985039836227e-10
1.856000000000000000e+03, 1.514215659199334063e-10, 3.732525826099797677e-10, 3.578921017469928797e-10, 2.704480295219366978e-10, 4.572627284924120407e-10
1.857000000000000000e+03, 1.063954577916715811e-10, 5.159305097800573209e-10, 5.218892515029942173e-10, 3.002804363483847335e-10, 3.537626659708841755e-10
1.858000000000000000e+03, 1.515903202123473645e-10, 2.839679780279189599e-10, 4.119203070791391743e-10, 5.359708563609108839e-10, 4.216339691157462256e-10
1.859000000000000000e+03, 1.521017662033732574e-10, 3.176276006817100226e-10, 4.805992137218331689e-10, 2.682133595008258374e-10, 2.520924638272634200e-10
1.860000000000000000e+03, 1.120370510151313618e-10, 4.222903537187261061e-10, 4.176126871068209924e-10, 2.767624542903175092e-10, 2.929718994092920318e-10
1.861000000000000000e+03, 1.487376922224851736e-10, 3.571594671044451686e-10, 1.886734648981748257e-10, 3.698256384939512451e-10, 4.032223319832913200e-10
1.862000000000000000e+03, 1.172267909373007768e-10, 2.561057971379400495e-10, 3.242225068757229621e-10, 4.940476036268963614e-10, 2.788935821523450772e-10
1.863000000000000000e+03, 1.248635070075120254e-10, 4.547697097514748493e-10, 4.305973450256006231e-10, 3.496303910578452426e-10, 3.253383998639375182e-10
1.864000000000000000e+03, 1.184636101596442300e-10, 4.414958103916002512e-10, 3.885342899016495011e-10, 2.731032141858830189e-10, 3.135217253025546998e-10
1.865000000000000000e+03, 1.325981391097328023e-10, 6.054745871820140845e-10, 3.846191308481657848e-10, 3.324050438116968323e-10, 2.883178018535251871e-10
1.866000000000000000e+03, 1.624922267220540782e-10, 4.943772494984533614e-10, 4.109787007117469487e-10, 3.159152603698249654e-10, 3.325432258831225951e-10
1.867000000000000000e+03, 1.202252013702345619e-10, 2.703907305051256776e-10, 6.223286245414457445e-10, 3.462491900129813888e-10, 2.734940685710696748e-10
1.868000000000000000e+03, 1.384794490011564322e-10, 2.957539035683265090e-10, 4.227662859322036236e-10, 2.510610734494030416e-10, 4.636936646392235921e-10
1.869000000000000000e+03, 1.235231320705432572e-10, 2.434172549680010833e-10, 3.524125046313738032e-10, 3.265564646441524607e-10, 3.758323653991558732e-10
1.870000000000000000e+03, 1.439913040770147689e-10, 3.578068992602055621e-10, 3.725200057469545812e-10, 3.654256611750094403e-10, 3.771613529484727664e-10
