year, UKESM1-0-LL, MPI-ESM1-2-LR, TaiESM1, NorESM2-MM, EC-Earth3-Veg, CESM2-WACCM, NorESM2-LM, IPSL-CM6A-LR
1.850000000000000000e+03, 9.343197263245620927e-10, 7.615141650575294126e-10, 3.700281007446009902e-11, 7.878179772794676440e-12, 4.823370662538318590e-10, 1.365080436589928900e-10, 8.581597336295606635e-12, 1.481680111922331833e-09
1.851000000000000000e+03, 6.862162519249868849e-10, 8.137462332580528452e-10, 3.311716923282607320e-11, 1.047879521875414883e-11, 4.533271527002550570e-10, 1.373116407123378859e-10, 1.084480356154336889e-11, 1.408681813542822564e-09
1.852000000000000000e+03, 7.076797610603416788e-10, 7.771602573493025732e-10, 3.025930967057545336e-11, 1.097828394677661146e-11, 4.008463409110508825e-10, 2.181847119710236005e-10, 1.217876202192941717e-11, 1.285376713681150168e-09
1.853000000000000000e+03, 6.518728501171657110e-10, 7.964210873950914348e-10, 2.725533742099145750e-11, 1.270775277703050529e-11, 3.126954131631877148e-10, 1.880008112440823677e-10, 1.348927734386565416e-11, 1.254894861375527258e-09
1.854000000000000000e+03, 9.022988512249319838e-10, 7.409358099694117664e-10, 2.579318756506243114e-11, 1.458193616934948095e-11, 5.801350733462022980e-10, 1.605225851131528710e-10, 1.476520782666850388e-11, 1.371438493518801165e-09
1.855000000000000000e+03, 7.371764751586894774e-10, 7.990826154081370782e-10, 2.530250281804791742e-11, 1.633180680052542713e-11, 4.050834476302394985e-10, 1.452277269439840901e-10, 1.575306998628459464e-11, 1.295444723931120399e-09
1.856000000000000000e+03, 7.099587360498887012e-10, 7.899811488396652098e-10, 2.526701437866542459e-11, 1.761401455837601492e-11, 3.042266570704369834e-10, 1.433994302376536536e-10, 1.660215858200441921e-11, 1.438595672633388541e-09
1.857000000000000000e+03, 7.112854277990768510e-10, 7.510572682468510014e-10, 2.538201899142877989e-11, 1.939068895679143298e-11, 5.464989931450401299e-10, 1.244908921487594626e-10, 1.783763050201010592e-11, 1.455961291062929531e-09
1.858000000000000000e+03, 6.669898635774201673e-10, 7.490568217429971391e-10, 2.562016708624619070e-11, 2.111847925455953573e-11, 3.834729977835807623e-10, 1.124899972956076442e-10, 1.905867600396737939e-11, 1.338525287995565431e-09
1.859000000000000000e+03, 7.534671488277168503e-10, 8.822305316363906704e-10, 2.632895032726483202e-11, 2.292110175859338344e-11, 4.097105114592853827e-10, 1.476797278652734736e-10, 2.029237795494561235e-11, 1.454033230769478467e-09
