year, TaiESM1, EC-Earth3-Veg, MIROC-ES2L, NorESM2-LM, CMCC-CM2-SR5, CNRM-ESM2-1, CESM2-WACCM, MPI-ESM1-2-LR, UKESM1-0-LL, GFDL-ESM4, NorESM2-MM, CanESM5, ACCESS-ESM1-5, INM-CM4-8, INM-CM5-0, IPSL-CM6A-LR
1.850000000000000000e+03, 3.505501888980094627e+00, 4.476457278536575934e+00, 3.395851854691547267e+00, 1.609732979401873987e+00, 1.976125105838913543e+00, 2.935529392175586061e+00, 2.177623963046310784e+00, 4.178061277484317770e+00, 2.522811564251344230e+00, 2.070275747357494200e+00, 1.827013039890474699e+00, 4.607053595251121791e+00, 1.625560548425861063e+00, 4.011659458280061763e+00, 3.982707437777307735e+00, 2.585737359465348106e+00
1.851000000000000000e+03, 3.620852038017042140e+00, 4.041147223869830718e+00, 3.163438612923183069e+00, 1.825321572397551995e+00, 1.881539967617116726e+00, 2.960442112064141096e+00, 2.290271017624768479e+00, 3.928507895147312468e+00, 2.083169884485658319e+00, 2.307752728582455504e+00, 1.760994224997963098e+00, 4.599984471662173391e+00, 1.417509556120363223e+00, 4.572157994738804909e+00, 4.128372055397881546e+00, 2.286012380262014254e+00
1.852000000000000000e+03, 3.493362096108004522e+00, 3.794219753477937829e+00, 3.005497013447536947e+00, 1.847812270613250263e+00, 2.442323893889143616e+00, 2.988103341954523540e+00, 2.558652412922128860e+00, 3.794451144512434038e+00, 2.108107623889048376e+00, 2.176579654418255405e+00, 2.026902006518613408e+00, 4.533221144498347677e+00, 1.496723539467785358e+00, 4.839183432987899103e+00, 3.890726704982694351e+00, 2.213054986440866401e+00
1.853000000000000000e+03, 2.935115935396875653e+00, 3.893088090208181473e+00, 3.040578899608949559e+00, 1.648579776837169053e+00, 2.162673981957175418e+00, 2.632853523367128190e+00, 2.350647625770335924e+00, 3.691180022852591502e+00, 2.047242053552464025e+00, 2.051988402170006776e+00, 1.932579199370938250e+00, 4.575604696546947459e+00, 1.472383641256215459e+00, 4.731101579217514619e+00, 4.261703921716026855e+00, 2.132388469516693252e+00
1.854000000000000000e+03, 3.019298457607844544e+00, 4.378148101228527267e+00, 3.048681319308677473e+00, 1.712431127973533140e+00, 1.810391031927626848e+00, 2.483486901935948676e+00, 2.268646785117904408e+00, 3.834716091189412257e+00, 2.511913287457071764e+00, 2.005214753631093139e+00, 1.646783232885918213e+00, 4.676820039194619305e+00, 1.434970519078538675e+00, 4.614838882957872812e+00, 4.295572990560162729e+00, 2.406920353791001777e+00
1.855000000000000000e+03, 3.880726913566315162e+00, 3.799053236032610137e+00, 3.236596230793470585e+00, 1.639647986618640418e+00, 2.078880714827609388e+00, 2.717819030053012952e+00, 1.998496754760231253e+00, 4.188527232579629000e+00, 2.079661888809332559e+00, 2.414396424599601243e+00, 1.688234972804413037e+00, 4.655893667396676427e+00, 1.609483931866001249e+00, 4.567013639926014612e+00, 3.842768690577511581e+00, 2.146521454709423793e+00
1.856000000000000000e+03, 3.677603734164949234e+00, 3.355576819258976773e+00, 3.099440735632496668e+00, 1.280973277678387312e+00, 2.264539082716868545e+00, 2.602415012985518583e+00, 1.892852450948573573e+00, 3.819694899972767566e+00, 2.118366443704054358e+00, 2.012889018233712690e+00, 1.981457449448815522e+00, 4.614271023609664013e+00, 1.494124253384481626e+00, 4.877303473674503564e+00, 3.670301736777495272e+00, 2.567632688775967509e+00
1.857000000000000000e+03, 3.235234646003059655e+00, 3.639507418227511337e+00, 3.133612523645582293e+00, 1.423113855656359172e+00, 2.146963111188667561e+00, 2.736905316028463098e+00, 1.901026972605723842e+00, 3.702761034857066313e+00, 2.111950980347859552e+00, 2.173981659443772863e+00, 1.827001943536910700e+00, 4.483283846449793053e+00, 1.602280713030824755e+00, 4.887580358882122944e+00, 3.717037883659317643e+00, 2.366902131705506562e+00
1.858000000000000000e+03, 3.610830333016607163e+00, 3.645057240483236871e+00, 3.121303457137496018e+00, 1.464265722750091703e+00, 1.996648179456629979e+00, 3.297415028941300008e+00, 1.802567739596181218e+00, 4.269504758594830918e+00, 1.949296569674280111e+00, 2.021284137630632749e+00, 1.924639323091648535e+00, 4.568885577965030365e+00, 1.645753023151678596e+00, 4.814493668502311863e+00, 4.057972455531733580e+00, 2.314803088384243424e+00
1.859000000000000000e+03, 3.673527374528520184e+00, 3.769767839400457454e+00, 3.065408373069845815e+00, 1.804081939180029570e+00, 2.075214168410741689e+00, 2.792425360216577168e+00, 2.019105756084576875e+00, 4.459192269936394837e+00, 2.273476981800063967e+00, 2.116957647149380062e+00, 1.966516370202800790e+00, 4.641142529732485755e+00, 1.654008836416579031e+00, 4.933752485899520757e+00, 3.992589345322111960e+00, 2.501647382337320646e+00
1.860000000000000000e+03, 3.256602779689742544e+00, 3.776946600915394470e+00, 3.069542201167341666e+00, 1.908761617047544767e+00, 2.290823482678510992e+00, 3.268157088184184378e+00, 2.178983630062532928e+00, 3.996991901541099068e+00, 2.424709579436635121e+00, 2.400575555812636708e+00, 1.941505478747893809e+00, 4.562104448981327387e+00, 1.546738286735714007e+00, 4.852801710312538930e+00, 3.588979191416421077e+00, 2.259152151033696043e+00
1.861000000000000000e+03, 3.467139722063449891e+00, 3.982238823232691516e+00, 2.984375610839197890e+00, 1.766209577908283146e+00, 2.173801361432601720e+00, 2.780114480572182689e+00, 2.384744432848500573e+00, 3.074889417759871346e+00, 2.153911316762048500e+00, 2.542797122610763960e+00, 2.305684116111946569e+00, 4.771004693911477190e+00, 1.508487847569389695e+00, 4.588666276696810264e+00, 4.242954050568489066e+00, 2.145735311194712835e+00
1.862000000000000000e+03, 3.769528084109455612e+00, 4.043722574112774026e+00, 3.041518750404533122e+00, 1.740827702488154438e+00, 2.024194496288866052e+00, 2.698204109785485638e+00, 2.318225538018822807e+00, 3.523754373335352685e+00, 2.255629142165710199e+00, 2.204072097569273136e+00, 2.222345383169980426e+00, 4.664392165354191988e+00, 1.470763501496858305e+00, 4.664062555070708882e+00, 3.910261116378634938e+00, 2.027546792744688631e+00
1.863000000000000000e+03, 3.302316666995011918e+00, 3.796475699076279131e+00, 2.983665250466383423e+00, 1.677660201527832129e+00, 2.327877289507743530e+00, 2.478415161270242528e+00, 2.219167727976818050e+00, 3.609884259909245774e+00, 2.506975455619589788e+00, 2.143871285612667155e+00, 1.920935049426132801e+00, 4.672474609238978616e+00, 1.424660766002549428e+00, 4.737046368435791521e+00, 4.233702013014525534e+00, 2.569182947299903041e+00
1.864000000000000000e+03, 3.446968809393546884e+00, 4.011601675449328219e+00, 2.907486106453158747e+00, 1.808142704456176864e+00, 2.538375251291066448e+00, 3.067984897426749846e+00, 2.111787136504734708e+00, 3.602643423276561840e+00, 2.190871280287873812e+00, 2.405750680074360659e+00, 1.919824661894804940e+00, 4.642422718187884989e+00, 1.415955617634384600e+00, 4.843996525953716770e+00, 4.041335218809114060e+00, 2.208301647260484391e+00
1.865000000000000000e+03, 3.261376853859913272e+00, 3.994404273790475024e+00, 2.865647635939910121e+00, 1.794789476144380114e+00, 2.370771476237869102e+00, 3.215191695210726230e+00, 1.832244652820615327e+00, 4.425196273476617925e+00, 2.230533979445966875e+00, 2.211095649555689491e+00, 1.930683685173846031e+00, 4.893720551179307598e+00, 1.491179232263466270e+00, 4.694152423918607653e+00, 3.812610889366311095e+00, 2.222583719348321107e+00
1.866000000000000000e+03, 3.483531230860635208e+00, 3.997402054269059146e+00, 3.010669163525884873e+00, 1.912857814786958821e+00, 2.901038022131970706e+00, 2.366380438051268964e+00, 1.830040728025391417e+00, 4.141017314868395971e+00, 2.237935401211629038e+00, 2.073462045081771343e+00, 1.732778885847648054e+00, 4.749532331935008678e+00, 1.453760557803224662e+00, 4.501813004004990404e+00, 3.640831428234085898e+00, 1.841572587587506193e+00
1.867000000000000000e+03, 3.999099658076131547e+00, 3.737388852701333697e+00, 3.027250214350715840e+00, 1.825850354683765886e+00, 2.480435778907978062e+00, 2.555529223276607365e+00, 1.568719239583690639e+00, 4.204699404802899387e+00, 1.733832535507032313e+00, 2.253429565829549563e+00, 1.675154132184151434e+00, 4.617305895743138322e+00, 1.430026617595908878e+00, 4.568654941906027389e+00, 3.884662350138657239e+00, 2.124003578055324137e+00
1.868000000000000000e+03, 3.842683359778989782e+00, 3.714730414052265672e+00, 3.035920398977968837e+00, 1.360325053936590534e+00, 2.170815953902612616e+00, 2.438029294347360931e+00, 1.774277964212372716e+00, 4.334485828445002298e+00, 2.707213563638536158e+00, 2.462766394267798198e+00, 1.908462352867925649e+00, 4.567359471721391451e+00, 1.376462274362048488e+00, 4.345419505306690411e+00, 3.830021892635649738e+00, 2.360280683339497365e+00
1.869000000000000000e+03, 3.714505375593444292e+00, 3.985349974796537520e+00, 3.063066623537198385e+00, 1.432346486181884648e+00, 2.138532887371966229e+00, 2.987987404134021308e+00, 2.060582136881749182e+00, 3.742130497174345649e+00, 3.181952023153386655e+00, 2.449918686771199727e+00, 1.998273622967216667e+00, 4.750169174882844736e+00, 1.435691247967084250e+00, 4.638498021776357838e+00, 3.585499486030363059e+00, 2.367020357700487576e+00
1.870000000000000000e+03, 3.712197971150688502e+00, 4.130757674509484723e+00, 3.025678729926561061e+00, 1.683459701891824922e+00, 2.056041844151139664e+00, 3.072845298803026370e+00, 1.974848532639591925e+00, 3.247543245185994465e+00, 3.378713113594419060e+00, 2.424696054432168513e+00, 1.893446413917656335e+00, 4.692636079539575178e+00, 1.554713337191035993e+00, 4.615471782849347449e+00, 3.872153835524076548e+00, 1.993288686798427634e+00
1.871000000000000000e+03, 3.615392810234398180e+00, 3.627046647167425419e+00, 2.996708981065020261e+00, 1.449377923306861327e+00, 2.680986677548987451e+00, 2.515593167482839565e+00, 2.207537317046452507e+00, 3.788165497589635944e+00, 2.628466311628989693e+00, 1.992416455288063881e+00, 2.090005396758420897e+00, 4.499595767390559331e+00, 1.462590003414409479e+00, 4.289226287049559438e+00, 3.731693139113868352e+00, 2.219827964126048769e+00
1.872000000000000000e+03, 3.565055184554386525e+00, 3.425419069247711334e+00, 2.949733412676263544e+00, 1.815691988754752018e+00, 2.029426537300330846e+00, 2.745366167071692232e+00, 2.309247109544795951e+00, 3.446328055604120699e+00, 1.934200316799274733e+00, 1.972427788737038501e+00, 2.178395283480575539e+00, 4.636142509720471594e+00, 1.474464132770932689e+00, 4.602872153272033806e+00, 3.921133458263953209e+00, 2.301647263483515005e+00
1.873000000000000000e+03, 3.548789035149621185e+00, 3.521362366171759906e+00, 3.055621220982514874e+00, 1.746562987057722616e+00, 1.925338101264872037e+00, 3.067148093346716120e+00, 2.182867542706331765e+00, 3.672053964219236022e+00, 2.531085982698763726e+00, 2.037327890810703312e+00, 1.978090531987069411e+00, 4.603120409926276579e+00, 1.444248727991598091e+00, 5.346891394661850150e+00, 3.747197908969265967e+00, 2.353657314912708909e+00
1.874000000000000000e+03, 3.530409126218486460e+00, 4.080965839731056199e+00, 3.033285616140885654e+00, 1.593494429774788168e+00, 2.198504115733691755e+00, 3.163550054668512690e+00, 2.006059187490521811e+00, 3.769335190850260364e+00, 2.584177230057433938e+00, 2.177265140677040467e+00, 1.795676809676007402e+00, 4.839064806514500106e+00, 1.465338090253637704e+00, 4.493171773441084760e+00, 3.833403531154945920e+00, 2.655097103728887742e+00
1.875000000000000000e+03, 3.698785947686015874e+00, 4.237982016904494387e+00, 3.087892512124386091e+00, 1.676148100879264025e+00, 2.288124726472867909e+00, 2.864261099897289498e+00, 2.055954220632919771e+00, 3.975578409897134069e+00, 2.652521157931929885e+00, 2.209886452150290115e+00, 1.851852849806947088e+00, 4.803006821085359590e+00, 1.571412458619624974e+00, 4.952804177511413997e+00, 3.807857420003538884e+00, 2.678187213711121561e+00
1.876000000000000000e+03, 3.433229118991979689e+00, 3.650563858061449451e+00, 2.825596166595178094e+00, 1.844436394017738845e+00, 2.049312130340503746e+00, 2.794952773529741918e+00, 1.935389331196267548e+00, 3.917247503829763833e+00, 2.614263394799097640e+00, 2.442182578781503910e+00, 2.031402621889820015e+00, 4.884225224699256351e+00, 1.710000232789648189e+00, 4.788597678484702413e+00, 3.817497241469029579e+00, 2.364962688191821538e+00
1.877000000000000000e+03, 3.866525043534049466e+00, 3.133638205104605223e+00, 2.938507749055186302e+00, 1.644778295876918595e+00, 2.328794873370029439e+00, 2.509906001624651495e+00, 1.953519021084792140e+00, 4.404403960089450898e+00, 2.045947353986965922e+00, 2.399716779249323029e+00, 1.887915406549161235e+00, 4.766931269271486471e+00, 1.543892663258035203e+00, 4.948066004125134754e+00, 3.775889052291994563e+00, 2.478728817119319139e+00
1.878000000000000000e+03, 3.430234628796217322e+00, 2.971137118202582528e+00, 2.985679954526122781e+00, 1.828225991618060542e+00, 1.840916804894703329e+00, 2.796527565884806332e+00, 1.936899106387447667e+00, 3.787566922256766500e+00, 2.321463503884438229e+00, 2.417976482942488126e+00, 1.876064079517468119e+00, 4.698261114966460816e+00, 1.575728904438836953e+00, 4.722946269643118811e+00, 3.785987233019902476e+00, 2.691769589972627053e+00
1.879000000000000000e+03, 3.448291551706345270e+00, 3.567947543656386777e+00, 3.075018844381178340e+00, 1.747868695930841154e+00, 2.104538561589480938e+00, 2.833254135990211253e+00, 1.987212062931921874e+00, 3.435305089633767572e+00, 2.035435794511223584e+00, 2.590686750867576826e+00, 2.010132498722663197e+00, 4.678876503661760999e+00, 1.556695838703504586e+00, 4.321005490707192642e+00, 3.809484470295553038e+00, 2.613385719526209350e+00
1.880000000000000000e+03, 3.423918251988960382e+00, 3.731246526338218406e+00, 3.060325590673778517e+00, 1.714413059059095135e+00, 2.196648614715846826e+00, 3.036666201171134283e+00, 2.327259483585232935e+00, 3.504344427921849636e+00, 2.274122156608984646e+00, 2.075546472047513635e+00, 1.955125293410246101e+00, 4.843396881557126221e+00, 1.567472120161893967e+00, 4.519221441460656408e+00, 3.916874652560647263e+00, 2.482610539083678791e+00
1.881000000000000000e+03, 3.773944140684215576e+00, 3.363143775926741075e+00, 2.998340961397805593e+00, 1.749710856872945364e+00, 2.137613006475906463e+00, 2.755786979144968285e+00, 2.333251772994785256e+00, 4.101700312267337445e+00, 2.537373164825566629e+00, 2.128230419169532706e+00, 1.502068919264533120e+00, 4.814123817984894416e+00, 1.577265633530586353e+00, 4.764421787234981664e+00, 4.370391270165576714e+00, 2.109141738535344146e+00
1.882000000000000000e+03, 2.981849455954504347e+00, 3.249220918674271097e+00, 3.049600176533009410e+00, 1.742966183678332337e+00, 1.855619058378947361e+00, 2.448622345853372462e+00, 2.103699415480414725e+00, 4.308679475016917948e+00, 2.514142515480564999e+00, 2.290158520240934692e+00, 1.745296555236167446e+00, 4.768557330901852076e+00, 1.533358788343306411e+00, 4.651716886945292728e+00, 3.708428888656307709e+00, 2.401939054869426382e+00
1.883000000000000000e+03, 3.381788082014270280e+00, 3.701190868557990843e+00, 3.062685472976594436e+00, 1.564252452972033636e+00, 2.422975530258361765e+00, 3.133872454677434138e+00, 1.821298024620221279e+00, 3.691316189047753049e+00, 2.779776525914401386e+00, 2.132800895566901112e+00, 1.985202504801348411e+00, 4.822076424547871554e+00, 1.630204139508546035e+00, 4.590735200218463596e+00, 4.143508557332156172e+00, 2.478114174289925309e+00
1.884000000000000000e+03, 3.704083871510164272e+00, 3.305170573057029326e+00, 3.069090332740108895e+00, 1.650619630627650825e+00, 2.208822802836049259e+00, 2.634891488948707394e+00, 1.954296125030601683e+00, 3.519648336519011877e+00, 2.221411825239919313e+00, 2.058647217819623343e+00, 2.236572444301491380e+00, 4.591210906497621203e+00, 1.618958655332628505e+00, 4.336694793234086021e+00, 3.908346462326420578e+00, 2.038301467423103919e+00
1.885000000000000000e+03, 3.388932009736185691e+00, 3.599610924563195535e+00, 2.913606695020123816e+00, 1.541106924890981666e+00, 2.058017361270662704e+00, 2.793526036917839406e+00, 2.159947143852791296e+00, 3.638254130568448375e+00, 2.654845063654970971e+00, 2.183665335364443738e+00, 2.065635015534543317e+00, 4.737944996756554339e+00, 1.580019667705671038e+00, 4.389672371984606691e+00, 3.742664887549679076e+00, 1.903913132906612127e+00
1.886000000000000000e+03, 3.495332385271654907e+00, 3.482984752847656740e+00, 3.056427086474797328e+00, 1.640332007540543424e+00, 1.985242936381804491e+00, 2.667475743461659388e+00, 1.875185522610005151e+00, 3.842033562669546765e+00, 2.458817176839223073e+00, 2.328253876291411562e+00, 1.977802809808685280e+00, 4.855431141866069389e+00, 1.435085392890443012e+00, 4.377507724180228266e+00, 3.803939795767573795e+00, 2.385530371291496810e+00
