year, INM-CM5-0, CMCC-CM2-SR5, NorESM2-MM, IPSL-CM6A-LR, CESM2-WACCM, MPI-ESM1-2-LR, CNRM-ESM2-1, UKESM1-0-LL, NorESM2-LM, ACCESS-ESM1-5, INM-CM4-8, EC-Earth3-Veg, TaiESM1, CanESM5, MIROC-ES2L, GFDL-ESM4
1.850000000000000000e+03, 3.011288308018256643e+00, 2.472156095830183808e+00, 2.276595691630058926e+00, 2.929873643922073168e+00, 2.673802841177880918e+00, 2.373857340720262332e+00, 3.014314261856284372e+00, 2.007878712725781778e+00, 1.814048094267852074e+00, 2.625697254929959978e+00, 2.835733869015529596e+00, 2.073136747069381780e+00, 3.744279447505220126e+00, 1.555893692566898912e+00, 3.631903884495546464e+00, 2.221490677040529604e+00
1.851000000000000000e+03, 3.120425730716615664e+00, 3.178549326484576998e+00, 2.411721254538572001e+00, 2.538976932127984032e+00, 3.747937519441687737e+00, 2.010766223545995324e+00, 2.643005067104028605e+00, 1.835006173295835818e+00, 2.385101022794270609e+00, 2.229661420005950134e+00, 3.463056157114037248e+00, 2.256726230011457890e+00, 3.392738100270317414e+00, 1.315635120055892227e+00, 3.213470925428871805e+00, 2.330367482105992760e+00
1.852000000000000000e+03, 2.736218285789000948e+00, 3.124673224130010141e+00, 3.044194364100071493e+00, 2.530923786444122747e+00, 3.419021079624245729e+00, 2.046650973289517061e+00, 2.929264031245958577e+00, 1.962031809042844133e+00, 2.135952927180626570e+00, 2.297921765442505926e+00, 3.689938917798890383e+00, 2.024246948219749154e+00, 3.324116909088917993e+00, 1.068087129867687946e+00, 3.290465024381756365e+00, 2.303419433587659437e+00
1.853000000000000000e+03, 3.234889431290283390e+00, 2.620625997776162119e+00, 2.318019512258729709e+00, 2.654473000356655454e+00, 2.980640860525400004e+00, 2.038777174153993954e+00, 2.502930895640404607e+00, 1.876850384238875069e+00, 1.827537128757490859e+00, 2.432912323476504213e+00, 3.697698049734520875e+00, 2.316119915838612986e+00, 2.756946247912615888e+00, 1.524510301759271824e+00, 3.756489505375052218e+00, 2.012764950718870072e+00
1.854000000000000000e+03, 3.272197530849614733e+00, 2.697996282348309460e+00, 2.058201940844785138e+00, 2.674133624851477098e+00, 2.809959421715467087e+00, 2.246846934825492692e+00, 2.895058505774152025e+00, 2.187823644214846652e+00, 2.122053178316126942e+00, 2.052166896815840857e+00, 3.484088099240396641e+00, 2.296999860056678777e+00, 3.708721869666088189e+00, 1.292484759042644038e+00, 3.853899147416878002e+00, 2.335453025764326451e+00
1.855000000000000000e+03, 2.735158144692122928e+00, 2.941456625928048574e+00, 2.566427797600422611e+00, 2.489043835035472885e+00, 2.617009561784609417e+00, 2.272859234668443307e+00, 2.744337154051099681e+00, 1.711743768652835396e+00, 1.743180067177430015e+00, 2.670858801459836673e+00, 3.320819359282472405e+00, 1.736550817805989855e+00, 4.033884805932196116e+00, 1.217997756922426067e+00, 3.394131390188668274e+00, 2.271124119751270598e+00
1.856000000000000000e+03, 2.591566590697393035e+00, 3.064109792592524695e+00, 2.943051419303047922e+00, 2.815655600026758965e+00, 2.461373674887037843e+00, 2.101141684552403355e+00, 2.597388297314469519e+00, 2.080264595873197564e+00, 1.270653989889380497e+00, 2.505888615480096782e+00, 3.789888130492393703e+00, 2.190681184676960491e+00, 3.319975819526241434e+00, 1.355584779499929171e+00, 3.315955385441074377e+00, 1.961948024528533008e+00
1.857000000000000000e+03, 2.652149106313603344e+00, 2.704686475025610104e+00, 2.344432289853590756e+00, 2.704246347535486095e+00, 2.393587276647128448e+00, 2.170429557696487155e+00, 2.848501639245092143e+00, 1.850398809066930106e+00, 1.735584876088652084e+00, 2.824263878711890108e+00, 3.672113050835014381e+00, 1.837354909134233605e+00, 3.159223418480435086e+00, 1.406437256375284273e+00, 3.495913044352907395e+00, 2.248477394666754670e+00
1.858000000000000000e+03, 3.003834265981851992e+00, 2.704982694672438459e+00, 2.785628202733808845e+00, 2.791571842424098726e+00, 2.247682921555238078e+00, 2.559757923884202757e+00, 3.115528004702113218e+00, 1.716047854999340094e+00, 2.036959326595912501e+00, 2.763891815710725730e+00, 3.798365834718501421e+00, 1.730915303342903888e+00, 3.943362330609881283e+00, 1.073927389340695315e+00, 3.210136567175881250e+00, 2.168330823162794463e+00
1.859000000000000000e+03, 2.950683635090132206e+00, 2.707589602330010781e+00, 2.585158454002896011e+00, 2.746796220498152419e+00, 3.074253680479899664e+00, 2.332885300974558263e+00, 2.764106024090773328e+00, 2.113787890394085878e+00, 2.483896331331887364e+00, 2.724107305771037435e+00, 3.947577312000906780e+00, 2.112281344216639489e+00, 3.384319129159656825e+00, 1.646505446084246316e+00, 3.465522405791937821e+00, 2.302891833209731232e+00
